Date,Open,High,Low,Close,Volume,Adj Close
2016-12-01,41.700001,41.75,40.25,40.400002,28500,40.400002
2016-11-30,42.450001,42.450001,41.450001,41.50,22500,41.50
2016-11-29,42.25,42.599998,41.849998,42.099998,26100,42.099998
2016-11-28,41.549999,42.740002,41.255001,41.950001,40200,41.950001
2016-11-25,40.849998,41.459999,40.700001,41.25,14200,41.25
2016-11-23,40.799999,40.950001,40.450001,40.950001,23300,40.950001
2016-11-22,39.650002,41.00,39.599998,40.700001,34200,40.700001
2016-11-21,39.400002,39.599998,39.299999,39.599998,27500,39.599998
2016-11-18,38.900002,39.424999,38.138,39.400002,28100,39.400002
2016-11-17,39.150002,39.50,38.150002,39.00,29700,39.00
2016-11-16,37.849998,39.00,37.515999,39.00,43400,39.00
2016-11-15,37.900002,38.00,37.514999,37.75,19500,37.75
2016-11-14,38.200001,38.299999,37.75,38.049999,48600,38.049999
2016-11-11,35.849998,38.099998,35.849998,37.849998,53500,37.849998
2016-11-10,36.200001,36.25,35.349998,36.049999,47000,36.049999
2016-11-09,35.150002,36.299999,34.412998,35.950001,33800,35.950001
2016-11-08,34.400002,36.00,33.900002,35.700001,21100,35.700001
2016-11-07,34.799999,34.900002,34.099998,34.549999,36400,34.549999
2016-11-04,34.849998,35.075001,34.299999,34.349998,28700,34.349998
2016-11-03,34.900002,35.150002,34.549999,34.900002,21600,34.900002
2016-11-02,35.00,35.049999,34.400002,34.900002,30700,34.900002
2016-11-01,34.299999,35.099998,34.25,35.099998,45200,35.099998
2016-10-31,34.950001,35.099998,34.349998,34.349998,31000,34.349998
2016-10-28,35.049999,35.299999,34.75,35.00,35200,35.00
2016-10-27,36.099998,36.099998,35.110001,35.150002,34400,35.150002
2016-10-26,36.049999,36.299999,35.66,36.099998,25800,36.099998
2016-10-25,36.150002,36.400002,35.605,36.299999,28000,36.299999
2016-10-24,36.650002,37.00,36.00,36.299999,23700,36.299999
2016-10-21,36.16,36.810001,35.970001,36.220001,45600,36.220001
2016-10-20,36.98,37.299999,35.919998,36.400002,54800,36.400002
2016-10-19,37.369999,37.75,36.830002,37.200001,42300,37.200001
2016-10-18,38.139999,38.200001,37.68,37.849998,25800,37.599998
2016-10-17,37.860001,38.139999,37.860001,38.009998,21600,37.758941
2016-10-14,37.73,38.099998,37.48,38.029999,31600,37.77881
2016-10-13,37.43,38.639999,37.276001,37.52,47200,37.27218
2016-10-12,37.32,38.023998,37.058998,37.77,21700,37.520529
2016-10-11,38.25,38.25,37.16,37.380001,18700,37.133105
2016-10-10,36.91,38.50,36.91,38.23,69500,37.977489
2016-10-07,38.09,38.130001,35.799999,36.639999,114700,36.397991
2016-10-06,38.50,38.700001,37.240002,38.080002,65200,37.828482
2016-10-05,38.470001,38.830002,37.799999,38.630001,61800,38.374849
2016-10-04,38.779999,38.990002,38.009998,38.380001,34600,38.1265
2016-10-03,38.00,38.470001,37.75,38.439999,56800,38.186101
2016-09-30,39.32,39.681,37.66,37.939999,57600,37.689404
2016-09-29,39.880001,39.950001,39.049999,39.09,34300,38.83181
2016-09-28,39.849998,40.130001,39.509998,40.07,23700,39.805336
2016-09-27,40.130001,40.130001,39.57,39.93,32200,39.666261
2016-09-26,40.09,40.667,39.77,40.25,60000,39.984148
2016-09-23,39.57,40.50,39.299999,40.400002,41600,40.133158
2016-09-22,40.00,40.099998,39.431,39.790001,52800,39.527187
2016-09-21,39.02,39.959999,39.009998,39.869999,36700,39.606656
2016-09-20,38.68,39.259998,38.50,39.009998,31700,38.752336
2016-09-19,37.82,38.990002,37.769001,38.68,39000,38.424518
2016-09-16,37.970001,37.970001,37.330002,37.57,67000,37.321849
2016-09-15,37.419998,37.950001,37.419998,37.84,36600,37.590066
2016-09-14,36.849998,38.02,36.849998,37.599998,44400,37.351649
2016-09-13,38.060001,38.424999,36.700001,37.009998,46900,36.765546
2016-09-12,37.869999,38.16,37.360001,38.139999,40300,37.888084
2016-09-09,39.380001,39.380001,38.00,38.049999,45200,37.798678
2016-09-08,39.27,39.599998,39.150002,39.529999,35100,39.268902
2016-09-07,39.00,39.740002,38.889999,39.490002,49200,39.229169
2016-09-06,38.91,39.049999,38.450001,39.00,39100,38.742404
2016-09-02,38.700001,39.00,38.360001,38.799999,20800,38.543724
2016-09-01,38.599998,38.740002,38.046001,38.650002,18500,38.394717
2016-08-31,39.150002,39.400002,38.41,38.549999,45400,38.295375
2016-08-30,38.91,39.00,38.689999,38.919998,34500,38.66293
2016-08-29,38.990002,39.09,38.57,39.02,30300,38.762272
2016-08-26,39.080002,39.799999,38.058998,38.900002,59100,38.643066
2016-08-25,38.540001,39.110001,38.52,39.110001,50200,38.851678
