Date,Open,High,Low,Close,Volume,Adj Close
2016-12-01,6.11,6.27,6.11,6.16,23800,6.16
2016-11-30,6.04,6.20,6.02,6.07,57700,6.07
2016-11-29,5.98,6.20,5.84,6.05,39300,6.05
2016-11-28,5.99,5.99,5.92,5.98,24600,5.98
2016-11-25,5.97,5.99,5.92,5.99,9500,5.99
2016-11-23,5.95,6.00,5.92,5.98,26400,5.98
2016-11-22,5.80,5.99,5.78,5.91,22700,5.91
2016-11-21,5.79,5.80,5.69,5.76,18400,5.76
2016-11-18,5.74,5.79,5.73,5.79,10200,5.79
2016-11-17,5.70,5.77,5.67,5.73,34600,5.73
2016-11-16,5.65,5.75,5.65,5.74,38300,5.74
2016-11-15,5.61,5.69,5.55,5.61,109800,5.61
2016-11-14,5.61,5.64,5.57,5.61,33900,5.61
2016-11-11,5.53,5.57,5.46,5.53,38800,5.53
2016-11-10,5.28,5.57,5.22,5.57,155800,5.57
2016-11-09,5.24,5.34,5.23,5.34,10800,5.34
2016-11-08,5.33,5.45,5.18,5.25,56900,5.25
2016-11-07,5.21,5.48,5.18,5.25,100600,5.25
2016-11-04,5.31,5.50,5.20,5.24,7200,5.24
2016-11-03,5.49,5.50,5.32,5.32,7600,5.32
2016-11-02,5.37,5.50,5.06,5.41,15500,5.41
2016-11-01,5.24,5.47,5.20,5.46,84400,5.46
2016-10-31,5.51,5.51,5.20,5.23,18000,5.23
2016-10-28,5.49,5.49,5.42,5.44,12400,5.44
2016-10-27,5.52,5.56,5.47,5.50,8700,5.50
2016-10-26,5.53,5.57,5.47,5.49,43200,5.49
2016-10-25,5.56,5.62,5.33,5.57,29600,5.57
2016-10-24,5.60,5.60,5.48,5.56,11300,5.56
2016-10-21,5.55,5.66,5.53,5.56,46400,5.56
2016-10-20,5.60,5.62,5.52,5.59,73500,5.59
2016-10-19,5.54,5.65,5.54,5.62,5100,5.62
2016-10-18,5.49,5.57,5.49,5.57,5500,5.57
2016-10-17,5.60,5.60,5.49,5.49,4800,5.49
2016-10-14,5.58,5.69,5.57,5.63,9300,5.63
2016-10-13,5.69,5.69,5.48,5.60,10100,5.60
2016-10-12,5.61,5.75,5.61,5.63,4200,5.63
2016-10-11,5.57,5.67,5.55,5.67,19600,5.65
2016-10-10,5.48,5.60,5.48,5.57,18200,5.550353
2016-10-07,5.35,5.50,5.26,5.50,67300,5.4806
2016-10-06,5.49,5.67,5.35,5.38,78700,5.361023
2016-10-05,5.42,5.49,5.39,5.49,21100,5.470635
2016-10-04,5.34,5.52,5.30,5.37,20800,5.351058
2016-10-03,5.34,5.53,5.33,5.47,22100,5.450705
2016-09-30,5.39,5.46,5.25,5.38,110200,5.361023
2016-09-29,5.22,5.29,5.16,5.29,177700,5.27134
2016-09-28,5.26,5.34,5.22,5.22,10400,5.201587
2016-09-27,5.22,5.30,5.22,5.30,2500,5.281305
2016-09-26,5.27,5.27,5.12,5.20,68500,5.181658
2016-09-23,5.19,5.29,5.19,5.28,6900,5.261376
2016-09-22,5.23,5.29,5.21,5.21,5400,5.191623
2016-09-21,5.24,5.30,5.15,5.24,6900,5.221516
2016-09-20,5.20,5.27,5.20,5.25,59300,5.231481
2016-09-19,5.10,5.22,5.10,5.22,19400,5.201587
2016-09-16,5.13,5.23,5.04,5.09,32300,5.072046
2016-09-15,5.05,5.24,5.02,5.16,5400,5.141799
2016-09-14,5.17,5.23,5.01,5.14,26000,5.121869
2016-09-13,5.09,5.24,5.09,5.14,24600,5.121869
2016-09-12,5.07,5.15,5.06,5.07,16700,5.052117
2016-09-09,5.17,5.17,5.06,5.11,8700,5.091975
2016-09-08,5.19,5.19,5.15,5.15,3300,5.131834
2016-09-07,5.25,5.26,5.14,5.16,18900,5.141799
2016-09-06,5.22,5.26,5.05,5.22,19400,5.201587
2016-09-02,5.24,5.27,5.20,5.24,3500,5.221516
2016-09-01,5.27,5.27,5.17,5.25,4300,5.231481
2016-08-31,5.19,5.27,5.19,5.27,1800,5.251411
2016-08-30,5.10,5.28,4.91,5.25,28000,5.231481
2016-08-29,5.18,5.18,5.10,5.11,33000,5.091975
2016-08-26,5.15,5.20,5.01,5.19,24500,5.171693
2016-08-25,5.42,5.42,5.18,5.18,71700,5.161728
2016-08-24,5.34,5.44,5.34,5.41,107900,5.390917
2016-08-23,5.20,5.34,5.20,5.34,34400,5.321164
2016-08-22,5.11,5.20,5.11,5.20,36800,5.181658
2016-08-19,5.09,5.19,5.08,5.16,24200,5.141799
2016-08-18,4.96,5.10,4.93,5.04,44600,5.022222
2016-08-17,4.99,5.00,4.95,4.95,19400,4.932539
2016-08-16,4.95,5.00,4.86,4.96,29800,4.942504
2016-08-15,4.89,5.02,4.89,4.93,49100,4.91261
2016-08-12,4.87,5.03,4.87,4.97,50200,4.952469
2016-08-11,4.80,4.93,4.80,4.90,263200,4.882716
2016-08-10,4.89,4.90,4.81,4.81,327400,4.793033
2016-08-09,4.86,4.88,4.81,4.87,13100,4.852822
2016-08-08,4.95,4.95,4.83,4.87,108700,4.852822
2016-08-05,4.82,4.87,4.80,4.85,47600,4.832892
2016-08-04,4.85,4.85,4.79,4.82,22000,4.802998
2016-08-03,4.77,4.87,4.77,4.81,29200,4.793033
