Date,Open,High,Low,Close,Volume,Adj Close
2016-12-01,18.049999,18.25,18.00,18.00,7400,18.00
2016-11-30,18.02,18.200001,18.02,18.200001,2900,18.200001
2016-11-29,17.85,18.049999,17.85,18.049999,3200,18.049999
2016-11-28,17.65,18.00,17.65,17.85,6300,17.85
2016-11-25,17.48,17.90,17.469999,17.90,6300,17.90
2016-11-23,17.33,17.33,17.33,17.33,500,17.33
2016-11-22,17.469999,17.50,17.35,17.50,2500,17.50
2016-11-21,17.299999,17.50,17.299999,17.40,2900,17.40
2016-11-18,17.65,17.65,17.50,17.50,1600,17.50
2016-11-17,17.60,17.60,17.450001,17.450001,2100,17.450001
2016-11-16,17.60,17.60,17.299999,17.549999,3100,17.549999
2016-11-15,17.90,17.90,17.40,17.50,3800,17.50
2016-11-14,17.33,17.799999,17.299999,17.75,6800,17.75
2016-11-11,17.50,17.50,17.450001,17.450001,400,17.450001
2016-11-10,17.25,17.25,17.25,17.25,000,17.25
2016-11-09,17.15,17.50,17.15,17.25,8700,17.25
2016-11-08,17.15,17.25,17.15,17.25,800,17.25
2016-11-07,17.10,17.50,17.10,17.25,15000,17.25
2016-11-04,16.98,16.98,16.98,16.98,600,16.94
2016-11-03,16.75,17.10,16.700001,17.049999,9800,17.009835
2016-11-02,16.65,16.75,16.65,16.75,3700,16.710542
2016-11-01,16.700001,16.75,16.65,16.75,4200,16.710542
2016-10-31,16.60,16.75,16.60,16.65,5500,16.610777
2016-10-28,16.549999,16.549999,16.549999,16.549999,600,16.511012
2016-10-27,16.85,16.85,16.57,16.799999,3700,16.760424
2016-10-26,17.00,17.10,16.85,16.85,10500,16.810307
2016-10-25,17.10,17.10,16.90,16.90,1500,16.860188
2016-10-24,16.85,17.10,16.75,16.90,7800,16.860188
2016-10-21,16.68,17.10,16.68,17.049999,1800,17.009835
2016-10-20,16.969999,16.969999,16.75,16.75,900,16.710542
2016-10-19,17.10,17.10,16.91,17.10,10100,17.059718
2016-10-18,16.65,17.299999,16.65,17.25,4900,17.209364
2016-10-17,17.10,17.10,16.65,16.77,3000,16.730495
2016-10-14,17.049999,17.299999,16.950001,17.18,6300,17.139529
2016-10-13,17.00,17.40,16.950001,16.950001,15100,16.910072
2016-10-12,16.700001,17.10,16.65,16.950001,24200,16.910072
2016-10-11,16.65,16.85,16.50,16.799999,6200,16.760424
2016-10-10,16.65,16.75,16.65,16.700001,600,16.660661
2016-10-07,16.67,16.799999,16.60,16.799999,7700,16.760424
2016-10-06,16.629999,16.799999,16.530001,16.530001,7500,16.491061
2016-10-05,16.799999,16.799999,16.33,16.639999,600,16.600801
2016-10-04,16.74,16.74,16.33,16.33,1500,16.291531
2016-10-03,16.450001,16.450001,16.360001,16.360001,500,16.321461
2016-09-30,16.50,16.50,16.299999,16.33,7600,16.291531
2016-09-29,16.209999,16.950001,16.200001,16.950001,14700,16.910072
2016-09-28,16.24,16.24,16.24,16.24,200,16.201743
2016-09-27,16.18,16.200001,16.17,16.200001,1300,16.161839
2016-09-26,16.57,16.74,16.18,16.48,1400,16.441178
2016-09-23,16.299999,16.379999,16.049999,16.379999,3000,16.341413
2016-09-22,16.690001,16.690001,16.299999,16.299999,5800,16.261601
2016-09-21,16.309999,16.870001,16.309999,16.870001,3900,16.83026
2016-09-20,16.690001,16.76,16.450001,16.549999,4600,16.511012
2016-09-19,16.610001,16.75,16.360001,16.67,5700,16.630731
2016-09-16,16.530001,16.77,16.299999,16.77,20600,16.730495
2016-09-15,16.50,16.60,16.459999,16.50,2100,16.461131
2016-09-14,16.360001,16.50,16.35,16.50,3400,16.461131
2016-09-13,16.00,16.50,15.77,16.49,10800,16.451154
2016-09-12,15.72,16.10,15.52,16.049999,18600,16.01219
2016-09-09,15.94,15.94,15.71,15.71,1300,15.672992
2016-09-08,15.61,16.00,15.61,15.89,3300,15.852568
2016-09-07,15.51,15.90,15.50,15.66,8100,15.62311
2016-09-06,15.36,15.96,15.35,15.53,5000,15.493416
2016-09-02,15.16,15.35,15.16,15.35,1200,15.31384
2016-09-01,15.16,15.30,15.14,15.29,1700,15.253981
2016-08-31,15.39,15.50,15.23,15.50,1500,15.463487
2016-08-30,15.52,15.52,15.37,15.38,2800,15.34377
2016-08-29,15.50,15.55,15.50,15.55,6500,15.513369
2016-08-26,15.60,15.78,15.51,15.51,5500,15.473463
2016-08-25,15.92,15.92,15.59,15.59,2700,15.553275
2016-08-24,16.15,16.190001,15.81,15.92,7000,15.882497
2016-08-23,16.129999,16.129999,15.79,15.79,1700,15.752804
2016-08-22,16.040001,16.139999,15.95,16.00,4500,15.962309
2016-08-19,15.90,15.90,15.90,15.90,2400,15.862544
2016-08-18,15.83,15.95,15.78,15.90,5700,15.862544
2016-08-17,15.91,16.190001,15.91,16.01,4300,15.972286
2016-08-16,16.00,16.200001,15.61,16.17,15900,16.131908
2016-08-15,15.83,16.10,15.83,16.10,3300,16.062074
2016-08-12,15.90,15.95,15.75,15.94,3800,15.90245
2016-08-11,15.98,16.200001,15.75,15.98,8400,15.942356
2016-08-10,15.82,16.200001,15.75,16.200001,3800,16.161839
2016-08-09,15.66,16.00,15.60,16.00,3700,15.962309
2016-08-08,15.50,15.75,15.50,15.65,4000,15.613133
2016-08-05,15.56,15.90,15.55,15.75,5400,15.672991
2016-08-04,15.42,15.75,15.42,15.75,4300,15.672991
2016-08-03,15.37,15.47,15.30,15.39,2600,15.314752
2016-08-02,15.55,15.55,15.27,15.30,4900,15.225192
2016-08-01,15.27,15.55,15.16,15.16,1800,15.085876
2016-07-29,15.35,15.45,15.35,15.40,2300,15.324702
2016-07-28,15.21,15.40,15.10,15.40,4700,15.324702
2016-07-27,15.08,15.21,14.94,14.94,3400,14.866952
