Date,Open,High,Low,Close,Volume,Adj Close
2016-12-01,25.17,25.17,25.10,25.110001,3700,25.110001
2016-11-30,25.139999,25.209999,25.01,25.16,3200,25.16
2016-11-29,25.700001,25.700001,25.00,25.00,10600,25.00
2016-11-28,25.23,25.24,25.00,25.00,7200,25.00
2016-11-25,25.540001,25.709999,24.91,24.93,49400,24.93
2016-11-23,25.24,25.25,25.110001,25.110001,62500,25.110001
2016-11-22,25.290001,25.299999,25.16,25.16,79600,25.16
2016-11-21,25.25,25.26,25.18,25.26,2200,25.26
2016-11-18,25.469999,25.469999,25.17,25.17,1500,25.17
2016-11-17,25.440001,25.440001,25.33,25.40,2400,25.40
2016-11-16,25.32,25.59,25.129999,25.129999,9200,25.129999
2016-11-15,24.530001,25.049999,24.530001,24.98,3300,24.98
2016-11-14,24.530001,24.83,23.280001,24.52,59700,24.52
2016-11-11,24.209999,24.879999,24.00,24.25,6900,24.25
2016-11-10,25.139999,25.43,24.280001,24.280001,9200,24.280001
2016-11-09,25.50,25.91,25.34,25.91,2600,25.465
2016-11-08,26.50,26.50,25.389999,25.52,8100,25.081699
2016-11-07,26.49,27.030001,26.219999,26.219999,1900,25.769675
2016-11-04,25.92,25.92,25.91,25.91,200,25.465
2016-11-03,25.75,25.879999,25.75,25.879999,1700,25.435514
2016-11-02,25.950001,25.950001,25.52,25.66,4500,25.219293
2016-11-01,26.10,26.15,26.10,26.15,16500,25.700878
2016-10-31,26.16,26.24,25.950001,26.10,5800,25.651737
2016-10-28,26.139999,26.139999,26.139999,26.139999,000,25.691049
2016-10-27,25.969999,26.139999,25.959999,26.139999,3600,25.691049
2016-10-26,26.049999,26.129999,26.00,26.02,800,25.573111
2016-10-25,26.00,26.120001,26.00,26.10,600,25.651737
2016-10-24,26.280001,26.280001,26.280001,26.280001,000,25.828646
2016-10-21,26.059999,26.280001,26.059999,26.280001,300,25.828646
2016-10-20,26.299999,26.309999,26.059999,26.059999,7500,25.612423
2016-10-19,26.110001,26.110001,26.110001,26.110001,400,25.661566
2016-10-18,26.00,26.00,26.00,26.00,2100,25.553454
2016-10-17,26.18,26.299999,26.18,26.299999,200,25.848301
2016-10-14,26.129999,26.370001,25.940001,26.280001,3700,25.828646
2016-10-13,26.84,26.84,26.129999,26.129999,500,25.681221
2016-10-12,25.91,26.040001,25.90,25.92,5100,25.474828
2016-10-11,26.459999,26.459999,26.200001,26.200001,1100,25.75002
2016-10-10,26.459999,26.67,25.940001,26.67,1500,26.211947
2016-10-07,25.940001,26.049999,25.91,25.950001,2000,25.504314
2016-10-06,26.00,26.00,26.00,26.00,1000,25.553454
2016-10-05,26.059999,26.299999,25.90,26.299999,7800,25.848301
2016-10-04,26.16,26.530001,26.040001,26.15,2800,25.700878
2016-10-03,26.58,26.58,26.58,26.58,200,26.123493
2016-09-30,26.49,26.959999,26.49,26.85,3700,26.388856
2016-09-29,26.32,26.32,26.32,26.32,1000,25.867958
2016-09-28,26.26,26.290001,26.26,26.290001,300,25.838474
2016-09-27,26.459999,26.459999,26.370001,26.370001,600,25.9171
2016-09-26,26.18,26.290001,26.00,26.18,3800,25.730363
2016-09-23,26.48,26.48,26.219999,26.219999,3800,25.769675
2016-09-22,26.629999,26.709999,26.629999,26.709999,600,26.251259
2016-09-21,25.90,26.959999,25.82,26.959999,2200,26.496965
2016-09-20,26.059999,26.57,25.75,26.41,1900,25.956412
2016-09-19,26.66,26.700001,26.370001,26.370001,3500,25.9171
2016-09-16,26.77,26.77,26.77,26.77,000,26.31023
2016-09-15,27.00,27.00,26.77,26.77,400,26.31023
2016-09-14,26.67,26.67,26.67,26.67,400,26.211947
2016-09-13,26.959999,26.959999,26.709999,26.709999,2200,26.251259
2016-09-12,26.85,26.85,26.85,26.85,300,26.388856
2016-09-09,27.00,27.00,27.00,27.00,000,26.536279
2016-09-08,26.82,27.00,26.82,27.00,6300,26.536279
2016-09-07,26.959999,26.99,26.799999,26.799999,5300,26.339714
2016-09-06,26.51,26.51,26.51,26.51,000,26.054695
2016-09-02,27.00,27.00,26.51,26.51,600,26.054695
2016-09-01,26.799999,26.799999,26.799999,26.799999,000,26.339714
2016-08-31,26.83,26.940001,26.139999,26.799999,1400,26.339714
2016-08-30,26.68,26.68,26.68,26.68,800,26.221776
2016-08-29,27.24,27.24,26.58,26.58,400,26.123493
2016-08-26,27.10,27.10,26.459999,26.459999,5100,26.005553
2016-08-25,27.25,27.25,27.25,27.25,800,26.781986
2016-08-24,26.559999,26.700001,26.559999,26.700001,900,26.241433
2016-08-23,26.280001,26.92,26.27,26.92,1300,26.457653
2016-08-22,26.950001,26.950001,25.99,26.709999,4800,26.251259
2016-08-19,26.709999,27.139999,26.709999,27.00,4200,26.536279
2016-08-18,26.40,27.15,26.370001,26.91,17900,26.447825
2016-08-17,26.60,27.02,26.59,26.799999,10200,26.339714
2016-08-16,26.610001,26.860001,26.610001,26.84,5200,26.379027
2016-08-15,26.74,27.190001,26.549999,26.559999,20200,26.103836
2016-08-12,26.99,27.00,26.780001,26.790001,11600,26.329887
2016-08-11,27.17,27.209999,26.799999,27.200001,12300,26.732845
2016-08-10,27.43,27.50,27.219999,27.299999,18700,26.393769
2016-08-09,27.10,27.450001,27.10,27.43,5200,26.519454
2016-08-08,27.15,27.43,27.049999,27.42,2300,26.509786
2016-08-05,27.129999,27.129999,27.129999,27.129999,000,26.229412
2016-08-04,26.950001,27.18,26.59,27.129999,21200,26.229412
2016-08-03,26.74,27.40,26.700001,27.09,22600,26.190741
2016-08-02,26.700001,26.780001,26.700001,26.700001,2400,25.813687
2016-08-01,26.209999,26.780001,26.209999,26.76,3700,25.871695
2016-07-29,26.65,26.889999,26.34,26.889999,4600,25.997379
2016-07-28,27.17,27.17,26.26,26.700001,22700,25.813687
2016-07-27,26.75,27.280001,26.200001,26.91,27200,26.016715
2016-07-26,26.950001,27.00,26.690001,26.690001,900,25.804019
2016-07-25,27.07,27.07,26.950001,26.950001,1000,26.055389
2016-07-22,27.219999,27.23,26.889999,26.889999,500,25.997379
2016-07-21,26.99,27.32,26.99,27.32,700,26.413105
2016-07-20,27.389999,27.389999,26.27,26.719999,2600,25.833022
2016-07-19,27.50,27.50,27.50,27.50,700,26.58713
2016-07-18,27.17,27.17,26.85,26.889999,6000,25.997379
2016-07-15,26.85,26.99,26.799999,26.799999,900,25.910366
2016-07-14,26.75,26.870001,26.75,26.809999,3500,25.920035
2016-07-13,26.67,27.57,26.67,26.90,7600,26.007047
2016-07-12,26.450001,26.450001,26.450001,26.450001,2200,25.571986
2016-07-11,26.60,26.66,26.200001,26.60,6400,25.717007
2016-07-08,26.25,26.799999,26.15,26.73,30500,25.84269
2016-07-07,26.450001,26.50,26.450001,26.50,300,25.620326
2016-07-06,26.51,26.51,26.209999,26.41,2700,25.533313
2016-07-05,26.15,26.309999,26.15,26.309999,800,25.436632
2016-07-01,26.110001,26.120001,26.09,26.09,1600,25.223936
2016-06-30,26.16,26.50,26.15,26.16,32100,25.291612
2016-06-29,26.15,26.50,26.15,26.16,101400,25.291612
2016-06-28,26.57,26.57,26.200001,26.200001,300,25.330285
2016-06-27,26.57,26.57,26.17,26.209999,700,25.339951
2016-06-24,25.50,26.34,25.50,26.280001,3400,25.407629
2016-06-23,26.50,26.620001,26.50,26.50,900,25.620326
2016-06-22,26.25,26.299999,26.25,26.299999,1100,25.426964
2016-06-21,26.50,26.50,26.450001,26.49,700,25.610657
2016-06-20,26.200001,26.200001,26.200001,26.200001,1400,25.330285
2016-06-17,26.200001,26.200001,26.200001,26.200001,200,25.330285
2016-06-16,26.360001,26.50,26.360001,26.41,6000,25.533313
2016-06-15,26.40,26.40,26.25,26.379999,600,25.504308
2016-06-14,26.15,26.40,26.15,26.40,1300,25.523645
2016-06-13,26.50,26.59,26.15,26.25,14100,25.378624
2016-06-10,26.459999,26.459999,26.459999,26.459999,200,25.581653
2016-06-09,26.700001,26.700001,26.17,26.17,13200,25.30128
2016-06-08,26.34,26.60,26.34,26.58,6200,25.69767
2016-06-07,26.629999,26.75,26.209999,26.719999,4800,25.833022
2016-06-06,26.379999,26.75,26.200001,26.75,11300,25.862027
2016-06-03,26.41,26.41,25.83,26.290001,13000,25.417298
2016-06-02,26.309999,26.530001,26.309999,26.530001,500,25.64933
2016-06-01,26.15,26.15,26.15,26.15,000,25.281944
2016-05-31,26.60,26.60,26.15,26.15,500,25.281944
2016-05-27,26.50,26.60,26.16,26.18,6700,25.310948
2016-05-26,26.01,26.290001,25.99,26.139999,3700,25.272275
