Date,Open,High,Low,Close,Volume,Adj Close
2016-12-01,10.00,10.00,10.00,10.00,000,10.00
2016-11-30,10.00,10.00,10.00,10.00,000,10.00
2016-11-29,10.00,10.00,10.00,10.00,000,10.00
2016-11-28,10.00,10.00,10.00,10.00,000,10.00
2016-11-25,10.00,10.00,10.00,10.00,000,10.00
2016-11-23,10.00,10.00,10.00,10.00,000,10.00
2016-11-22,10.00,10.00,10.00,10.00,1000,10.00
2016-11-21,9.95,9.95,9.95,9.95,000,9.95
2016-11-18,9.95,9.95,9.95,9.95,000,9.95
2016-11-17,9.95,9.95,9.95,9.95,3000,9.95
2016-11-16,9.90,9.90,9.90,9.90,000,9.90
2016-11-15,9.90,9.90,9.90,9.90,3800,9.90
