Date,Open,High,Low,Close,Volume,Adj Close
2016-12-01,0.62,0.62,0.62,0.62,4500,0.62
2016-11-30,0.61,0.61,0.61,0.61,000,0.61
2016-11-29,0.61,0.61,0.61,0.61,000,0.61
2016-11-28,0.61,0.61,0.61,0.61,000,0.61
2016-11-25,0.61,0.61,0.61,0.61,000,0.61
2016-11-23,0.61,0.61,0.61,0.61,000,0.61
2016-11-22,0.61,0.61,0.61,0.61,000,0.61
2016-11-21,0.61,0.61,0.61,0.61,000,0.61
2016-11-18,0.61,0.61,0.61,0.61,000,0.61
2016-11-17,0.61,0.61,0.61,0.61,000,0.61
2016-11-16,0.61,0.61,0.61,0.61,000,0.61
2016-11-15,0.61,0.61,0.61,0.61,000,0.61
2016-11-14,0.61,0.61,0.61,0.61,000,0.61
2016-11-11,0.61,0.61,0.61,0.61,000,0.61
2016-11-10,0.61,0.61,0.61,0.61,000,0.61
2016-11-09,0.61,0.61,0.61,0.61,100,0.61
2016-11-08,0.72,0.72,0.72,0.72,000,0.72
2016-11-07,0.72,0.72,0.72,0.72,1600,0.72
2016-11-04,0.85,0.85,0.85,0.85,000,0.85
2016-11-03,0.85,0.85,0.85,0.85,000,0.85
2016-11-02,0.85,0.85,0.85,0.85,000,0.85
2016-11-01,0.85,0.85,0.85,0.85,000,0.85
2016-10-31,0.85,0.85,0.85,0.85,000,0.85
2016-10-28,0.85,0.85,0.85,0.85,000,0.85
2016-10-27,0.85,0.85,0.85,0.85,000,0.85
2016-10-26,0.85,0.85,0.85,0.85,000,0.85
2016-10-25,0.85,0.85,0.85,0.85,000,0.85
2016-10-24,0.85,0.85,0.85,0.85,000,0.85
2016-10-21,0.85,0.85,0.85,0.85,000,0.85
2016-10-20,0.85,0.85,0.85,0.85,000,0.85
2016-10-19,0.85,0.85,0.85,0.85,000,0.85
2016-10-18,0.85,0.85,0.85,0.85,000,0.85
2016-10-17,0.85,0.85,0.85,0.85,000,0.85
2016-10-14,0.85,0.85,0.85,0.85,000,0.85
2016-10-13,0.85,0.85,0.85,0.85,000,0.85
2016-10-12,0.85,0.85,0.85,0.85,000,0.85
2016-10-11,0.85,0.85,0.85,0.85,000,0.85
2016-10-10,0.85,0.85,0.85,0.85,000,0.85
2016-10-07,0.85,0.85,0.85,0.85,000,0.85
2016-10-06,0.85,0.85,0.85,0.85,000,0.85
