Date,Open,High,Low,Close,Volume,Adj Close
2016-12-01,3.32,3.42,3.31,3.42,26900,3.42
2016-11-30,3.25,3.35,3.22,3.35,28200,3.35
2016-11-29,3.28,3.28,3.20,3.20,11300,3.20
2016-11-28,3.30,3.30,3.21,3.25,7600,3.25
2016-11-25,3.31,3.36,3.21,3.29,2400,3.29
2016-11-23,3.35,3.38,3.34,3.34,6000,3.34
2016-11-22,3.37,3.38,3.33,3.38,25500,3.38
2016-11-21,3.36,3.40,3.27,3.37,13900,3.37
2016-11-18,3.38,3.38,3.35,3.38,9600,3.38
2016-11-17,3.39,3.40,3.34,3.38,11600,3.38
2016-11-16,3.31,3.39,3.31,3.37,14000,3.37
2016-11-15,3.38,3.39,3.35,3.37,6500,3.37
2016-11-14,3.39,3.39,3.32,3.38,4800,3.38
2016-11-11,3.32,3.36,3.29,3.35,10600,3.35
2016-11-10,3.28,3.39,3.23,3.30,20500,3.30
2016-11-09,3.23,3.30,3.22,3.28,19300,3.28
2016-11-08,3.19,3.34,3.19,3.29,33400,3.29
2016-11-07,3.16,3.26,3.16,3.24,22800,3.24
2016-11-04,3.14,3.26,3.07,3.13,63500,3.13
2016-11-03,3.09,3.25,3.02,3.16,58500,3.16
2016-11-02,3.08,3.15,3.04,3.07,50000,3.07
2016-11-01,3.21,3.24,3.10,3.10,10900,3.10
2016-10-31,3.10,3.37,3.06,3.22,24100,3.22
2016-10-28,3.20,3.20,2.88,3.11,50300,3.11
2016-10-27,3.49,3.49,3.12,3.20,128300,3.20
2016-10-26,3.01,3.69,3.01,3.26,615800,3.26
2016-10-25,2.81,2.95,2.81,2.81,21300,2.81
2016-10-24,2.89,2.99,2.72,2.80,105100,2.80
2016-10-21,2.80,2.93,2.65,2.85,119700,2.85
2016-10-20,2.84,3.00,2.78,2.84,52800,2.84
2016-10-19,2.82,2.85,2.63,2.85,43900,2.85
2016-10-18,2.82,2.83,2.80,2.82,5500,2.82
2016-10-17,2.82,2.82,2.78,2.82,4400,2.82
2016-10-14,2.84,2.85,2.84,2.85,900,2.85
2016-10-13,2.76,2.99,2.76,2.83,92900,2.83
2016-10-12,2.75,2.90,2.62,2.90,74400,2.90
2016-10-11,2.83,2.85,2.79,2.80,7400,2.80
2016-10-10,2.84,2.84,2.79,2.79,6900,2.79
2016-10-07,2.80,2.82,2.75,2.82,16300,2.82
2016-10-06,2.75,2.78,2.70,2.78,4200,2.78
2016-10-05,2.80,2.80,2.71,2.74,15700,2.74
2016-10-04,2.69,2.79,2.69,2.79,12600,2.79
2016-10-03,2.72,2.74,2.69,2.71,11200,2.71
2016-09-30,2.71,2.73,2.68,2.72,11200,2.72
2016-09-29,2.65,2.73,2.65,2.68,5400,2.68
2016-09-28,2.74,2.77,2.63,2.63,13300,2.63
2016-09-27,2.75,2.76,2.61,2.70,17200,2.70
2016-09-26,2.77,2.82,2.75,2.75,11300,2.75
2016-09-23,2.76,2.78,2.76,2.77,2500,2.77
2016-09-22,2.77,2.90,2.75,2.75,17600,2.75
2016-09-21,2.83,2.91,2.80,2.80,34500,2.80
2016-09-20,2.87,2.89,2.82,2.84,12100,2.84
2016-09-19,2.90,3.02,2.82,2.86,15700,2.86
2016-09-16,3.00,3.06,2.76,2.78,75600,2.78
2016-09-15,3.06,3.08,3.00,3.07,28200,3.07
2016-09-14,3.07,3.08,3.02,3.08,26900,3.08
2016-09-13,2.98,3.07,2.95,3.05,30700,3.05
2016-09-12,2.99,3.10,2.97,3.03,50900,3.03
2016-09-09,2.81,2.91,2.81,2.91,27200,2.91
2016-09-08,2.91,2.93,2.67,2.89,29000,2.89
2016-09-07,2.85,2.90,2.65,2.89,40500,2.89
2016-09-06,2.66,2.85,2.61,2.85,61000,2.85
2016-09-02,2.66,2.68,2.53,2.59,13200,2.59
2016-09-01,2.50,2.63,2.50,2.61,10600,2.61
2016-08-31,2.54,2.58,2.50,2.51,9200,2.51
2016-08-30,2.54,2.57,2.41,2.51,20300,2.51
2016-08-29,2.60,2.70,2.58,2.60,32800,2.60
2016-08-26,2.62,2.65,2.58,2.62,5800,2.62
2016-08-25,2.59,2.71,2.55,2.59,20200,2.59
2016-08-24,2.51,2.73,2.51,2.55,44400,2.55
2016-08-23,2.44,2.54,2.44,2.49,4900,2.49
2016-08-22,2.47,2.61,2.43,2.46,8800,2.46
2016-08-19,2.55,2.57,2.46,2.52,15000,2.52
2016-08-18,2.58,2.58,2.51,2.53,4900,2.53
2016-08-17,2.43,2.57,2.43,2.55,13700,2.55
2016-08-16,2.55,2.59,2.52,2.58,1500,2.58
2016-08-15,2.60,2.63,2.54,2.63,14000,2.63
2016-08-12,2.62,2.63,2.52,2.62,13600,2.62
2016-08-11,2.55,2.58,2.42,2.56,96000,2.56
2016-08-10,2.59,2.59,2.59,2.59,3800,2.59
2016-08-09,2.75,2.75,2.59,2.64,16600,2.64
