Date,Open,High,Low,Close,Volume,Adj Close
2016-12-01,5.00,5.00,4.77,4.89,17800,4.89
2016-11-30,5.00,5.11,4.99,4.99,23600,4.99
2016-11-29,5.15,5.15,5.00,5.01,21700,5.01
2016-11-28,5.02,5.24,5.02,5.14,16600,5.14
2016-11-25,4.95,5.14,4.95,5.10,18700,5.10
2016-11-23,4.97,4.97,4.87,4.89,8800,4.89
2016-11-22,4.81,4.90,4.81,4.86,37900,4.86
2016-11-21,4.85,4.90,4.75,4.85,13200,4.85
2016-11-18,4.89,5.00,4.80,4.82,17800,4.82
2016-11-17,4.95,4.95,4.85,4.85,8100,4.85
2016-11-16,4.84,4.89,4.81,4.87,10000,4.87
2016-11-15,5.00,5.05,4.78,4.78,34000,4.78
2016-11-14,5.04,5.11,4.98,5.08,31200,5.08
2016-11-11,4.99,5.00,4.97,4.97,1900,4.97
2016-11-10,5.02,5.02,4.88,5.00,2900,5.00
2016-11-09,4.94,5.09,4.93,4.96,22600,4.96
2016-11-08,5.01,5.07,5.01,5.02,5800,5.02
2016-11-07,5.05,5.12,5.01,5.01,9300,5.01
2016-11-04,5.05,5.10,5.05,5.06,2800,5.06
2016-11-03,5.03,5.08,5.00,5.01,21900,5.01
2016-11-02,5.06,5.09,5.05,5.07,8200,5.07
2016-11-01,5.02,5.15,5.02,5.06,21100,5.06
2016-10-31,5.15,5.15,5.09,5.13,9300,5.13
2016-10-28,5.17,5.23,5.00,5.07,30800,5.07
2016-10-27,5.17,5.18,5.17,5.17,3100,5.17
2016-10-26,5.19,5.19,5.17,5.18,2600,5.18
2016-10-25,5.33,5.33,5.18,5.18,9500,5.18
2016-10-24,5.09,5.20,5.09,5.17,18800,5.17
2016-10-21,5.11,5.33,5.10,5.16,7200,5.16
2016-10-20,5.05,5.05,5.02,5.04,1900,5.04
2016-10-19,5.05,5.13,5.00,5.03,24500,5.03
2016-10-18,5.15,5.31,5.00,5.11,7900,5.11
2016-10-17,5.12,5.12,5.02,5.09,38400,5.09
2016-10-14,5.23,5.26,5.10,5.11,13200,5.11
2016-10-13,5.34,5.34,5.11,5.23,10600,5.23
2016-10-12,5.30,5.30,5.13,5.23,1600,5.23
2016-10-11,5.15,5.17,5.10,5.10,16500,5.10
2016-10-10,5.15,5.26,5.15,5.21,13300,5.21
2016-10-07,5.18,5.18,5.15,5.16,7700,5.16
2016-10-06,5.22,5.22,5.17,5.17,4300,5.17
2016-10-05,5.32,5.34,5.19,5.19,27600,5.19
2016-10-04,5.25,5.33,5.25,5.26,4100,5.26
2016-10-03,5.29,5.32,5.25,5.26,24400,5.26
2016-09-30,5.34,5.34,5.25,5.26,19300,5.26
2016-09-29,5.43,5.43,5.26,5.30,12800,5.30
2016-09-28,5.43,5.47,5.38,5.39,10300,5.39
2016-09-27,5.39,5.49,5.38,5.46,7400,5.46
2016-09-26,5.40,5.40,5.35,5.37,6000,5.37
2016-09-23,5.31,5.42,5.31,5.36,8000,5.36
2016-09-22,5.49,5.49,5.33,5.36,7700,5.36
2016-09-21,5.42,5.42,5.26,5.28,18100,5.28
2016-09-20,5.44,5.48,5.42,5.45,10900,5.45
2016-09-19,5.60,5.60,5.45,5.49,8100,5.49
2016-09-16,5.44,5.58,5.44,5.58,7000,5.58
2016-09-15,5.55,5.58,5.40,5.47,8900,5.47
2016-09-14,5.51,5.55,5.33,5.55,18500,5.55
2016-09-13,5.53,5.62,5.52,5.52,6600,5.455
2016-09-12,5.44,5.60,5.42,5.60,8400,5.534058
2016-09-09,5.64,5.69,5.25,5.51,93400,5.445118
2016-09-08,5.65,5.68,5.51,5.64,60900,5.573587
2016-09-07,5.60,5.70,5.60,5.62,17900,5.553822
2016-09-06,5.63,5.64,5.56,5.63,29700,5.563705
2016-09-02,5.33,5.86,5.33,5.56,75300,5.494529
2016-09-01,5.45,5.54,5.25,5.35,42800,5.287002
2016-08-31,5.49,5.49,5.31,5.41,34900,5.346295
2016-08-30,5.55,5.58,5.47,5.47,5500,5.405588
2016-08-29,5.50,5.60,5.50,5.50,15000,5.435235
2016-08-26,5.58,5.60,5.50,5.50,12600,5.435235
2016-08-25,5.53,5.55,5.45,5.48,42500,5.415471
2016-08-24,5.48,5.59,5.48,5.49,32600,5.425353
2016-08-23,5.54,5.67,5.41,5.41,32900,5.346295
2016-08-22,5.55,5.59,5.52,5.52,18300,5.455
2016-08-19,5.50,5.54,5.50,5.52,10300,5.455
2016-08-18,5.50,5.56,5.50,5.50,37400,5.435235
2016-08-17,5.50,5.59,5.50,5.51,19500,5.445118
2016-08-16,5.59,5.70,5.50,5.53,15600,5.464882
2016-08-15,5.65,5.65,5.43,5.50,11200,5.435235
2016-08-12,5.68,5.68,5.62,5.64,3000,5.573587
2016-08-11,5.61,5.69,5.61,5.69,1300,5.622998
2016-08-10,5.67,5.73,5.67,5.70,10800,5.63288
2016-08-09,5.70,5.70,5.68,5.69,1600,5.622998
2016-08-08,5.67,5.75,5.67,5.69,5700,5.622998
2016-08-05,5.84,5.84,5.61,5.61,3300,5.54394
2016-08-04,5.73,5.80,5.58,5.79,16800,5.721821
2016-08-03,5.60,5.69,5.58,5.58,11700,5.514293
2016-08-02,5.60,5.69,5.56,5.56,3300,5.494529
2016-08-01,5.67,5.69,5.50,5.55,6000,5.484647
2016-07-29,5.67,5.79,5.66,5.66,10200,5.593351
2016-07-28,5.40,5.81,5.40,5.60,16300,5.534058
2016-07-27,5.75,5.81,5.67,5.81,3700,5.741585
2016-07-26,5.64,5.80,5.60,5.72,13000,5.652645
2016-07-25,5.58,5.85,5.58,5.63,22900,5.563705
2016-07-22,5.87,5.94,5.76,5.85,110700,5.781114
2016-07-21,5.84,5.96,5.84,5.85,29500,5.781114
2016-07-20,5.89,5.89,5.75,5.84,17600,5.771232
2016-07-19,5.69,5.87,5.62,5.78,10100,5.711939
2016-07-18,5.60,5.87,5.60,5.76,17300,5.692174
2016-07-15,5.85,5.89,5.71,5.73,9400,5.662527
2016-07-14,5.78,5.87,5.61,5.74,24100,5.672409
2016-07-13,5.73,5.85,5.72,5.76,13500,5.692174
2016-07-12,5.86,5.89,5.72,5.80,34000,5.731703
2016-07-11,5.69,5.85,5.60,5.84,24900,5.771232
2016-07-08,5.44,5.65,5.41,5.64,34500,5.573587
2016-07-07,5.41,5.46,5.37,5.45,14100,5.385824
2016-07-06,5.42,5.48,5.41,5.45,8000,5.385824
2016-07-05,5.45,5.49,5.42,5.45,18700,5.385824
2016-07-01,5.40,5.46,5.40,5.45,15100,5.385824
2016-06-30,5.41,5.50,5.39,5.39,30200,5.326531
2016-06-29,5.41,5.42,5.05,5.33,62900,5.267237
2016-06-28,5.49,5.50,5.42,5.44,22600,5.375942
2016-06-27,5.49,5.50,5.25,5.45,75000,5.385824
2016-06-24,5.76,5.80,5.44,5.50,55400,5.435235
2016-06-23,5.41,5.75,5.41,5.64,89200,5.573587
2016-06-22,5.46,5.48,5.36,5.41,26300,5.346295
2016-06-21,5.32,5.50,5.27,5.31,132300,5.247473
2016-06-20,5.20,5.39,5.05,5.20,60400,5.138768
2016-06-17,5.25,5.37,5.13,5.13,33100,5.069592
2016-06-16,5.13,5.25,5.09,5.19,49900,5.128886
2016-06-15,5.08,5.20,5.00,5.15,131000,5.089357
2016-06-14,5.14,5.14,5.07,5.09,10300,4.965829
2016-06-13,5.09,5.14,5.03,5.10,22700,4.975585
2016-06-10,4.99,5.13,4.97,5.13,17300,5.004853
2016-06-09,5.14,5.14,5.00,5.05,13800,4.926805
2016-06-08,5.06,5.06,4.96,5.04,5700,4.917049
2016-06-07,4.95,5.06,4.95,4.95,9100,4.829244
2016-06-06,5.06,5.06,4.90,5.00,34000,4.878024
2016-06-03,4.93,5.05,4.93,5.05,9900,4.926805
2016-06-02,5.05,5.05,5.01,5.01,8200,4.887781
2016-06-01,5.00,5.06,4.95,5.02,18200,4.897537
2016-05-31,5.00,5.06,4.91,5.06,16100,4.936561
2016-05-27,4.86,5.08,4.86,4.97,50000,4.848756
2016-05-26,4.81,5.00,4.81,5.00,39900,4.878024
2016-05-25,4.78,4.96,4.77,4.81,42500,4.692659
2016-05-24,4.70,4.78,4.70,4.73,43300,4.614611
2016-05-23,4.65,4.74,4.65,4.65,4000,4.536563
2016-05-20,4.70,4.74,4.60,4.65,4500,4.536563
2016-05-19,4.65,4.67,4.60,4.67,7700,4.556075
2016-05-18,4.74,4.74,4.58,4.63,16200,4.517051
2016-05-17,4.65,4.79,4.59,4.59,22400,4.478027
2016-05-16,4.70,4.83,4.60,4.72,46000,4.604855
2016-05-13,4.74,4.77,4.60,4.66,14500,4.546319
2016-05-12,4.75,4.80,4.73,4.74,16400,4.624367
2016-05-11,4.76,4.79,4.72,4.73,15700,4.614611
2016-05-10,4.81,4.81,4.72,4.80,28100,4.682904
2016-05-09,4.80,4.80,4.71,4.78,74200,4.663392
2016-05-06,4.80,4.83,4.77,4.83,7900,4.712172
2016-05-05,4.84,4.84,4.80,4.80,6700,4.682904
2016-05-04,4.79,4.89,4.79,4.89,23300,4.770708
2016-05-03,4.72,4.85,4.72,4.83,26400,4.712172
2016-05-02,4.80,4.89,4.65,4.75,38400,4.634123
2016-04-29,4.79,4.82,4.74,4.82,8700,4.702416
2016-04-28,4.68,4.84,4.68,4.83,10100,4.712172
2016-04-27,4.82,4.82,4.70,4.75,3400,4.634123
2016-04-26,4.83,4.88,4.79,4.88,12500,4.760952
2016-04-25,4.80,4.85,4.77,4.82,27600,4.702416
2016-04-22,4.89,4.89,4.70,4.70,1000,4.585343
2016-04-21,4.82,4.90,4.72,4.88,8300,4.760952
2016-04-20,4.77,4.85,4.77,4.85,5300,4.731684
2016-04-19,4.71,4.81,4.71,4.77,5200,4.653635
2016-04-18,4.87,4.96,4.70,4.75,9200,4.634123
2016-04-15,4.86,4.92,4.80,4.83,25800,4.712172
2016-04-14,4.90,4.90,4.80,4.81,5300,4.692659
2016-04-13,4.93,4.93,4.90,4.90,1300,4.780464
2016-04-12,4.87,5.00,4.84,4.85,41700,4.731684
2016-04-11,4.89,4.99,4.80,4.85,8700,4.731684
2016-04-08,4.90,4.90,4.70,4.82,6600,4.702416
2016-04-07,4.91,4.99,4.83,4.86,13100,4.74144
2016-04-06,4.85,5.00,4.85,4.86,3900,4.74144
2016-04-05,4.73,5.00,4.73,4.92,27700,4.799976
2016-04-04,4.97,4.97,4.79,4.84,7800,4.721928
2016-04-01,4.85,5.15,4.81,4.81,42500,4.692659
2016-03-31,4.91,4.99,4.60,4.87,61000,4.751196
2016-03-30,4.89,4.94,4.79,4.84,33600,4.721928
2016-03-29,4.85,4.90,4.78,4.86,31300,4.74144
2016-03-28,4.90,4.90,4.84,4.85,11600,4.731684
2016-03-24,4.75,4.85,4.75,4.84,4600,4.721928
2016-03-23,4.68,4.86,4.55,4.85,37500,4.731684
2016-03-22,4.90,4.93,4.51,4.90,78400,4.780464
2016-03-21,4.80,4.95,4.75,4.93,80800,4.809732
2016-03-18,4.68,4.85,4.60,4.85,433000,4.731684
2016-03-17,4.66,4.66,4.52,4.65,83000,4.536563
2016-03-16,4.67,4.69,4.52,4.52,54700,4.409734
2016-03-15,4.44,4.69,4.44,4.61,38400,4.497539
2016-03-14,4.41,4.57,4.27,4.56,48700,4.448758
2016-03-11,4.58,4.58,4.35,4.50,22000,4.390222
2016-03-10,4.50,4.60,4.43,4.58,47100,4.404856
2016-03-09,4.68,4.68,4.44,4.59,74200,4.414474
2016-03-08,4.50,4.87,4.40,4.58,79300,4.404856
2016-03-07,4.10,4.49,4.05,4.45,94800,4.279827
2016-03-04,4.10,4.10,3.95,4.08,31600,3.923977
2016-03-03,4.02,4.10,4.00,4.09,17000,3.933594
2016-03-02,3.89,4.03,3.85,4.00,17200,3.847036
2016-03-01,3.87,3.98,3.87,3.95,27500,3.798948
2016-02-29,3.87,3.89,3.86,3.89,10500,3.741242
2016-02-26,3.90,3.90,3.86,3.90,10100,3.75086
2016-02-25,3.92,3.93,3.92,3.93,700,3.779713
