Date,Open,High,Low,Close,Volume,Adj Close
2016-12-01,1.45,1.55,1.43,1.51,24700,1.51
2016-11-30,1.44,1.44,1.44,1.44,000,1.44
2016-11-29,1.47,1.50,1.41,1.44,4400,1.44
2016-11-28,1.43,1.43,1.41,1.43,8100,1.43
2016-11-25,1.43,1.43,1.39,1.39,400,1.39
2016-11-23,1.39,1.40,1.39,1.40,5200,1.40
2016-11-22,1.39,1.41,1.39,1.40,6800,1.40
2016-11-21,1.40,1.43,1.40,1.43,3200,1.43
2016-11-18,1.41,1.42,1.39,1.39,4400,1.39
2016-11-17,1.38,1.46,1.38,1.39,13800,1.39
2016-11-16,1.25,1.44,1.24,1.39,156100,1.39
2016-11-15,1.24,1.24,1.24,1.24,2200,1.24
2016-11-14,1.22,1.23,1.22,1.23,600,1.23
2016-11-11,1.24,1.25,1.24,1.25,2100,1.25
2016-11-10,1.23,1.23,1.23,1.23,000,1.23
2016-11-09,1.23,1.23,1.21,1.23,2400,1.23
2016-11-08,1.21,1.23,1.21,1.23,1500,1.23
2016-11-07,1.21,1.22,1.20,1.22,4500,1.22
2016-11-04,1.21,1.21,1.20,1.20,6900,1.20
2016-11-03,1.22,1.22,1.21,1.22,4300,1.22
2016-11-02,1.25,1.30,1.20,1.25,23100,1.25
2016-11-01,1.21,1.22,1.21,1.22,200,1.22
2016-10-31,1.22,1.22,1.20,1.21,8100,1.21
2016-10-28,1.20,1.22,1.19,1.21,19400,1.21
2016-10-27,1.27,1.27,1.20,1.20,6400,1.20
2016-10-26,1.36,1.36,1.21,1.22,19900,1.22
2016-10-25,1.26,1.33,1.22,1.22,24400,1.22
2016-10-24,1.32,1.33,1.26,1.27,16700,1.27
2016-10-21,1.30,1.31,1.28,1.29,6500,1.29
2016-10-20,1.36,1.36,1.25,1.28,10700,1.28
2016-10-19,1.32,1.36,1.31,1.35,27200,1.35
2016-10-18,1.27,1.29,1.26,1.28,16200,1.28
2016-10-17,1.25,1.28,1.25,1.28,37800,1.28
2016-10-14,1.26,1.27,1.26,1.27,2100,1.27
2016-10-13,1.26,1.27,1.26,1.27,9000,1.27
2016-10-12,1.25,1.28,1.25,1.27,37700,1.27
2016-10-11,1.34,1.34,1.25,1.25,23400,1.25
2016-10-10,1.44,1.46,1.43,1.46,41400,1.26
2016-10-07,1.42,1.44,1.42,1.43,16200,1.23411
2016-10-06,1.44,1.44,1.42,1.42,5800,1.225479
2016-10-05,1.45,1.45,1.42,1.44,6100,1.24274
2016-10-04,1.40,1.46,1.40,1.44,52700,1.24274
2016-10-03,1.38,1.40,1.37,1.40,3100,1.208219
2016-09-30,1.39,1.39,1.38,1.38,6700,1.190959
2016-09-29,1.38,1.40,1.38,1.39,2000,1.199589
2016-09-28,1.40,1.41,1.39,1.39,6700,1.199589
2016-09-27,1.40,1.42,1.39,1.39,12000,1.199589
2016-09-26,1.38,1.40,1.38,1.39,4600,1.199589
2016-09-23,1.38,1.39,1.38,1.39,3600,1.199589
2016-09-22,1.38,1.39,1.38,1.38,21900,1.190959
2016-09-21,1.38,1.42,1.38,1.39,9600,1.199589
2016-09-20,1.38,1.41,1.38,1.39,15500,1.199589
2016-09-19,1.38,1.42,1.38,1.39,67900,1.199589
2016-09-16,1.37,1.43,1.37,1.39,600,1.199589
2016-09-15,1.38,1.40,1.37,1.37,19700,1.182329
2016-09-14,1.39,1.40,1.37,1.38,40100,1.190959
2016-09-13,1.43,1.43,1.39,1.40,8000,1.208219
2016-09-12,1.38,1.45,1.38,1.45,11800,1.25137
2016-09-09,1.35,1.45,1.35,1.45,40500,1.25137
2016-09-08,1.38,1.45,1.38,1.45,2400,1.25137
2016-09-07,1.49,1.49,1.35,1.39,35900,1.199589
2016-09-06,1.50,1.55,1.49,1.53,53800,1.320411
2016-09-02,1.37,1.70,1.30,1.52,268000,1.311781
2016-09-01,1.27,1.27,1.15,1.16,56800,1.001096
2016-08-31,1.27,1.30,1.23,1.23,12300,1.061507
2016-08-30,1.29,1.29,1.29,1.29,000,1.113288
2016-08-29,1.26,1.29,1.19,1.29,26700,1.113288
2016-08-26,1.27,1.34,1.23,1.30,5000,1.121918
2016-08-25,1.27,1.27,1.27,1.27,000,1.096027
2016-08-24,1.34,1.34,1.26,1.27,9400,1.096027
2016-08-23,1.39,1.39,1.39,1.39,300,1.199589
2016-08-22,1.41,1.41,1.41,1.41,000,1.216849
2016-08-19,1.36,1.42,1.23,1.41,47500,1.216849
2016-08-18,1.35,1.43,1.32,1.37,17200,1.182329
2016-08-17,1.28,1.43,1.28,1.43,5200,1.23411
2016-08-16,1.33,1.45,1.33,1.38,6100,1.190959
2016-08-15,1.30,1.45,1.20,1.40,33700,1.208219
2016-08-12,1.30,1.30,1.30,1.30,000,1.121918
2016-08-11,1.29,1.34,1.25,1.30,5300,1.121918
2016-08-10,1.27,1.43,1.26,1.26,15900,1.087397
2016-08-09,1.42,1.50,1.25,1.27,22600,1.096027
2016-08-08,1.42,1.48,1.31,1.41,10600,1.216849
2016-08-05,1.41,1.41,1.23,1.28,18500,1.104657
2016-08-04,1.17,1.54,1.17,1.40,171700,1.208219
2016-08-03,1.25,1.27,1.15,1.20,11600,1.035616
2016-08-02,1.33,1.36,1.16,1.20,62000,1.035616
2016-08-01,1.59,1.59,1.35,1.36,83300,1.173699
2016-07-29,1.18,2.20,1.18,1.65,504700,1.423973
2016-07-28,1.18,1.25,1.17,1.20,9000,1.035616
2016-07-27,1.18,1.28,1.18,1.27,13700,1.096027
2016-07-26,1.25,1.26,1.16,1.25,5600,1.078767
2016-07-25,1.20,1.30,1.20,1.30,2100,1.121918
2016-07-22,1.20,1.28,1.15,1.27,26400,1.096027
2016-07-21,1.12,1.27,1.12,1.27,4500,1.096027
2016-07-20,1.18,1.23,1.03,1.16,147000,1.001096
2016-07-19,1.43,1.49,1.00,1.15,63600,0.992466
2016-07-18,1.28,1.89,1.27,1.59,440800,1.372192
2016-07-15,1.20,1.22,1.20,1.22,2100,1.052877
2016-07-14,1.19,1.23,1.19,1.23,200,1.061507
2016-07-13,1.20,1.20,1.20,1.20,000,1.035616
2016-07-12,1.20,1.20,1.20,1.20,800,1.035616
2016-07-11,1.20,1.20,1.20,1.20,1800,1.035616
2016-07-08,1.20,1.20,1.20,1.20,000,1.035616
2016-07-07,1.20,1.22,1.20,1.20,11200,1.035616
2016-07-06,1.18,1.18,1.18,1.18,000,1.018356
2016-07-05,1.20,1.20,1.18,1.18,1400,1.018356
2016-07-01,1.19,1.19,1.19,1.19,000,1.026986
2016-06-30,1.19,1.20,1.19,1.19,900,1.026986
2016-06-29,1.29,1.29,1.29,1.29,000,1.113288
2016-06-28,1.29,1.29,1.29,1.29,000,1.113288
2016-06-27,1.29,1.29,1.29,1.29,000,1.113288
2016-06-24,1.29,1.29,1.29,1.29,800,1.113288
2016-06-23,1.23,1.23,1.23,1.23,000,1.061507
2016-06-22,1.23,1.23,1.23,1.23,000,1.061507
2016-06-21,1.23,1.23,1.23,1.23,000,1.061507
2016-06-20,1.23,1.23,1.23,1.23,000,1.061507
2016-06-17,1.23,1.23,1.23,1.23,000,1.061507
2016-06-16,1.23,1.23,1.23,1.23,000,1.061507
2016-06-15,1.19,1.23,1.19,1.23,800,1.061507
2016-06-14,1.20,1.20,1.20,1.20,000,1.035616
