Date,Open,High,Low,Close,Volume,Adj Close
2016-12-01,25.809999,26.10,25.809999,26.10,1900,26.10
2016-11-30,25.860001,25.940001,25.76,25.90,4200,25.90
2016-11-29,25.82,25.83,25.82,25.83,900,25.83
2016-11-28,25.92,25.940001,25.780001,25.870001,3300,25.870001
2016-11-25,25.93,25.93,25.75,25.879999,1300,25.879999
2016-11-23,25.90,25.940001,25.90,25.92,1000,25.92
2016-11-22,25.780001,25.870001,25.780001,25.870001,600,25.870001
2016-11-21,25.969999,25.969999,25.969999,25.969999,000,25.969999
2016-11-18,25.90,25.969999,25.90,25.969999,200,25.969999
2016-11-17,25.60,25.93,25.60,25.92,1500,25.92
2016-11-16,25.65,25.66,25.60,25.639999,2400,25.639999
2016-11-15,25.950001,25.950001,25.65,25.690001,1500,25.690001
2016-11-14,25.65,25.84,25.65,25.84,900,25.84
2016-11-11,25.879999,25.879999,25.67,25.67,1400,25.67
2016-11-10,26.040001,26.040001,25.65,25.65,600,25.65
2016-11-09,25.690001,26.10,25.690001,25.700001,2100,25.700001
2016-11-08,25.629999,25.66,25.629999,25.65,3300,25.65
2016-11-07,25.620001,25.959999,25.620001,25.959999,2500,25.959999
2016-11-04,25.559999,25.59,25.559999,25.59,500,25.59
2016-11-03,26.10,26.10,26.00,26.00,2900,26.00
2016-11-02,26.34,26.34,26.18,26.18,1900,26.18
2016-11-01,26.389999,26.389999,26.389999,26.389999,000,26.389999
2016-10-31,26.389999,26.389999,26.389999,26.389999,100,26.389999
2016-10-28,26.51,26.530001,26.370001,26.530001,1300,26.530001
2016-10-27,26.719999,26.719999,26.719999,26.719999,000,26.719999
2016-10-26,26.719999,26.719999,26.719999,26.719999,000,26.719999
2016-10-25,26.700001,26.719999,26.700001,26.719999,500,26.719999
2016-10-24,26.74,26.74,26.50,26.50,300,26.50
2016-10-21,26.549999,26.549999,26.50,26.51,900,26.51
2016-10-20,26.469999,26.469999,26.469999,26.469999,000,26.469999
2016-10-19,26.469999,26.469999,26.469999,26.469999,000,26.469999
2016-10-18,26.469999,26.469999,26.469999,26.469999,000,26.469999
2016-10-17,26.40,26.610001,26.360001,26.469999,2100,26.469999
2016-10-14,26.139999,26.139999,26.139999,26.139999,000,26.139999
2016-10-13,26.41,26.41,26.139999,26.139999,1000,26.139999
2016-10-12,26.59,26.59,26.33,26.33,400,26.33
2016-10-11,26.32,26.32,26.32,26.32,1000,26.32
2016-10-10,26.450001,26.450001,26.450001,26.450001,000,26.450001
2016-10-07,26.450001,26.450001,26.450001,26.450001,000,26.450001
2016-10-06,26.549999,26.549999,26.450001,26.450001,2500,26.450001
2016-10-05,26.440001,26.440001,26.440001,26.440001,000,26.440001
2016-10-04,26.440001,26.440001,26.440001,26.440001,200,26.440001
2016-10-03,26.450001,26.450001,26.450001,26.450001,500,26.450001
2016-09-30,26.00,26.00,26.00,26.00,900,26.00
2016-09-29,26.25,26.50,25.75,25.75,2300,25.75
2016-09-28,26.370001,26.370001,26.25,26.25,2900,26.25
2016-09-27,26.74,26.74,26.74,26.74,1900,26.302
2016-09-26,26.35,26.65,26.35,26.65,1800,26.213474
2016-09-23,26.48,26.48,26.48,26.48,000,26.046258
2016-09-22,26.60,26.65,26.48,26.48,1700,26.046258
2016-09-21,26.65,26.65,26.65,26.65,000,26.213474
2016-09-20,26.48,26.65,26.48,26.65,700,26.213474
2016-09-19,26.60,26.629999,26.60,26.629999,900,26.193801
2016-09-16,26.74,26.74,26.74,26.74,000,26.302
2016-09-15,26.74,26.74,26.73,26.74,1600,26.302
2016-09-14,26.469999,26.469999,26.469999,26.469999,000,26.036422
2016-09-13,26.50,26.50,26.469999,26.469999,600,26.036422
2016-09-12,26.719999,26.719999,26.719999,26.719999,200,26.282327
2016-09-09,26.620001,26.620001,26.620001,26.620001,400,26.183966
2016-09-08,26.58,26.58,26.50,26.50,600,26.065931
2016-09-07,26.50,26.50,26.50,26.50,000,26.065931
2016-09-06,26.549999,26.700001,26.50,26.50,1600,26.065931
2016-09-02,26.59,26.59,26.59,26.59,500,26.154457
2016-09-01,26.50,26.50,26.50,26.50,000,26.065931
2016-08-31,26.540001,26.540001,26.50,26.50,700,26.065931
2016-08-30,26.540001,26.549999,26.50,26.50,900,26.065931
2016-08-29,26.610001,26.610001,26.610001,26.610001,300,26.17413
2016-08-26,26.549999,26.629999,26.51,26.629999,1200,26.193801
2016-08-25,26.58,26.58,26.549999,26.57,600,26.134784
2016-08-24,26.629999,26.629999,26.629999,26.629999,000,26.193801
2016-08-23,26.629999,26.629999,26.629999,26.629999,400,26.193801
2016-08-22,26.51,26.51,26.51,26.51,000,26.075768
2016-08-19,26.51,26.51,26.51,26.51,000,26.075768
2016-08-18,26.51,26.51,26.51,26.51,000,26.075768
2016-08-17,26.549999,26.549999,26.51,26.51,1100,26.075768
2016-08-16,26.530001,26.530001,26.530001,26.530001,600,26.095441
2016-08-15,26.559999,26.559999,26.559999,26.559999,200,26.124948
2016-08-12,26.51,26.51,26.51,26.51,000,26.075768
2016-08-11,26.639999,26.639999,26.51,26.51,4100,26.075768
2016-08-10,26.620001,26.620001,26.620001,26.620001,100,26.183966
2016-08-09,26.50,26.50,26.50,26.50,000,26.065931
2016-08-08,26.50,26.50,26.50,26.50,200,26.065931
2016-08-05,26.719999,26.719999,26.719999,26.719999,400,26.282327
2016-08-04,26.610001,26.610001,26.610001,26.610001,000,26.17413
2016-08-03,26.639999,26.68,26.610001,26.610001,700,26.17413
2016-08-02,26.59,26.59,26.51,26.51,1000,26.075768
2016-08-01,26.73,26.73,26.540001,26.540001,1400,26.105277
2016-07-29,26.50,26.50,26.50,26.50,300,26.065931
2016-07-28,26.67,26.67,26.629999,26.629999,300,26.193801
2016-07-27,26.540001,26.540001,26.540001,26.540001,000,26.105277
2016-07-26,26.50,26.540001,26.50,26.540001,1500,26.105277
2016-07-25,26.629999,26.74,26.629999,26.74,500,26.302
2016-07-22,26.50,26.52,26.50,26.52,1300,26.085604
2016-07-21,26.50,26.50,26.50,26.50,300,26.065931
2016-07-20,26.51,26.51,26.51,26.51,200,26.075768
2016-07-19,26.60,26.60,26.549999,26.549999,1000,26.115112
2016-07-18,26.57,26.57,26.57,26.57,200,26.134784
2016-07-15,26.75,26.75,26.75,26.75,200,26.311836
2016-07-14,26.74,26.74,26.74,26.74,200,26.302
2016-07-13,26.59,26.75,26.59,26.67,700,26.233147
2016-07-12,26.67,26.73,26.10,26.73,4000,26.292163
2016-07-11,26.33,26.42,26.33,26.42,300,25.987242
2016-07-08,26.74,26.74,26.65,26.65,1200,26.213474
2016-07-07,26.299999,26.299999,26.299999,26.299999,100,25.869207
2016-07-06,26.75,26.75,26.639999,26.639999,500,26.203637
2016-07-05,26.65,26.77,26.65,26.77,200,26.331509
2016-07-01,26.49,26.49,26.49,26.49,1200,26.056095
2016-06-30,26.469999,26.799999,26.469999,26.58,9800,26.144621
2016-06-29,26.200001,26.469999,26.200001,26.469999,3000,26.036422
2016-06-28,26.40,26.41,26.16,26.379999,1500,25.947896
2016-06-27,26.66,26.84,26.59,26.59,2700,25.723631
2016-06-24,26.469999,26.469999,26.469999,26.469999,100,25.60754
2016-06-23,26.66,26.66,26.57,26.58,2600,25.713957
2016-06-22,26.66,26.66,26.66,26.66,300,25.79135
2016-06-21,26.66,26.66,26.66,26.66,000,25.79135
2016-06-20,26.60,26.66,26.60,26.66,300,25.79135
2016-06-17,26.540001,26.65,26.16,26.16,2900,25.307641
2016-06-16,26.360001,26.540001,26.110001,26.540001,3000,25.675261
2016-06-15,26.110001,26.50,26.110001,26.290001,1700,25.433406
2016-06-14,26.219999,26.25,26.18,26.18,600,25.32699
2016-06-13,26.25,26.25,26.25,26.25,900,25.394709
2016-06-10,26.17,26.24,26.110001,26.24,2400,25.385034
2016-06-09,26.15,26.23,26.15,26.23,500,25.37536
2016-06-08,26.16,26.16,26.16,26.16,200,25.307641
2016-06-07,26.129999,26.23,26.129999,26.23,1500,25.37536
2016-06-06,26.139999,26.24,26.139999,26.24,900,25.385034
2016-06-03,26.10,26.10,26.10,26.10,1400,25.249597
2016-06-02,25.950001,26.040001,25.950001,26.02,2400,25.172203
2016-06-01,26.16,26.190001,26.09,26.09,1100,25.239922
2016-05-31,25.940001,26.040001,25.92,26.040001,2300,25.191552
2016-05-27,26.129999,26.129999,26.129999,26.129999,200,25.278618
2016-05-26,25.92,26.00,25.91,25.950001,1300,25.104484
2016-05-25,26.25,26.25,25.90,25.90,1500,25.056112
2016-05-24,26.09,26.09,25.90,25.90,2200,25.056112
2016-05-23,26.209999,26.209999,25.91,25.91,800,25.065787
2016-05-20,26.25,26.25,26.25,26.25,000,25.394709
2016-05-19,26.25,26.25,26.25,26.25,000,25.394709
2016-05-18,26.17,26.25,26.17,26.25,1400,25.394709
2016-05-17,26.17,26.25,26.17,26.24,3700,25.385034
2016-05-16,26.139999,26.219999,26.139999,26.219999,400,25.365686
2016-05-13,26.00,26.09,26.00,26.09,300,25.239922
2016-05-12,26.129999,26.129999,26.09,26.09,300,25.239922
2016-05-11,25.98,25.98,25.98,25.98,300,25.133506
2016-05-10,25.85,25.85,25.85,25.85,000,25.007742
