Date,Open,High,Low,Close,Volume,Adj Close
2016-12-01,50.080002,50.09,50.009998,50.060001,21800,50.060001
2016-11-30,50.200001,50.220001,50.150002,50.220001,30600,50.220001
2016-11-29,50.150002,50.220001,50.150002,50.200001,10600,50.200001
2016-11-28,50.150002,50.220001,50.150002,50.209999,57000,50.209999
2016-11-25,50.130001,50.169998,50.110001,50.130001,26200,50.130001
2016-11-23,50.139999,50.18,50.119999,50.119999,14000,50.119999
2016-11-22,50.25,50.25,50.189999,50.209999,34800,50.209999
2016-11-21,50.200001,50.259998,50.189999,50.189999,55100,50.189999
2016-11-18,50.32,50.32,50.040001,50.040001,1020600,50.040001
2016-11-17,50.369999,50.400002,50.299999,50.330002,49700,50.330002
2016-11-16,50.279999,50.369999,50.279999,50.369999,19500,50.369999
2016-11-15,50.279999,50.389999,50.279999,50.380001,29900,50.380001
2016-11-14,50.349998,50.400002,50.290001,50.380001,26800,50.380001
2016-11-11,50.50,50.52,50.439999,50.439999,56800,50.439999
2016-11-10,50.549999,50.560001,50.450001,50.450001,15900,50.450001
2016-11-09,50.599998,50.650002,50.529999,50.560001,22600,50.560001
2016-11-08,50.700001,50.700001,50.630001,50.650002,35800,50.650002
2016-11-07,50.709999,50.82,50.650002,50.669998,20500,50.669998
2016-11-04,50.689999,50.73,50.689999,50.709999,26000,50.709999
2016-11-03,50.650002,50.700001,50.610001,50.689999,90500,50.689999
2016-11-02,50.669998,50.709999,50.650002,50.689999,13700,50.689999
2016-11-01,50.650002,50.66,50.599998,50.66,41200,50.66
2016-10-31,50.700001,50.740002,50.689999,50.700001,22200,50.621001
2016-10-28,50.66,50.720001,50.66,50.720001,14900,50.64097
2016-10-27,50.720001,50.720001,50.66,50.709999,21200,50.630984
2016-10-26,50.75,50.75,50.73,50.75,7500,50.670922
2016-10-25,50.75,50.790001,50.720001,50.77,15400,50.690891
2016-10-24,50.810001,50.810001,50.73,50.75,12600,50.670922
2016-10-21,50.810001,50.84,50.799999,50.810001,25700,50.73083
2016-10-20,50.810001,50.82,50.779999,50.799999,17000,50.720843
2016-10-19,50.799999,50.830002,50.759998,50.82,47000,50.740813
2016-10-18,50.77,50.799999,50.720001,50.779999,16700,50.700874
2016-10-17,50.75,50.77,50.73,50.759998,22600,50.680905
2016-10-14,50.740002,50.759998,50.720001,50.740002,30000,50.660939
2016-10-13,50.740002,50.77,50.66,50.77,3700,50.690891
2016-10-12,50.720001,50.720001,50.610001,50.720001,107200,50.64097
2016-10-11,50.669998,50.75,50.639999,50.639999,169400,50.561093
2016-10-10,50.689999,50.689999,50.580002,50.689999,52000,50.611014
2016-10-07,50.619999,50.73,50.610001,50.630001,29700,50.55111
2016-10-06,50.68,50.689999,50.599998,50.669998,11100,50.591045
2016-10-05,50.650002,50.68,50.610001,50.619999,27000,50.541124
2016-10-04,50.73,50.740002,50.639999,50.639999,111900,50.561093
2016-10-03,50.77,50.799999,50.689999,50.73,67400,50.650953
2016-09-30,50.84,50.889999,50.830002,50.869999,9700,50.71086
2016-09-29,50.880001,50.880001,50.810001,50.860001,12200,50.700893
2016-09-28,50.91,50.970001,50.82,50.889999,17500,50.730798
2016-09-27,50.889999,50.889999,50.860001,50.880001,13300,50.720831
2016-09-26,50.869999,50.889999,50.799999,50.869999,4900,50.71086
2016-09-23,50.779999,50.869999,50.779999,50.860001,5600,50.700893
2016-09-22,50.84,50.970001,50.810001,50.84,17800,50.680955
