Date,Open,High,Low,Close,Volume,Adj Close
2016-12-01,8.50,8.60,8.45,8.54,20800,8.54
2016-11-30,8.56,8.63,8.51,8.55,21500,8.55
2016-11-29,8.53,8.64,8.53,8.59,24700,8.59
2016-11-28,8.57,8.64,8.55,8.58,32800,8.58
2016-11-25,8.53,8.57,8.51,8.53,25400,8.53
2016-11-23,8.55,8.55,8.40,8.50,49300,8.50
2016-11-22,8.60,8.66,8.55,8.62,40900,8.62
2016-11-21,8.66,8.66,8.55,8.57,36400,8.57
2016-11-18,8.67,8.67,8.51,8.67,35000,8.67
2016-11-17,8.78,8.82,8.61,8.63,87700,8.63
2016-11-16,8.88,8.88,8.79,8.84,31500,8.779
2016-11-15,8.80,8.94,8.80,8.87,35200,8.808793
2016-11-14,9.00,9.00,8.69,8.80,120400,8.739276
2016-11-11,9.50,9.50,8.96,9.00,131500,8.937896
2016-11-10,9.49,9.60,9.48,9.51,24500,9.444377
2016-11-09,9.88,9.88,9.45,9.47,41800,9.404653
2016-11-08,9.38,9.55,9.38,9.43,36500,9.364929
2016-11-07,9.41,9.41,9.30,9.37,43900,9.305343
2016-11-04,9.45,9.46,9.40,9.43,26300,9.364929
2016-11-03,9.44,9.44,9.34,9.44,30300,9.37486
2016-11-02,9.46,9.54,9.45,9.47,38500,9.404653
2016-11-01,9.34,9.47,9.34,9.40,46400,9.335136
2016-10-31,9.23,9.24,9.19,9.23,40000,9.166309
2016-10-28,9.18,9.22,9.15,9.19,18100,9.126585
2016-10-27,9.13,9.15,9.12,9.15,22700,9.086861
2016-10-26,9.15,9.19,9.12,9.13,53800,9.066999
2016-10-25,9.21,9.22,9.15,9.20,44000,9.136516
2016-10-24,9.20,9.22,9.10,9.13,51500,9.066999
2016-10-21,9.11,9.11,9.05,9.07,25500,9.007413
2016-10-20,9.17,9.17,9.06,9.10,53500,9.037206
2016-10-19,9.15,9.17,9.09,9.13,30300,9.066999
2016-10-18,9.20,9.20,9.05,9.13,68300,9.066999
2016-10-17,9.17,9.17,9.13,9.17,61600,8.995496
2016-10-14,9.19,9.20,9.14,9.17,32100,8.995496
2016-10-13,9.28,9.28,9.15,9.20,51400,9.024925
2016-10-12,9.14,9.25,9.14,9.22,45200,9.044544
2016-10-11,9.26,9.26,9.16,9.18,50000,9.005306
2016-10-10,9.23,9.27,9.22,9.26,47900,9.083783
2016-10-07,9.20,9.22,9.00,9.19,59000,9.015115
2016-10-06,9.21,9.21,9.00,9.10,138200,8.926828
2016-10-05,9.39,9.42,9.23,9.33,90800,9.152451
2016-10-04,9.75,9.75,9.28,9.39,183300,9.211309
2016-10-03,9.98,9.98,9.81,9.86,75400,9.672365
2016-09-30,10.15,10.23,9.99,10.03,31100,9.83913
2016-09-29,10.01,10.01,9.95,9.98,45200,9.790081
2016-09-28,10.01,10.01,9.92,10.01,21500,9.819511
2016-09-27,10.08,10.08,9.92,9.98,62200,9.790081
2016-09-26,10.20,10.20,10.09,10.10,34800,9.907798
2016-09-23,10.27,10.33,10.16,10.21,10800,10.015705
2016-09-22,10.18,10.35,10.18,10.27,56300,10.074563
2016-09-21,10.16,10.30,10.15,10.29,72300,10.094182
2016-09-20,9.98,10.06,9.95,10.03,34100,9.83913
2016-09-19,9.98,10.03,9.98,9.98,31500,9.790081
2016-09-16,9.95,10.00,9.89,9.98,55000,9.674327
2016-09-15,10.06,10.10,9.93,10.03,27100,9.722795
2016-09-14,9.96,10.05,9.96,10.01,43600,9.703408
2016-09-13,10.08,10.08,9.93,9.96,38700,9.65494
2016-09-12,10.16,10.51,9.93,10.07,69500,9.76157
2016-09-09,10.26,10.26,10.05,10.06,51300,9.751877
2016-09-08,10.36,10.41,10.26,10.29,41800,9.974832
2016-09-07,10.45,10.45,10.34,10.36,26000,10.042688
2016-09-06,10.21,10.53,10.21,10.46,164800,10.139625
2016-09-02,10.02,10.21,10.02,10.21,28500,9.897282
2016-09-01,9.84,9.94,9.80,9.94,32000,9.635552
2016-08-31,9.83,9.85,9.79,9.81,31200,9.509534
2016-08-30,9.86,9.87,9.77,9.79,51600,9.490146
2016-08-29,9.81,9.90,9.76,9.90,135100,9.596777
2016-08-26,9.80,9.99,9.76,9.82,42700,9.519227
2016-08-25,9.75,9.78,9.71,9.77,58700,9.470759
2016-08-24,9.86,9.88,9.75,9.76,70100,9.461065
2016-08-23,9.98,10.01,9.90,9.92,47500,9.616165
2016-08-22,10.10,10.10,9.89,9.91,92000,9.606471
2016-08-19,10.33,10.33,10.13,10.14,59200,9.829427
2016-08-18,10.55,10.55,10.30,10.35,99700,10.032995
2016-08-17,10.74,10.74,10.46,10.56,136200,9.977741
2016-08-16,10.73,10.73,10.58,10.68,94500,10.091124
2016-08-15,10.73,10.74,10.59,10.63,56300,10.043881
2016-08-12,10.84,10.84,10.53,10.60,76600,10.015535
2016-08-11,10.79,10.79,10.66,10.68,65800,10.091124
2016-08-10,10.83,10.83,10.70,10.78,44300,10.18561
2016-08-09,10.65,10.65,10.55,10.62,40400,10.034432
2016-08-08,10.60,10.60,10.51,10.57,94800,9.987189
2016-08-05,10.65,10.65,10.52,10.55,74700,9.968292
2016-08-04,10.83,10.83,10.73,10.78,39900,10.18561
2016-08-03,10.85,10.85,10.74,10.78,25300,10.18561
2016-08-02,10.80,10.85,10.74,10.80,28700,10.204507
2016-08-01,10.75,10.80,10.73,10.76,33800,10.166713
2016-07-29,10.64,10.73,10.64,10.70,21500,10.110021
2016-07-28,10.73,10.73,10.62,10.67,11300,10.081675
2016-07-27,10.47,10.70,10.47,10.70,23200,10.110021
2016-07-26,10.40,10.46,10.36,10.42,28900,9.84546
2016-07-25,10.43,10.43,10.27,10.33,34600,9.760422
2016-07-22,10.36,10.47,10.34,10.42,22200,9.84546
2016-07-21,10.36,10.46,10.29,10.46,18900,9.883254
2016-07-20,10.45,10.45,10.28,10.29,63500,9.722628
2016-07-19,10.52,10.56,10.47,10.56,18100,9.977741
2016-07-18,10.70,10.70,10.43,10.58,29100,9.996637
2016-07-15,10.86,10.86,10.72,10.77,56100,10.000417
2016-07-14,10.79,10.81,10.72,10.80,43200,10.028273
2016-07-13,10.91,10.91,10.75,10.80,50200,10.028273
2016-07-12,10.83,10.83,10.70,10.71,56800,9.944704
2016-07-11,10.70,10.81,10.70,10.78,61700,10.009702
2016-07-08,10.60,10.76,10.60,10.69,27100,9.926133
