Date,Open,High,Low,Close,Volume,Adj Close
2016-12-01,24.48,25.00,24.48,24.77,8200,24.77
2016-11-30,24.50,25.00,24.15,24.48,15000,24.48
2016-11-29,24.860001,24.860001,24.34,24.49,10700,24.49
2016-11-28,24.90,24.940001,24.41,24.700001,8500,24.700001
2016-11-25,24.60,25.290001,24.27,25.00,7800,25.00
2016-11-23,24.92,25.549999,24.620001,25.25,23300,25.25
2016-11-22,24.889999,25.00,24.50,25.00,18900,25.00
2016-11-21,24.82,24.90,24.190001,24.709999,22700,24.709999
2016-11-18,24.40,24.870001,23.889999,24.83,24600,24.83
2016-11-17,24.129999,24.40,23.469999,24.309999,18400,24.309999
2016-11-16,23.860001,24.219999,23.60,23.91,14600,23.91
2016-11-15,24.00,24.700001,23.65,23.959999,16600,23.959999
2016-11-14,24.00,24.74,23.540001,24.389999,47400,24.389999
2016-11-11,21.66,24.00,21.66,23.799999,66400,23.799999
2016-11-10,21.309999,22.719999,20.65,21.65,51300,21.65
2016-11-09,19.75,21.780001,19.559999,21.15,17800,21.15
2016-11-08,19.93,20.00,19.57,19.799999,6700,19.799999
2016-11-07,19.799999,19.969999,19.790001,19.969999,4700,19.969999
2016-11-04,19.950001,19.950001,19.469999,19.59,23100,19.59
2016-11-03,19.58,19.77,19.49,19.57,5200,19.57
2016-11-02,19.309999,19.610001,19.309999,19.58,3700,19.58
2016-11-01,19.27,19.77,19.09,19.299999,5500,19.299999
2016-10-31,19.940001,19.98,19.540001,19.77,10000,19.77
2016-10-28,19.959999,20.00,19.889999,19.940001,2700,19.940001
2016-10-27,20.040001,20.059999,19.90,19.92,3400,19.92
2016-10-26,20.34,20.360001,19.700001,19.940001,14800,19.940001
2016-10-25,19.99,20.50,19.93,20.18,10400,20.18
2016-10-24,20.25,20.459999,20.209999,20.35,12500,20.35
2016-10-21,19.65,20.25,19.65,20.25,6600,20.25
2016-10-20,19.719999,19.879999,19.719999,19.879999,2500,19.879999
2016-10-19,19.450001,19.950001,19.450001,19.870001,5200,19.870001
2016-10-18,19.65,19.719999,18.639999,19.459999,5000,19.459999
2016-10-17,19.379999,19.90,19.200001,19.58,4200,19.58
2016-10-14,19.559999,19.98,19.309999,19.43,6500,19.43
2016-10-13,19.790001,19.799999,19.450001,19.549999,2600,19.549999
2016-10-12,19.52,20.049999,19.52,19.950001,4000,19.950001
2016-10-11,19.459999,19.610001,19.17,19.370001,10600,19.370001
2016-10-10,19.27,19.66,19.27,19.540001,3600,19.540001
2016-10-07,19.200001,19.65,19.120001,19.540001,6700,19.540001
2016-10-06,19.530001,19.65,19.26,19.540001,7500,19.540001
2016-10-05,18.969999,19.700001,18.969999,19.65,4100,19.65
2016-10-04,19.040001,19.59,19.040001,19.42,63100,19.42
2016-10-03,19.049999,19.129999,18.049999,19.049999,52100,19.049999
2016-09-30,19.139999,19.389999,18.50,19.16,17800,19.16
2016-09-29,19.299999,19.610001,18.76,19.07,9600,19.07
2016-09-28,19.629999,19.709999,19.530001,19.530001,7000,19.530001
2016-09-27,19.780001,19.790001,19.42,19.620001,4800,19.620001
2016-09-26,19.75,19.98,19.549999,19.60,7700,19.60
2016-09-23,20.07,20.129999,19.67,19.75,5300,19.75
2016-09-22,20.01,20.25,19.68,20.190001,14800,20.190001
2016-09-21,19.57,19.99,19.57,19.940001,9600,19.940001
2016-09-20,19.84,19.85,19.65,19.719999,4500,19.719999
2016-09-19,19.790001,19.85,19.60,19.82,15100,19.82
2016-09-16,19.790001,19.940001,19.66,19.84,36000,19.84
2016-09-15,19.76,19.83,19.469999,19.709999,4200,19.709999
2016-09-14,19.530001,19.90,19.42,19.60,7500,19.60
2016-09-13,19.559999,19.76,19.40,19.40,6100,19.40
2016-09-12,19.59,19.91,19.50,19.799999,8600,19.70
2016-09-09,19.50,19.870001,19.41,19.549999,8400,19.451262
2016-09-08,19.709999,19.99,19.48,19.690001,7800,19.590557
2016-09-07,19.190001,19.950001,19.190001,19.74,16900,19.640303
2016-09-06,19.75,19.84,19.10,19.639999,11500,19.540808
2016-09-02,19.57,19.889999,19.57,19.780001,10800,19.680102
2016-09-01,19.34,19.58,19.040001,19.57,5800,19.471162
2016-08-31,19.120001,19.58,18.50,19.43,16700,19.331869
2016-08-30,19.27,19.450001,19.209999,19.33,10500,19.232374
2016-08-29,19.23,19.25,19.049999,19.25,2500,19.152778
2016-08-26,19.49,19.50,18.49,19.08,5800,18.983637
2016-08-25,19.34,19.50,19.219999,19.49,7600,19.391566
2016-08-24,19.73,19.889999,17.379999,19.639999,23800,19.540808
2016-08-23,19.50,20.00,18.60,19.76,22000,19.660203
2016-08-22,19.790001,19.85,19.379999,19.610001,15700,19.510961
2016-08-19,19.51,19.92,19.48,19.90,24000,19.799495
2016-08-18,19.780001,19.780001,19.34,19.49,9600,19.391566
2016-08-17,19.92,20.290001,19.32,19.620001,15800,19.52091
2016-08-16,20.09,20.09,19.66,19.879999,17100,19.779596
2016-08-15,20.40,20.469999,20.01,20.25,25600,20.147728
