Date,Open,High,Low,Close,Volume,Adj Close
2016-12-01,5.02,5.08,4.92,4.95,252700,4.95
2016-11-30,5.05,5.13,4.98,4.98,482400,4.98
2016-11-29,5.23,5.23,4.98,4.99,476700,4.99
2016-11-28,5.38,5.40,5.19,5.20,329300,5.20
2016-11-25,5.17,5.39,5.17,5.36,188000,5.36
2016-11-23,5.25,5.25,5.13,5.17,327300,5.17
2016-11-22,5.10,5.25,5.05,5.22,648600,5.22
2016-11-21,5.16,5.25,5.05,5.10,509900,5.10
2016-11-18,5.23,5.40,5.06,5.14,667000,5.14
2016-11-17,5.71,5.75,5.10,5.12,1842900,5.12
2016-11-16,6.63,6.83,6.58,6.81,317900,6.81
2016-11-15,6.75,6.75,6.42,6.64,104500,6.64
2016-11-14,6.79,6.93,6.73,6.80,154100,6.80
2016-11-11,6.68,6.91,6.56,6.81,234500,6.81
2016-11-10,6.25,6.72,6.19,6.60,225400,6.60
2016-11-09,5.71,6.22,5.64,6.20,111500,6.20
2016-11-08,5.95,5.95,5.78,5.80,98100,5.80
2016-11-07,5.90,6.02,5.80,5.95,104300,5.95
2016-11-04,5.80,5.90,5.77,5.80,77500,5.80
2016-11-03,5.83,5.91,5.78,5.79,86200,5.79
2016-11-02,5.87,6.00,5.78,5.81,82300,5.81
2016-11-01,6.00,6.04,5.86,5.87,110200,5.87
2016-10-31,6.02,6.05,5.93,6.02,91900,6.02
2016-10-28,5.94,6.06,5.94,6.03,67000,6.03
2016-10-27,6.26,6.34,5.96,5.99,106100,5.99
2016-10-26,6.16,6.27,6.12,6.21,138800,6.21
2016-10-25,6.19,6.28,6.06,6.19,91300,6.19
2016-10-24,6.14,6.36,6.13,6.22,53100,6.22
2016-10-21,6.10,6.25,6.04,6.13,72500,6.13
2016-10-20,6.08,6.22,6.06,6.14,94100,6.14
2016-10-19,6.09,6.10,6.03,6.08,78800,6.08
2016-10-18,6.13,6.13,5.95,6.09,94400,6.09
2016-10-17,6.08,6.11,5.97,6.10,70900,6.10
2016-10-14,6.13,6.15,6.05,6.07,38300,6.07
2016-10-13,6.12,6.19,6.03,6.08,78900,6.08
2016-10-12,5.91,6.22,5.91,6.19,88600,6.19
2016-10-11,6.10,6.11,5.97,5.98,156000,5.98
2016-10-10,6.19,6.23,6.09,6.13,105300,6.13
2016-10-07,6.24,6.33,6.13,6.18,121900,6.18
2016-10-06,6.10,6.28,6.07,6.25,154400,6.25
2016-10-05,6.26,6.26,6.11,6.13,167900,6.13
2016-10-04,6.36,6.37,6.18,6.19,163400,6.19
2016-10-03,6.41,6.48,6.25,6.26,180700,6.26
2016-09-30,6.47,6.47,6.25,6.35,340100,6.35
2016-09-29,6.98,7.00,6.25,6.30,717600,6.30
2016-09-28,7.56,7.68,7.46,7.54,75300,7.54
2016-09-27,7.63,7.64,7.55,7.59,51700,7.59
2016-09-26,7.82,7.87,7.69,7.70,68900,7.625
2016-09-23,7.77,7.88,7.75,7.83,71600,7.753734
2016-09-22,7.58,7.85,7.58,7.85,106900,7.773539
2016-09-21,7.44,7.59,7.42,7.56,113600,7.486364
2016-09-20,7.61,7.61,7.40,7.42,137400,7.347728
2016-09-19,7.74,7.85,7.44,7.58,131700,7.506169
2016-09-16,7.66,7.79,7.53,7.74,235400,7.66461
2016-09-15,7.57,7.67,7.57,7.61,70500,7.535877
2016-09-14,7.63,7.66,7.51,7.59,50200,7.516072
2016-09-13,7.69,7.71,7.52,7.64,72600,7.565584
2016-09-12,7.59,7.79,7.59,7.70,114000,7.625
2016-09-09,7.79,7.82,7.61,7.62,73000,7.545779
2016-09-08,7.96,7.97,7.81,7.85,68000,7.773539
2016-09-07,7.94,8.01,7.90,7.96,85000,7.882468
2016-09-06,8.14,8.14,7.92,7.95,89500,7.872565
2016-09-02,8.10,8.12,7.92,8.08,59400,8.001299
2016-09-01,8.01,8.18,7.95,8.03,109800,7.951786
2016-08-31,8.05,8.11,8.00,8.04,125800,7.961688
2016-08-30,8.21,8.23,8.02,8.08,109900,8.001299
2016-08-29,8.12,8.29,8.10,8.27,68700,8.189449
2016-08-26,8.25,8.39,8.10,8.15,61400,8.070617
2016-08-25,8.44,8.50,8.23,8.29,111200,8.209253
2016-08-24,8.51,8.63,8.41,8.45,104500,8.367695
2016-08-23,8.84,8.99,8.53,8.59,186100,8.506332
2016-08-22,8.74,8.94,8.43,8.87,132200,8.783604
2016-08-19,8.00,8.83,7.99,8.77,279600,8.684579
2016-08-18,8.80,9.01,8.78,8.99,180100,8.902435
2016-08-17,8.90,8.90,8.73,8.83,102200,8.743994
2016-08-16,9.08,9.09,8.88,8.90,130200,8.813312
2016-08-15,8.78,9.23,8.78,9.14,186400,9.050975
2016-08-12,8.64,8.82,8.55,8.79,87300,8.704383
2016-08-11,8.23,8.71,8.23,8.65,152900,8.565747
2016-08-10,8.24,8.35,8.20,8.22,68500,8.139936
2016-08-09,8.35,8.49,8.21,8.23,58400,8.149837
2016-08-08,8.42,8.57,8.23,8.39,40600,8.30828
2016-08-05,8.31,8.57,8.10,8.38,103500,8.298377
2016-08-04,8.38,8.47,8.26,8.29,62900,8.209253
2016-08-03,8.01,8.43,7.98,8.42,116500,8.337987
2016-08-02,8.50,8.50,8.02,8.03,81800,7.951786
2016-08-01,8.56,8.70,8.45,8.51,94200,8.427111
2016-07-29,8.55,8.66,8.45,8.60,79100,8.516234
2016-07-28,8.66,8.66,8.45,8.57,82800,8.486526
2016-07-27,8.55,8.67,8.48,8.64,66100,8.555845
2016-07-26,8.49,8.61,8.40,8.55,106000,8.466721
2016-07-25,8.39,8.61,8.35,8.46,92900,8.377598
2016-07-22,8.40,8.56,8.35,8.40,84400,8.318182
2016-07-21,8.53,8.62,8.27,8.40,66000,8.318182
2016-07-20,8.46,8.69,8.36,8.57,52400,8.486526
2016-07-19,8.60,8.74,8.41,8.45,86300,8.367695
2016-07-18,8.36,8.64,8.24,8.63,199100,8.545942
2016-07-15,8.20,8.48,8.20,8.29,126300,8.209253
2016-07-14,8.30,8.38,8.10,8.12,83400,8.040909
2016-07-13,8.20,8.36,7.82,8.31,196600,8.229059
2016-07-12,8.09,8.28,7.96,8.20,161800,8.12013
2016-07-11,7.83,8.10,7.81,8.03,179900,7.951786
2016-07-08,7.69,7.85,7.69,7.83,170700,7.753734
2016-07-07,7.68,7.78,7.60,7.64,75100,7.565584
2016-07-06,7.35,7.75,7.32,7.71,114800,7.634903
2016-07-05,7.56,7.60,7.32,7.36,193100,7.288312
2016-07-01,7.67,7.78,7.56,7.63,93100,7.555682
2016-06-30,7.55,7.72,7.35,7.72,136400,7.644805
2016-06-29,7.40,7.60,7.39,7.58,109600,7.506169
2016-06-28,7.30,7.48,7.24,7.31,100200,7.238799
2016-06-27,7.40,7.40,7.07,7.34,158200,7.194237
2016-06-24,7.44,7.59,7.31,7.44,1275600,7.292251
2016-06-23,7.67,7.80,7.63,7.71,101400,7.556889
2016-06-22,7.53,7.61,7.43,7.60,122900,7.449074
2016-06-21,7.57,7.59,7.28,7.56,173300,7.409868
2016-06-20,7.36,7.67,7.34,7.62,138500,7.468676
2016-06-17,7.22,7.46,7.22,7.32,241100,7.174634
2016-06-16,7.30,7.30,7.10,7.24,76100,7.096223
2016-06-15,7.22,7.43,7.21,7.33,76800,7.184436
2016-06-14,7.12,7.25,7.04,7.22,94300,7.07662
2016-06-13,7.25,7.40,7.11,7.13,118500,6.988407
2016-06-10,7.22,7.42,7.12,7.25,114800,7.106024
2016-06-09,7.35,7.38,7.10,7.26,126800,7.115826
2016-06-08,7.36,7.44,7.24,7.37,107400,7.223641
2016-06-07,7.14,7.41,6.96,7.36,120200,7.21384
2016-06-06,7.09,7.18,7.04,7.12,90300,6.978606
2016-06-03,7.20,7.24,7.05,7.09,113400,6.949202
2016-06-02,6.91,7.21,6.90,7.19,98300,7.047216
2016-06-01,6.92,6.99,6.86,6.92,127900,6.782578
2016-05-31,6.86,7.00,6.82,6.95,150300,6.811982
2016-05-27,6.79,6.90,6.52,6.86,128300,6.723769
2016-05-26,6.79,6.86,6.73,6.79,96300,6.655159
2016-05-25,6.51,6.81,6.45,6.80,179600,6.664961
2016-05-24,6.51,6.74,6.46,6.52,310900,6.390521
2016-05-23,6.38,6.54,6.34,6.51,258000,6.38072
2016-05-20,6.15,6.45,6.03,6.41,235600,6.282705
2016-05-19,6.00,6.39,5.82,6.11,362400,5.988663
2016-05-18,5.70,5.74,5.61,5.73,247400,5.61621
2016-05-17,5.83,5.91,5.63,5.74,278000,5.626011
2016-05-16,6.00,6.27,5.82,5.83,226600,5.714224
2016-05-13,6.18,6.22,5.99,6.01,177100,5.890649
2016-05-12,6.12,6.21,6.00,6.12,185100,5.998465
2016-05-11,6.43,6.43,6.11,6.11,186300,5.988663
2016-05-10,6.67,6.67,6.42,6.46,139800,6.331713
2016-05-09,6.75,6.80,6.55,6.66,204800,6.527741
2016-05-06,6.69,6.79,6.55,6.79,219700,6.655159
2016-05-05,7.15,7.15,6.68,6.70,156900,6.566946
2016-05-04,7.14,7.30,7.10,7.14,104900,6.998209
2016-05-03,7.22,7.27,7.10,7.19,137400,7.047216
2016-05-02,7.28,7.47,7.17,7.25,133600,7.106024
2016-04-29,7.39,7.40,7.15,7.24,67400,7.096223
2016-04-28,7.48,7.52,7.37,7.40,106900,7.253046
2016-04-27,7.43,7.53,7.33,7.52,128500,7.370662
2016-04-26,7.37,7.49,7.35,7.45,86300,7.302052
2016-04-25,7.34,7.40,7.33,7.38,153600,7.233443
2016-04-22,7.30,7.40,7.29,7.37,86800,7.223641
2016-04-21,7.30,7.33,7.20,7.32,173900,7.174634
2016-04-20,7.19,7.39,7.19,7.33,87000,7.184436
2016-04-19,7.23,7.31,7.17,7.20,113300,7.057017
2016-04-18,6.99,7.27,6.90,7.22,136600,7.07662
2016-04-15,6.89,7.17,6.86,7.05,107900,6.909996
2016-04-14,6.85,7.00,6.85,6.93,150600,6.792379
2016-04-13,6.67,6.95,6.67,6.91,129500,6.772776
2016-04-12,6.54,6.75,6.46,6.67,132800,6.537542
2016-04-11,6.54,6.70,6.46,6.53,120400,6.400323
2016-04-08,6.74,6.80,6.46,6.53,188300,6.400323
2016-04-07,6.91,6.94,6.68,6.71,387300,6.576748
2016-04-06,6.86,6.97,6.75,6.90,141700,6.762975
2016-04-05,6.99,7.01,6.79,6.82,202600,6.684564
2016-04-04,7.16,7.18,7.00,7.00,142300,6.860989
2016-04-01,7.30,7.52,7.09,7.18,159900,7.037414
2016-03-31,7.29,7.41,7.08,7.33,294500,7.184436
2016-03-30,7.32,7.39,7.07,7.31,68000,7.164833
2016-03-29,7.30,7.49,7.21,7.41,152200,7.189336
2016-03-28,7.23,7.39,7.14,7.32,123100,7.102016
2016-03-24,7.10,7.36,7.02,7.26,169500,7.043803
2016-03-23,7.30,7.41,7.19,7.20,204200,6.98559
2016-03-22,7.41,7.64,7.28,7.33,224500,7.111718
2016-03-21,7.55,7.73,7.40,7.40,182600,7.179634
2016-03-18,7.48,7.67,7.42,7.65,415600,7.422189
2016-03-17,7.36,7.49,7.28,7.43,264700,7.20874
2016-03-16,7.66,7.71,7.34,7.37,187700,7.150527
2016-03-15,7.05,7.87,7.05,7.74,335200,7.509509
2016-03-14,7.76,7.85,7.30,7.35,376400,7.131123
2016-03-11,7.10,7.92,7.03,7.91,378700,7.674446
2016-03-10,7.19,7.23,6.42,7.01,542000,6.801248
2016-03-09,8.13,8.24,7.91,8.00,141800,7.761766
2016-03-08,8.13,8.29,8.06,8.17,311000,7.926704
2016-03-07,7.74,8.12,7.71,8.12,209200,7.878193
2016-03-04,7.42,7.77,7.40,7.75,245300,7.519211
2016-03-03,7.22,7.44,7.13,7.41,279900,7.189336
2016-03-02,7.17,7.35,7.15,7.24,89100,7.024398
2016-03-01,7.50,7.50,7.10,7.18,142600,6.966185
2016-02-29,7.27,7.50,7.22,7.41,165400,7.189336
2016-02-26,6.95,7.27,6.89,7.23,180000,7.014696
2016-02-25,6.95,6.95,6.78,6.95,75200,6.743034
2016-02-24,6.80,6.98,6.70,6.93,95100,6.72363
2016-02-23,6.83,6.90,6.83,6.84,135100,6.63631
2016-02-22,6.82,6.90,6.78,6.84,177700,6.63631
2016-02-19,6.90,6.90,6.75,6.79,62300,6.587799
2016-02-18,6.89,6.95,6.80,6.90,124000,6.694524
2016-02-17,6.85,6.98,6.82,6.84,144500,6.63631
2016-02-16,6.65,6.90,6.55,6.84,151500,6.63631
2016-02-12,6.52,6.63,6.50,6.58,98000,6.384053
2016-02-11,6.50,6.63,6.50,6.55,138000,6.354946
2016-02-10,6.69,6.72,6.55,6.55,118000,6.354946
2016-02-09,6.65,6.71,6.50,6.61,192800,6.41316
2016-02-08,6.54,6.74,6.50,6.70,173200,6.500479
2016-02-05,6.94,6.94,6.52,6.57,246500,6.374351
2016-02-04,7.05,7.20,6.99,6.99,169500,6.781843
2016-02-03,7.27,7.27,7.10,7.18,209800,6.966185
2016-02-02,7.26,7.34,7.21,7.27,75700,7.053505
2016-02-01,7.27,7.38,7.13,7.31,148300,7.092314
2016-01-29,7.11,7.38,7.11,7.36,149600,7.140825
2016-01-28,7.00,7.10,6.92,7.06,113600,6.849759
2016-01-27,7.10,7.15,6.89,6.90,221200,6.694524
2016-01-26,6.95,7.20,6.86,7.16,160700,6.946781
2016-01-25,7.10,7.10,6.81,6.94,214200,6.733332
