Date,Open,High,Low,Close,Volume,Adj Close
2016-12-01,30.049999,31.85,28.85,29.10,2678800,29.10
2016-11-30,28.50,28.75,27.549999,28.10,627500,28.10
2016-11-29,28.15,28.799999,27.950001,28.299999,512500,28.299999
2016-11-28,28.40,28.450001,27.90,28.15,329200,28.15
2016-11-25,28.200001,28.35,27.90,28.299999,112600,28.299999
2016-11-23,28.35,28.450001,27.90,28.200001,248900,28.200001
2016-11-22,27.75,28.40,27.65,28.35,482200,28.35
2016-11-21,27.799999,27.950001,27.10,27.450001,334500,27.450001
2016-11-18,26.799999,27.75,26.799999,27.75,337500,27.75
2016-11-17,27.049999,27.15,26.700001,26.90,409200,26.90
2016-11-16,25.950001,27.43,25.950001,27.25,1009500,27.25
2016-11-15,26.10,26.50,25.85,25.950001,672400,25.950001
2016-11-14,26.450001,26.530001,25.799999,26.00,413000,26.00
2016-11-11,25.950001,26.50,25.950001,26.299999,751400,26.299999
2016-11-10,26.10,26.35,25.35,25.799999,474300,25.799999
2016-11-09,25.00,25.950001,24.40,25.799999,366600,25.799999
2016-11-08,25.450001,25.65,24.950001,25.35,197900,25.35
2016-11-07,24.950001,25.549999,24.799999,25.35,316000,25.35
2016-11-04,24.40,24.85,24.25,24.43,306400,24.43
2016-11-03,24.049999,24.700001,22.809999,24.450001,458000,24.450001
2016-11-02,24.25,24.450001,23.950001,23.950001,349700,23.950001
2016-11-01,24.35,24.40,23.73,24.10,445900,24.10
2016-10-31,24.25,24.379999,23.85,24.200001,459400,24.200001
2016-10-28,24.75,25.00,24.049999,24.200001,397100,24.200001
2016-10-27,25.10,25.40,24.610001,24.700001,476800,24.700001
2016-10-26,25.049999,25.25,24.65,24.85,369000,24.85
2016-10-25,25.35,25.68,25.129999,25.15,232600,25.15
2016-10-24,25.00,25.549999,25.00,25.200001,525100,25.200001
2016-10-21,24.799999,25.00,24.50,24.75,230900,24.75
2016-10-20,24.950001,25.10,24.65,25.00,356500,25.00
2016-10-19,24.799999,25.35,24.60,25.10,489300,25.10
2016-10-18,24.90,25.35,24.75,24.85,371200,24.85
2016-10-17,25.049999,25.200001,24.50,24.65,263200,24.65
2016-10-14,24.950001,25.34,24.540001,25.15,539000,25.15
2016-10-13,25.280001,25.34,24.559999,24.950001,712200,24.950001
2016-10-12,25.83,26.42,25.40,25.48,369000,25.48
2016-10-11,26.610001,26.67,25.82,25.98,453700,25.98
2016-10-10,27.60,27.99,26.76,26.780001,381500,26.780001
2016-10-07,27.65,27.82,27.139999,27.530001,349500,27.530001
2016-10-06,27.75,28.17,27.24,27.66,732900,27.66
2016-10-05,27.709999,28.08,27.469999,27.74,687600,27.74
2016-10-04,27.66,27.879999,27.459999,27.50,381300,27.50
2016-10-03,27.60,27.90,27.450001,27.620001,314100,27.620001
2016-09-30,27.91,28.209999,27.690001,27.73,667700,27.73
2016-09-29,27.58,27.99,27.200001,27.719999,223700,27.719999
2016-09-28,27.59,27.809999,27.450001,27.719999,202200,27.719999
