Date,Open,High,Low,Close,Volume,Adj Close
2016-12-01,13.80,14.63,13.36,13.58,635300,13.58
2016-11-30,13.30,14.35,12.50,13.67,937700,13.67
2016-11-29,12.33,12.54,11.99,12.18,190100,12.18
2016-11-28,12.42,12.61,12.07,12.39,97500,12.39
2016-11-25,12.55,12.89,12.281,12.45,89000,12.45
2016-11-23,11.82,12.498,11.53,12.30,270200,12.30
2016-11-22,11.34,11.935,11.25,11.82,279000,11.82
2016-11-21,10.89,11.40,10.59,11.22,410000,11.22
2016-11-18,10.94,11.04,10.56,10.77,151900,10.77
2016-11-17,10.96,11.15,10.75,10.97,43400,10.97
2016-11-16,11.06,11.145,10.89,10.98,232300,10.98
2016-11-15,11.15,11.796,11.14,11.20,83600,11.20
2016-11-14,11.35,11.40,10.93,11.18,80800,11.18
2016-11-11,11.50,11.558,11.33,11.36,44000,11.36
2016-11-10,11.41,11.85,11.27,11.57,288000,11.57
2016-11-09,11.00,12.05,11.00,11.58,270700,11.58
2016-11-08,11.10,11.25,10.90,11.07,267400,11.07
2016-11-07,11.03,11.75,10.99,11.07,599700,11.07
2016-11-04,10.30,11.07,10.30,10.99,3419700,10.99
