Date,Open,High,Low,Close,Volume,Adj Close
2016-12-01,15.28,15.28,15.046,15.046,2700,15.046
2016-11-30,13.90,14.27,13.90,14.25,17500,14.25
2016-11-29,13.95,13.95,13.516,13.516,9800,13.516
2016-11-28,13.88,13.88,13.88,13.88,000,13.88
2016-11-25,13.88,13.88,13.88,13.88,000,13.88
2016-11-23,13.88,13.88,13.88,13.88,200,13.88
2016-11-22,13.40,13.75,13.40,13.415,5100,13.415
2016-11-21,12.669,13.50,12.05,12.71,16400,12.71
2016-11-18,12.332,12.50,11.82,12.50,7000,12.50
2016-11-17,11.76,12.10,11.74,11.81,2900,11.81
2016-11-16,11.96,11.96,11.899,11.899,2500,11.899
2016-11-15,12.24,12.36,11.95,12.189,6200,12.189
2016-11-14,11.78,11.886,11.07,11.581,20100,11.581
2016-11-11,12.08,12.464,10.52,11.56,25800,11.56
2016-11-10,12.733,12.733,12.733,12.733,000,12.733
2016-11-09,12.733,12.733,12.733,12.733,500,12.733
2016-11-08,13.00,13.42,12.55,13.00,3300,13.00
2016-11-07,12.06,12.65,12.05,12.60,4000,12.60
2016-11-04,14.75,14.75,13.28,13.50,3500,13.50
2016-11-03,14.03,15.00,13.51,13.51,2000,13.51
2016-11-02,13.25,13.35,11.70,12.75,2400,12.75
2016-11-01,13.25,13.50,13.25,13.50,1600,13.50
2016-10-31,13.86,13.86,13.86,13.86,000,13.86
2016-10-28,13.841,13.86,13.40,13.86,1000,13.86
2016-10-27,13.66,13.73,13.50,13.73,9500,13.73
2016-10-26,14.50,14.50,14.50,14.50,000,14.50
2016-10-25,14.53,14.53,14.50,14.50,6100,14.50
2016-10-24,14.547,14.75,14.547,14.61,500,14.61
2016-10-21,14.89,14.89,14.00,14.20,10800,14.20
2016-10-20,14.93,15.00,14.74,14.74,2900,14.74
2016-10-19,15.20,15.20,14.513,15.00,12700,15.00
2016-10-18,14.19,14.40,14.118,14.40,15800,14.40
2016-10-17,14.03,14.08,14.03,14.08,1900,14.08
2016-10-14,14.10,14.20,14.00,14.20,9100,14.20
2016-10-13,14.10,14.20,14.086,14.20,10400,14.20
2016-10-12,14.00,14.15,13.888,14.10,8300,14.10
2016-10-11,14.01,14.20,14.00,14.20,14100,14.20
2016-10-10,14.214,14.60,14.148,14.60,17500,14.60
2016-10-07,14.25,15.02,14.25,14.50,7300,14.50
2016-10-06,14.518,14.80,14.50,14.80,12800,14.80
2016-10-05,14.00,16.25,13.708,15.039,33500,15.039
2016-10-04,14.00,14.00,13.609,13.80,10900,13.80
2016-10-03,13.25,13.62,12.779,13.20,5000,13.20
2016-09-30,13.26,13.50,13.26,13.30,300,13.30
2016-09-29,12.71,13.50,12.00,13.269,19700,13.269
2016-09-28,11.69,16.00,11.643,16.00,8400,16.00
2016-09-27,11.99,11.99,11.422,11.697,600,11.697
2016-09-26,12.00,12.00,11.80,11.80,700,11.80
2016-09-23,11.55,12.00,11.55,12.00,1200,12.00
2016-09-22,11.00,11.16,11.00,11.12,900,11.12
2016-09-21,11.70,11.70,11.00,11.00,3300,11.00
2016-09-20,11.10,11.442,11.10,11.25,8200,11.25
2016-09-19,11.01,11.20,11.01,11.02,3400,11.02
2016-09-16,12.00,12.00,11.005,11.01,14100,11.01
2016-09-15,11.25,12.50,11.25,12.26,3700,12.26
2016-09-14,11.50,11.50,9.75,9.75,1700,9.75
2016-09-13,14.05,14.05,11.60,11.80,6000,11.80
2016-09-12,15.84,15.84,15.84,15.84,000,15.84
2016-09-09,17.60,17.60,15.84,15.84,700,15.84
2016-09-08,14.54,14.54,14.50,14.50,500,14.50
2016-09-07,15.00,15.10,15.00,15.10,600,15.10
