Date,Open,High,Low,Close,Volume,Adj Close
2016-12-01,15.82,15.82,15.30,15.30,21100,15.30
2016-11-30,15.70,15.70,15.552,15.65,8900,15.65
2016-11-29,15.79,15.79,15.637,15.66,11100,15.66
2016-11-28,15.85,15.85,15.61,15.68,19600,15.68
2016-11-25,15.68,15.98,15.68,15.77,5000,15.77
2016-11-23,15.72,15.79,15.63,15.79,13200,15.79
2016-11-22,15.74,15.74,15.62,15.72,12800,15.72
2016-11-21,15.53,15.624,15.508,15.586,8600,15.586
2016-11-18,15.53,15.53,15.45,15.53,10000,15.53
2016-11-17,15.53,15.53,15.41,15.489,7800,15.489
2016-11-16,15.53,15.53,15.393,15.44,6800,15.44
2016-11-15,15.53,15.53,15.39,15.487,8900,15.487
2016-11-14,15.44,15.44,15.26,15.355,12000,15.355
2016-11-11,15.085,15.12,15.075,15.12,5600,15.12
2016-11-10,15.337,15.337,14.90,15.12,9300,15.12
2016-11-09,15.03,15.087,14.88,15.087,10000,15.087
2016-11-08,15.03,15.08,14.85,14.995,7200,14.995
2016-11-07,14.95,14.95,14.913,14.95,900,14.95
2016-11-04,14.49,14.70,14.49,14.64,2400,14.64
2016-11-03,14.85,14.85,14.60,14.655,4800,14.655
2016-11-02,15.07,15.07,14.527,14.765,10200,14.765
2016-11-01,15.15,15.15,14.89,15.039,4000,15.039
2016-10-31,14.86,15.08,14.86,15.08,1700,15.08
2016-10-28,14.94,14.97,14.90,14.90,3200,14.90
2016-10-27,14.91,14.91,14.73,14.73,8800,14.73
2016-10-26,15.05,15.05,14.88,14.93,11900,14.93
2016-10-25,15.07,15.07,14.928,14.99,9000,14.99
2016-10-24,15.15,15.15,15.00,15.006,26600,15.006
2016-10-21,15.08,15.08,14.90,15.00,14200,15.00
2016-10-20,15.008,15.05,14.95,15.05,1400,15.05
2016-10-19,15.06,15.07,14.97,15.06,6000,15.06
2016-10-18,15.12,15.12,14.984,15.01,4500,15.01
2016-10-17,15.01,15.01,14.92,14.93,10700,14.93
2016-10-14,15.06,15.06,14.88,14.88,16000,14.88
2016-10-13,15.01,15.01,14.83,14.98,10600,14.98
2016-10-12,15.14,15.14,15.00,15.05,16200,15.05
2016-10-11,15.45,15.45,15.048,15.14,14800,15.14
2016-10-10,15.66,15.66,15.50,15.50,8400,15.50
2016-10-07,15.68,15.68,15.405,15.54,7200,15.54
2016-10-06,15.63,15.65,15.526,15.65,2800,15.65
2016-10-05,15.569,15.665,15.55,15.61,17100,15.61
2016-10-04,15.66,15.66,15.45,15.453,13800,15.453
2016-10-03,15.74,15.74,15.51,15.51,9300,15.51
2016-09-30,15.54,15.70,15.46,15.64,6600,15.64
2016-09-29,15.446,15.446,15.22,15.22,3400,15.22
2016-09-28,15.51,15.53,15.385,15.50,11200,15.50
2016-09-27,15.34,15.44,15.30,15.414,7600,15.414
2016-09-26,15.43,15.43,15.257,15.29,10900,15.29
2016-09-23,15.64,15.64,15.426,15.466,9100,15.466
2016-09-22,15.59,15.64,15.51,15.64,35900,15.64
2016-09-21,15.38,15.38,15.23,15.323,10000,15.323
2016-09-20,15.39,16.27,15.15,16.27,4800,16.27
2016-09-19,15.34,15.38,15.20,15.23,18800,15.23
2016-09-16,15.25,15.25,15.165,15.191,3600,15.191
