Date,Open,High,Low,Close,Volume,Adj Close
2016-12-01,14.85,15.39,14.85,15.03,23300,15.03
2016-11-30,14.80,15.01,14.78,14.86,26400,14.86
2016-11-29,14.86,14.93,14.61,14.73,8200,14.73
2016-11-28,15.05,15.05,14.76,14.83,15000,14.83
2016-11-25,15.01,15.12,14.92,14.99,9300,14.99
2016-11-23,14.83,15.02,14.78,14.98,19800,14.98
2016-11-22,14.84,14.85,14.57,14.78,28300,14.78
2016-11-21,14.42,14.93,14.31,14.76,32300,14.76
2016-11-18,14.18,14.59,13.87,14.50,33200,14.50
2016-11-17,13.45,14.14,13.45,14.12,33900,14.12
2016-11-16,13.20,13.50,13.14,13.47,40700,13.47
2016-11-15,13.20,13.29,12.90,13.21,57100,13.21
2016-11-14,13.48,13.69,13.22,13.30,46900,13.30
2016-11-11,13.37,13.67,13.29,13.39,61700,13.39
2016-11-10,13.41,13.51,13.29,13.35,37900,13.35
2016-11-09,13.20,13.30,13.01,13.30,29200,13.30
2016-11-08,13.19,13.25,13.12,13.19,18300,13.19
2016-11-07,13.10,13.32,12.96,13.22,21300,13.22
2016-11-04,12.88,13.08,12.83,12.92,25700,12.92
2016-11-03,12.83,12.97,12.74,12.83,12900,12.83
2016-11-02,12.97,13.12,12.90,12.91,15900,12.83
2016-11-01,13.27,13.57,12.92,12.96,34200,12.87969
2016-10-31,13.10,13.18,13.04,13.12,37500,13.038699
2016-10-28,13.12,13.19,13.02,13.09,9700,13.008885
2016-10-27,13.17,13.17,13.05,13.10,6300,13.018823
2016-10-26,13.12,13.31,13.12,13.15,10600,13.068513
2016-10-25,13.13,13.21,13.12,13.13,93800,13.048637
2016-10-24,13.07,13.21,13.01,13.18,7100,13.098327
2016-10-21,12.75,13.10,12.75,13.00,40200,12.919442
2016-10-20,13.08,13.25,13.06,13.21,6900,13.128141
2016-10-19,13.18,13.25,13.05,13.13,9000,13.048637
2016-10-18,13.20,13.44,13.11,13.23,12800,13.148017
2016-10-17,13.07,13.22,13.05,13.17,10300,13.088389
2016-10-14,13.04,13.15,13.04,13.09,3800,13.008885
2016-10-13,13.00,13.07,12.90,13.06,8600,12.979071
2016-10-12,13.01,13.16,13.00,13.04,34600,12.959195
2016-10-11,13.16,13.16,13.00,13.01,10100,12.929381
2016-10-10,13.23,13.24,13.05,13.18,27300,13.098327
2016-10-07,13.12,13.24,13.05,13.07,9200,12.989008
2016-10-06,13.15,13.23,13.06,13.07,5800,12.989008
2016-10-05,13.16,13.31,13.14,13.20,8700,13.118203
2016-10-04,13.05,13.27,13.05,13.14,22100,13.058575
2016-10-03,13.05,13.08,12.95,13.06,12700,12.979071
2016-09-30,12.83,13.09,12.83,13.05,23200,12.969133
2016-09-29,12.85,12.99,12.84,12.85,14500,12.770372
2016-09-28,12.76,12.97,12.76,12.94,9900,12.859814
2016-09-27,12.81,12.89,12.77,12.86,43500,12.78031
2016-09-26,12.81,12.90,12.80,12.80,23200,12.720682
2016-09-23,12.88,13.00,12.84,12.94,13900,12.859814
2016-09-22,12.94,12.94,12.79,12.88,17900,12.800186
2016-09-21,12.72,12.95,12.72,12.86,49100,12.78031
2016-09-20,12.90,12.96,12.69,12.73,15300,12.651115
2016-09-19,12.91,13.16,12.84,12.93,42600,12.849876
2016-09-16,12.82,12.99,12.60,12.82,57000,12.740558
2016-09-15,12.76,12.78,12.61,12.78,24600,12.700805
2016-09-14,12.75,12.76,12.62,12.62,10200,12.541797
2016-09-13,12.75,12.97,12.62,12.71,18400,12.63124
2016-09-12,12.83,12.86,12.68,12.83,20600,12.750496
2016-09-09,12.96,12.97,12.67,12.73,20100,12.651115
2016-09-08,12.91,13.04,12.86,13.03,13100,12.949256
2016-09-07,12.80,13.08,12.65,12.96,19600,12.87969
2016-09-06,12.77,12.83,12.62,12.76,12900,12.68093
2016-09-02,12.64,12.95,12.64,12.76,10100,12.68093
2016-09-01,12.44,12.67,12.34,12.67,15000,12.591487
2016-08-31,13.00,13.01,12.41,12.42,56100,12.343037
2016-08-30,12.87,13.04,12.76,12.98,14900,12.899566
2016-08-29,12.96,13.13,12.72,12.87,10800,12.790248
2016-08-26,12.93,13.00,12.83,12.89,8000,12.810124
2016-08-25,12.81,13.08,12.66,13.00,17600,12.919442
2016-08-24,12.89,13.12,12.74,12.78,24700,12.700805
2016-08-23,12.97,13.25,12.92,12.93,12700,12.849876
2016-08-22,12.81,13.11,12.77,13.00,19400,12.919442
2016-08-19,12.80,12.95,12.66,12.80,34200,12.720682
2016-08-18,12.81,12.85,12.70,12.85,14100,12.770372
2016-08-17,12.84,12.84,12.71,12.79,10900,12.710744
2016-08-16,12.92,12.97,12.73,12.79,15400,12.710744
2016-08-15,12.65,12.94,12.65,12.92,16200,12.839938
2016-08-12,12.83,13.00,12.58,12.65,17600,12.571611
2016-08-11,12.69,12.87,12.64,12.82,17200,12.740558
2016-08-10,12.69,12.72,12.61,12.62,6100,12.541797
2016-08-09,12.76,12.76,12.64,12.73,12200,12.651115
2016-08-08,13.00,13.00,12.67,12.81,12500,12.73062
2016-08-05,12.75,12.87,12.55,12.83,23800,12.750496
2016-08-04,12.76,13.00,12.68,12.72,17900,12.641178
2016-08-03,12.79,13.00,12.63,12.75,12700,12.591487
2016-08-02,12.95,13.00,12.71,12.79,20900,12.63099
2016-08-01,13.26,13.26,12.85,12.98,16200,12.818627
2016-07-29,13.00,13.34,12.83,13.33,79900,13.164276
2016-07-28,13.14,13.15,12.54,13.00,23500,12.838379
2016-07-27,12.84,13.59,12.84,13.15,67700,12.986514
2016-07-26,12.70,12.89,12.51,12.88,63800,12.719871
2016-07-25,12.25,12.79,12.20,12.70,70900,12.542108
2016-07-22,12.32,12.32,12.23,12.23,39500,12.077951
2016-07-21,12.35,12.39,12.27,12.30,24500,12.147082
2016-07-20,12.45,12.45,12.34,12.40,28400,12.245838
2016-07-19,12.44,12.45,12.35,12.39,25400,12.235963
2016-07-18,12.31,12.49,12.26,12.42,21100,12.26559
2016-07-15,12.50,12.50,12.14,12.38,32200,12.226087
2016-07-14,12.40,12.50,12.22,12.47,27200,12.314968
2016-07-13,12.35,12.49,12.13,12.37,21200,12.216211
2016-07-12,12.37,12.50,12.32,12.35,51900,12.19646
2016-07-11,12.38,12.42,12.21,12.37,33500,12.216211
2016-07-08,12.21,12.49,12.13,12.28,27400,12.12733
2016-07-07,12.43,12.50,11.95,12.13,73900,11.979195
2016-07-06,12.07,12.43,12.07,12.39,24900,12.235963
2016-07-05,12.24,12.28,12.07,12.17,27400,12.018698
2016-07-01,12.18,12.47,12.03,12.21,21900,12.0582
2016-06-30,12.17,12.21,11.93,12.15,52700,11.998946
2016-06-29,12.02,12.20,11.92,12.17,28500,12.018698
2016-06-28,11.99,12.04,11.85,11.96,54500,11.811309
2016-06-27,11.75,11.97,11.60,11.83,47800,11.682925
2016-06-24,12.16,12.38,11.75,11.80,1035800,11.653298
2016-06-23,12.38,12.49,12.31,12.40,66500,12.245838
2016-06-22,12.04,12.40,12.04,12.39,56600,12.235963
2016-06-21,11.95,12.18,11.92,12.00,38600,11.850811
2016-06-20,11.97,12.36,11.90,12.13,46600,11.979195
2016-06-17,12.05,12.34,11.75,11.92,67700,11.771806
2016-06-16,12.14,12.15,11.91,11.99,99700,11.840935
2016-06-15,12.25,12.30,12.15,12.23,33500,12.077951
2016-06-14,12.22,12.32,12.08,12.29,16800,12.137206
2016-06-13,12.77,12.77,12.11,12.30,40600,12.147082
2016-06-10,12.43,12.64,12.35,12.42,30700,12.26559
2016-06-09,12.24,12.48,12.17,12.42,15600,12.26559
2016-06-08,12.24,12.28,12.24,12.25,43400,12.097703
2016-06-07,11.79,12.33,11.63,12.14,183700,11.989071
2016-06-06,11.74,11.76,11.70,11.75,45600,11.603919
2016-06-03,11.81,11.83,11.74,11.74,19900,11.594043
2016-06-02,11.78,11.84,11.78,11.82,37300,11.673049
2016-06-01,11.90,11.95,11.84,11.84,66500,11.692801
2016-05-31,12.07,12.07,11.91,11.91,6800,11.76193
2016-05-27,11.96,12.16,11.96,12.11,25000,11.959443
2016-05-26,12.00,12.00,11.64,11.93,392600,11.781682
2016-05-25,12.01,12.06,11.97,12.00,24700,11.850811
2016-05-24,12.01,12.17,12.00,12.01,28100,11.860687
2016-05-23,12.10,12.10,11.90,11.99,16200,11.840935
2016-05-20,12.12,12.15,12.00,12.02,12400,11.870563
2016-05-19,12.04,12.11,11.87,12.00,24000,11.850811
2016-05-18,12.14,12.18,12.00,12.06,11000,11.910066
2016-05-17,12.28,12.28,12.08,12.09,6600,11.939692
2016-05-16,12.16,12.25,12.10,12.25,8600,12.097703
2016-05-13,12.00,12.20,12.00,12.09,9600,11.939692
2016-05-12,12.11,12.13,12.02,12.09,17100,11.939692
2016-05-11,12.10,12.15,12.08,12.11,39600,11.880438
2016-05-10,12.10,12.14,12.00,12.08,139800,11.851007
2016-05-09,12.15,12.16,12.02,12.05,16900,11.821576
2016-05-06,12.25,12.25,12.18,12.25,16800,12.017785
2016-05-05,12.24,12.25,12.17,12.20,6600,11.968732
2016-05-04,12.24,12.24,12.16,12.21,6300,11.978543
2016-05-03,12.17,12.25,12.17,12.22,8500,11.988354
2016-05-02,12.35,12.39,12.29,12.30,8100,12.066837
2016-04-29,12.35,12.37,12.25,12.30,3100,12.066837
2016-04-28,12.40,12.46,12.31,12.35,18400,12.115889
2016-04-27,12.42,12.48,12.39,12.40,8200,12.164941
2016-04-26,12.40,12.54,12.40,12.48,16500,12.243424
2016-04-25,12.25,12.61,12.04,12.52,33000,12.282667
2016-04-22,12.44,12.45,12.00,12.37,11900,12.13551
2016-04-21,12.41,12.43,12.29,12.42,12400,12.184562
2016-04-20,12.40,12.47,12.36,12.42,31000,12.184562
2016-04-19,12.50,12.54,12.39,12.45,15100,12.213993
2016-04-18,12.74,12.74,12.30,12.48,18000,12.243424
2016-04-15,12.55,12.72,12.42,12.60,15100,12.36115
2016-04-14,12.50,12.57,12.13,12.53,16200,12.292477
2016-04-13,12.28,12.50,12.28,12.48,13200,12.243424
2016-04-12,12.09,12.30,11.97,12.28,47300,12.047216
2016-04-11,12.11,12.20,11.91,12.05,70900,11.821576
2016-04-08,12.32,12.38,12.07,12.15,11400,11.91968
2016-04-07,12.26,12.31,12.16,12.27,20900,12.037406
2016-04-06,12.06,12.43,11.99,12.30,25100,12.066837
