Date,Open,High,Low,Close,Volume,Adj Close
2016-12-01,26.10,26.889999,26.10,26.74,965500,26.74
2016-11-30,27.299999,27.73,25.940001,26.10,1294400,26.10
2016-11-29,27.99,28.00,27.15,27.200001,1109300,27.200001
2016-11-28,28.15,28.35,27.870001,27.90,725100,27.90
2016-11-25,27.870001,28.139999,27.77,28.120001,269600,28.120001
2016-11-23,26.940001,27.84,26.940001,27.790001,721800,27.790001
2016-11-22,26.719999,27.059999,26.469999,27.040001,674000,27.040001
2016-11-21,27.25,27.33,26.52,26.60,952500,26.60
2016-11-18,26.74,27.200001,26.42,27.16,711900,27.16
2016-11-17,27.00,27.00,26.389999,26.65,995800,26.65
2016-11-16,26.65,26.99,26.60,26.98,771400,26.98
2016-11-15,26.65,26.879999,25.41,26.860001,801800,26.860001
2016-11-14,26.059999,26.76,25.90,26.639999,1014000,26.639999
2016-11-11,25.48,26.01,25.41,25.93,783800,25.93
2016-11-10,25.26,25.870001,24.969999,25.389999,986900,25.389999
2016-11-09,23.23,25.41,23.200001,25.059999,1274600,25.059999
2016-11-08,23.950001,24.15,23.48,23.73,624900,23.73
2016-11-07,23.75,24.219999,23.620001,23.93,510500,23.93
2016-11-04,23.469999,23.85,23.34,23.450001,450800,23.310001
2016-11-03,23.389999,23.799999,22.76,23.48,929700,23.339821
2016-11-02,22.74,23.530001,22.74,23.389999,1042800,23.250358
2016-11-01,22.98,23.18,22.700001,22.73,697000,22.594299
2016-10-31,23.219999,23.24,22.67,22.91,1139400,22.773224
2016-10-28,23.09,23.58,23.030001,23.17,920300,23.031672
2016-10-27,22.309999,23.58,22.27,23.049999,1710200,22.912388
2016-10-26,21.90,22.700001,21.90,22.219999,1876800,22.087343
2016-10-25,22.02,22.90,21.120001,22.08,11352600,21.94818
2016-10-24,26.32,26.68,26.049999,26.49,1659600,26.331851
2016-10-21,25.559999,26.190001,25.49,26.01,677500,25.854717
2016-10-20,25.91,25.91,25.16,25.33,657600,25.178777
2016-10-19,25.52,26.08,25.48,26.01,516100,25.854717
2016-10-18,26.059999,26.17,25.50,25.52,603800,25.367643
2016-10-17,25.780001,26.15,25.60,25.74,781800,25.586329
2016-10-14,25.889999,26.01,25.709999,25.84,594100,25.685732
2016-10-13,26.01,26.07,25.639999,25.85,677800,25.695673
2016-10-12,26.030001,26.48,25.799999,26.18,355000,26.023703
2016-10-11,26.33,26.41,25.90,25.98,377900,25.824896
2016-10-10,26.07,26.41,26.049999,26.309999,512100,26.152926
2016-10-07,26.219999,26.299999,25.959999,26.02,598200,25.864658
2016-10-06,25.83,26.299999,25.709999,26.219999,629300,26.063463
2016-10-05,25.610001,25.969999,25.51,25.85,589400,25.695673
2016-10-04,26.10,26.16,25.549999,25.559999,643800,25.407403
2016-10-03,26.219999,26.440001,25.90,25.940001,604700,25.785136
2016-09-30,25.469999,26.290001,25.440001,26.18,1206200,26.023703
