Date,Open,High,Low,Close,Volume,Adj Close
2016-12-01,119.290001,119.290001,112.870003,113.550003,1162800,113.550003
2016-11-30,120.010002,120.32,119.330002,119.379997,176500,119.379997
2016-11-29,120.199997,120.779999,119.50,120.07,390900,120.07
2016-11-28,120.360001,120.839996,120.089996,120.290001,220500,120.290001
2016-11-25,120.660004,120.709999,120.129997,120.650002,137300,120.650002
2016-11-23,120.339996,120.690002,119.699997,120.440002,348000,120.440002
2016-11-22,119.650002,120.400002,119.540001,120.290001,472900,120.290001
2016-11-21,118.589996,119.199997,118.18,119.019997,376000,119.019997
2016-11-18,117.029999,118.379997,117.029999,118.230003,354800,118.230003
2016-11-17,116.57,117.959999,115.870003,117.379997,361500,117.379997
2016-11-16,114.610001,116.230003,114.580002,116.129997,404100,116.129997
2016-11-15,113.160004,115.110001,112.889999,114.809998,471700,114.809998
2016-11-14,113.849998,113.860001,112.400002,112.699997,446700,112.699997
2016-11-11,110.349998,113.470001,110.349998,113.290001,865100,113.290001
2016-11-10,112.169998,112.900002,108.099998,109.110001,2223000,109.110001
2016-11-09,109.540001,111.879997,109.00,111.519997,1037000,111.519997
2016-11-08,111.790001,112.769997,111.160004,112.050003,408700,112.050003
2016-11-07,110.779999,111.889999,110.339996,111.82,1599300,111.82
2016-11-04,108.809998,109.720001,108.00,108.760002,419700,108.760002
2016-11-03,109.690002,110.410004,109.050003,109.449997,502900,109.449997
2016-11-02,110.440002,111.050003,109.279999,109.639999,820400,109.639999
2016-11-01,111.379997,112.260002,109.160004,110.370003,558000,110.370003
2016-10-31,111.150002,111.889999,111.150002,111.360001,304400,111.360001
2016-10-28,111.879997,112.550003,110.639999,110.760002,599500,110.760002
2016-10-27,113.040001,113.300003,111.279999,111.43,461900,111.43
2016-10-26,111.25,112.610001,111.160004,111.949997,373300,111.949997
2016-10-25,112.269997,112.610001,111.900002,112.110001,274500,112.110001
2016-10-24,110.769997,112.279999,110.769997,112.209999,237000,112.209999
2016-10-21,109.589996,110.300003,109.150002,110.190002,365300,110.190002
2016-10-20,109.50,110.870003,108.830002,110.470001,686600,110.470001
2016-10-19,109.199997,109.839996,108.660004,109.699997,397400,109.699997
2016-10-18,110.239998,110.610001,109.949997,110.160004,297200,110.160004
2016-10-17,109.360001,109.949997,108.839996,108.900002,233700,108.900002
2016-10-14,109.639999,110.75,109.370003,109.470001,455000,109.470001
2016-10-13,108.970001,108.970001,106.900002,108.650002,694000,108.650002
2016-10-12,110.25,110.279999,108.970001,109.949997,522500,109.949997
2016-10-11,112.540001,112.540001,109.349998,110.32,623800,110.32
2016-10-10,113.779999,114.209999,112.639999,112.68,403500,112.68
2016-10-07,113.599998,113.599998,112.230003,113.25,461300,113.25
2016-10-06,112.68,113.510002,111.980003,113.419998,867900,113.419998
2016-10-05,112.300003,113.550003,112.029999,112.760002,1284200,112.760002
2016-10-04,112.699997,113.050003,111.510002,111.940002,339800,111.940002
2016-10-03,113.260002,113.75,112.010002,112.230003,1210700,112.230003
2016-09-30,111.889999,113.720001,111.889999,112.989998,457500,112.989998
2016-09-29,109.93,111.919998,108.730003,111.230003,860300,111.230003
2016-09-28,110.059998,110.440002,109.209999,109.879997,280200,109.879997
2016-09-27,107.550003,109.68,107.489998,109.660004,344900,109.660004
2016-09-26,108.099998,108.459999,107.349998,107.800003,383100,107.800003
2016-09-23,110.300003,110.349998,109.190002,109.330002,272700,108.873001
2016-09-22,110.82,111.150002,110.139999,110.459999,352200,109.998275
2016-09-21,109.139999,110.269997,108.669998,110.099998,431900,109.639779
2016-09-20,109.720001,109.790001,108.330002,108.599998,358700,108.146049
2016-09-19,109.639999,110.690002,108.730003,109.089996,393500,108.633999
2016-09-16,109.730003,110.07,108.129997,108.959999,638700,108.504545
2016-09-15,106.419998,109.129997,106.279999,108.93,598500,108.474671
2016-09-14,105.269997,106.730003,105.129997,106.470001,364700,106.024955
2016-09-13,105.949997,106.849998,105.010002,105.540001,400700,105.098842
2016-09-12,103.68,106.599998,103.330002,106.480003,720900,106.034915
2016-09-09,107.529999,107.529999,104.209999,104.529999,848800,104.093062
2016-09-08,108.220001,108.669998,107.739998,108.379997,451100,107.926967
2016-09-07,109.559998,109.580002,108.370003,108.57,1271400,108.116176
2016-09-06,109.839996,109.989998,108.839996,109.400002,361800,108.942708
2016-09-02,110.25,110.330002,109.150002,109.650002,554800,109.191663
2016-09-01,109.209999,109.839996,108.349998,109.760002,464600,109.301204
2016-08-31,108.940002,109.059998,108.290001,108.900002,482400,108.444798
2016-08-30,109.199997,109.800003,108.580002,108.970001,1060400,108.514505
2016-08-29,109.209999,109.599998,109.050003,109.18,270300,108.723626
2016-08-26,108.449997,109.57,108.019997,108.75,310700,108.295423
2016-08-25,107.50,108.769997,107.50,108.269997,313400,107.817427
2016-08-24,108.879997,108.970001,107.550003,107.830002,305900,107.379271
2016-08-23,108.68,109.209999,108.68,108.730003,275200,108.27551
2016-08-22,107.980003,108.459999,107.739998,108.199997,256900,107.747719
2016-08-19,107.330002,108.410004,107.330002,108.150002,490800,107.697933
2016-08-18,106.489998,107.239998,106.400002,107.230003,231000,106.78178
2016-08-17,106.519997,106.540001,105.889999,106.459999,594100,106.014995
2016-08-16,107.059998,107.059998,106.360001,106.480003,627700,106.034915
2016-08-15,106.010002,107.489998,106.010002,107.230003,227700,106.78178
2016-08-12,105.50,106.019997,105.389999,105.790001,191700,105.347797
2016-08-11,105.349998,105.440002,104.75,105.300003,376500,104.859848
2016-08-10,105.709999,105.830002,104.459999,104.900002,815600,104.461518
2016-08-09,105.349998,105.959999,105.169998,105.620003,376000,105.17851
2016-08-08,105.25,105.50,104.580002,104.769997,231900,104.332057
2016-08-05,104.18,105.00,104.029999,104.889999,413000,104.451558
2016-08-04,102.870003,103.610001,102.68,103.57,406200,103.137076
2016-08-03,101.93,102.629997,101.910004,102.610001,416300,102.181089
2016-08-02,103.889999,103.889999,101.860001,102.480003,1507800,102.051635
2016-08-01,104.230003,104.459999,103.720001,104.080002,493100,103.644946
2016-07-29,104.440002,104.779999,103.529999,104.00,339000,103.565279
2016-07-28,104.57,105.160004,104.00,104.459999,831900,104.023355
2016-07-27,105.989998,106.029999,104.43,105.040001,1143500,104.600932
2016-07-26,102.099998,105.519997,102.099998,105.050003,1469900,104.610893
2016-07-25,100.529999,101.32,100.529999,101.129997,236700,100.707272
2016-07-22,99.709999,100.610001,99.099998,100.550003,466300,100.129703
2016-07-21,100.860001,100.919998,99.639999,100.050003,486000,99.631793
2016-07-20,99.75,101.010002,99.43,100.760002,655700,100.338824
2016-07-19,99.370003,99.459999,98.879997,99.190002,281800,98.775387
2016-07-18,99.330002,99.709999,99.050003,99.529999,475400,99.113962
2016-07-15,98.139999,98.260002,97.699997,98.089996,383700,97.679979
2016-07-14,98.290001,98.389999,97.50,98.120003,467100,97.70986
2016-07-13,97.639999,98.00,97.260002,97.410004,477000,97.002828
2016-07-12,96.919998,97.620003,96.739998,97.290001,1025100,96.883327
2016-07-11,95.690002,96.449997,95.620003,96.040001,320300,95.638552
2016-07-08,93.349998,95.050003,93.300003,94.970001,358400,94.573025
2016-07-07,91.43,93.080002,91.43,92.400002,394700,92.013768
2016-07-06,90.510002,91.440002,89.629997,91.290001,575100,90.908407
2016-07-05,92.139999,92.139999,90.620003,91.169998,861100,90.788906
2016-07-01,92.93,93.190002,92.68,92.870003,446000,92.481805
2016-06-30,92.18,93.739998,92.00,93.639999,525800,93.248583
2016-06-29,91.300003,92.330002,90.970001,92.059998,784600,91.675185
2016-06-28,89.309998,90.419998,89.07,90.239998,913900,89.862793
2016-06-27,90.410004,90.419998,87.339996,87.940002,1769000,87.572412
2016-06-24,92.82,94.309998,91.309998,91.660004,885700,91.276864
2016-06-23,95.800003,97.029999,95.510002,96.919998,366400,96.514871
2016-06-22,94.790001,95.559998,94.449997,94.559998,306300,94.164735
2016-06-21,94.75,94.93,94.309998,94.650002,322200,94.254363
2016-06-20,94.970001,95.779999,94.599998,94.650002,368700,93.956612
2016-06-17,94.260002,94.260002,92.93,93.610001,605900,92.92423
2016-06-16,93.489998,94.470001,92.790001,94.410004,1355500,93.718372
2016-06-15,94.910004,95.07,94.260002,94.419998,235500,93.728293
2016-06-14,94.150002,94.68,93.529999,94.43,421900,93.738222
2016-06-13,94.339996,95.510002,94.260002,94.459999,554800,93.768001
2016-06-10,95.550003,95.550003,94.610001,94.949997,346300,94.25441
2016-06-09,95.800003,96.580002,95.470001,96.529999,362400,95.822837
2016-06-08,96.459999,96.669998,96.120003,96.419998,139600,95.713642
2016-06-07,95.959999,96.650002,95.949997,96.459999,466400,95.75335
2016-06-06,95.830002,96.339996,95.389999,95.550003,628700,94.85002
2016-06-03,96.32,96.370003,95.209999,95.769997,438700,95.068402
2016-06-02,95.300003,95.489998,94.879997,95.489998,246900,94.790455
2016-06-01,94.889999,95.589996,94.519997,95.470001,438100,94.770604
2016-05-31,94.599998,95.059998,94.339996,94.970001,714800,94.274267
2016-05-27,93.75,94.580002,93.75,94.419998,287200,93.728293
2016-05-26,93.660004,94.050003,93.43,93.830002,304100,93.142619
2016-05-25,93.540001,93.769997,92.800003,93.519997,416200,92.834885
2016-05-24,91.529999,93.080002,91.419998,92.970001,529200,92.288919
2016-05-23,90.75,91.589996,90.75,90.779999,245300,90.11496
2016-05-20,88.559998,90.239998,88.550003,90.150002,559800,89.489578
2016-05-19,87.419998,88.160004,86.739998,87.50,464900,86.85899
2016-05-18,86.279999,88.75,86.279999,87.989998,667800,87.345398
