Date,Open,High,Low,Close,Volume,Adj Close
2016-12-01,9.05,9.05,8.50,8.60,136000,8.60
2016-11-30,9.00,9.15,8.80,8.95,69100,8.95
2016-11-29,8.85,9.15,8.75,8.90,72900,8.90
2016-11-28,8.95,8.95,8.70,8.75,86600,8.75
2016-11-25,9.20,9.20,8.90,9.00,36800,9.00
2016-11-23,8.95,9.20,8.95,9.15,88100,9.15
2016-11-22,8.80,9.10,8.70,9.05,126800,9.05
2016-11-21,8.70,8.85,8.50,8.80,82700,8.80
2016-11-18,8.40,8.70,8.30,8.70,78200,8.70
2016-11-17,8.50,8.60,8.25,8.35,63300,8.35
2016-11-16,8.10,8.50,8.00,8.45,225700,8.45
2016-11-15,8.05,8.30,7.90,8.20,194200,8.20
2016-11-14,9.00,9.05,7.90,8.15,238900,8.15
2016-11-11,8.00,8.95,7.85,8.90,429900,8.90
2016-11-10,8.10,8.10,7.73,7.90,164800,7.90
2016-11-09,7.70,8.00,7.21,7.90,126200,7.85
2016-11-08,7.50,7.98,7.20,7.80,134600,7.750633
2016-11-07,8.40,8.40,7.50,7.60,232800,7.551899
2016-11-04,7.95,8.35,7.75,8.15,109500,8.098417
2016-11-03,8.15,8.35,7.85,8.00,173300,7.949367
2016-11-02,8.10,8.35,7.80,7.90,168500,7.85
2016-11-01,8.65,8.75,8.10,8.15,124200,8.098417
2016-10-31,8.30,8.60,8.21,8.55,106500,8.495886
2016-10-28,8.25,8.59,8.21,8.35,119800,8.297152
2016-10-27,8.95,9.10,8.25,8.35,205600,8.297152
2016-10-26,9.10,9.25,8.60,8.95,163000,8.893354
2016-10-25,9.35,9.45,9.20,9.20,68600,9.141772
2016-10-24,9.50,9.65,9.25,9.35,74700,9.290823
2016-10-21,9.40,9.60,9.25,9.35,84900,9.290823
2016-10-20,9.35,9.80,9.25,9.50,131200,9.439873
2016-10-19,9.40,9.50,9.23,9.30,73300,9.241139
2016-10-18,9.20,9.45,9.20,9.45,86700,9.39019
2016-10-17,9.20,9.25,9.01,9.15,86200,9.092088
2016-10-14,9.22,9.49,9.16,9.29,111000,9.231202
2016-10-13,9.32,9.37,9.12,9.29,152300,9.231202
2016-10-12,9.46,9.53,9.26,9.43,65400,9.370317
2016-10-11,9.48,9.53,9.31,9.42,86700,9.36038
2016-10-10,9.44,9.69,9.43,9.50,87900,9.439873
2016-10-07,9.54,9.58,9.25,9.47,157700,9.410064
2016-10-06,9.74,9.76,9.35,9.49,149100,9.429936
