Date,Open,High,Low,Close,Volume,Adj Close
2016-12-01,18.299999,19.00,18.15,18.799999,81000,18.799999
2016-11-30,18.85,18.969999,17.90,18.200001,81700,18.200001
2016-11-29,18.299999,18.98,17.85,18.85,69400,18.85
2016-11-28,18.25,18.549999,18.15,18.200001,55400,18.200001
2016-11-25,18.40,18.50,18.129999,18.25,25200,18.25
2016-11-23,18.15,18.50,17.85,18.299999,42700,18.299999
2016-11-22,18.450001,18.75,17.950001,18.25,60400,18.25
2016-11-21,17.799999,18.299999,17.75,18.25,42500,18.25
2016-11-18,17.549999,17.90,17.40,17.85,52700,17.85
2016-11-17,17.85,17.90,17.35,17.50,47100,17.50
2016-11-16,17.90,17.950001,17.15,17.700001,59800,17.700001
2016-11-15,18.40,18.40,17.75,17.90,35400,17.775
2016-11-14,18.549999,18.65,17.90,18.25,82100,18.122556
2016-11-11,17.549999,18.450001,17.10,18.200001,116100,18.072906
2016-11-10,17.65,17.65,16.049999,17.50,138500,17.377794
2016-11-09,16.90,17.700001,16.75,17.450001,60700,17.328144
2016-11-08,16.85,17.25,16.549999,17.00,40500,16.881285
2016-11-07,17.10,17.200001,16.60,16.700001,70200,16.583381
2016-11-04,16.50,16.75,16.299999,16.60,53000,16.484079
2016-11-03,16.65,16.65,16.25,16.40,63800,16.285475
2016-11-02,17.10,17.15,16.25,16.60,125600,16.484079
2016-11-01,18.049999,18.25,16.85,17.10,61700,16.980587
2016-10-31,17.40,18.200001,17.00,18.049999,96800,17.923952
2016-10-28,17.90,17.969999,17.27,17.299999,42200,17.17919
2016-10-27,17.389999,17.91,16.74,17.799999,42100,17.675698
2016-10-26,17.549999,17.59,17.00,17.040001,47600,16.921007
2016-10-25,17.809999,17.92,17.540001,17.68,32500,17.556537
2016-10-24,17.41,17.889999,17.41,17.84,41500,17.715419
2016-10-21,17.120001,17.370001,17.10,17.32,30900,17.19905
2016-10-20,17.42,17.860001,17.25,17.32,31900,17.19905
2016-10-19,17.280001,17.549999,17.280001,17.469999,37600,17.348002
2016-10-18,17.690001,17.690001,17.26,17.280001,44500,17.159331
2016-10-17,17.379999,17.59,17.379999,17.48,20400,17.357933
2016-10-14,17.620001,17.690001,17.309999,17.440001,39800,17.318213
2016-10-13,17.629999,17.76,17.41,17.469999,56300,17.348002
2016-10-12,17.549999,17.860001,17.23,17.77,38300,17.645909
2016-10-11,17.700001,17.959999,17.440001,17.530001,46800,17.407585
2016-10-10,17.48,17.809999,16.549999,17.709999,59100,17.586326
2016-10-07,17.67,17.700001,17.32,17.48,39300,17.357933
2016-10-06,17.559999,17.65,17.190001,17.559999,36000,17.437374
2016-10-05,17.610001,17.629999,17.110001,17.57,50200,17.447305
2016-10-04,17.84,17.860001,17.309999,17.51,46500,17.387724
2016-10-03,17.76,18.309999,17.57,17.870001,98700,17.745211
2016-09-30,17.379999,17.940001,17.209999,17.82,137900,17.695559
2016-09-29,17.549999,17.59,17.200001,17.299999,50500,17.17919
2016-09-28,17.58,17.639999,17.379999,17.629999,50700,17.506885
2016-09-27,17.50,17.690001,16.67,17.530001,85400,17.407585
2016-09-26,18.00,18.190001,17.42,17.450001,107200,17.328144
2016-09-23,17.950001,18.200001,17.65,18.15,92700,18.023254
2016-09-22,17.809999,18.00,17.469999,17.959999,161700,17.83458
2016-09-21,17.90,18.15,17.48,17.870001,98800,17.745211
2016-09-20,18.030001,18.049999,17.90,17.969999,65100,17.844511
2016-09-19,18.02,18.219999,17.780001,18.00,75500,17.874302
2016-09-16,18.389999,18.610001,17.83,18.01,766700,17.884232
2016-09-15,17.879999,18.41,17.870001,18.389999,211600,18.261578
2016-09-14,17.709999,17.91,17.51,17.84,82800,17.715419
2016-09-13,18.07,18.07,17.40,17.74,112100,17.616117
2016-09-12,16.639999,18.10,16.639999,18.09,196300,17.963674
2016-09-09,16.91,16.91,16.52,16.540001,59800,16.424498
2016-09-08,17.07,17.09,16.76,17.02,47200,16.901146
2016-09-07,16.709999,17.09,16.68,17.059999,93400,16.940866
2016-09-06,16.709999,16.98,16.50,16.76,51600,16.642961
2016-09-02,16.450001,16.66,16.440001,16.620001,51400,16.50394
2016-09-01,16.65,16.719999,16.24,16.34,182700,16.225894
2016-08-31,16.65,17.200001,16.50,16.549999,98500,16.434427
2016-08-30,16.84,16.98,16.620001,16.68,62400,16.56352
2016-08-29,16.719999,16.889999,16.540001,16.85,128100,16.732333
2016-08-26,16.690001,16.77,16.50,16.639999,48300,16.523799
2016-08-25,16.530001,16.74,16.469999,16.74,55900,16.623101
2016-08-24,16.700001,16.73,16.559999,16.60,51900,16.484079
2016-08-23,16.68,16.959999,16.50,16.629999,68000,16.513868
2016-08-22,16.639999,16.67,16.50,16.58,74000,16.464218
2016-08-19,16.709999,16.73,16.309999,16.73,109900,16.61317
2016-08-18,16.68,16.74,16.459999,16.690001,76700,16.573451
2016-08-17,16.620001,16.860001,16.50,16.620001,143900,16.50394
2016-08-16,16.85,16.93,16.67,16.870001,174200,16.628066
2016-08-15,16.65,17.030001,16.559999,16.870001,139100,16.628066
2016-08-12,17.08,17.08,16.50,16.620001,114100,16.381651
2016-08-11,17.469999,17.549999,17.07,17.10,103800,16.854767
2016-08-10,17.700001,17.700001,17.35,17.379999,70700,17.130751
2016-08-09,17.700001,17.83,17.58,17.629999,41100,17.377165
2016-08-08,17.84,17.85,17.57,17.639999,111600,17.387022
2016-08-05,18.01,18.120001,17.75,17.82,67500,17.564441
2016-08-04,18.18,18.190001,17.84,17.879999,49200,17.62358
2016-08-03,18.26,18.42,17.90,18.200001,78600,17.938992
2016-08-02,18.559999,18.639999,18.040001,18.27,110300,18.007988
2016-08-01,18.459999,18.610001,18.27,18.530001,47600,18.26426
2016-07-29,18.40,18.549999,18.139999,18.48,120700,18.214976
2016-07-28,19.34,19.85,18.120001,18.389999,98500,18.126266
2016-07-27,19.09,19.549999,18.76,19.52,119500,19.240062
2016-07-26,19.209999,19.34,18.93,18.99,101400,18.717662
2016-07-25,19.200001,19.42,19.15,19.24,98600,18.964077
2016-07-22,18.450001,19.690001,18.040001,19.280001,115200,19.003504
2016-07-21,19.459999,19.459999,18.24,18.32,209300,18.05727
2016-07-20,19.610001,19.639999,19.370001,19.40,51800,19.121782
2016-07-19,19.969999,20.00,19.610001,19.629999,43300,19.348483
2016-07-18,19.91,19.98,19.17,19.879999,81800,19.594898
2016-07-15,20.25,20.34,19.93,19.950001,98200,19.663895
2016-07-14,20.65,20.84,20.09,20.120001,46600,19.831458
2016-07-13,20.639999,20.950001,20.42,20.559999,110000,20.265146
2016-07-12,20.610001,20.959999,20.40,20.549999,139800,20.255289
2016-07-11,19.83,20.549999,19.58,20.450001,195800,20.156725
2016-07-08,19.370001,19.75,19.35,19.75,64100,19.466763
2016-07-07,19.540001,19.540001,19.059999,19.290001,39500,19.013361
2016-07-06,19.26,19.75,19.15,19.559999,114800,19.279487
2016-07-05,19.059999,19.48,18.969999,19.34,83200,19.062643
2016-07-01,19.15,19.15,18.35,19.09,86800,18.816228
2016-06-30,18.76,19.200001,18.27,19.17,132300,18.895081
2016-06-29,18.58,18.940001,18.58,18.709999,70800,18.441677
2016-06-28,18.780001,18.879999,18.110001,18.450001,85600,18.185407
2016-06-27,18.959999,18.959999,18.60,18.790001,66200,18.520531
2016-06-24,18.65,19.120001,18.49,19.08,174300,18.806371
2016-06-23,18.719999,19.24,18.709999,19.030001,159100,18.757089
2016-06-22,19.15,19.15,18.59,18.59,59600,18.323399
2016-06-21,18.969999,19.190001,18.91,19.040001,64000,18.766946
2016-06-20,18.76,19.129999,18.700001,18.77,90700,18.500818
2016-06-17,19.18,19.25,18.389999,18.639999,438600,18.372681
2016-06-16,18.68,19.309999,18.120001,19.290001,235600,19.013361
2016-06-15,18.84,19.030001,18.68,18.75,81100,18.481104
2016-06-14,18.41,18.75,18.360001,18.700001,65100,18.431822
2016-06-13,17.75,18.42,17.709999,18.389999,92600,18.126266
2016-06-10,18.059999,18.25,17.75,17.799999,44700,17.544727
2016-06-09,18.049999,18.290001,17.83,18.15,71100,17.889708
2016-06-08,17.889999,18.190001,17.629999,18.09,119100,17.830569
2016-06-07,17.700001,17.969999,17.65,17.82,43700,17.564441
2016-06-06,17.40,17.690001,17.40,17.620001,50600,17.36731
2016-06-03,17.33,17.52,17.129999,17.34,44900,17.091325
2016-06-02,16.879999,17.360001,16.73,17.34,70400,17.091325
2016-06-01,17.51,17.65,16.780001,16.98,109300,16.736487
2016-05-31,17.16,17.65,16.82,17.540001,184500,17.288458
2016-05-27,16.950001,17.139999,16.83,17.08,38900,16.835054
2016-05-26,16.860001,17.059999,16.75,16.889999,34000,16.647778
2016-05-25,16.889999,16.969999,16.639999,16.77,36500,16.5295
2016-05-24,16.52,16.92,16.360001,16.82,94000,16.578782
2016-05-23,16.299999,16.450001,16.15,16.360001,88700,16.12538
2016-05-20,16.26,16.440001,16.120001,16.24,68700,16.0071
2016-05-19,16.50,16.530001,16.08,16.17,45900,15.938104
2016-05-18,16.43,16.75,16.379999,16.610001,51300,16.248588
2016-05-17,17.040001,17.129999,16.34,16.42,93600,16.062722
2016-05-16,17.10,17.17,16.90,17.040001,89300,16.669232
