Date,Open,High,Low,Close,Volume,Adj Close
2016-12-01,6.094,6.25,5.941,6.25,3000,6.25
2016-11-30,6.35,6.35,5.96,6.30,4700,6.30
2016-11-29,6.30,6.35,6.29,6.35,3200,6.35
2016-11-28,6.06,6.31,6.06,6.31,3800,6.31
2016-11-25,6.10,6.25,6.10,6.25,900,6.25
2016-11-23,5.749,6.10,5.749,6.10,4100,6.10
2016-11-22,6.06,6.10,5.84,6.10,5100,6.10
2016-11-21,6.00,6.25,6.00,6.09,2600,6.09
2016-11-18,6.16,6.25,6.16,6.25,4700,6.25
2016-11-17,6.00,6.025,6.00,6.025,1300,6.025
2016-11-16,6.02,6.02,6.02,6.02,000,6.02
2016-11-15,6.57,6.57,5.40,6.02,4900,6.02
2016-11-14,6.75,6.843,6.51,6.717,10700,6.717
2016-11-11,6.708,6.853,6.708,6.80,2400,6.80
2016-11-10,6.503,6.503,6.50,6.50,1700,6.50
2016-11-09,7.00,7.00,6.48,6.68,3900,6.68
2016-11-08,6.80,6.80,6.70,6.70,4600,6.70
2016-11-07,6.79,6.99,6.767,6.93,6900,6.93
2016-11-04,6.861,6.861,6.75,6.79,800,6.79
2016-11-03,6.75,6.90,6.75,6.78,2100,6.78
2016-11-02,6.498,6.75,6.25,6.63,3200,6.63
2016-11-01,6.11,6.189,5.888,6.00,4100,6.00
2016-10-31,6.595,6.595,6.275,6.32,5200,6.32
2016-10-28,6.25,7.00,6.10,6.891,22900,6.891
2016-10-27,6.05,6.18,6.05,6.18,1900,6.18
2016-10-26,6.109,6.118,6.109,6.118,2500,6.118
2016-10-25,6.20,6.20,6.15,6.20,800,6.20
2016-10-24,6.55,6.55,6.05,6.42,23200,6.42
2016-10-21,6.749,6.749,6.40,6.495,9900,6.495
2016-10-20,7.05,7.05,6.65,6.85,15000,6.85
2016-10-19,6.51,8.95,6.51,7.05,157900,7.05
2016-10-18,6.50,6.60,6.00,6.10,7000,6.10
2016-10-17,6.80,7.434,6.51,6.735,12200,6.735
2016-10-14,6.25,6.25,6.25,6.25,1000,6.25
2016-10-13,6.50,6.50,6.00,6.50,7700,6.50
2016-10-12,6.40,6.40,6.40,6.40,000,6.40
2016-10-11,6.40,6.40,6.40,6.40,000,6.40
2016-10-10,6.45,6.50,6.40,6.40,5000,6.40
2016-10-07,6.05,6.05,6.05,6.05,300,6.05
2016-10-06,6.50,6.50,6.20,6.20,3300,6.20
2016-10-05,6.50,6.50,6.20,6.433,15400,6.433
2016-10-04,6.15,6.15,6.15,6.15,000,6.15
2016-10-03,6.19,6.19,6.035,6.15,2600,6.15
2016-09-30,6.158,6.20,6.158,6.20,5500,6.20
