Date,Open,High,Low,Close,Volume,Adj Close
2016-12-01,14.00,14.24,14.00,14.24,1200,14.24
2016-11-30,14.22,14.25,13.90,13.90,4100,13.90
2016-11-29,13.61,13.95,13.60,13.95,5200,13.95
2016-11-28,14.00,14.20,13.95,14.20,17100,14.20
2016-11-25,13.98,14.00,13.95,13.97,2700,13.97
2016-11-23,13.95,13.95,13.80,13.85,6000,13.85
2016-11-22,13.70,13.90,13.60,13.90,27900,13.90
2016-11-21,13.70,13.85,13.55,13.56,5100,13.56
2016-11-18,13.75,13.85,13.75,13.82,3400,13.82
2016-11-17,13.70,13.75,13.70,13.70,8600,13.70
2016-11-16,13.65,13.70,13.55,13.70,3600,13.70
2016-11-15,13.60,13.70,13.55,13.60,10600,13.60
2016-11-14,13.45,13.60,13.30,13.58,57800,13.58
2016-11-11,13.50,13.50,13.35,13.45,8300,13.33
2016-11-10,13.35,13.45,13.25,13.45,52000,13.33
2016-11-09,13.45,13.45,13.15,13.15,800,13.032676
2016-11-08,13.10,13.16,13.10,13.16,1700,13.042587
2016-11-07,13.48,13.48,13.15,13.25,2800,13.131785
2016-11-04,13.15,13.15,13.15,13.15,200,13.032676
2016-11-03,13.40,13.40,13.39,13.39,1600,13.270536
2016-11-02,13.40,13.50,13.25,13.40,12700,13.280446
2016-11-01,13.20,13.20,13.15,13.15,500,13.032676
2016-10-31,13.20,13.25,13.18,13.18,1500,13.062409
2016-10-28,13.25,13.25,13.14,13.18,2200,13.062409
2016-10-27,13.30,13.30,13.16,13.23,5700,13.111963
2016-10-26,13.42,13.42,13.42,13.42,500,13.300268
2016-10-25,13.50,13.50,13.29,13.44,14900,13.320089
2016-10-24,13.37,13.59,13.37,13.59,2400,13.468751
2016-10-21,13.50,13.50,13.34,13.49,2400,13.369643
2016-10-20,13.53,13.53,13.53,13.53,200,13.409286
2016-10-19,13.40,13.58,13.32,13.58,13100,13.45884
2016-10-18,13.45,13.53,13.39,13.51,11800,13.389465
2016-10-17,13.46,13.53,13.46,13.53,1100,13.409286
2016-10-14,13.46,13.46,13.46,13.46,000,13.339911
2016-10-13,13.46,13.46,13.46,13.46,600,13.339911
2016-10-12,13.48,13.64,13.47,13.55,3600,13.429108
2016-10-11,13.51,13.64,13.51,13.60,7400,13.478662
2016-10-10,13.62,13.64,13.62,13.64,1500,13.518305
2016-10-07,13.49,13.63,13.46,13.63,1300,13.508394
2016-10-06,13.42,13.57,13.41,13.57,5300,13.448929
2016-10-05,13.47,13.64,13.43,13.57,2000,13.448929
2016-10-04,13.53,13.56,13.53,13.56,6500,13.439019
2016-10-03,13.54,13.57,13.53,13.57,2200,13.448929
2016-09-30,13.53,13.61,13.53,13.58,2700,13.45884
2016-09-29,13.53,13.57,13.53,13.57,2700,13.448929
2016-09-28,13.59,13.62,13.51,13.51,1400,13.389465
2016-09-27,13.59,13.60,13.51,13.59,10400,13.468751
2016-09-26,13.52,13.57,13.51,13.51,700,13.389465
2016-09-23,13.51,13.60,13.51,13.60,2000,13.478662
2016-09-22,13.42,13.52,13.35,13.35,12200,13.230893
2016-09-21,13.43,13.47,13.37,13.42,27300,13.300268
2016-09-20,13.49,13.49,13.44,13.44,600,13.320089
2016-09-19,13.46,13.55,13.44,13.44,3500,13.320089
2016-09-16,13.50,13.60,13.31,13.31,33700,13.19125
2016-09-15,13.56,13.63,13.53,13.60,3300,13.478662
2016-09-14,13.55,13.70,13.55,13.59,7700,13.468751
2016-09-13,13.55,13.72,13.55,13.63,3300,13.508394
2016-09-12,13.67,13.67,13.56,13.56,6600,13.439019
2016-09-09,13.66,13.70,13.56,13.68,21200,13.557948
2016-09-08,13.71,13.71,13.64,13.68,1500,13.557948
2016-09-07,13.69,13.72,13.66,13.66,2000,13.538126
2016-09-06,13.72,13.72,13.64,13.65,1000,13.528215
2016-09-02,13.66,13.72,13.66,13.72,500,13.597592
2016-09-01,13.70,13.71,13.69,13.71,800,13.58768
2016-08-31,13.67,13.72,13.64,13.71,3100,13.58768
2016-08-30,13.69,13.70,13.65,13.65,14900,13.528215
2016-08-29,13.68,13.72,13.65,13.71,3600,13.58768
2016-08-26,13.69,13.71,13.69,13.71,2900,13.58768
2016-08-25,13.66,13.68,13.65,13.66,2400,13.538126
2016-08-24,13.66,13.72,13.66,13.72,3000,13.597592
2016-08-23,13.65,13.71,13.65,13.68,3300,13.557948
2016-08-22,13.69,13.69,13.69,13.69,000,13.567858
2016-08-19,13.70,13.71,13.65,13.69,5800,13.567858
2016-08-18,13.68,13.71,13.66,13.66,2600,13.538126
2016-08-17,13.72,13.72,13.66,13.66,600,13.538126
2016-08-16,13.72,13.88,13.68,13.73,8200,13.607502
2016-08-15,13.77,13.90,13.77,13.85,7800,13.607503
2016-08-12,13.81,13.85,13.80,13.85,3900,13.607503
2016-08-11,13.80,13.90,13.80,13.83,2700,13.587852
2016-08-10,13.76,13.76,13.76,13.76,100,13.519078
2016-08-09,13.90,13.90,13.90,13.90,000,13.656626
2016-08-08,13.80,13.90,13.80,13.90,3300,13.656626
2016-08-05,13.84,13.84,13.78,13.78,4500,13.538728
2016-08-04,13.75,13.90,13.75,13.90,5300,13.656626
