Date,Open,High,Low,Close,Volume,Adj Close
2016-12-01,8.75,8.75,8.57,8.70,1300,8.70
2016-11-30,8.75,8.90,8.50,8.90,2600,8.90
2016-11-29,8.80,8.80,8.70,8.75,3600,8.75
2016-11-28,8.73,8.75,8.70,8.75,3800,8.75
2016-11-25,8.70,8.70,8.65,8.65,8500,8.65
2016-11-23,8.65,8.65,8.51,8.55,3900,8.55
2016-11-22,8.45,8.65,8.45,8.65,6600,8.65
2016-11-21,8.40,8.53,8.35,8.50,9400,8.50
2016-11-18,8.43,8.43,8.35,8.35,1300,8.35
2016-11-17,8.20,8.35,8.10,8.15,6300,8.15
2016-11-16,8.30,8.50,8.26,8.40,14700,8.40
2016-11-15,8.20,8.56,8.08,8.22,18100,8.22
2016-11-14,8.00,8.25,7.95,8.06,10900,8.06
2016-11-11,7.85,8.05,7.85,7.95,11600,7.95
2016-11-10,7.75,7.85,7.75,7.85,3800,7.85
2016-11-09,7.60,7.60,7.60,7.60,400,7.60
2016-11-08,7.70,7.71,7.40,7.40,3600,7.40
2016-11-07,7.70,7.75,7.70,7.75,1300,7.75
2016-11-04,7.75,7.75,7.70,7.70,400,7.70
2016-11-03,7.98,7.98,7.98,7.98,400,7.98
2016-11-02,7.85,8.05,7.85,7.90,500,7.90
2016-11-01,8.02,8.10,7.90,8.05,4800,8.05
2016-10-31,7.85,8.15,7.85,8.00,2000,8.00
2016-10-28,7.95,7.95,7.74,7.83,1000,7.83
2016-10-27,7.98,7.98,7.98,7.98,100,7.95
2016-10-26,8.14,8.14,7.92,7.92,2400,7.890226
2016-10-25,7.78,7.85,7.78,7.85,700,7.820489
2016-10-24,8.01,8.13,7.75,7.77,3100,7.74079
2016-10-21,7.97,7.97,7.97,7.97,000,7.940037
2016-10-20,7.77,7.97,7.77,7.97,600,7.940037
2016-10-19,8.00,8.15,7.81,7.85,6900,7.820489
2016-10-18,7.82,7.82,7.82,7.82,000,7.790602
2016-10-17,7.80,7.85,7.80,7.82,2400,7.790602
2016-10-14,7.99,7.99,7.99,7.99,300,7.959962
2016-10-13,7.84,7.84,7.84,7.84,000,7.810527
2016-10-12,7.75,7.96,7.71,7.84,2700,7.810527
2016-10-11,8.00,8.13,7.72,7.72,7300,7.690977
2016-10-10,7.90,8.03,7.90,8.00,7100,7.969925
2016-10-07,7.98,8.04,7.72,7.81,18900,7.780639
2016-10-06,7.76,7.76,7.76,7.76,000,7.730827
2016-10-05,8.01,8.18,7.74,7.76,5000,7.730827
2016-10-04,7.97,8.77,7.97,8.10,7700,8.069549
2016-10-03,7.76,7.76,7.51,7.62,16300,7.591353
2016-09-30,7.36,8.00,7.25,7.89,44900,7.860338
2016-09-29,7.64,7.64,7.35,7.35,11000,7.322368
2016-09-28,7.42,7.70,7.35,7.40,19800,7.372181
2016-09-27,7.40,7.63,7.35,7.35,8100,7.322368
2016-09-26,7.42,7.52,7.38,7.38,2800,7.352256
2016-09-23,7.54,7.54,7.54,7.54,500,7.511654
2016-09-22,7.40,7.60,7.40,7.41,5300,7.382143
2016-09-21,7.40,7.53,7.40,7.53,300,7.501692
2016-09-20,7.46,7.62,7.46,7.53,1300,7.501692
2016-09-19,7.46,7.63,7.44,7.45,4500,7.421992
2016-09-16,7.64,7.83,7.40,7.83,1400,7.800564
2016-09-15,7.73,7.73,7.42,7.45,2800,7.421992
2016-09-14,7.37,7.71,7.37,7.51,1100,7.481767
2016-09-13,7.79,7.80,7.36,7.37,3200,7.342293
2016-09-12,7.35,7.83,7.35,7.56,9800,7.531579
2016-09-09,7.63,7.63,7.40,7.41,2000,7.382143
2016-09-08,7.45,7.61,7.39,7.45,1200,7.421992
2016-09-07,7.72,7.88,7.69,7.83,800,7.800564
2016-09-06,7.87,7.87,7.68,7.71,9700,7.681015
2016-09-02,7.88,7.88,7.66,7.70,14500,7.671053
2016-09-01,7.75,7.82,7.44,7.65,6400,7.621241
2016-08-31,7.51,7.82,7.50,7.74,6000,7.710902
2016-08-30,7.79,7.88,7.43,7.58,19500,7.551504
2016-08-29,7.46,7.75,7.35,7.51,20100,7.481767
2016-08-26,7.36,7.36,7.36,7.36,000,7.332331
2016-08-25,7.35,7.43,7.35,7.36,800,7.332331
2016-08-24,7.40,7.40,7.40,7.40,200,7.372181
2016-08-23,7.50,7.53,7.30,7.48,9400,7.45188
2016-08-22,7.42,7.42,7.42,7.42,000,7.392105
2016-08-19,7.25,7.60,7.25,7.42,28500,7.392105
2016-08-18,7.40,7.50,7.23,7.23,12400,7.20282
2016-08-17,7.08,7.60,7.02,7.49,14700,7.461842
2016-08-16,7.42,7.42,7.03,7.15,2300,7.12312
2016-08-15,7.24,7.45,7.24,7.43,5400,7.402068
2016-08-12,7.09,7.12,7.09,7.12,1300,7.093233
2016-08-11,7.00,7.00,7.00,7.00,2000,6.973684
2016-08-10,6.99,6.99,6.99,6.99,200,6.963722
2016-08-09,7.00,7.17,7.00,7.14,13700,7.113158
2016-08-08,6.93,7.23,6.93,7.02,2200,6.993609
2016-08-05,6.80,7.22,6.80,7.01,9400,6.983647
2016-08-04,6.77,7.00,6.77,7.00,6300,6.973684
2016-08-03,6.65,6.65,6.65,6.65,000,6.625
2016-08-02,6.65,6.65,6.65,6.65,000,6.625
2016-08-01,7.00,7.00,6.51,6.65,1100,6.625
2016-07-29,6.87,6.99,6.50,6.99,10200,6.963722
2016-07-28,6.79,6.79,6.79,6.79,000,6.764474
2016-07-27,6.64,6.84,6.48,6.79,11800,6.734586
2016-07-26,6.67,6.67,6.67,6.67,000,6.615566
2016-07-25,7.00,7.00,6.63,6.67,1800,6.615566
2016-07-22,6.74,6.75,6.68,6.70,8200,6.645321
2016-07-21,6.69,6.69,6.61,6.61,400,6.556055
2016-07-20,6.75,6.75,6.60,6.61,5300,6.556055
2016-07-19,6.84,6.84,6.84,6.84,000,6.784178
2016-07-18,6.90,6.90,6.80,6.84,3300,6.784178
2016-07-15,6.82,6.86,6.80,6.86,1900,6.804015
2016-07-14,6.65,6.88,6.65,6.80,4200,6.744505
2016-07-13,6.70,6.78,6.52,6.70,12100,6.645321
2016-07-12,6.65,6.65,6.56,6.56,2300,6.506463
2016-07-11,6.54,6.75,6.54,6.75,1100,6.694913
2016-07-08,6.53,6.54,6.50,6.54,4100,6.486627
2016-07-07,6.60,6.61,6.50,6.51,7500,6.456872
2016-07-06,6.60,6.60,6.50,6.50,3300,6.446953
2016-07-05,6.60,6.60,6.50,6.53,6700,6.476708
2016-07-01,6.44,6.44,6.44,6.44,000,6.387443
2016-06-30,6.60,6.60,6.41,6.44,9400,6.387443
2016-06-29,6.43,6.43,6.43,6.43,2100,6.377524
2016-06-28,6.48,6.48,6.48,6.48,4100,6.427116
