Date,Open,High,Low,Close,Volume,Adj Close
2016-12-01,5.75,5.82,5.74,5.80,149400,5.80
2016-11-30,5.75,5.81,5.71,5.71,97400,5.71
2016-11-29,5.78,5.81,5.71,5.74,121400,5.74
2016-11-28,5.82,5.83,5.75,5.78,114200,5.78
2016-11-25,5.80,5.84,5.78,5.83,41800,5.793
2016-11-23,5.70,5.81,5.69,5.81,88100,5.773127
2016-11-22,5.75,5.81,5.73,5.73,163400,5.693635
2016-11-21,5.65,5.74,5.63,5.73,210500,5.693635
2016-11-18,5.61,5.68,5.58,5.59,58900,5.554523
2016-11-17,5.63,5.72,5.60,5.64,73400,5.604206
2016-11-16,5.51,5.70,5.51,5.65,118700,5.614143
2016-11-15,5.58,5.59,5.48,5.53,122100,5.494904
2016-11-14,5.69,5.69,5.47,5.53,210200,5.494904
2016-11-11,5.60,5.74,5.58,5.68,125700,5.643952
2016-11-10,5.74,5.83,5.64,5.65,166200,5.614143
2016-11-09,5.50,5.78,5.45,5.70,131300,5.663825
2016-11-08,5.68,5.78,5.45,5.63,374600,5.59427
2016-11-07,5.91,5.91,5.78,5.79,163700,5.753254
2016-11-04,5.69,5.81,5.68,5.79,97900,5.753254
2016-11-03,5.61,5.78,5.61,5.73,170600,5.693635
2016-11-02,5.68,5.69,5.54,5.61,248700,5.574396
2016-11-01,5.80,5.84,5.67,5.68,166200,5.643952
2016-10-31,5.82,5.85,5.79,5.79,62500,5.753254
2016-10-28,5.89,5.89,5.81,5.83,42300,5.793
2016-10-27,5.85,5.92,5.85,5.88,63400,5.842683
2016-10-26,5.94,5.96,5.88,5.89,104700,5.815854
2016-10-25,5.97,5.97,5.93,5.93,73600,5.85535
2016-10-24,5.90,5.97,5.90,5.94,76300,5.865225
2016-10-21,5.88,5.96,5.88,5.91,72400,5.835602
2016-10-20,5.96,5.97,5.92,5.94,78000,5.865225
2016-10-19,5.98,6.02,5.96,5.96,104200,5.884973
2016-10-18,5.96,5.99,5.91,5.95,125000,5.875099
2016-10-17,5.96,5.96,5.90,5.93,87700,5.85535
2016-10-14,5.93,5.96,5.89,5.90,80400,5.825728
2016-10-13,5.88,5.94,5.81,5.89,83800,5.815854
2016-10-12,5.91,5.94,5.88,5.92,76300,5.845477
2016-10-11,5.97,5.98,5.92,5.92,44400,5.845477
2016-10-10,5.94,5.99,5.91,5.97,47200,5.894847
2016-10-07,5.98,5.98,5.90,5.91,141500,5.835602
2016-10-06,5.97,5.98,5.93,5.96,103900,5.884973
2016-10-05,5.92,5.99,5.92,5.97,119400,5.894847
2016-10-04,6.03,6.04,5.91,5.93,192500,5.85535
2016-10-03,5.99,6.07,5.98,6.04,118200,5.963966
2016-09-30,5.96,6.02,5.94,5.99,422400,5.914595
2016-09-29,6.02,6.07,5.93,5.96,108300,5.884973
2016-09-28,6.00,6.04,5.93,6.02,131500,5.944218
2016-09-27,5.97,6.04,5.95,6.02,176800,5.907683
2016-09-26,6.02,6.06,5.96,5.98,153000,5.86843
2016-09-23,6.04,6.06,5.97,6.03,152000,5.917497
2016-09-22,6.07,6.08,5.99,6.04,219700,5.92731
2016-09-21,6.00,6.07,5.93,6.04,255300,5.92731
2016-09-20,6.01,6.03,5.90,5.98,134100,5.86843
2016-09-19,6.00,6.05,5.95,6.01,272200,5.89787
2016-09-16,5.93,5.96,5.75,5.96,411600,5.848803
2016-09-15,5.55,5.92,5.53,5.88,839900,5.770295
2016-09-14,5.41,5.55,5.37,5.50,143700,5.397385
2016-09-13,5.53,5.55,5.42,5.43,184200,5.328691
2016-09-12,5.55,5.64,5.49,5.58,153100,5.475892
2016-09-09,5.69,5.70,5.54,5.58,297900,5.475892
2016-09-08,5.75,5.77,5.71,5.72,245700,5.61328
2016-09-07,5.77,5.80,5.65,5.74,240200,5.632907
2016-09-06,5.70,5.79,5.69,5.77,371600,5.662348
2016-09-02,5.55,5.63,5.53,5.63,124600,5.52496
2016-09-01,5.42,5.52,5.41,5.49,75000,5.387571
2016-08-31,5.47,5.48,5.39,5.41,77700,5.309064
2016-08-30,5.48,5.54,5.47,5.48,98200,5.377758
2016-08-29,5.51,5.54,5.47,5.48,110500,5.377758
2016-08-26,5.54,5.60,5.47,5.52,86400,5.380702
2016-08-25,5.49,5.57,5.48,5.54,42800,5.400197
2016-08-24,5.57,5.58,5.47,5.50,96600,5.361207
2016-08-23,5.60,5.62,5.56,5.58,98500,5.439188
2016-08-22,5.50,5.59,5.50,5.58,77200,5.439188
2016-08-19,5.52,5.60,5.48,5.56,116300,5.419693
2016-08-18,5.42,5.58,5.42,5.58,173400,5.439188
2016-08-17,5.35,5.43,5.34,5.41,162500,5.273478
2016-08-16,5.35,5.37,5.32,5.37,77200,5.234487
2016-08-15,5.32,5.36,5.32,5.35,80900,5.214992
2016-08-12,5.36,5.40,5.31,5.33,66500,5.195497
2016-08-11,5.31,5.39,5.31,5.37,57800,5.234487
2016-08-10,5.33,5.34,5.30,5.30,51800,5.166254
2016-08-09,5.30,5.33,5.25,5.29,73100,5.156506
2016-08-08,5.30,5.33,5.28,5.31,117600,5.176001
2016-08-05,5.24,5.28,5.22,5.27,42000,5.137011
2016-08-04,5.27,5.29,5.25,5.26,35700,5.127264
2016-08-03,5.23,5.28,5.21,5.26,46400,5.127264
2016-08-02,5.30,5.31,5.20,5.26,109700,5.127264
2016-08-01,5.25,5.35,5.23,5.31,83400,5.176001
2016-07-29,5.27,5.30,5.24,5.27,93700,5.137011
2016-07-28,5.30,5.30,5.22,5.23,117000,5.09802
2016-07-27,5.24,5.26,5.21,5.22,46100,5.088272
2016-07-26,5.28,5.31,5.23,5.25,147100,5.08145
2016-07-25,5.24,5.30,5.21,5.30,112200,5.129844
2016-07-22,5.26,5.26,5.20,5.25,91800,5.08145
2016-07-21,5.24,5.29,5.22,5.24,59500,5.07177
2016-07-20,5.21,5.28,5.16,5.22,75200,5.052412
2016-07-19,5.26,5.27,5.20,5.20,183700,5.033055
2016-07-18,5.28,5.32,5.25,5.29,47100,5.120165
2016-07-15,5.34,5.34,5.28,5.30,57700,5.129844
2016-07-14,5.35,5.35,5.29,5.32,91400,5.149202
2016-07-13,5.32,5.32,5.26,5.27,58800,5.100807
2016-07-12,5.30,5.34,5.29,5.29,153200,5.120165
2016-07-11,5.20,5.28,5.18,5.27,170600,5.100807
2016-07-08,5.18,5.20,5.10,5.20,132500,5.033055
2016-07-07,5.17,5.22,5.12,5.18,62000,5.013697
2016-07-06,5.16,5.21,5.08,5.16,56500,4.994339
2016-07-05,5.19,5.22,5.11,5.14,82400,4.974981
2016-07-01,5.12,5.23,5.12,5.23,68400,5.062092
2016-06-30,5.13,5.15,5.08,5.14,71000,4.974981
2016-06-29,5.11,5.12,5.04,5.10,62400,4.936265
2016-06-28,4.96,5.08,4.96,5.02,59700,4.858834
2016-06-27,5.00,5.05,4.92,4.96,122800,4.764948
2016-06-24,5.00,5.14,4.89,5.04,236600,4.841802
2016-06-23,5.13,5.19,5.13,5.17,84900,4.96669
2016-06-22,5.15,5.16,5.07,5.11,99800,4.909049
2016-06-21,5.16,5.16,5.09,5.15,69800,4.947476
2016-06-20,5.05,5.18,5.05,5.10,254400,4.899442
