Date,Open,High,Low,Close,Volume,Adj Close
2016-12-01,0.96,1.00,0.89,0.89,47900,0.89
2016-11-30,1.01,1.03,0.92,0.93,90900,0.93
2016-11-29,1.02,1.05,1.00,1.00,10600,1.00
2016-11-28,1.04,1.04,1.00,1.01,24200,1.01
2016-11-25,1.02,1.04,1.00,1.03,2300,1.03
2016-11-23,1.00,1.06,0.98,1.01,161300,1.01
2016-11-22,1.02,1.03,0.99,1.01,44400,1.01
2016-11-21,1.04,1.05,0.98,1.00,49900,1.00
2016-11-18,1.05,1.05,1.00,1.01,35200,1.01
2016-11-17,1.04,1.05,1.01,1.03,47800,1.03
2016-11-16,1.04,1.05,1.00,1.05,39000,1.05
2016-11-15,1.02,1.05,1.02,1.03,44100,1.03
2016-11-14,1.05,1.05,1.00,1.00,67400,1.00
2016-11-11,1.06,1.06,1.02,1.05,13600,1.05
2016-11-10,1.13,1.13,1.01,1.06,60600,1.06
2016-11-09,1.07,1.10,1.00,1.08,28300,1.08
2016-11-08,1.19,1.25,1.05,1.08,72900,1.08
2016-11-07,1.27,1.32,1.20,1.31,41300,1.06
2016-11-04,1.20,1.25,1.18,1.22,20100,0.987176
2016-11-03,1.29,1.29,1.20,1.21,15500,0.979084
2016-11-02,1.24,1.30,1.20,1.25,10200,1.01145
2016-11-01,1.31,1.31,1.23,1.29,21600,1.043817
2016-10-31,1.26,1.36,1.19,1.25,75700,1.01145
2016-10-28,1.35,1.43,1.18,1.29,184100,1.043817
2016-10-27,1.47,1.50,1.37,1.37,52500,1.10855
2016-10-26,1.56,1.58,1.45,1.45,164500,1.173282
2016-10-25,1.65,1.70,1.62,1.64,13500,1.327023
2016-10-24,1.70,1.71,1.64,1.65,48000,1.335114
2016-10-21,1.74,1.74,1.70,1.70,15400,1.375573
2016-10-20,1.79,1.79,1.72,1.73,10000,1.399847
2016-10-19,1.72,1.81,1.72,1.74,14800,1.407939
2016-10-18,1.72,1.75,1.72,1.73,5300,1.399847
2016-10-17,1.73,1.75,1.71,1.74,6500,1.407939
2016-10-14,1.74,1.77,1.71,1.74,5300,1.407939
2016-10-13,1.85,1.85,1.73,1.73,3500,1.399847
2016-10-12,1.73,1.78,1.73,1.75,19300,1.416031
2016-10-11,1.99,1.99,1.74,1.82,67500,1.472672
2016-10-10,1.72,1.78,1.70,1.73,36900,1.399847
2016-10-07,1.76,1.82,1.73,1.79,46800,1.448397
2016-10-06,1.75,1.81,1.75,1.78,19800,1.440305
2016-10-05,1.73,1.76,1.73,1.74,28000,1.407939
2016-10-04,1.80,1.84,1.74,1.74,30600,1.407939
2016-10-03,1.80,1.89,1.78,1.81,97500,1.46458
2016-09-30,1.84,1.84,1.76,1.78,6400,1.440305
2016-09-29,1.80,1.80,1.75,1.75,17500,1.416031
2016-09-28,1.84,1.89,1.81,1.82,1900,1.472672
2016-09-27,1.80,1.86,1.79,1.83,18300,1.480763
2016-09-26,1.80,1.92,1.78,1.78,33000,1.440305
2016-09-23,1.77,1.80,1.76,1.79,8200,1.448397
2016-09-22,1.79,1.84,1.73,1.76,37300,1.424122
2016-09-21,1.75,1.79,1.66,1.78,100100,1.440305
2016-09-20,1.81,1.86,1.75,1.76,47600,1.424122
2016-09-19,1.78,1.82,1.77,1.81,26100,1.46458
2016-09-16,1.82,1.85,1.71,1.83,138000,1.480763
2016-09-15,1.84,1.93,1.83,1.83,10500,1.480763
2016-09-14,1.89,1.98,1.83,1.83,17400,1.480763
2016-09-13,1.92,2.00,1.85,1.89,131200,1.529313
2016-09-12,1.89,2.05,1.85,1.91,223300,1.545496
2016-09-09,1.90,1.93,1.85,1.86,36900,1.505038
2016-09-08,1.82,1.92,1.81,1.89,107400,1.529313
2016-09-07,1.84,1.91,1.79,1.81,32600,1.46458
2016-09-06,1.88,1.95,1.82,1.83,49800,1.480763
2016-09-02,1.84,1.92,1.84,1.86,16000,1.505038
2016-09-01,1.90,1.99,1.83,1.83,87000,1.480763
2016-08-31,2.03,2.05,1.93,1.95,53700,1.577863
2016-08-30,2.01,2.18,2.01,2.02,48000,1.634504
2016-08-29,2.02,2.04,2.00,2.01,25600,1.626412
2016-08-26,2.08,2.10,2.02,2.03,47300,1.642595
2016-08-25,2.16,2.22,2.05,2.06,45600,1.66687
2016-08-24,2.28,2.36,2.10,2.13,182500,1.723512
2016-08-23,2.60,2.60,2.17,2.25,257900,1.820611
2016-08-22,2.28,2.60,2.00,2.58,574100,2.087633
2016-08-19,3.39,3.45,3.38,3.41,87300,1.747786
2016-08-18,3.35,3.40,3.33,3.39,61800,1.737535
2016-08-17,3.48,3.48,3.30,3.34,65000,1.711908
2016-08-16,3.44,3.52,3.32,3.35,86200,1.717033
2016-08-15,3.51,3.54,3.34,3.42,65600,1.752912
2016-08-12,3.60,3.60,3.46,3.58,124700,1.834919
2016-08-11,3.50,3.65,3.50,3.58,142400,1.834919
2016-08-10,3.50,3.59,3.41,3.58,178400,1.834919
2016-08-09,3.55,3.55,3.40,3.53,237300,1.809292
2016-08-08,3.60,3.65,3.32,3.55,300300,1.819543
2016-08-05,3.30,3.33,3.25,3.32,160900,1.701657
2016-08-04,3.14,3.35,3.00,3.33,340600,1.706783
2016-08-03,3.12,3.25,2.95,3.05,438100,1.563269
2016-08-02,2.45,2.45,2.45,2.45,7100,1.255741
2016-08-01,2.44,2.53,2.43,2.49,11200,1.276243
2016-07-29,2.46,2.51,2.44,2.45,6100,1.255741
2016-07-28,2.49,2.51,2.44,2.51,21900,1.286494
2016-07-27,2.48,2.54,2.44,2.50,10000,1.281368
2016-07-26,2.49,2.63,2.49,2.52,11000,1.291619
2016-07-25,2.50,2.57,2.50,2.56,6700,1.312121
2016-07-22,2.48,2.54,2.48,2.51,4600,1.286494
2016-07-21,2.58,2.58,2.48,2.51,3400,1.286494
2016-07-20,2.57,2.57,2.51,2.52,3800,1.291619
2016-07-19,2.47,2.60,2.45,2.53,13600,1.296745
2016-07-18,2.50,2.56,2.49,2.49,5700,1.276243
2016-07-15,2.49,2.58,2.49,2.55,6400,1.306996
2016-07-14,2.49,2.53,2.49,2.53,5000,1.296745
2016-07-13,2.51,2.61,2.50,2.50,1400,1.281368
2016-07-12,2.51,2.55,2.51,2.51,2900,1.286494
2016-07-11,2.49,2.53,2.48,2.48,2700,1.271117
2016-07-08,2.59,2.63,2.49,2.50,1500,1.281368
2016-07-07,2.60,2.62,2.59,2.59,700,1.327497
2016-07-06,2.51,2.64,2.51,2.55,3600,1.306996
2016-07-05,2.52,2.56,2.48,2.50,3400,1.281368
2016-07-01,2.43,2.57,2.43,2.50,10800,1.281368
2016-06-30,2.54,2.59,2.43,2.45,23400,1.255741
2016-06-29,2.67,2.67,2.49,2.49,8000,1.276243
2016-06-28,2.58,2.58,2.50,2.50,21800,1.281368
2016-06-27,2.51,2.60,2.48,2.51,25900,1.286494
2016-06-24,2.50,2.65,2.50,2.50,52200,1.281368
2016-06-23,2.59,2.59,2.51,2.53,7700,1.296745
2016-06-22,2.58,2.61,2.53,2.53,4200,1.296745
2016-06-21,2.56,2.67,2.50,2.57,7300,1.317247
2016-06-20,2.62,2.62,2.56,2.56,11300,1.312121
2016-06-17,2.55,2.59,2.51,2.59,8000,1.327497
2016-06-16,2.52,2.58,2.49,2.52,6900,1.291619
2016-06-15,2.55,2.60,2.54,2.56,14700,1.312121
2016-06-14,2.53,2.53,2.50,2.51,3100,1.286494
2016-06-13,2.53,2.62,2.45,2.54,9700,1.30187
2016-06-10,2.55,2.65,2.47,2.47,7700,1.265992
2016-06-09,2.55,2.68,2.53,2.53,9100,1.296745
2016-06-08,2.59,2.70,2.55,2.67,4200,1.368501
2016-06-07,2.52,2.67,2.52,2.67,900,1.368501
2016-06-06,2.55,2.68,2.49,2.60,21900,1.332623
2016-06-03,2.57,2.69,2.45,2.52,49400,1.291619
2016-06-02,2.65,2.65,2.57,2.57,3900,1.317247
2016-06-01,2.57,2.65,2.57,2.63,9500,1.347999
2016-05-31,2.60,2.66,2.60,2.61,7400,1.337748
2016-05-27,2.57,2.65,2.45,2.57,14800,1.317247
2016-05-26,2.50,2.62,2.50,2.62,12200,1.342874
2016-05-25,2.45,2.63,2.45,2.48,19400,1.271117
2016-05-24,2.60,2.60,2.46,2.50,2000,1.281368
2016-05-23,2.49,2.50,2.45,2.50,4100,1.281368
2016-05-20,2.50,2.51,2.47,2.48,2900,1.271117
2016-05-19,2.46,2.48,2.46,2.46,1400,1.260866
2016-05-18,2.51,2.54,2.45,2.54,12600,1.30187
2016-05-17,2.56,2.56,2.46,2.48,7100,1.271117
2016-05-16,2.53,2.58,2.50,2.54,5000,1.30187
2016-05-13,2.48,2.56,2.46,2.56,7500,1.312121
2016-05-12,2.49,2.57,2.48,2.51,12000,1.286494
2016-05-11,2.51,2.57,2.49,2.55,2600,1.306996
2016-05-10,2.56,2.56,2.51,2.55,700,1.306996
2016-05-09,2.51,2.58,2.51,2.58,3000,1.322372
2016-05-06,2.53,2.58,2.51,2.58,10000,1.322372
2016-05-05,2.48,2.58,2.48,2.58,13800,1.322372
2016-05-04,2.54,2.57,2.49,2.57,1300,1.317247
2016-05-03,2.56,2.59,2.50,2.51,35700,1.286494
2016-05-02,2.57,2.60,2.57,2.57,9400,1.317247
2016-04-29,2.54,2.66,2.53,2.57,1800,1.317247
2016-04-28,2.56,2.65,2.48,2.51,81100,1.286494
2016-04-27,2.59,2.61,2.51,2.55,44700,1.306996
2016-04-26,2.70,2.75,2.42,2.66,76800,1.363376
2016-04-25,2.81,2.87,2.80,2.81,18200,1.440258
2016-04-22,2.80,2.87,2.76,2.79,18500,1.430007
2016-04-21,2.88,2.90,2.73,2.78,31300,1.424882
2016-04-20,2.73,2.83,2.73,2.83,22600,1.450509
2016-04-19,2.77,2.81,2.74,2.74,15900,1.40438
2016-04-18,2.69,2.80,2.69,2.74,5800,1.40438
2016-04-15,2.68,2.76,2.65,2.65,10000,1.35825
2016-04-14,2.76,2.80,2.64,2.64,2600,1.353125
2016-04-13,2.75,2.81,2.72,2.72,11800,1.394129
2016-04-12,2.70,2.76,2.70,2.71,3400,1.389003
2016-04-11,2.65,2.70,2.61,2.70,31200,1.383878
2016-04-08,2.66,2.70,2.61,2.61,9500,1.337748
2016-04-07,2.70,2.70,2.64,2.64,64000,1.353125
2016-04-06,2.67,2.67,2.64,2.64,11900,1.353125
2016-04-05,2.69,2.70,2.67,2.67,8700,1.368501
2016-04-04,2.69,2.73,2.67,2.70,3800,1.383878
2016-04-01,2.67,2.70,2.61,2.64,46500,1.353125
2016-03-31,2.64,2.71,2.64,2.65,12600,1.35825
2016-03-30,2.69,2.75,2.60,2.60,14400,1.332623
2016-03-29,2.66,2.74,2.65,2.65,61400,1.35825
2016-03-28,2.70,2.71,2.61,2.61,7900,1.337748
2016-03-24,2.74,2.78,2.70,2.70,16900,1.383878
2016-03-23,2.76,2.79,2.75,2.75,6300,1.409505
2016-03-22,2.73,2.81,2.70,2.75,21200,1.409505
2016-03-21,2.68,2.78,2.66,2.77,33200,1.419756
2016-03-18,2.70,2.77,2.68,2.68,30400,1.373627
2016-03-17,2.67,2.81,2.65,2.70,16900,1.383878
2016-03-16,2.64,2.69,2.63,2.69,34300,1.378752
2016-03-15,2.68,2.70,2.62,2.66,11600,1.363376
2016-03-14,2.69,2.72,2.61,2.70,36100,1.383878
2016-03-11,2.70,2.75,2.68,2.75,95900,1.409505
2016-03-10,2.70,2.70,2.67,2.68,11100,1.373627
2016-03-09,2.65,2.70,2.65,2.68,20900,1.373627
2016-03-08,2.61,2.68,2.59,2.61,24600,1.337748
2016-03-07,2.64,2.70,2.56,2.64,48700,1.353125
2016-03-04,2.63,2.65,2.57,2.58,29400,1.322372
2016-03-03,2.61,2.65,2.59,2.64,72200,1.353125
2016-03-02,2.49,2.61,2.49,2.61,48000,1.337748
2016-03-01,2.55,2.56,2.49,2.51,63000,1.286494
2016-02-29,2.55,2.59,2.46,2.54,2303600,1.30187
2016-02-26,2.50,2.56,2.48,2.51,349500,1.286494
2016-02-25,2.50,2.58,2.40,2.46,22400,1.260866
2016-02-24,2.45,2.58,2.44,2.54,13500,1.30187
2016-02-23,2.59,2.59,2.35,2.50,19600,1.281368
2016-02-22,2.59,2.59,2.48,2.55,7300,1.306996
2016-02-19,2.51,2.52,2.41,2.45,7200,1.255741
2016-02-18,2.54,2.54,2.35,2.44,6200,1.250615
2016-02-17,2.50,2.57,2.40,2.47,21100,1.265992
2016-02-16,2.26,2.43,2.26,2.37,3300,1.214737
2016-02-12,2.34,2.39,2.25,2.35,30000,1.204486
2016-02-11,2.32,2.44,2.28,2.28,34200,1.168608
2016-02-10,2.32,2.47,2.30,2.34,4400,1.199361
2016-02-09,2.33,2.38,2.28,2.32,29200,1.18911
2016-02-08,2.47,2.47,2.30,2.32,27800,1.18911
2016-02-05,2.47,2.47,2.40,2.42,14100,1.240365
2016-02-04,2.39,2.48,2.39,2.48,500,1.271117
2016-02-03,2.39,2.41,2.29,2.39,19600,1.224988
2016-02-02,2.43,2.45,2.40,2.45,10800,1.255741
2016-02-01,2.41,2.44,2.40,2.43,23300,1.24549
2016-01-29,2.44,2.45,2.40,2.40,3300,1.230114
2016-01-28,2.40,2.48,2.40,2.45,18700,1.255741
2016-01-27,2.52,2.57,2.45,2.45,7800,1.255741
2016-01-26,2.51,2.55,2.48,2.48,37900,1.271117
2016-01-25,2.61,2.61,2.51,2.51,3300,1.286494
2016-01-22,2.62,2.62,2.55,2.59,15800,1.327497
2016-01-21,2.42,2.50,2.40,2.49,28300,1.276243
2016-01-20,2.50,2.50,2.40,2.50,36000,1.281368
2016-01-19,2.61,2.62,2.51,2.55,17100,1.306996
2016-01-15,2.61,2.64,2.55,2.59,28200,1.327497
2016-01-14,2.61,2.71,2.57,2.61,78000,1.337748
2016-01-13,2.61,2.65,2.59,2.61,27000,1.337748
2016-01-12,2.67,2.76,2.58,2.64,2800,1.353125
2016-01-11,2.66,2.67,2.66,2.67,5000,1.368501
2016-01-08,2.62,2.73,2.61,2.69,3400,1.378752
2016-01-07,2.74,2.74,2.61,2.61,19900,1.337748
2016-01-06,2.71,2.76,2.70,2.74,3700,1.40438
2016-01-05,2.70,2.85,2.68,2.79,4500,1.430007
2016-01-04,2.79,2.88,2.78,2.78,4600,1.424882
2015-12-31,2.76,2.86,2.73,2.79,7900,1.430007
2015-12-30,2.80,2.85,2.77,2.77,6700,1.419756
2015-12-29,2.82,2.88,2.70,2.85,5900,1.46076
2015-12-28,2.74,2.88,2.70,2.88,6200,1.476136
2015-12-24,2.66,2.75,2.65,2.75,800,1.409505
2015-12-23,2.78,2.81,2.69,2.69,5900,1.378752
2015-12-22,2.73,2.76,2.67,2.72,52700,1.394129
2015-12-21,2.78,2.78,2.75,2.78,800,1.424882
2015-12-18,2.61,2.77,2.61,2.74,15200,1.40438
2015-12-17,2.79,2.79,2.68,2.68,2300,1.373627
2015-12-16,2.69,2.75,2.63,2.65,12800,1.35825
2015-12-15,2.79,2.79,2.60,2.69,13900,1.378752
2015-12-14,2.79,2.89,2.75,2.76,17300,1.414631
2015-12-11,2.89,2.89,2.79,2.79,8600,1.430007
2015-12-10,2.79,2.85,2.79,2.85,1700,1.46076
2015-12-09,2.82,2.86,2.79,2.86,4700,1.465885
2015-12-08,2.80,2.92,2.79,2.79,16800,1.430007
2015-12-07,2.85,2.93,2.80,2.81,8600,1.440258
2015-12-04,2.86,2.93,2.82,2.82,10200,1.445383
2015-12-03,2.85,2.88,2.79,2.81,34400,1.440258
2015-12-02,2.82,2.88,2.80,2.81,45700,1.440258
2015-12-01,2.90,2.90,2.81,2.81,22100,1.440258
2015-11-30,2.80,2.90,2.80,2.89,13300,1.481262
2015-11-27,2.80,2.80,2.80,2.80,200,1.435132
2015-11-25,2.80,2.83,2.78,2.83,1200,1.450509
2015-11-24,2.76,2.84,2.76,2.83,3800,1.450509
2015-11-23,2.82,2.82,2.80,2.80,6500,1.435132
