Date,Open,High,Low,Close,Volume,Adj Close
2016-12-01,16.549999,16.75,16.379999,16.700001,61200,16.700001
2016-11-30,16.790001,16.790001,16.25,16.530001,69700,16.530001
2016-11-29,16.75,16.790001,16.610001,16.74,106200,16.74
2016-11-28,16.75,16.83,16.629999,16.75,109600,16.75
2016-11-25,16.370001,16.68,16.370001,16.68,70900,16.68
2016-11-23,16.370001,16.40,16.26,16.309999,63100,16.309999
2016-11-22,16.370001,16.40,16.309999,16.33,92000,16.33
2016-11-21,16.309999,16.41,16.200001,16.290001,70400,16.290001
2016-11-18,16.35,16.40,16.030001,16.360001,75500,16.242001
2016-11-17,16.40,16.40,16.219999,16.35,46000,16.232073
2016-11-16,16.200001,16.40,16.139999,16.209999,51200,16.093081
2016-11-15,16.27,16.379999,16.10,16.17,61400,16.053371
2016-11-14,16.209999,16.209999,16.01,16.190001,53600,16.073227
2016-11-11,16.18,16.209999,16.00,16.200001,48200,16.083155
2016-11-10,16.049999,16.200001,15.96,16.200001,53200,16.083155
2016-11-09,15.60,16.00,15.54,15.98,94700,15.864741
2016-11-08,15.62,15.92,15.62,15.89,39700,15.775391
2016-11-07,15.58,15.71,15.54,15.71,30400,15.596689
2016-11-04,15.36,15.63,15.31,15.41,59600,15.298852
2016-11-03,15.32,15.50,15.27,15.41,49900,15.298852
2016-11-02,15.50,15.56,15.06,15.16,147100,15.050655
2016-11-01,15.59,15.61,15.38,15.46,67000,15.348492
2016-10-31,15.73,15.74,15.50,15.50,58200,15.388203
2016-10-28,15.67,15.75,15.55,15.66,35300,15.547049
2016-10-27,15.66,15.82,15.61,15.70,37100,15.58676
2016-10-26,15.82,15.87,15.60,15.65,69200,15.537121
2016-10-25,15.86,15.90,15.78,15.86,64000,15.745606
2016-10-24,16.049999,16.049999,15.85,15.94,41300,15.825029
2016-10-21,15.95,16.00,15.93,16.00,34000,15.884597
2016-10-20,15.95,15.99,15.89,15.95,25200,15.834957
2016-10-19,15.86,15.95,15.80,15.94,54000,15.825029
2016-10-18,15.73,15.80,15.65,15.80,196700,15.68604
2016-10-17,16.01,16.08,15.72,15.73,127800,15.499395
2016-10-14,16.15,16.17,16.02,16.02,47600,15.785144
2016-10-13,16.049999,16.200001,16.049999,16.10,37000,15.863971
2016-10-12,16.129999,16.200001,16.049999,16.110001,29400,15.873825
2016-10-11,16.25,16.299999,16.02,16.08,72500,15.844264
2016-10-10,16.379999,16.41,16.299999,16.389999,86000,16.149719
2016-10-07,16.23,16.35,16.200001,16.299999,97400,16.061038
2016-10-06,16.110001,16.209999,16.049999,16.190001,62800,15.952652
2016-10-05,16.209999,16.290001,16.01,16.10,80600,15.863971
2016-10-04,16.34,16.34,16.209999,16.24,62800,16.001918
2016-10-03,16.25,16.299999,16.209999,16.290001,54400,16.051187
2016-09-30,16.25,16.34,16.15,16.209999,139400,15.972358
2016-09-29,16.16,16.290001,16.09,16.190001,66400,15.952652
2016-09-28,16.08,16.26,16.049999,16.190001,55600,15.952652
2016-09-27,16.08,16.200001,16.01,16.120001,100500,15.883679
2016-09-26,16.16,16.23,16.15,16.18,39000,15.942799
