Date,Open,High,Low,Close,Volume,Adj Close
2016-12-01,31.15,31.76,31.15,31.65,77500,31.65
2016-11-30,31.68,31.950001,31.129999,31.26,46400,31.26
2016-11-29,31.23,31.950001,31.23,31.309999,35500,31.309999
2016-11-28,31.860001,31.98,31.280001,31.34,36300,31.34
2016-11-25,31.280001,32.200001,29.629999,32.040001,17600,32.040001
2016-11-23,32.00,32.380001,31.469999,32.130001,39600,32.130001
2016-11-22,30.950001,31.959999,30.950001,31.940001,56200,31.940001
2016-11-21,31.01,31.01,30.34,30.870001,50600,30.870001
2016-11-18,30.639999,31.01,30.40,31.00,74500,31.00
2016-11-17,30.52,30.75,30.42,30.58,86900,30.58
2016-11-16,30.389999,30.700001,30.209999,30.610001,57800,30.610001
2016-11-15,30.049999,30.709999,29.809999,30.67,46600,30.67
2016-11-14,29.98,31.00,29.809999,30.33,85300,30.33
2016-11-11,29.25,30.00,29.190001,29.98,127500,29.98
2016-11-10,27.98,29.25,27.389999,29.17,83400,29.17
2016-11-09,26.610001,28.08,26.57,27.90,75200,27.90
2016-11-08,26.35,26.74,26.309999,26.43,29100,26.43
2016-11-07,26.10,26.629999,25.959999,26.49,46600,26.49
2016-11-04,25.90,25.959999,25.610001,25.66,33700,25.66
2016-11-03,25.629999,25.83,25.629999,25.809999,31000,25.809999
2016-11-02,25.559999,25.950001,25.43,25.49,50900,25.49
2016-11-01,26.440001,26.469999,25.65,25.76,40800,25.76
2016-10-31,26.209999,26.799999,25.93,26.32,79100,26.32
2016-10-28,27.49,27.49,26.10,26.23,27000,26.23
2016-10-27,26.950001,27.52,26.360001,26.41,54300,26.41
2016-10-26,26.440001,26.540001,26.309999,26.370001,22700,26.370001
2016-10-25,26.35,26.57,26.25,26.51,41700,26.51
2016-10-24,26.440001,26.809999,26.440001,26.57,30600,26.57
2016-10-21,26.290001,26.530001,26.08,26.209999,37800,26.209999
2016-10-20,26.51,26.809999,26.24,26.43,23900,26.43
2016-10-19,26.219999,26.68,26.219999,26.469999,43000,26.469999
2016-10-18,26.16,26.23,25.90,26.18,30800,26.18
2016-10-17,25.85,26.120001,25.85,25.98,22800,25.98
2016-10-14,26.25,26.379999,25.879999,26.02,50100,26.02
2016-10-13,26.33,26.33,25.940001,26.00,31600,26.00
2016-10-12,26.610001,26.809999,26.34,26.43,46400,26.43
2016-10-11,26.84,27.209999,26.469999,26.540001,51600,26.540001
2016-10-10,26.73,26.940001,26.59,26.85,20800,26.85
2016-10-07,26.610001,26.67,26.26,26.60,28900,26.60
2016-10-06,26.51,26.690001,26.440001,26.559999,30400,26.559999
2016-10-05,26.49,26.809999,26.440001,26.540001,33900,26.540001
2016-10-04,26.40,26.99,25.92,26.450001,26900,26.450001
2016-10-03,26.57,26.610001,26.23,26.40,33700,26.40
2016-09-30,26.389999,26.889999,26.33,26.77,43200,26.77
2016-09-29,26.360001,26.67,26.200001,26.25,44700,26.25
2016-09-28,26.389999,26.530001,26.190001,26.49,45900,26.49
2016-09-27,26.219999,26.57,25.84,26.389999,31400,26.389999
2016-09-26,26.76,26.76,25.790001,26.200001,34000,26.200001
2016-09-23,26.84,26.99,26.58,26.91,91700,26.91
2016-09-22,26.82,26.99,26.42,26.959999,54600,26.959999
2016-09-21,26.620001,26.92,26.51,26.639999,56700,26.639999
2016-09-20,26.809999,26.879999,26.540001,26.58,43400,26.58
2016-09-19,26.67,26.90,26.65,26.75,34400,26.75
2016-09-16,26.629999,26.77,26.49,26.610001,78900,26.610001
2016-09-15,26.549999,26.639999,26.50,26.58,29700,26.58
2016-09-14,26.60,26.889999,26.49,26.50,44300,26.50
2016-09-13,26.90,26.90,26.309999,26.52,56600,26.52
2016-09-12,26.90,27.09,26.60,27.059999,61300,27.059999
2016-09-09,26.950001,27.23,26.799999,27.00,66300,26.85
2016-09-08,27.25,27.35,26.98,27.040001,32100,26.889778
2016-09-07,26.65,27.34,26.620001,27.299999,113000,27.148332
2016-09-06,27.049999,27.049999,26.43,26.790001,57400,26.641167
2016-09-02,26.65,27.15,26.57,27.129999,25500,26.979277
2016-09-01,26.99,27.35,26.549999,26.83,62400,26.680944
2016-08-31,27.58,27.629999,26.790001,27.040001,54200,26.889778
2016-08-30,26.66,27.16,26.66,27.049999,42600,26.899721
2016-08-29,26.73,27.02,26.49,26.709999,61800,26.56161
2016-08-26,26.790001,27.120001,26.690001,26.75,51200,26.601388
2016-08-25,26.68,26.870001,26.57,26.780001,62000,26.631223
2016-08-24,26.74,26.76,26.51,26.629999,35200,26.482054
2016-08-23,26.51,26.799999,26.50,26.52,21800,26.372667
2016-08-22,26.559999,26.629999,26.309999,26.49,32900,26.342833
2016-08-19,26.33,26.709999,26.33,26.620001,64500,26.472112
2016-08-18,26.25,26.35,25.940001,26.34,35500,26.193666
2016-08-17,25.969999,26.24,25.870001,26.23,57100,26.084277
2016-08-16,25.950001,26.15,25.809999,25.940001,36600,25.795889
2016-08-15,25.719999,26.059999,25.719999,26.040001,50100,25.895334
2016-08-12,25.58,25.77,25.52,25.75,38700,25.606944
2016-08-11,25.84,25.90,25.629999,25.709999,42600,25.567165
2016-08-10,25.959999,25.99,25.690001,25.75,51900,25.606944
2016-08-09,25.860001,26.280001,25.860001,26.00,58900,25.855555
2016-08-08,26.309999,26.360001,25.780001,25.889999,60300,25.746166
2016-08-05,25.73,26.34,25.700001,26.309999,87300,26.163832
2016-08-04,25.549999,25.77,25.40,25.50,116400,25.358333
2016-08-03,25.299999,25.74,25.299999,25.719999,147100,25.57711
2016-08-02,25.700001,25.860001,25.32,25.40,208900,25.258888
2016-08-01,25.809999,25.92,25.549999,25.75,133400,25.606944
2016-07-29,24.799999,26.469999,23.90,26.02,202200,25.875445
2016-07-28,27.889999,28.00,27.74,27.84,22900,27.685333
2016-07-27,27.940001,28.17,27.870001,27.98,29800,27.824555
2016-07-26,27.889999,28.07,27.84,27.969999,32800,27.81461
2016-07-25,28.049999,28.049999,27.77,27.870001,31400,27.715167
2016-07-22,27.82,28.24,27.719999,28.08,35100,27.924
2016-07-21,28.110001,28.110001,27.60,27.68,38700,27.526222
2016-07-20,28.27,28.309999,28.059999,28.200001,35500,28.043334
2016-07-19,28.299999,28.379999,28.209999,28.219999,68100,28.063221
2016-07-18,28.33,28.50,28.280001,28.360001,45600,28.202445
2016-07-15,28.540001,28.549999,28.030001,28.40,42300,28.242221
2016-07-14,28.48,28.629999,28.34,28.35,75200,28.1925
2016-07-13,28.15,28.370001,28.02,28.209999,47600,28.053276
2016-07-12,27.98,28.41,27.98,28.25,73000,28.093055
2016-07-11,27.50,27.799999,27.459999,27.74,55300,27.585888
2016-07-08,26.92,27.52,26.90,27.440001,107000,27.287556
2016-07-07,26.959999,27.120001,26.75,26.860001,60700,26.710778
2016-07-06,26.83,27.280001,26.610001,26.959999,42600,26.810221
2016-07-05,27.15,27.15,26.75,27.030001,56600,26.879834
2016-07-01,27.469999,27.690001,27.02,27.290001,93500,27.138389
2016-06-30,27.25,27.639999,27.01,27.60,74900,27.446667
2016-06-29,26.99,27.25,26.540001,27.120001,52800,26.969334
2016-06-28,26.75,26.940001,26.370001,26.74,101700,26.591444
2016-06-27,26.84,27.860001,26.16,26.41,61600,26.263277
2016-06-24,27.23,27.67,26.75,27.25,309000,27.098611
2016-06-23,28.129999,28.74,28.129999,28.57,97400,28.411277
2016-06-22,27.940001,28.43,27.879999,27.93,77400,27.774833
2016-06-21,27.940001,27.99,27.66,27.92,62600,27.764889
2016-06-20,27.73,28.129999,27.73,27.85,46500,27.695278
2016-06-17,27.91,28.02,27.17,27.469999,142100,27.317388
2016-06-16,27.82,27.91,27.620001,27.83,48100,27.675388
2016-06-15,28.23,28.40,27.889999,27.93,56200,27.774833
2016-06-14,28.209999,28.48,28.02,28.209999,128500,27.90411
2016-06-13,28.469999,28.610001,28.18,28.27,82700,27.963461
2016-06-10,28.209999,28.68,28.059999,28.450001,69800,28.14151
2016-06-09,28.90,28.90,28.17,28.52,45900,28.21075
2016-06-08,28.709999,28.969999,28.50,28.90,44900,28.586629
2016-06-07,28.66,28.84,28.450001,28.59,44100,28.279991
2016-06-06,28.459999,28.98,28.190001,28.629999,107600,28.319556
2016-06-03,28.26,28.48,28.00,28.459999,68200,28.151399
2016-06-02,28.34,28.469999,28.16,28.450001,38300,28.14151
2016-06-01,27.639999,28.41,27.639999,28.33,35700,28.02281
2016-05-31,28.049999,28.290001,28.00,28.16,52100,27.854653
2016-05-27,27.77,28.120001,27.66,28.049999,32900,27.745845
2016-05-26,27.90,27.90,27.66,27.77,36300,27.468883
2016-05-25,27.780001,28.00,27.66,27.940001,62200,27.637039
2016-05-24,27.139999,27.860001,27.129999,27.780001,58700,27.478774
2016-05-23,26.889999,27.139999,26.719999,26.98,46400,26.687448
2016-05-20,26.799999,27.07,26.719999,27.01,63500,26.717123
2016-05-19,26.889999,27.10,26.23,26.639999,54100,26.351134
2016-05-18,26.209999,27.17,26.209999,27.16,53000,26.865496
2016-05-17,26.67,26.75,26.030001,26.209999,92000,25.925797
2016-05-16,26.24,26.870001,26.08,26.790001,147200,26.49951
2016-05-13,26.52,26.889999,26.139999,26.200001,40300,25.915907
2016-05-12,26.459999,26.93,26.24,26.559999,38000,26.272002
2016-05-11,26.559999,26.700001,26.389999,26.42,34600,26.133521
2016-05-10,26.65,27.110001,26.530001,26.67,32500,26.38081
2016-05-09,26.450001,26.68,26.34,26.459999,38100,26.173086
2016-05-06,26.32,26.629999,26.059999,26.440001,42200,26.153304
2016-05-05,26.32,26.620001,26.120001,26.360001,52500,26.074172
2016-05-04,26.379999,26.59,25.959999,26.280001,25400,25.995039
2016-05-03,26.959999,26.99,26.32,26.440001,56500,26.153304
2016-05-02,26.99,27.459999,26.98,27.09,48700,26.796256
2016-04-29,26.34,27.309999,26.34,26.92,103000,26.628099
2016-04-28,26.67,26.83,26.42,26.48,42300,26.19287
2016-04-27,26.77,26.84,26.35,26.799999,37900,26.509399
2016-04-26,26.549999,26.950001,26.200001,26.940001,35600,26.647883
2016-04-25,26.41,26.48,26.17,26.40,36400,26.113737
2016-04-22,26.60,26.709999,26.209999,26.639999,31200,26.351134
2016-04-21,26.709999,26.950001,26.41,26.540001,39200,26.25222
2016-04-20,26.41,26.90,26.360001,26.73,62700,26.440159
2016-04-19,25.90,26.450001,25.90,26.440001,31300,26.153304
2016-04-18,25.40,26.26,25.40,26.16,31100,25.87634
2016-04-15,26.15,26.440001,25.889999,26.030001,30300,25.74775
2016-04-14,26.01,26.49,23.51,26.24,38800,25.955472
2016-04-13,25.32,26.16,25.32,26.15,57400,25.866448
2016-04-12,24.83,25.34,24.690001,25.190001,29500,24.916858
2016-04-11,25.01,25.40,24.85,24.85,61800,24.580545
2016-04-08,24.700001,25.00,24.610001,24.82,39500,24.55087
2016-04-07,24.959999,24.969999,24.43,24.60,53300,24.333256
2016-04-06,24.959999,25.17,24.75,25.059999,38300,24.788267
