Date,Open,High,Low,Close,Volume,Adj Close
2016-12-01,106.07,106.260002,104.370003,105.870003,265200,105.870003
2016-11-30,107.389999,107.389999,105.07,105.360001,129900,105.360001
2016-11-29,106.059998,108.550003,105.410004,106.879997,121500,106.879997
2016-11-28,107.330002,107.739998,105.160004,105.959999,128300,105.959999
2016-11-25,106.739998,107.940002,106.449997,107.139999,79300,107.139999
2016-11-23,104.639999,106.449997,103.139999,106.279999,87900,106.279999
2016-11-22,105.07,105.980003,104.089996,105.269997,106000,105.269997
2016-11-21,105.300003,105.300003,103.470001,104.620003,120600,104.620003
2016-11-18,105.360001,106.209999,103.809998,104.779999,81800,104.779999
2016-11-17,105.059998,106.32,104.610001,105.440002,84000,105.440002
2016-11-16,105.93,106.040001,104.099998,105.07,96700,105.07
2016-11-15,106.779999,107.529999,105.849998,106.120003,132500,106.120003
2016-11-14,107.080002,107.57,105.550003,106.550003,161700,106.550003
2016-11-11,104.779999,107.110001,103.980003,106.489998,230500,106.489998
2016-11-10,106.040001,107.690002,104.019997,105.309998,256700,105.309998
2016-11-09,101.290001,106.099998,101.290001,103.82,235800,103.82
2016-11-08,100.699997,101.57,99.870003,100.75,141000,100.430003
2016-11-07,100.230003,101.040001,99.940002,100.790001,176800,100.469876
2016-11-04,99.540001,100.330002,98.919998,99.440002,168100,99.124166
2016-11-03,103.279999,103.279999,99.080002,99.279999,125700,98.96467
2016-11-02,100.940002,101.68,100.199997,100.279999,176500,99.961494
2016-11-01,104.389999,104.389999,100.099998,101.330002,330800,101.008162
2016-10-31,101.050003,105.980003,100.470001,103.989998,380200,103.65971
2016-10-28,101.059998,102.900002,100.230003,101.019997,115300,100.699142
2016-10-27,101.980003,102.169998,100.699997,101.190002,89400,100.868608
2016-10-26,102.769997,105.089996,101.010002,101.50,124200,101.177621
2016-10-25,105.540001,105.540001,102.690002,102.839996,109500,102.513361
2016-10-24,104.849998,106.099998,104.849998,105.519997,50000,105.184849
2016-10-21,105.910004,105.910004,104.410004,104.940002,97200,104.606697
2016-10-20,104.449997,106.419998,104.449997,105.940002,105300,105.603521
2016-10-19,105.199997,105.199997,104.290001,104.720001,107200,104.387395
2016-10-18,105.970001,106.489998,104.639999,105.220001,92400,104.885806
2016-10-17,106.110001,106.110001,105.010002,105.089996,95600,104.756214
2016-10-14,106.160004,106.57,105.580002,105.699997,109200,105.364278
2016-10-13,104.279999,105.989998,104.029999,105.699997,122900,105.364278
2016-10-12,106.989998,107.330002,104.760002,105.169998,151000,104.835962
2016-10-11,110.269997,110.269997,105.139999,106.709999,305700,106.371072
2016-10-10,111.57,112.199997,110.849998,110.989998,114800,110.637477
2016-10-07,111.379997,111.639999,110.660004,110.959999,228800,110.607573
2016-10-06,111.00,111.559998,110.129997,111.169998,180600,110.816905
2016-10-05,110.870003,111.879997,110.370003,110.889999,377600,110.537796
2016-10-04,109.720001,111.120003,109.059998,110.360001,217900,110.00948
2016-10-03,109.370003,110.339996,109.00,109.660004,267800,109.311707
2016-09-30,108.419998,110.169998,107.709999,109.50,160000,109.152211
2016-09-29,108.449997,110.339996,108.169998,108.260002,204400,107.916152
2016-09-28,109.239998,109.239998,107.760002,108.709999,127500,108.36472
2016-09-27,108.07,110.199997,108.040001,109.370003,189900,109.022627
2016-09-26,107.669998,109.989998,107.620003,108.25,142200,107.906181
2016-09-23,109.050003,109.239998,107.93,108.339996,157800,107.995892
2016-09-22,107.760002,109.660004,107.370003,109.510002,157800,109.162182
2016-09-21,108.959999,109.260002,106.419998,107.489998,255600,107.148593
2016-09-20,109.620003,110.00,108.410004,108.629997,174600,108.284972
2016-09-19,108.040001,109.989998,107.760002,109.339996,196800,108.992716
2016-09-16,108.959999,109.589996,107.459999,107.480003,261200,107.13863
2016-09-15,107.059998,110.07,106.550003,109.690002,212300,109.34161
2016-09-14,105.660004,107.110001,105.260002,107.010002,204800,106.670122
2016-09-13,106.870003,106.870003,104.769997,105.580002,147700,105.244664
2016-09-12,105.550003,108.019997,105.550003,107.879997,167500,107.537354
2016-09-09,109.669998,110.50,106.089996,106.120003,198200,105.782949
2016-09-08,110.120003,111.059998,108.730003,110.519997,233700,110.168968
2016-09-07,107.099998,110.160004,106.910004,109.900002,240300,109.550942
2016-09-06,106.879997,107.849998,104.00,107.300003,135700,106.959202
2016-09-02,107.00,107.440002,106.650002,106.879997,166200,106.54053
2016-09-01,105.160004,107.519997,105.160004,106.529999,229300,106.191643
2016-08-31,104.120003,105.809998,104.120003,105.349998,170200,105.015391
2016-08-30,105.489998,106.419998,104.220001,104.50,159800,104.168092
2016-08-29,106.050003,106.75,105.059998,106.029999,125900,105.693231
2016-08-26,105.07,106.239998,104.889999,105.68,93900,105.344344
2016-08-25,104.300003,106.00,103.989998,105.089996,146400,104.756214
2016-08-24,106.610001,107.339996,104.449997,104.940002,155000,104.287709
2016-08-23,106.779999,107.690002,106.559998,106.629997,132600,105.967199
2016-08-22,106.860001,107.699997,105.480003,107.190002,157400,106.523723
2016-08-19,106.379997,107.480003,105.699997,107.150002,159700,106.483971
2016-08-18,111.82,111.82,106.339996,106.589996,236100,105.927447
2016-08-17,109.220001,114.230003,108.290001,112.150002,277500,111.452892
2016-08-16,111.089996,111.309998,110.169998,110.330002,177600,109.644205
2016-08-15,111.129997,112.040001,111.120003,111.459999,76600,110.767178
2016-08-12,111.540001,111.540001,109.739998,110.889999,74200,110.200722
2016-08-11,111.309998,111.82,104.239998,111.620003,76100,110.926187
2016-08-10,111.330002,111.720001,110.07,111.040001,112400,110.349791
2016-08-09,111.400002,111.989998,107.120003,111.260002,79300,110.568424
2016-08-08,112.410004,112.410004,111.239998,111.580002,104800,110.886435
2016-08-05,112.699997,113.540001,111.959999,112.620003,128300,111.919971
2016-08-04,113.019997,113.400002,111.970001,112.470001,102100,111.770902
2016-08-03,112.410004,113.010002,112.040001,112.650002,201000,111.949784
2016-08-02,113.889999,113.910004,111.989998,112.699997,180700,111.999468
2016-08-01,112.889999,114.25,112.059998,113.779999,189200,113.072757
2016-07-29,110.580002,113.089996,110.110001,112.419998,220700,111.72121
2016-07-28,110.559998,111.190002,110.25,110.779999,142100,110.091405
2016-07-27,110.269997,111.239998,109.269997,110.709999,228300,110.02184
2016-07-26,110.239998,111.00,110.07,110.389999,171300,109.703829
2016-07-25,111.00,111.199997,110.25,110.419998,92700,109.733642
2016-07-22,111.209999,111.32,110.540001,110.75,129800,110.061592
2016-07-21,111.760002,112.089996,110.279999,110.889999,125500,110.200722
2016-07-20,111.00,112.239998,110.889999,111.480003,125800,110.787058
2016-07-19,111.230003,112.040001,110.699997,110.879997,127000,110.190782
2016-07-18,111.269997,112.040001,110.93,111.639999,178200,110.94606
2016-07-15,111.839996,113.00,110.510002,110.919998,263900,110.230534
2016-07-14,114.50,114.50,111.720001,111.879997,261100,111.184566
2016-07-13,114.629997,115.269997,113.919998,114.330002,157800,113.619341
2016-07-12,115.169998,115.82,114.099998,114.629997,149800,113.917472
2016-07-11,115.660004,115.940002,114.010002,114.419998,161200,113.708778
2016-07-08,115.720001,117.419998,114.43,115.169998,209800,114.454116
2016-07-07,113.830002,115.379997,112.919998,115.169998,278200,114.454116
2016-07-06,112.800003,114.339996,112.059998,112.949997,286800,112.247914
2016-07-05,112.050003,113.389999,112.050003,112.459999,229000,111.760962
2016-07-01,112.730003,113.959999,111.709999,112.239998,166400,111.542329
2016-06-30,109.330002,112.879997,108.50,112.769997,310700,112.069033
2016-06-29,110.129997,110.129997,108.410004,108.980003,469500,108.302598
2016-06-28,108.150002,110.019997,107.760002,109.129997,160600,108.451659
2016-06-27,110.610001,110.900002,107.529999,107.68,223900,107.010675
2016-06-24,110.209999,111.860001,109.260002,111.459999,735600,110.767178
2016-06-23,111.949997,112.860001,110.82,112.739998,175300,112.039221
2016-06-22,111.330002,111.980003,110.839996,111.190002,200000,110.49886
2016-06-21,110.699997,112.150002,110.349998,110.800003,162300,110.111285
2016-06-20,111.669998,111.839996,110.730003,110.949997,192900,110.260346
2016-06-17,112.50,113.790001,109.669998,110.139999,320600,109.455383
2016-06-16,112.309998,112.940002,111.50,112.739998,97800,112.039221
2016-06-15,112.440002,113.300003,111.82,112.639999,162200,111.939844
2016-06-14,111.989998,112.589996,111.610001,112.519997,195700,111.820587
2016-06-13,112.489998,113.470001,112.050003,112.339996,150100,111.641705
2016-06-10,113.120003,113.989998,112.650002,113.080002,137700,112.377111
2016-06-09,113.480003,114.620003,112.970001,113.82,133800,113.112509
2016-06-08,113.139999,114.349998,112.279999,114.18,161700,113.470272
2016-06-07,112.099998,113.360001,109.699997,112.919998,215800,112.218102
2016-06-06,110.440002,112.379997,108.209999,112.110001,146600,111.413139
2016-06-03,111.459999,111.459999,109.580002,110.610001,171100,109.922463
2016-06-02,111.449997,112.809998,111.209999,111.699997,208000,111.005684
2016-06-01,109.300003,112.209999,109.019997,111.360001,254100,110.667801
2016-05-31,109.970001,110.839996,109.120003,109.879997,210300,109.196997
2016-05-27,106.93,109.93,106.440002,109.610001,242800,108.928679
2016-05-26,106.989998,108.010002,106.330002,107.160004,155500,106.493911
2016-05-25,106.830002,108.18,105.959999,107.099998,151300,106.434279
2016-05-24,105.629997,106.889999,104.68,106.809998,225900,106.14608
2016-05-23,104.650002,105.559998,103.559998,105.099998,174100,104.446711
2016-05-20,103.610001,104.739998,103.040001,104.419998,172900,103.770937
2016-05-19,102.18,103.709999,101.220001,103.00,173800,102.359765
2016-05-18,101.919998,103.860001,100.279999,102.610001,175400,101.97219
2016-05-17,103.169998,103.949997,102.040001,102.510002,156800,101.872813
2016-05-16,102.230003,103.580002,100.93,103.099998,195700,102.459142
2016-05-13,100.82,102.440002,100.410004,101.900002,165200,101.266604
2016-05-12,101.209999,101.720001,99.589996,101.18,208800,100.551079
2016-05-11,101.370003,102.989998,100.889999,101.290001,186500,100.660395
2016-05-10,102.160004,102.940002,100.730003,101.949997,180000,100.998277
2016-05-09,100.639999,102.860001,99.760002,101.849998,166100,100.899212
2016-05-06,100.150002,101.059998,99.279999,100.910004,167800,99.967993
2016-05-05,100.379997,102.139999,99.650002,100.400002,181500,99.462751
2016-05-04,101.099998,101.589996,98.839996,99.940002,331900,99.007047
2016-05-03,95.010002,103.860001,95.010002,100.550003,597400,99.611353
2016-05-02,93.110001,94.68,91.519997,93.300003,210500,92.429033
2016-04-29,92.25,93.449997,91.449997,93.18,247000,92.31015
2016-04-28,93.639999,94.68,92.150002,92.559998,131900,91.695935
2016-04-27,93.449997,94.440002,92.839996,93.989998,121300,93.112586
2016-04-26,93.110001,93.839996,91.739998,93.690002,173300,92.815391
2016-04-25,94.480003,94.580002,92.470001,93.089996,218000,92.220986
2016-04-22,93.82,95.040001,92.940002,94.82,211300,93.93484
2016-04-21,92.809998,94.230003,92.540001,93.919998,217100,93.04324
2016-04-20,92.559998,93.410004,91.669998,92.580002,254900,91.715753
2016-04-19,93.870003,94.970001,92.339996,92.650002,201300,91.785099
2016-04-18,92.839996,94.279999,92.339996,93.970001,199300,93.092776
2016-04-15,91.959999,93.260002,91.519997,92.93,269900,92.062484
2016-04-14,92.760002,92.760002,91.730003,91.839996,221000,90.982655
2016-04-13,92.669998,93.470001,91.699997,92.639999,470100,91.77519
2016-04-12,92.00,92.449997,91.550003,91.980003,309500,91.121355
2016-04-11,93.68,94.849998,91.919998,92.040001,187600,91.180793
2016-04-08,94.379997,94.379997,92.459999,93.080002,159000,92.211085
2016-04-07,94.330002,95.480003,93.650002,93.870003,187000,92.993711
2016-04-06,92.480003,95.25,92.410004,94.809998,269900,93.924931
2016-04-05,93.300003,94.389999,92.059998,92.150002,411200,91.289766
2016-04-04,95.290001,95.809998,94.190002,94.650002,317200,93.766429
2016-04-01,93.900002,95.879997,93.510002,95.50,307400,94.608492
2016-03-31,95.82,96.32,93.839996,94.519997,274200,93.637637
2016-03-30,94.57,95.910004,94.040001,95.559998,170500,94.66793
2016-03-29,92.720001,94.089996,92.419998,93.989998,281100,93.112586
2016-03-28,93.970001,94.489998,92.290001,92.980003,158700,92.11202
2016-03-24,92.370003,93.949997,92.370003,93.870003,130800,92.993711
2016-03-23,94.559998,94.779999,92.650002,92.809998,163800,91.943601
2016-03-22,94.709999,95.779999,94.029999,94.82,158400,93.93484
2016-03-21,94.470001,95.769997,94.050003,94.790001,189500,93.905121
