Date,Open,High,Low,Close,Volume,Adj Close
2016-12-01,6.72,6.83,6.71,6.80,412700,6.80
2016-11-30,6.72,6.73,6.65,6.71,355500,6.71
2016-11-29,6.52,6.73,6.52,6.68,530800,6.68
2016-11-28,6.63,6.63,6.48,6.56,428100,6.56
2016-11-25,6.50,6.60,6.44,6.60,280000,6.60
2016-11-23,6.43,6.50,6.30,6.49,447200,6.49
2016-11-22,6.21,6.34,6.21,6.34,332500,6.34
2016-11-21,6.15,6.24,6.10,6.22,381400,6.22
2016-11-18,5.99,6.14,5.80,6.14,550300,6.14
2016-11-17,5.97,6.04,5.95,6.01,317800,6.01
2016-11-16,5.94,5.99,5.88,5.99,286700,5.99
2016-11-15,5.97,5.98,5.88,5.90,209400,5.90
2016-11-14,5.92,5.99,5.88,5.92,258100,5.92
2016-11-11,5.90,5.97,5.90,5.93,233500,5.93
2016-11-10,5.97,6.01,5.92,5.92,352900,5.92
2016-11-09,5.80,6.05,5.80,5.89,329400,5.89
2016-11-08,5.90,5.95,5.87,5.90,214300,5.90
2016-11-07,5.80,5.89,5.80,5.88,257500,5.88
2016-11-04,5.90,5.92,5.75,5.77,200500,5.77
2016-11-03,5.67,5.93,5.67,5.92,535600,5.92
2016-11-02,5.52,5.62,5.51,5.61,348700,5.61
2016-11-01,5.55,5.64,5.54,5.58,255000,5.58
2016-10-31,5.69,5.69,5.52,5.58,231800,5.58
2016-10-28,5.63,5.70,5.56,5.64,181800,5.64
2016-10-27,5.60,5.66,5.57,5.64,79600,5.64
2016-10-26,5.60,5.63,5.56,5.58,164200,5.58
2016-10-25,5.61,5.71,5.60,5.64,166000,5.64
2016-10-24,5.66,5.72,5.65,5.66,119800,5.66
2016-10-21,5.63,5.68,5.62,5.67,75800,5.67
2016-10-20,5.63,5.65,5.60,5.62,192600,5.62
2016-10-19,5.60,5.65,5.60,5.63,116100,5.63
2016-10-18,5.64,5.66,5.52,5.58,276600,5.58
2016-10-17,5.72,5.74,5.61,5.64,227800,5.64
2016-10-14,5.80,5.84,5.72,5.73,123400,5.73
2016-10-13,5.75,5.80,5.73,5.80,140800,5.80
2016-10-12,5.74,5.79,5.72,5.79,249700,5.79
2016-10-11,5.79,5.79,5.72,5.74,260600,5.74
2016-10-10,5.72,5.83,5.72,5.78,111800,5.78
2016-10-07,5.89,5.89,5.70,5.71,224500,5.71
2016-10-06,5.93,5.94,5.82,5.85,165900,5.85
2016-10-05,5.86,5.93,5.85,5.90,209700,5.90
2016-10-04,5.85,5.89,5.78,5.89,209900,5.89
2016-10-03,5.85,5.87,5.82,5.84,139700,5.84
2016-09-30,5.84,5.94,5.80,5.82,421900,5.82
2016-09-29,5.77,5.81,5.71,5.74,135100,5.74
2016-09-28,5.80,5.84,5.78,5.78,115100,5.78
2016-09-27,5.73,5.84,5.72,5.81,230200,5.81
2016-09-26,5.71,5.75,5.70,5.71,233000,5.71
2016-09-23,5.73,5.79,5.66,5.76,278700,5.76
2016-09-22,5.73,5.77,5.66,5.70,459300,5.70
2016-09-21,5.81,5.90,5.70,5.72,299400,5.72
2016-09-20,5.76,5.88,5.73,5.84,397000,5.84
2016-09-19,5.84,5.87,5.70,5.76,374500,5.76
2016-09-16,5.83,5.84,5.71,5.72,329700,5.72
2016-09-15,5.88,5.95,5.75,5.81,381500,5.81
2016-09-14,5.77,5.98,5.62,5.84,586300,5.84
2016-09-13,6.18,6.26,6.06,6.10,841600,5.81
2016-09-12,6.20,6.34,6.05,6.22,680600,5.924295
2016-09-09,6.44,6.44,6.20,6.24,634500,5.943344
2016-09-08,6.48,6.50,6.38,6.42,548600,6.114787
2016-09-07,6.30,6.49,6.26,6.48,582600,6.171935
2016-09-06,6.33,6.33,6.17,6.26,849200,5.962394
2016-09-02,6.28,6.36,6.17,6.19,898600,5.895721
2016-09-01,6.40,6.45,6.15,6.25,682600,5.952869
2016-08-31,6.30,6.40,6.22,6.38,450200,6.076689
2016-08-30,6.37,6.42,6.13,6.27,998100,5.971918
2016-08-29,6.48,6.49,6.38,6.40,603200,6.095738
2016-08-26,6.45,6.49,6.38,6.45,326400,6.143361
2016-08-25,6.43,6.50,6.41,6.46,374500,6.152885
2016-08-24,6.27,6.50,6.25,6.41,655300,6.105262
2016-08-23,6.12,6.25,6.11,6.24,265800,5.943344
2016-08-22,6.10,6.13,6.08,6.11,309300,5.819525
2016-08-19,6.04,6.08,6.03,6.08,246700,5.790951
2016-08-18,6.00,6.05,5.98,6.03,278300,5.743328
2016-08-17,6.01,6.03,5.95,6.01,255600,5.724279
2016-08-16,6.05,6.09,5.99,6.01,271000,5.724279
2016-08-15,6.05,6.10,6.00,6.05,241800,5.762377
2016-08-12,6.00,6.05,5.97,6.04,221000,5.752853
2016-08-11,5.99,6.07,5.95,6.01,158400,5.724279
2016-08-10,6.13,6.15,5.94,5.98,409000,5.695705
2016-08-09,5.83,6.18,5.83,6.13,678900,5.838574
2016-08-08,5.70,5.85,5.68,5.84,401600,5.562361
2016-08-05,5.66,5.71,5.63,5.67,223900,5.400443
2016-08-04,5.70,5.72,5.62,5.70,340300,5.429016
2016-08-03,5.59,5.60,5.53,5.59,143100,5.324246
2016-08-02,5.61,5.63,5.54,5.59,191800,5.324246
2016-08-01,5.65,5.68,5.61,5.63,202800,5.362344
2016-07-29,5.63,5.64,5.58,5.64,209400,5.371869
2016-07-28,5.63,5.65,5.57,5.62,146700,5.35282
2016-07-27,5.62,5.67,5.59,5.61,174600,5.343295
2016-07-26,5.60,5.67,5.59,5.62,188000,5.35282
2016-07-25,5.62,5.65,5.58,5.62,170800,5.35282
2016-07-22,5.63,5.66,5.60,5.63,168400,5.362344
2016-07-21,5.72,5.72,5.60,5.62,200800,5.35282
2016-07-20,5.67,5.72,5.65,5.68,162300,5.409967
2016-07-19,5.67,5.72,5.65,5.69,164900,5.419492
2016-07-18,5.63,5.68,5.62,5.67,168500,5.400443
2016-07-15,5.60,5.64,5.56,5.62,196200,5.35282
2016-07-14,5.60,5.62,5.55,5.59,277400,5.324246
2016-07-13,5.62,5.62,5.56,5.58,108200,5.314721
2016-07-12,5.59,5.66,5.50,5.62,255700,5.35282
2016-07-11,5.49,5.57,5.47,5.54,260600,5.276623
2016-07-08,5.40,5.55,5.40,5.50,268500,5.238525
2016-07-07,5.37,5.43,5.35,5.42,157300,5.162328
2016-07-06,5.38,5.41,5.32,5.38,148800,5.12423
2016-07-05,5.39,5.46,5.30,5.41,392900,5.152803
2016-07-01,5.32,5.40,5.27,5.39,260300,5.133754
2016-06-30,5.22,5.44,5.12,5.27,684200,5.019459
2016-06-29,5.22,5.28,5.06,5.08,576100,4.838492
2016-06-28,5.17,5.21,5.14,5.20,259600,4.952787
2016-06-27,5.18,5.20,5.10,5.11,320600,4.867066
2016-06-24,5.21,5.27,5.01,5.18,425200,4.933738
2016-06-23,5.35,5.38,5.23,5.26,350100,5.009935
2016-06-22,5.25,5.45,5.22,5.30,246100,5.048033
2016-06-21,5.38,5.39,5.24,5.27,355200,5.019459
2016-06-20,5.42,5.48,5.38,5.39,396200,5.133754
2016-06-17,5.42,5.48,5.39,5.43,420800,5.171852
2016-06-16,5.37,5.40,5.32,5.39,251000,5.133754
2016-06-15,5.31,5.45,5.31,5.39,401300,5.133754
2016-06-14,5.37,5.50,5.32,5.32,533000,5.067082
2016-06-13,5.75,5.76,5.70,5.71,557900,5.162328
2016-06-10,5.72,5.77,5.68,5.73,433700,5.18041
2016-06-09,5.70,5.77,5.63,5.73,474500,5.18041
2016-06-08,5.70,5.77,5.63,5.72,352800,5.171369
2016-06-07,5.65,5.74,5.61,5.68,419200,5.135205
2016-06-06,5.67,5.79,5.61,5.66,562400,5.117124
2016-06-03,5.62,5.70,5.55,5.66,963800,5.117124
2016-06-02,5.57,5.64,5.57,5.60,433300,5.062878
2016-06-01,5.61,5.69,5.58,5.58,486600,5.044797
2016-05-31,5.64,5.67,5.56,5.61,637800,5.07192
2016-05-27,5.65,5.67,5.52,5.60,281400,5.062878
2016-05-26,5.61,5.72,5.57,5.63,260700,5.090001
2016-05-25,5.61,5.71,5.57,5.57,324700,5.035756
2016-05-24,5.49,5.70,5.46,5.64,361300,5.099042
2016-05-23,5.33,5.51,5.27,5.48,324600,4.954388
2016-05-20,5.11,5.30,5.11,5.29,198000,4.782612
2016-05-19,5.35,5.38,5.01,5.13,473100,4.637958
2016-05-18,5.36,5.45,5.36,5.37,211900,4.854939
2016-05-17,5.36,5.46,5.36,5.39,203500,4.87302
2016-05-16,5.32,5.47,5.32,5.40,274700,4.882062
2016-05-13,5.32,5.42,5.31,5.36,270500,4.845898
2016-05-12,5.26,5.34,5.25,5.31,185200,4.800694
2016-05-11,5.16,5.37,5.15,5.25,307400,4.746449
2016-05-10,5.07,5.20,5.03,5.17,269100,4.674122
2016-05-09,4.98,5.12,4.98,5.04,277900,4.556591
2016-05-06,4.98,5.04,4.96,5.00,291200,4.520427
2016-05-05,4.98,5.04,4.90,5.00,238600,4.520427
2016-05-04,4.92,5.03,4.92,4.98,217700,4.502346
2016-05-03,5.00,5.12,4.88,5.11,309000,4.619877
2016-05-02,5.16,5.22,5.02,5.08,189800,4.592754
2016-04-29,5.20,5.25,5.11,5.18,436900,4.683163
2016-04-28,5.15,5.27,5.12,5.22,120000,4.719326
2016-04-27,5.22,5.23,5.12,5.21,117400,4.710285
2016-04-26,5.11,5.25,5.10,5.22,115000,4.719326
2016-04-25,5.11,5.17,5.05,5.13,74000,4.637958
2016-04-22,5.04,5.13,5.04,5.11,95400,4.619877
2016-04-21,5.02,5.09,5.01,5.05,130600,4.565632
2016-04-20,4.98,5.07,4.96,5.05,159300,4.565632
2016-04-19,4.98,5.04,4.95,5.01,80600,4.529468
2016-04-18,4.96,5.01,4.91,4.94,150300,4.466182
2016-04-15,4.93,5.01,4.93,4.97,92300,4.493305
2016-04-14,4.99,5.02,4.92,4.97,103600,4.493305
2016-04-13,4.89,5.07,4.85,4.98,181800,4.502346
2016-04-12,4.78,4.91,4.75,4.91,138900,4.439059
2016-04-11,4.70,4.84,4.70,4.75,98400,4.294406
2016-04-08,4.73,4.85,4.70,4.72,80700,4.267283
2016-04-07,4.77,4.77,4.68,4.73,86500,4.276324
2016-04-06,4.72,4.82,4.72,4.82,69000,4.357692
2016-04-05,4.87,4.87,4.71,4.72,135600,4.267283
2016-04-04,4.92,4.99,4.86,4.87,101500,4.402896
2016-04-01,4.81,5.03,4.77,4.95,313300,4.475223
2016-03-31,4.71,4.94,4.64,4.80,464600,4.33961
2016-03-30,4.65,4.70,4.56,4.62,211600,4.176875
2016-03-29,4.55,4.69,4.55,4.65,150700,4.203997
2016-03-28,4.58,4.75,4.51,4.62,223100,4.176875
2016-03-24,4.60,4.65,4.50,4.57,161500,4.131671
2016-03-23,4.73,4.78,4.61,4.62,114800,4.176875
2016-03-22,4.75,4.76,4.64,4.72,174700,4.267283
2016-03-21,4.75,4.84,4.72,4.74,150300,4.285365
2016-03-18,4.87,4.89,4.71,4.72,278400,4.267283
2016-03-17,4.78,5.12,4.77,4.83,326600,4.366733
2016-03-16,4.83,4.89,4.78,4.79,185200,4.330569
2016-03-15,4.90,4.96,4.81,4.88,162900,4.411937
2016-03-14,5.10,5.20,5.04,5.16,363300,4.402896
2016-03-11,5.25,5.40,5.00,5.02,398700,4.283438
2016-03-10,5.30,5.54,5.20,5.22,404900,4.454093
2016-03-09,5.46,5.52,5.25,5.28,170300,4.505289
2016-03-08,5.66,5.70,5.42,5.49,121500,4.684477
2016-03-07,5.65,5.84,5.65,5.73,145600,4.889263
2016-03-04,5.37,5.65,5.32,5.63,140000,4.803935
2016-03-03,5.21,5.38,5.21,5.38,135800,4.590617
2016-03-02,5.15,5.28,5.13,5.23,114400,4.462625
2016-03-01,5.31,5.33,5.14,5.20,261700,4.437027
2016-02-29,4.98,5.25,4.98,5.25,184000,4.479691
2016-02-26,4.95,5.07,4.95,5.02,105000,4.283438
2016-02-25,4.92,4.99,4.86,4.95,129500,4.223708
2016-02-24,4.90,5.03,4.90,4.97,107600,4.240774
2016-02-23,4.97,5.05,4.94,4.95,190900,4.223708
2016-02-22,5.01,5.05,4.91,4.95,204100,4.223708
2016-02-19,4.90,5.06,4.90,4.99,156000,4.257839
2016-02-18,4.98,5.05,4.90,4.95,189400,4.223708
2016-02-17,4.89,5.09,4.88,4.99,253200,4.257839
2016-02-16,4.57,4.90,4.57,4.90,204300,4.181045
2016-02-12,4.74,4.77,4.52,4.57,330000,3.899464
2016-02-11,4.82,4.87,4.64,4.74,261300,4.044521
2016-02-10,4.91,5.02,4.83,4.85,237500,4.138381
2016-02-09,4.98,4.98,4.83,4.94,388700,4.215176
2016-02-08,5.05,5.05,4.93,4.98,301900,4.249307
2016-02-05,5.09,5.13,5.01,5.08,114200,4.334634
2016-02-04,4.96,5.11,4.96,5.08,334500,4.334634
2016-02-03,5.00,5.10,4.91,5.01,265100,4.274905
2016-02-02,4.94,5.04,4.83,5.01,251900,4.274905
2016-02-01,5.00,5.05,4.92,5.01,333200,4.274905
2016-01-29,5.01,5.10,4.88,4.98,325400,4.249307
2016-01-28,4.94,5.05,4.91,5.01,1217400,4.274905
2016-01-27,4.86,5.01,4.82,4.91,272000,4.189577
2016-01-26,4.81,4.97,4.81,4.90,289300,4.181045
2016-01-25,4.77,5.02,4.70,4.83,516500,4.121316
2016-01-22,4.66,4.86,4.61,4.79,397600,4.087185
2016-01-21,4.46,4.73,4.43,4.59,220000,3.91653
2016-01-20,4.39,4.51,4.23,4.49,353400,3.831202
2016-01-19,4.42,4.53,4.31,4.49,585400,3.831202
2016-01-15,4.34,4.48,4.21,4.42,528900,3.771473
2016-01-14,4.43,4.58,4.16,4.51,977800,3.848268
2016-01-13,5.33,5.40,4.29,4.47,916500,3.814137
