Date,Open,High,Low,Close,Volume,Adj Close
2016-12-01,17.40,17.799999,17.35,17.40,411000,17.40
2016-11-30,18.00,18.00,17.25,17.40,419000,17.40
2016-11-29,17.75,18.049999,17.700001,17.799999,614900,17.799999
2016-11-28,18.049999,18.15,17.73,17.85,414000,17.85
2016-11-25,18.15,18.299999,18.00,18.10,247400,18.10
2016-11-23,18.25,18.25,17.90,18.049999,766000,18.049999
2016-11-22,18.40,18.40,17.90,18.200001,1048400,18.200001
2016-11-21,18.549999,18.549999,18.15,18.299999,473800,18.299999
2016-11-18,17.950001,18.450001,17.90,18.40,433300,18.40
2016-11-17,17.65,18.299999,17.65,18.00,590500,18.00
2016-11-16,17.75,17.950001,17.50,17.65,397200,17.65
2016-11-15,17.60,17.90,17.50,17.75,478600,17.75
2016-11-14,17.549999,17.950001,17.450001,17.700001,667700,17.700001
2016-11-11,17.049999,17.50,16.90,17.40,818200,17.40
2016-11-10,16.799999,17.25,16.75,16.950001,511700,16.950001
2016-11-09,15.90,16.75,15.55,16.65,396200,16.65
2016-11-08,16.200001,16.40,16.049999,16.200001,322800,16.200001
2016-11-07,16.15,16.299999,16.00,16.25,285700,16.19
2016-11-04,15.80,16.299999,15.65,15.80,443900,15.741661
2016-11-03,15.60,15.60,15.20,15.35,490500,15.293323
2016-11-02,15.55,15.75,15.40,15.55,521600,15.492584
2016-11-01,15.90,15.90,15.43,15.45,798000,15.392953
2016-10-31,15.40,15.95,15.18,15.85,841500,15.791477
2016-10-28,14.90,15.45,14.88,15.30,766700,15.243508
2016-10-27,14.75,15.45,14.59,15.05,1242000,14.994431
2016-10-26,15.60,15.95,15.60,15.75,678800,15.691846
2016-10-25,16.450001,16.549999,15.75,15.80,510500,15.741661
2016-10-24,16.450001,16.700001,16.450001,16.549999,300000,16.488891
2016-10-21,16.15,16.40,16.15,16.299999,192600,16.239814
2016-10-20,16.50,16.60,16.200001,16.35,256100,16.289631
2016-10-19,16.299999,16.75,16.15,16.549999,314700,16.488891
2016-10-18,16.75,16.75,16.15,16.200001,254100,16.140185
2016-10-17,16.40,16.65,16.299999,16.549999,273100,16.488891
2016-10-14,16.549999,16.799999,16.43,16.50,480700,16.439077
2016-10-13,16.65,16.85,16.379999,16.549999,457100,16.488891
2016-10-12,16.60,16.799999,16.50,16.700001,391700,16.638339
2016-10-11,16.799999,16.85,16.60,16.65,607700,16.588522
2016-10-10,16.85,17.00,16.75,16.799999,356700,16.737968
2016-10-07,16.85,17.059999,16.73,16.85,617800,16.787785
2016-10-06,16.75,16.93,16.610001,16.90,305000,16.837599
2016-10-05,16.59,16.75,16.42,16.68,521000,16.618412
2016-10-04,16.60,16.790001,16.50,16.57,365400,16.508818
2016-10-03,16.66,16.68,16.360001,16.57,529900,16.508818
2016-09-30,16.58,16.77,16.57,16.690001,655700,16.628376
2016-09-29,16.620001,16.719999,16.469999,16.57,472000,16.508818
2016-09-28,16.549999,16.73,16.459999,16.639999,461500,16.578559
2016-09-27,16.379999,16.559999,16.34,16.50,419500,16.439077
2016-09-26,16.299999,16.629999,16.15,16.34,672600,16.279667
2016-09-23,16.35,16.540001,16.26,16.43,438500,16.369335
2016-09-22,16.27,16.41,16.059999,16.360001,754100,16.299594
2016-09-21,16.24,16.469999,15.95,16.139999,392800,16.080405
2016-09-20,17.110001,17.26,16.16,16.16,508200,16.100332
2016-09-19,17.049999,17.26,16.889999,16.969999,523100,16.90734
2016-09-16,17.15,17.15,16.870001,16.98,613200,16.917304
2016-09-15,16.77,17.18,16.65,17.120001,363400,17.056788
2016-09-14,16.889999,16.889999,16.60,16.74,403100,16.67819
2016-09-13,17.030001,17.18,16.700001,16.90,348800,16.837599
2016-09-12,16.940001,17.200001,16.82,17.200001,348500,17.136493
2016-09-09,17.51,17.530001,17.00,17.00,426700,16.93723
2016-09-08,17.83,17.84,17.65,17.68,203700,17.61472
2016-09-07,17.67,17.860001,17.52,17.84,234000,17.774129
2016-09-06,17.82,17.889999,17.51,17.700001,339400,17.634647
2016-09-02,17.76,17.90,17.639999,17.790001,372200,17.724314
2016-09-01,17.65,17.82,17.50,17.67,353700,17.604757
2016-08-31,17.719999,17.870001,17.51,17.68,528300,17.61472
2016-08-30,17.60,17.84,17.60,17.790001,361500,17.724314
2016-08-29,17.48,17.950001,17.48,17.67,510300,17.604757
2016-08-26,17.42,17.57,17.139999,17.309999,352300,17.246085
2016-08-25,17.33,17.52,17.32,17.389999,286800,17.32579
2016-08-24,17.209999,17.620001,17.110001,17.379999,625300,17.315826
2016-08-23,17.049999,17.25,17.00,17.15,273500,17.086676
2016-08-22,17.059999,17.10,16.809999,17.02,329000,16.957157
2016-08-19,17.09,17.15,16.950001,17.09,418700,17.026898
2016-08-18,16.66,17.23,16.51,17.10,1518400,17.036862
2016-08-17,16.610001,16.74,16.34,16.629999,1124500,16.568596
2016-08-16,16.75,16.84,16.450001,16.559999,408400,16.498855
2016-08-15,16.75,16.860001,16.40,16.700001,1733800,16.638339
2016-08-12,16.799999,17.049999,16.57,16.65,324900,16.588522
2016-08-11,16.799999,16.870001,16.639999,16.719999,399200,16.658264
2016-08-10,16.90,17.25,16.719999,16.77,319500,16.70808
2016-08-09,17.17,17.219999,16.98,16.98,394000,16.857526
2016-08-08,17.309999,17.48,17.129999,17.129999,231400,17.006444
2016-08-05,17.049999,17.370001,17.00,17.25,277800,17.125579
2016-08-04,16.950001,17.10,16.91,16.959999,334200,16.83767
2016-08-03,16.92,17.09,16.879999,16.99,437000,16.867454
2016-08-02,17.26,17.450001,16.950001,16.959999,675700,16.83767
2016-08-01,17.940001,17.959999,17.34,17.34,692500,17.21493
2016-07-29,17.90,18.01,17.74,17.860001,742100,17.73118
2016-07-28,16.690001,18.450001,16.08,17.809999,2279600,17.681539
2016-07-27,16.209999,16.639999,15.54,16.57,883800,16.450483
2016-07-26,16.10,16.290001,16.08,16.24,395500,16.122864
2016-07-25,15.98,16.23,15.98,16.120001,378800,16.00373
