Date,Open,High,Low,Close,Volume,Adj Close
2016-12-01,6.40,6.50,6.40,6.40,23800,6.40
2016-11-30,6.50,6.60,6.40,6.45,24000,6.45
2016-11-29,6.50,6.60,6.40,6.45,14000,6.45
2016-11-28,6.50,6.60,6.45,6.45,25400,6.45
2016-11-25,6.50,6.53,6.45,6.50,12700,6.50
2016-11-23,6.55,6.60,6.50,6.55,22500,6.55
2016-11-22,6.45,6.55,6.30,6.55,52000,6.55
2016-11-21,6.45,6.50,6.35,6.45,62400,6.45
2016-11-18,6.40,6.45,6.35,6.45,30100,6.45
2016-11-17,6.40,6.50,6.35,6.35,18600,6.35
2016-11-16,6.33,6.45,6.30,6.40,31000,6.375
2016-11-15,6.40,6.56,6.35,6.35,23700,6.325195
2016-11-14,6.35,6.50,6.05,6.45,52100,6.424804
2016-11-11,6.15,6.60,6.15,6.25,111000,6.225586
2016-11-10,6.10,6.35,5.90,6.10,92100,6.076172
2016-11-09,6.00,6.15,5.85,6.00,87000,5.976562
2016-11-08,5.85,6.00,5.60,6.00,19300,5.976562
2016-11-07,6.00,6.00,5.95,5.95,13600,5.926758
2016-11-04,6.00,6.00,5.95,5.95,20100,5.926758
2016-11-03,5.95,6.00,5.85,5.90,16700,5.876953
2016-11-02,5.85,5.95,5.85,5.85,18300,5.827148
2016-11-01,5.75,5.90,5.75,5.80,11100,5.777344
2016-10-31,5.70,5.90,5.70,5.80,20100,5.777344
2016-10-28,5.76,5.76,5.55,5.70,12400,5.677734
2016-10-27,5.95,5.95,5.75,5.75,11300,5.727539
2016-10-26,5.95,5.95,5.85,5.85,15100,5.827148
2016-10-25,5.80,6.00,5.80,5.80,12800,5.777344
2016-10-24,5.85,5.85,5.80,5.85,7700,5.827148
2016-10-21,5.65,5.90,5.65,5.75,11200,5.727539
2016-10-20,5.95,6.00,5.70,5.75,9600,5.727539
2016-10-19,5.90,5.95,5.85,5.95,11400,5.926758
2016-10-18,5.95,5.95,5.75,5.90,25000,5.876953
2016-10-17,5.76,5.95,5.75,5.80,20400,5.777344
2016-10-14,5.53,5.90,5.53,5.68,28600,5.657812
2016-10-13,5.82,5.83,5.66,5.68,22400,5.657812
2016-10-12,5.84,5.99,5.76,5.85,20000,5.827148
2016-10-11,5.85,5.98,5.79,5.80,21300,5.777344
2016-10-10,5.81,6.00,5.81,5.91,22800,5.886914
2016-10-07,5.87,6.09,5.81,5.82,18300,5.797266
2016-10-06,5.80,5.86,5.73,5.83,5000,5.807226
2016-10-05,5.72,5.95,5.72,5.79,16300,5.767383
2016-10-04,5.79,5.82,5.66,5.70,13100,5.677734
2016-10-03,5.90,5.91,5.73,5.78,17400,5.757422
2016-09-30,5.80,6.01,5.80,5.94,22700,5.916797
2016-09-29,5.84,5.85,5.75,5.79,12100,5.767383
2016-09-28,5.85,5.91,5.69,5.87,31300,5.84707
2016-09-27,5.96,5.99,5.76,5.77,68200,5.747461
2016-09-26,5.94,5.98,5.81,5.91,13800,5.886914
2016-09-23,6.06,6.08,5.90,6.00,47600,5.976562
2016-09-22,5.96,6.16,5.94,6.09,29600,6.066211
2016-09-21,5.92,5.95,5.89,5.94,9000,5.916797
2016-09-20,5.97,5.98,5.87,5.87,8600,5.84707
2016-09-19,5.97,6.05,5.88,5.92,25900,5.896875
2016-09-16,5.88,5.98,5.70,5.96,178200,5.936719
2016-09-15,5.45,5.80,5.45,5.69,38800,5.667773
2016-09-14,5.45,5.80,5.37,5.44,34300,5.41875
2016-09-13,5.49,5.61,5.41,5.42,34200,5.398828
2016-09-12,5.45,5.75,5.45,5.60,34500,5.578125
2016-09-09,5.77,5.78,5.44,5.48,43100,5.458594
2016-09-08,5.62,5.84,5.53,5.64,32400,5.617969
2016-09-07,5.83,5.84,5.59,5.60,28900,5.578125
2016-09-06,5.59,5.70,5.45,5.57,35200,5.548242
2016-09-02,5.52,5.72,5.52,5.60,11100,5.578125
2016-09-01,5.43,5.50,5.35,5.46,19400,5.438672
2016-08-31,5.38,5.49,5.35,5.46,28900,5.438672
2016-08-30,5.29,5.42,5.26,5.36,14600,5.339063
2016-08-29,5.29,5.40,5.23,5.26,11600,5.239453
2016-08-26,5.37,5.37,5.19,5.26,26900,5.239453
2016-08-25,5.48,5.49,5.22,5.31,12400,5.289258
2016-08-24,5.40,5.40,5.30,5.31,23600,5.289258
2016-08-23,5.41,5.45,5.25,5.26,18800,5.239453
2016-08-22,5.39,5.40,5.21,5.27,14100,5.249414
2016-08-19,5.47,5.47,5.35,5.40,29400,5.378906
2016-08-18,5.42,5.50,5.29,5.47,30900,5.448633
2016-08-17,5.38,5.38,5.22,5.25,22300,5.20459
2016-08-16,5.37,5.51,5.18,5.19,58400,5.145109
2016-08-15,5.47,5.70,5.30,5.39,74500,5.343379
2016-08-12,5.16,5.52,5.11,5.50,98000,5.452428
2016-08-11,5.14,5.26,5.03,5.17,54900,5.125282
2016-08-10,5.18,5.27,5.09,5.09,13300,5.045974
2016-08-09,5.05,5.17,5.05,5.15,12500,5.105455
2016-08-08,5.30,5.34,5.04,5.06,63700,5.016233
2016-08-05,5.15,5.28,5.12,5.26,17500,5.214504
2016-08-04,5.19,5.20,5.08,5.12,15000,5.075714
2016-08-03,5.15,5.15,5.03,5.06,32000,5.016233
2016-08-02,5.17,5.19,5.10,5.11,23700,5.065801
2016-08-01,5.20,5.34,5.11,5.14,34400,5.095541
2016-07-29,5.08,5.22,5.05,5.22,359600,5.174849
2016-07-28,5.29,5.29,5.18,5.21,32900,5.164936
2016-07-27,5.29,5.36,5.25,5.31,33900,5.264071
2016-07-26,5.35,5.35,5.25,5.27,48900,5.224417
2016-07-25,5.72,5.75,5.31,5.33,64700,5.283898
2016-07-22,5.76,5.80,5.70,5.79,14200,5.739919
2016-07-21,5.80,5.93,5.70,5.71,24300,5.660611
2016-07-20,5.73,5.84,5.73,5.83,13900,5.779573
2016-07-19,5.68,5.76,5.64,5.69,11100,5.640784
2016-07-18,5.75,5.84,5.67,5.67,13500,5.620957
2016-07-15,5.79,5.86,5.71,5.79,35200,5.739919
2016-07-14,5.75,5.82,5.53,5.74,19400,5.690351
