Date,Open,High,Low,Close,Volume,Adj Close
2016-12-01,8.15,8.30,8.00,8.15,411200,8.15
2016-11-30,8.35,8.35,8.05,8.15,328400,8.15
2016-11-29,8.45,8.45,8.25,8.30,403600,8.234
2016-11-28,8.30,8.45,8.30,8.40,236600,8.333205
2016-11-25,8.45,8.45,8.30,8.35,115200,8.283603
2016-11-23,8.35,8.45,8.20,8.40,173500,8.333205
2016-11-22,8.15,8.35,8.10,8.35,308700,8.283603
2016-11-21,8.10,8.20,8.05,8.15,248200,8.085192
2016-11-18,8.05,8.15,7.95,8.15,375500,8.085192
2016-11-17,8.10,8.15,7.90,8.05,289500,7.985988
2016-11-16,8.05,8.10,7.91,8.05,315700,7.985988
2016-11-15,8.10,8.15,7.95,8.05,294400,7.985988
2016-11-14,8.30,8.35,7.95,8.10,554900,8.035591
2016-11-11,7.50,8.30,7.25,8.30,738100,8.234
2016-11-10,7.25,7.50,7.18,7.50,523900,7.440362
2016-11-09,6.95,7.25,6.85,7.25,438000,7.192349
2016-11-08,6.90,6.95,6.60,6.95,236000,6.894735
2016-11-07,6.85,6.95,6.80,6.95,243700,6.894735
2016-11-04,6.80,6.85,6.70,6.80,155900,6.745928
2016-11-03,6.85,6.93,6.75,6.85,157200,6.79553
2016-11-02,7.00,7.00,6.75,6.80,130700,6.745928
2016-11-01,7.05,7.05,6.90,7.00,201200,6.944337
2016-10-31,7.00,7.05,6.90,7.00,373000,6.944337
2016-10-28,7.00,7.10,6.95,7.00,140300,6.944337
2016-10-27,7.15,7.20,7.00,7.00,164300,6.944337
2016-10-26,7.10,7.15,7.10,7.15,160000,7.093145
2016-10-25,7.15,7.25,6.95,7.15,313500,7.093145
2016-10-24,7.15,7.25,7.10,7.20,226800,7.142747
2016-10-21,7.00,7.15,7.00,7.10,129400,7.043542
2016-10-20,7.05,7.15,7.05,7.15,96800,7.093145
2016-10-19,7.05,7.15,7.05,7.05,249400,6.99394
2016-10-18,7.05,7.10,7.00,7.05,164700,6.99394
2016-10-17,7.00,7.15,7.00,7.00,116800,6.944337
2016-10-14,6.98,7.09,6.98,7.05,170500,6.99394
2016-10-13,7.01,7.02,6.92,6.93,153200,6.874894
2016-10-12,7.00,7.12,6.99,7.08,108300,7.023701
2016-10-11,7.08,7.10,6.96,6.99,93000,6.934417
2016-10-10,7.05,7.14,7.05,7.09,137900,7.033622
2016-10-07,7.05,7.06,6.96,7.04,121000,6.984019
2016-10-06,7.04,7.10,6.98,7.05,133200,6.99394
2016-10-05,7.06,7.11,7.00,7.03,214500,6.974099
2016-10-04,7.09,7.13,6.99,7.02,142700,6.964178
2016-10-03,7.11,7.12,6.98,7.04,226900,6.984019
