Date,Open,High,Low,Close,Volume,Adj Close
2016-12-01,6.60,7.65,6.60,7.25,67400,7.25
2016-11-30,6.55,6.60,6.55,6.60,55600,6.60
2016-11-29,6.45,6.50,6.35,6.50,16500,6.50
2016-11-28,6.50,6.60,6.45,6.45,2400,6.45
2016-11-25,6.50,6.55,6.50,6.55,500,6.55
2016-11-23,6.54,6.65,6.50,6.50,9600,6.50
2016-11-22,6.45,6.60,6.44,6.45,46000,6.45
2016-11-21,6.45,6.45,6.29,6.45,6400,6.45
2016-11-18,6.45,6.45,6.40,6.45,2400,6.45
2016-11-17,6.45,6.45,6.40,6.45,8300,6.45
2016-11-16,6.21,6.50,6.21,6.39,7200,6.39
2016-11-15,6.35,6.50,6.30,6.50,53600,6.50
2016-11-14,6.40,6.45,6.20,6.35,12300,6.35
2016-11-11,6.21,6.31,6.20,6.30,2200,6.30
2016-11-10,6.25,6.35,6.15,6.25,3800,6.25
2016-11-09,6.15,6.15,6.10,6.15,7400,6.15
2016-11-08,6.15,6.20,6.10,6.10,3400,6.10
2016-11-07,6.20,6.20,6.16,6.16,4700,6.16
2016-11-04,6.25,6.25,6.10,6.10,3600,6.10
2016-11-03,6.20,6.20,6.15,6.15,300,6.15
2016-11-02,6.30,6.30,6.15,6.15,7900,6.15
2016-11-01,6.21,6.30,6.20,6.30,1800,6.30
2016-10-31,6.25,6.30,6.20,6.30,4500,6.30
2016-10-28,6.26,6.26,6.26,6.26,400,6.26
2016-10-27,6.25,6.28,6.20,6.20,3100,6.20
2016-10-26,6.30,6.30,6.15,6.15,1800,6.15
2016-10-25,6.20,6.30,6.20,6.30,10400,6.30
2016-10-24,6.25,6.30,6.20,6.20,7800,6.20
2016-10-21,6.15,6.15,6.15,6.15,800,6.15
2016-10-20,6.15,6.24,6.15,6.24,1000,6.24
2016-10-19,6.20,6.20,6.15,6.15,200,6.15
2016-10-18,6.10,6.20,6.10,6.20,5000,6.20
2016-10-17,6.15,6.15,6.15,6.15,000,6.15
2016-10-14,6.15,6.15,6.15,6.15,400,6.15
2016-10-13,6.15,6.27,6.10,6.10,5500,6.10
2016-10-12,6.27,6.27,6.20,6.20,1000,6.20
2016-10-11,6.26,6.26,6.20,6.20,5000,6.20
2016-10-10,6.18,6.24,6.18,6.20,12300,6.20
2016-10-07,6.11,6.25,6.11,6.23,600,6.23
2016-10-06,6.11,6.15,6.11,6.15,1000,6.15
2016-10-05,6.25,6.25,6.12,6.13,3200,6.13
2016-10-04,6.21,6.22,6.20,6.21,2000,6.148515
2016-10-03,6.23,6.24,6.07,6.23,5100,6.168317
2016-09-30,6.32,6.32,6.32,6.32,200,6.257426
2016-09-29,6.25,6.30,6.19,6.19,1500,6.128713
2016-09-28,6.30,6.31,6.05,6.26,33800,6.19802
2016-09-27,6.30,6.30,6.30,6.30,000,6.237624
2016-09-26,6.31,6.43,6.24,6.30,29500,6.237624
2016-09-23,6.35,6.45,6.35,6.44,2800,6.376237
2016-09-22,6.45,6.45,6.35,6.35,2700,6.287129
