Date,Open,High,Low,Close,Volume,Adj Close
2016-12-01,46.299999,46.799999,46.049999,46.50,412500,46.50
2016-11-30,46.549999,46.700001,45.900002,46.150002,447700,46.150002
2016-11-29,45.50,46.349998,45.50,46.099998,472400,46.099998
2016-11-28,46.099998,46.450001,45.150002,45.599998,363900,45.599998
2016-11-25,46.349998,46.599998,46.099998,46.599998,130200,46.599998
2016-11-23,46.150002,46.75,45.799999,46.349998,473300,46.349998
2016-11-22,45.75,46.200001,45.599998,46.099998,413100,46.099998
2016-11-21,45.75,45.950001,45.099998,45.599998,386600,45.599998
2016-11-18,44.849998,45.799999,44.75,45.700001,483100,45.700001
2016-11-17,44.349998,44.93,43.549999,44.700001,583800,44.700001
2016-11-16,45.00,45.150002,44.25,44.700001,618800,44.700001
2016-11-15,45.00,45.549999,44.00,45.299999,594100,45.299999
2016-11-14,43.75,46.25,43.75,45.299999,760200,45.299999
2016-11-11,42.700001,44.48,42.549999,44.400002,950400,44.400002
2016-11-10,40.900002,42.849998,40.900002,42.650002,794100,42.650002
2016-11-09,38.950001,40.700001,38.639999,40.50,770300,40.50
2016-11-08,38.349998,38.700001,37.900002,38.50,352600,38.50
2016-11-07,37.799999,38.549999,37.599998,38.400002,499300,38.400002
2016-11-04,36.900002,37.700001,36.700001,37.150002,338100,37.150002
2016-11-03,36.75,37.169998,36.700001,37.00,227700,37.00
2016-11-02,37.150002,37.150002,36.549999,36.75,412000,36.75
2016-11-01,37.849998,38.00,37.049999,37.400002,530200,37.400002
2016-10-31,36.950001,37.75,36.830002,37.700001,1548500,37.700001
2016-10-28,37.200001,37.580002,36.75,36.900002,670200,36.900002
2016-10-27,37.099998,37.650002,36.900002,37.080002,455400,37.080002
2016-10-26,36.849998,37.150002,36.529999,36.700001,423400,36.700001
2016-10-25,37.200001,37.349998,36.549999,36.900002,361700,36.900002
2016-10-24,37.099998,37.450001,36.900002,37.150002,233300,37.150002
2016-10-21,36.900002,36.950001,36.599998,36.799999,264000,36.799999
2016-10-20,37.00,37.50,36.950001,37.200001,238400,37.200001
2016-10-19,37.00,37.48,36.849998,37.200001,308800,37.200001
2016-10-18,36.950001,37.150002,36.599998,36.75,299100,36.75
2016-10-17,37.25,37.299999,36.700001,36.799999,229600,36.799999
2016-10-14,37.330002,37.540001,37.02,37.200001,241200,37.200001
2016-10-13,37.560001,37.560001,36.709999,37.009998,310300,37.009998
2016-10-12,37.779999,38.27,37.779999,37.880001,255500,37.880001
2016-10-11,38.209999,38.509998,37.669998,37.889999,259300,37.889999
2016-10-10,38.220001,38.599998,38.130001,38.279999,217400,38.279999
2016-10-07,37.93,38.029999,37.439999,37.959999,222100,37.959999
2016-10-06,37.93,38.080002,37.669998,38.060001,275200,38.060001
2016-10-05,37.73,38.290001,37.689999,37.959999,284800,37.959999
2016-10-04,37.52,38.00,37.43,37.639999,281300,37.639999
2016-10-03,37.810001,37.810001,37.209999,37.549999,529600,37.549999
2016-09-30,37.18,37.860001,37.060001,37.669998,350300,37.669998
2016-09-29,37.82,37.919998,37.060001,37.07,272200,37.07
2016-09-28,37.32,37.709999,37.23,37.700001,317200,37.700001
