Date,Open,High,Low,Close,Volume,Adj Close
2016-12-01,8.23,8.42,8.23,8.38,61900,8.38
2016-11-30,8.46,8.49,8.15,8.18,62100,8.18
2016-11-29,8.49,8.56,8.37,8.38,110400,8.38
2016-11-28,8.58,8.58,8.28,8.38,63100,8.38
2016-11-25,8.49,8.58,8.41,8.58,22400,8.58
2016-11-23,8.39,8.53,8.35,8.48,70100,8.48
2016-11-22,8.30,8.45,8.27,8.42,100800,8.42
2016-11-21,7.99,8.27,7.99,8.27,97300,8.27
2016-11-18,8.07,8.26,8.06,8.15,111600,8.15
2016-11-17,8.21,8.21,8.06,8.10,79100,8.10
2016-11-16,8.14,8.20,8.09,8.19,108400,8.19
2016-11-15,8.15,8.37,8.05,8.13,66800,8.13
2016-11-14,8.39,8.52,8.10,8.15,116800,8.15
2016-11-11,7.70,8.40,7.32,8.34,316700,8.34
2016-11-10,7.50,7.75,7.49,7.69,166700,7.69
2016-11-09,7.27,7.49,7.25,7.47,144900,7.47
2016-11-08,7.35,7.41,7.27,7.28,42100,7.28
2016-11-07,7.18,7.40,7.18,7.33,95600,7.33
2016-11-04,7.26,7.26,7.11,7.14,103000,7.14
2016-11-03,7.22,7.27,7.20,7.23,32300,7.23
2016-11-02,7.25,7.27,7.16,7.18,64600,7.18
2016-11-01,7.35,7.39,7.21,7.25,81600,7.25
2016-10-31,7.36,7.40,7.33,7.35,93200,7.35
2016-10-28,7.38,7.43,7.33,7.36,45700,7.36
2016-10-27,7.38,7.43,7.30,7.37,36900,7.37
2016-10-26,7.37,7.46,7.35,7.37,34300,7.34
2016-10-25,7.35,7.37,7.30,7.36,76800,7.330041
2016-10-24,7.33,7.39,7.33,7.37,21800,7.34
2016-10-21,7.26,7.36,7.21,7.28,110600,7.250366
2016-10-20,7.33,7.40,7.29,7.33,55400,7.300163
2016-10-19,7.09,7.35,7.09,7.31,88000,7.280244
2016-10-18,7.14,7.17,7.02,7.09,40600,7.06114
2016-10-17,7.11,7.17,7.06,7.07,29800,7.041221
2016-10-14,7.12,7.18,7.10,7.13,38000,7.100977
2016-10-13,7.19,7.19,7.05,7.07,38500,7.041221
2016-10-12,7.27,7.28,7.22,7.25,60100,7.220488
2016-10-11,7.27,7.28,7.20,7.24,38700,7.210529
2016-10-10,7.20,7.29,7.11,7.27,27400,7.240407
2016-10-07,7.20,7.20,7.13,7.15,34500,7.120895
2016-10-06,7.09,7.23,7.04,7.18,82600,7.150773
2016-10-05,7.09,7.22,7.03,7.09,57800,7.06114
2016-10-04,7.10,7.17,7.04,7.06,30200,7.031262
2016-10-03,7.06,7.11,7.02,7.09,35600,7.06114
2016-09-30,7.17,7.22,6.93,7.11,115400,7.081058
2016-09-29,7.28,7.28,7.10,7.11,23500,7.081058
2016-09-28,7.20,7.30,7.20,7.28,40800,7.250366
2016-09-27,7.15,7.30,7.15,7.28,39300,7.250366
2016-09-26,7.22,7.25,7.15,7.21,46000,7.180651
2016-09-23,7.24,7.24,6.96,7.23,44500,7.20057
2016-09-22,7.18,7.23,7.11,7.23,73300,7.20057
2016-09-21,7.22,7.23,7.04,7.17,36600,7.140814
2016-09-20,7.26,7.33,6.94,7.16,37300,7.130854
2016-09-19,7.26,7.38,7.21,7.27,42700,7.240407
2016-09-16,7.10,7.28,6.96,7.26,180300,7.230448
2016-09-15,6.97,7.07,6.75,7.07,41200,7.041221
2016-09-14,6.78,6.98,6.78,6.96,65000,6.931669
2016-09-13,6.87,6.90,6.78,6.82,82800,6.792239
2016-09-12,6.70,7.00,6.61,6.87,168300,6.842035
2016-09-09,6.53,6.57,6.41,6.50,168700,6.473541
2016-09-08,6.53,6.58,6.50,6.56,22200,6.533297
2016-09-07,6.63,6.66,6.54,6.56,56300,6.533297
2016-09-06,6.65,6.65,6.53,6.61,25800,6.583094
2016-09-02,6.65,6.65,6.58,6.63,14400,6.603012
2016-09-01,6.53,6.60,6.50,6.60,22500,6.573134
2016-08-31,6.62,6.63,6.50,6.51,64300,6.483501
2016-08-30,6.51,6.64,6.49,6.60,84700,6.573134
2016-08-29,6.51,6.56,6.50,6.53,26400,6.503419
2016-08-26,6.58,6.60,6.51,6.54,18900,6.513378
2016-08-25,6.55,6.62,6.50,6.56,52200,6.533297
2016-08-24,6.60,6.60,6.50,6.59,41900,6.563175
2016-08-23,6.55,6.66,6.50,6.63,38900,6.603012
2016-08-22,6.54,6.59,6.50,6.55,23100,6.523338
2016-08-19,6.74,6.74,6.51,6.55,86100,6.523338
2016-08-18,6.65,6.76,6.65,6.75,25300,6.722524
2016-08-17,6.72,6.73,6.59,6.71,12000,6.682686
2016-08-16,6.71,6.75,6.61,6.73,46800,6.702605
2016-08-15,6.80,6.80,6.69,6.74,31400,6.712564
2016-08-12,6.87,6.87,6.74,6.75,31200,6.722524
2016-08-11,6.75,6.86,6.75,6.84,20100,6.812157
2016-08-10,6.78,6.83,6.75,6.75,25500,6.722524
2016-08-09,6.79,6.85,6.74,6.81,41000,6.782279
2016-08-08,6.87,6.92,6.69,6.74,26800,6.712564
2016-08-05,6.69,6.86,6.69,6.83,51500,6.802198
2016-08-04,6.66,6.73,6.63,6.68,16300,6.652808
2016-08-03,6.70,6.73,6.64,6.71,30400,6.682686
2016-08-02,6.70,6.74,6.64,6.67,64700,6.642849
2016-08-01,6.67,6.80,6.63,6.67,43800,6.642849
2016-07-29,6.69,6.81,6.63,6.64,87200,6.612971
2016-07-28,6.73,6.74,6.43,6.68,32700,6.652808
2016-07-27,6.78,6.80,6.74,6.74,35000,6.682686
2016-07-26,6.71,6.81,6.71,6.79,46000,6.732261
2016-07-25,6.68,6.85,6.58,6.73,110000,6.672771
2016-07-22,6.66,6.69,6.61,6.69,67400,6.633112
2016-07-21,6.64,6.68,6.52,6.64,128500,6.583537
2016-07-20,6.34,6.74,6.16,6.63,186200,6.573622
2016-07-19,6.12,6.14,6.11,6.12,28200,6.067958
2016-07-18,6.10,6.16,6.08,6.12,44400,6.067958
2016-07-15,6.18,6.18,6.00,6.13,52400,6.077874
2016-07-14,6.21,6.21,6.09,6.13,36100,6.077874
2016-07-13,6.19,6.25,6.11,6.15,80000,6.097704
2016-07-12,6.13,6.22,6.09,6.19,67900,6.137363
2016-07-11,6.07,6.11,6.03,6.08,79400,6.028299
2016-07-08,6.00,6.08,5.97,6.07,103200,6.018384
2016-07-07,5.97,6.00,5.96,5.99,38400,5.939064
2016-07-06,5.97,6.02,5.95,5.98,38300,5.929149
2016-07-05,6.05,6.05,6.01,6.02,64700,5.968809
2016-07-01,6.09,6.10,5.70,6.04,62200,5.988639
2016-06-30,5.94,6.09,5.93,6.08,195800,6.028299
2016-06-29,5.84,5.95,5.78,5.94,97400,5.889489
2016-06-28,5.70,5.86,5.66,5.80,121700,5.75068
2016-06-27,5.78,5.81,5.60,5.68,151900,5.6317
2016-06-24,5.82,5.95,5.71,5.78,346600,5.73085
2016-06-23,5.99,6.05,5.98,6.03,98700,5.978724
2016-06-22,5.99,6.01,5.90,5.92,72000,5.869659
2016-06-21,6.02,6.03,5.99,5.99,219300,5.939064
2016-06-20,5.98,6.10,5.98,6.02,89800,5.968809
2016-06-17,6.00,6.00,5.93,5.93,255700,5.879574
2016-06-16,5.92,6.00,5.89,5.99,333000,5.939064
2016-06-15,5.98,6.00,5.90,5.95,69300,5.899404
2016-06-14,5.91,5.99,5.91,5.94,75200,5.889489
2016-06-13,5.92,5.96,5.89,5.93,276600,5.879574
2016-06-10,5.96,5.99,5.89,5.92,78400,5.869659
2016-06-09,5.99,6.00,5.92,5.99,70700,5.939064
2016-06-08,6.06,6.06,6.00,6.02,61000,5.968809
2016-06-07,5.97,6.09,5.95,6.09,207200,6.038214
2016-06-06,5.91,6.00,5.90,5.99,43500,5.939064
2016-06-03,6.00,6.00,5.89,5.91,52700,5.859744
2016-06-02,6.01,6.05,5.96,6.04,45100,5.988639
2016-06-01,6.07,6.14,6.03,6.04,64900,5.988639
2016-05-31,6.14,6.17,6.05,6.09,79000,6.038214
2016-05-27,6.10,6.14,6.09,6.12,45300,6.067958
2016-05-26,6.05,6.13,6.01,6.08,29300,6.028299
2016-05-25,6.10,6.12,6.06,6.07,96200,6.018384
2016-05-24,5.95,6.14,5.95,6.10,87100,6.048129
2016-05-23,5.97,6.00,5.94,5.95,45100,5.899404
2016-05-20,5.94,6.05,5.94,5.99,68900,5.939064
2016-05-19,5.90,5.94,5.88,5.90,50600,5.849829
2016-05-18,5.88,5.96,5.88,5.95,30100,5.899404
2016-05-17,5.93,5.97,5.86,5.88,98100,5.83
2016-05-16,5.95,6.00,5.90,5.95,60300,5.899404
2016-05-13,5.94,6.00,5.90,5.91,66400,5.859744
2016-05-12,5.93,6.00,5.90,5.91,33400,5.859744
2016-05-11,5.98,5.99,5.90,5.90,32800,5.849829
2016-05-10,5.98,6.00,5.94,5.99,39000,5.939064
2016-05-09,5.86,5.98,5.86,5.93,48100,5.879574
2016-05-06,5.88,5.93,5.84,5.89,93500,5.839914
2016-05-05,5.90,5.95,5.87,5.88,60400,5.83
2016-05-04,5.85,6.00,5.83,5.90,91100,5.849829
2016-05-03,5.92,6.02,5.89,5.90,62300,5.849829
2016-05-02,5.92,6.04,5.91,6.00,57600,5.948979
2016-04-29,5.91,5.97,5.89,5.94,81500,5.889489
2016-04-28,5.90,5.97,5.90,5.91,64800,5.834957
2016-04-27,5.94,5.98,5.86,5.95,121300,5.874449
2016-04-26,5.94,6.03,5.91,5.99,50400,5.913941
2016-04-25,5.92,5.96,5.88,5.90,72800,5.825084
2016-04-22,5.86,5.96,5.85,5.94,49200,5.864576
2016-04-21,5.74,5.87,5.73,5.85,76500,5.775719
2016-04-20,5.62,5.80,5.62,5.77,77900,5.696735
