Date,Open,High,Low,Close,Volume,Adj Close
2016-12-01,45.470001,46.200001,45.470001,45.790001,58200,45.790001
2016-11-30,46.060001,46.200001,45.360001,45.400002,54000,45.400002
2016-11-29,46.130001,46.509998,45.700001,45.82,36500,45.82
2016-11-28,46.150002,46.950001,46.040001,46.200001,67500,45.95
2016-11-25,46.52,46.720001,46.139999,46.580002,30600,46.327945
2016-11-23,45.880001,46.52,45.830002,46.50,61300,46.248376
2016-11-22,45.049999,46.23,45.049999,46.200001,80100,45.95
2016-11-21,45.610001,46.27,44.919998,45.400002,51500,45.15433
2016-11-18,44.939999,45.740002,44.939999,45.709999,97300,45.46265
2016-11-17,44.43,45.619999,44.43,45.02,83900,44.776385
2016-11-16,43.75,44.48,43.040001,44.41,59100,44.169685
2016-11-15,43.98,43.98,42.950001,43.75,51600,43.513257
2016-11-14,44.110001,44.41,42.529999,44.169998,67200,43.930983
2016-11-11,42.16,43.900002,41.82,43.73,136800,43.493365
2016-11-10,41.130001,42.450001,40.849998,42.110001,105500,41.882132
2016-11-09,38.900002,40.959999,38.700001,40.75,99500,40.529491
2016-11-08,38.540001,39.200001,38.540001,39.080002,59000,38.868529
2016-11-07,38.200001,38.709999,38.049999,38.650002,86100,38.440856
2016-11-04,38.189999,38.529999,37.799999,38.119999,59000,37.913721
2016-11-03,38.490002,38.650002,37.540001,38.029999,46700,37.824208
2016-11-02,39.040001,39.349998,38.200001,38.259998,51200,38.052963
2016-11-01,39.419998,39.700001,39.25,39.330002,101200,39.117177
2016-10-31,39.400002,39.700001,39.099998,39.52,69200,39.306147
2016-10-28,39.73,40.080002,39.240002,39.400002,42400,39.186798
2016-10-27,40.380001,40.630001,39.509998,39.700001,29000,39.485173
2016-10-26,40.57,40.830002,40.02,40.18,40900,39.962576
2016-10-25,40.52,40.82,40.259998,40.740002,39200,40.519547
2016-10-24,40.41,40.68,40.369999,40.610001,44600,40.390249
2016-10-21,40.380001,40.459999,40.009998,40.130001,35600,39.912847
2016-10-20,41.509998,41.509998,40.669998,40.759998,35600,40.539435
2016-10-19,41.709999,41.93,41.360001,41.50,60900,41.275432
2016-10-18,42.049999,42.68,41.59,41.73,109500,41.504187
2016-10-17,41.830002,42.07,41.799999,41.950001,40400,41.722998
2016-10-14,41.830002,42.07,41.630001,41.970001,56200,41.74289
2016-10-13,41.509998,41.900002,41.349998,41.66,48200,41.434566
2016-10-12,41.529999,42.00,41.529999,41.880001,43900,41.653377
2016-10-11,41.939999,41.98,41.369999,41.529999,57700,41.305269
2016-10-10,41.950001,42.150002,41.650002,41.970001,55400,41.74289
2016-10-07,41.720001,42.27,41.459999,41.689999,73600,41.464403
2016-10-06,42.00,42.18,41.549999,41.700001,76300,41.474351
2016-10-05,42.240002,42.509998,41.82,42.23,53600,42.001482
2016-10-04,42.049999,42.209999,41.330002,42.119999,82000,41.892076
2016-10-03,42.02,42.259998,41.650002,42.240002,77700,42.01143
2016-09-30,42.200001,42.52,42.119999,42.32,52300,42.090995
2016-09-29,42.700001,42.779999,42.110001,42.110001,33200,41.882132
2016-09-28,42.48,42.98,42.290001,42.880001,75500,42.647966
2016-09-27,42.23,42.610001,40.369999,42.560001,67100,42.329698
2016-09-26,42.490002,42.700001,41.990002,42.139999,54800,41.911969
2016-09-23,43.860001,43.860001,42.779999,42.98,73000,42.747423
2016-09-22,43.41,43.98,43.189999,43.93,64100,43.692283
2016-09-21,42.150002,43.189999,42.150002,43.169998,62100,42.936394
2016-09-20,41.93,42.50,41.900002,42.080002,43400,41.852296
2016-09-19,41.790001,42.259998,41.790001,41.970001,68300,41.74289
2016-09-16,41.709999,41.75,41.25,41.610001,202700,41.384838
2016-09-15,41.25,43.240002,40.900002,41.509998,82700,41.285377
2016-09-14,42.400002,42.400002,41.130001,41.25,71400,41.026785
2016-09-13,42.48,42.860001,42.110001,42.369999,63000,42.140724
2016-09-12,41.939999,43.00,41.700001,42.93,107900,42.697695
2016-09-09,42.970001,43.009998,41.98,41.98,82900,41.752835
2016-09-08,43.900002,43.900002,43.279999,43.34,41700,43.105476
2016-09-07,43.599998,44.00,43.299999,43.98,77600,43.742012
2016-09-06,43.50,43.84,43.48,43.599998,39800,43.364067
2016-09-02,43.360001,43.610001,43.200001,43.580002,64100,43.344179
2016-09-01,43.169998,43.389999,42.82,43.200001,51900,42.966234
2016-08-31,43.189999,43.349998,42.119999,43.209999,78700,42.976178
2016-08-30,42.849998,43.200001,42.689999,43.169998,40000,42.936394
2016-08-29,43.029999,43.330002,42.48,43.00,55100,42.518669
2016-08-26,43.209999,43.610001,42.75,43.110001,37400,42.627438
2016-08-25,42.84,43.32,42.709999,43.279999,57200,42.795533
2016-08-24,42.779999,43.200001,42.700001,43.029999,67700,42.548332
2016-08-23,42.66,42.950001,42.509998,42.68,103400,42.202251
2016-08-22,42.459999,42.869999,42.360001,42.619999,47300,42.142921
2016-08-19,42.52,42.869999,42.330002,42.689999,64700,42.212137
2016-08-18,42.279999,42.66,42.150002,42.549999,49500,42.073705
2016-08-17,42.689999,42.830002,42.240002,42.34,36000,41.866057
2016-08-16,42.529999,42.939999,42.509998,42.57,36800,42.093482
2016-08-15,42.689999,42.959999,42.419998,42.709999,43100,42.231914
2016-08-12,42.419998,42.799999,42.419998,42.709999,26100,42.231914
2016-08-11,42.630001,42.990002,42.450001,42.52,34000,42.044042
2016-08-10,42.91,42.91,41.91,42.509998,57700,42.034152
2016-08-09,42.560001,42.959999,42.34,42.919998,58000,42.439562
2016-08-08,42.330002,43.040001,42.330002,42.580002,27100,42.103372
2016-08-05,42.07,42.68,41.419998,42.450001,60400,41.974826
2016-08-04,42.299999,42.299999,41.419998,41.91,44600,41.44087
2016-08-03,42.639999,42.639999,41.200001,42.139999,59800,41.668295
2016-08-02,42.02,42.41,41.580002,42.049999,41700,41.579302
2016-08-01,42.09,42.41,41.529999,42.009998,55200,41.539749
2016-07-29,42.869999,42.869999,41.880001,42.00,72900,41.529862
2016-07-28,42.950001,43.75,42.810001,42.869999,32100,42.390123
2016-07-27,42.73,43.290001,42.689999,43.09,55100,42.607661
2016-07-26,42.880001,42.919998,42.16,42.849998,51100,42.370346
2016-07-25,42.599998,42.830002,42.18,42.639999,28900,42.162698
2016-07-22,42.150002,42.799999,42.150002,42.610001,31300,42.133035
2016-07-21,42.27,42.490002,41.880001,42.110001,38500,41.638632
2016-07-20,42.18,42.91,41.490002,42.27,43200,41.796841
2016-07-19,42.200001,42.419998,41.849998,42.259998,51800,41.78695
2016-07-18,42.91,43.259998,42.27,42.41,61500,41.935273
2016-07-15,43.139999,43.240002,42.689999,42.919998,41500,42.439562
2016-07-14,43.75,43.75,42.73,42.77,42500,42.291244
2016-07-13,43.099998,43.57,43.029999,43.43,77600,42.943856
2016-07-12,42.939999,43.369999,42.68,43.040001,54700,42.558222
2016-07-11,42.41,42.93,42.110001,42.860001,60900,42.380236
2016-07-08,41.630001,42.259998,41.27,42.209999,75100,41.737511
2016-07-07,42.00,42.00,41.09,41.32,55600,40.857474
2016-07-06,41.619999,42.00,41.220001,41.82,41500,41.351877
2016-07-05,41.349998,42.009998,41.200001,41.84,40700,41.371654
2016-07-01,42.220001,42.709999,41.57,41.860001,47600,41.39143
2016-06-30,41.029999,42.509998,40.799999,42.43,92500,41.955049
2016-06-29,40.619999,40.959999,40.540001,40.810001,46000,40.353184
2016-06-28,40.099998,40.939999,39.950001,40.220001,67400,39.769788
2016-06-27,40.00,40.57,39.66,39.779999,71400,39.334711
2016-06-24,40.799999,41.380001,40.34,40.450001,258500,39.997213
2016-06-23,41.77,42.450001,41.099998,42.27,59500,41.796841
2016-06-22,41.490002,41.889999,41.43,41.459999,64000,40.995906
2016-06-21,41.700001,41.860001,40.650002,41.450001,50600,40.98602
2016-06-20,40.939999,42.040001,40.610001,41.470001,64400,41.005796
2016-06-17,41.57,41.57,40.549999,40.790001,132500,40.333408
2016-06-16,41.040001,42.110001,40.84,41.669998,50700,41.203555
2016-06-15,41.790001,42.02,41.060001,41.169998,52300,40.709151
2016-06-14,41.689999,42.77,41.200001,41.560001,37300,41.094789
2016-06-13,42.279999,42.59,41.490002,41.599998,54400,41.134338
2016-06-10,41.950001,42.669998,41.610001,42.310001,70800,41.836394
2016-06-09,41.810001,42.459999,40.919998,42.259998,53300,41.78695
2016-06-08,41.639999,42.110001,41.360001,41.860001,40700,41.39143
2016-06-07,41.560001,42.00,41.25,41.610001,37500,41.144229
2016-06-06,41.73,42.02,41.369999,41.549999,38500,41.084899
2016-06-03,41.27,41.73,40.740002,41.630001,53000,41.164005
2016-06-02,41.759998,41.950001,41.130001,41.439999,80900,40.97613
2016-06-01,40.970001,42.139999,40.970001,41.950001,75900,41.480423
2016-05-31,41.540001,42.049999,40.75,41.169998,144000,40.709151
2016-05-27,41.310001,41.900002,41.290001,41.419998,101400,40.956353
2016-05-26,41.490002,41.990002,41.189999,41.41,62700,40.699266
2016-05-25,42.029999,42.48,41.380001,41.50,48700,40.787722
2016-05-24,41.529999,42.220001,41.529999,42.029999,70500,41.308624
2016-05-23,41.779999,41.779999,41.150002,41.209999,60300,40.502698
2016-05-20,41.560001,42.279999,41.34,41.610001,242400,40.895834
2016-05-19,41.59,41.669998,40.279999,41.360001,73100,40.650125
2016-05-18,39.900002,41.849998,39.900002,41.740002,138800,41.023604
2016-05-17,40.740002,41.00,39.689999,39.970001,117900,39.283983
2016-05-16,40.580002,41.049999,40.450001,40.93,114500,40.227505
2016-05-13,40.529999,41.189999,40.41,40.459999,48400,39.765571
2016-05-12,40.59,40.939999,40.23,40.68,71000,39.981796
2016-05-11,40.560001,41.169998,40.25,40.450001,99200,39.755744
2016-05-10,40.790001,40.950001,40.279999,40.740002,74100,40.040767
2016-05-09,40.509998,40.880001,40.119999,40.630001,86600,39.932655
2016-05-06,39.470001,40.580002,39.119999,40.57,218100,39.873683
2016-05-05,42.060001,42.66,40.02,40.189999,168900,39.500204
2016-05-04,43.040001,44.349998,42.110001,42.389999,186900,41.662446
2016-05-03,45.41,45.75,44.91,45.52,94100,44.738725
2016-05-02,45.029999,45.66,44.84,45.490002,116200,44.709241
2016-04-29,44.639999,45.029999,44.48,44.82,92300,44.050739
2016-04-28,44.740002,45.110001,44.639999,44.740002,89700,43.972114
2016-04-27,45.080002,45.189999,44.450001,45.040001,88000,44.266964
2016-04-26,45.09,45.599998,43.860001,45.259998,92500,44.483186
2016-04-25,44.959999,45.189999,44.389999,45.119999,71700,44.345589
2016-04-22,44.52,45.220001,44.130001,45.16,79100,44.384904
2016-04-21,45.330002,45.330002,44.43,44.619999,105500,43.854171
2016-04-20,45.34,45.450001,44.799999,45.240002,60600,44.463532
2016-04-19,45.119999,45.48,45.02,45.349998,43200,44.571641
2016-04-18,45.080002,45.209999,44.720001,45.150002,72600,44.375077
2016-04-15,45.009998,45.560001,44.810001,45.150002,61300,44.375077
2016-04-14,44.639999,45.419998,44.639999,45.139999,65300,44.365246
2016-04-13,44.650002,44.98,44.220001,44.650002,63900,43.883659
2016-04-12,43.919998,44.630001,43.59,44.290001,55700,43.529837
2016-04-11,43.869999,44.23,43.700001,43.740002,61600,42.989277
2016-04-08,43.669998,43.869999,43.220001,43.599998,62100,42.851677
2016-04-07,43.759998,43.759998,43.23,43.32,118800,42.576484
2016-04-06,43.889999,44.299999,43.290001,44.060001,82200,43.303785
2016-04-05,43.310001,44.299999,42.970001,43.869999,112000,43.117043
2016-04-04,44.389999,44.490002,43.50,43.689999,70700,42.940132
2016-04-01,43.759998,44.459999,43.73,44.450001,52700,43.68709
2016-03-31,44.419998,44.43,43.599998,43.82,108300,43.067902
2016-03-30,44.029999,44.349998,43.759998,44.290001,77100,43.529837
2016-03-29,42.900002,43.84,42.849998,43.759998,92800,43.008931
2016-03-28,42.369999,43.02,42.369999,42.919998,62400,42.183348
2016-03-24,42.529999,42.75,41.740002,42.07,68700,41.347938
2016-03-23,42.48,42.98,42.470001,42.490002,78700,41.760731
2016-03-22,42.470001,43.240002,42.470001,42.689999,70000,41.957296
2016-03-21,42.700001,42.82,42.139999,42.470001,56100,41.741074
2016-03-18,43.040001,43.040001,42.189999,42.50,181500,41.770558
2016-03-17,42.060001,43.00,41.98,42.959999,99000,42.222662
