Date,Open,High,Low,Close,Volume,Adj Close
2016-12-01,13.57,13.98,13.55,13.68,55000,13.68
2016-11-30,14.05,14.14,13.54,13.58,69400,13.58
2016-11-29,13.60,14.11,13.60,13.88,87300,13.88
2016-11-28,14.10,14.10,13.61,13.65,132600,13.65
2016-11-25,13.60,14.31,13.60,14.17,70600,14.17
2016-11-23,13.55,13.72,13.46,13.64,68600,13.64
2016-11-22,13.22,13.63,13.22,13.55,102300,13.55
2016-11-21,13.08,13.21,12.94,13.16,83800,13.16
2016-11-18,13.57,13.72,13.04,13.05,134700,12.99
2016-11-17,13.70,13.91,13.42,13.55,138300,13.487701
2016-11-16,13.47,13.79,13.36,13.75,90200,13.686781
2016-11-15,13.60,13.60,13.31,13.48,121700,13.418022
2016-11-14,13.72,13.87,13.45,13.57,211200,13.507609
2016-11-11,12.33,13.62,12.33,13.60,229200,13.537471
2016-11-10,11.36,12.36,11.30,12.35,205000,12.293218
2016-11-09,11.05,11.62,11.00,11.23,231700,11.178367
2016-11-08,11.43,11.43,11.02,11.19,146200,11.138551
2016-11-07,11.44,11.83,11.28,11.40,192100,11.347586
2016-11-04,10.83,11.46,10.62,11.34,231400,11.287862
2016-11-03,11.49,11.81,10.71,10.76,374500,10.710529
2016-11-02,12.01,13.00,9.52,11.13,931700,11.078827
2016-11-01,14.54,14.87,14.28,14.64,168400,14.57269
2016-10-31,13.90,14.52,13.66,14.50,107400,14.433333
2016-10-28,13.92,13.95,13.74,13.92,58600,13.856
2016-10-27,14.17,14.23,13.90,13.96,97000,13.895816
2016-10-26,14.19,14.35,14.08,14.14,51000,14.074989
2016-10-25,14.25,14.36,14.13,14.23,67000,14.164574
2016-10-24,14.29,14.45,14.08,14.26,123400,14.194437
2016-10-21,14.39,14.45,14.15,14.27,111500,14.204391
2016-10-20,15.11,15.11,14.52,14.54,164900,14.473149
2016-10-19,15.02,15.25,14.91,15.23,76400,15.159976
2016-10-18,15.39,15.39,15.01,15.02,48600,14.950943
2016-10-17,15.12,15.52,15.12,15.27,71400,15.199793
2016-10-14,15.27,15.79,15.10,15.19,52300,15.12016
2016-10-13,14.92,15.37,14.92,15.21,70300,15.140069
2016-10-12,15.11,15.12,14.91,14.99,135600,14.92108
2016-10-11,15.38,15.47,14.98,15.04,142100,14.97085
2016-10-10,15.89,16.07,15.35,15.36,76400,15.289379
2016-10-07,16.040001,16.719999,15.75,15.79,201400,15.717402
2016-10-06,16.120001,16.120001,14.15,15.02,418200,14.950943
2016-10-05,16.139999,16.57,16.059999,16.27,189800,16.195195
2016-10-04,16.549999,16.719999,15.63,16.24,255400,16.165333
2016-10-03,16.959999,16.959999,16.610001,16.690001,64000,16.613265
2016-09-30,16.709999,17.09,16.65,16.98,52000,16.90193
2016-09-29,17.049999,17.16,16.74,16.75,85300,16.672988
2016-09-28,16.799999,17.15,16.719999,17.139999,82000,17.061194
2016-09-27,16.690001,16.879999,16.620001,16.82,68700,16.742666
2016-09-26,16.969999,17.02,16.610001,16.77,96800,16.692897
2016-09-23,16.969999,17.15,16.809999,17.02,72800,16.941747
2016-09-22,16.620001,17.049999,16.459999,17.040001,115700,16.961656
