Date,Open,High,Low,Close,Volume,Adj Close
2016-12-01,17.90,18.23,17.66,18.219999,2207800,18.219999
2016-11-30,17.719999,17.77,17.58,17.77,1736700,17.77
2016-11-29,17.50,17.719999,17.450001,17.49,1599000,17.49
2016-11-28,17.809999,17.889999,17.459999,17.49,1198000,17.49
2016-11-25,17.879999,17.99,17.809999,17.969999,541000,17.969999
2016-11-23,17.92,18.049999,17.82,17.870001,1951400,17.870001
2016-11-22,17.889999,17.940001,17.799999,17.85,1686000,17.85
2016-11-21,17.82,17.91,17.700001,17.809999,2641300,17.809999
2016-11-18,17.639999,17.860001,17.620001,17.75,2965200,17.75
2016-11-17,17.90,17.93,17.629999,17.66,2609300,17.66
2016-11-16,17.780001,18.09,17.77,17.83,1902800,17.83
2016-11-15,17.780001,18.030001,17.43,18.01,1633900,18.01
2016-11-14,17.76,18.50,17.75,17.90,2689800,17.90
2016-11-11,16.51,17.559999,16.51,17.52,3127900,17.52
2016-11-10,16.379999,17.02,16.200001,16.879999,2971900,16.879999
2016-11-09,15.42,16.200001,15.29,16.110001,3344900,16.110001
2016-11-08,15.22,15.26,15.09,15.11,2228600,15.11
2016-11-07,15.26,15.44,15.11,15.29,2528000,15.29
2016-11-04,14.89,15.08,14.78,14.95,1522500,14.95
2016-11-03,14.90,14.95,14.81,14.88,1092800,14.88
2016-11-02,15.08,15.09,14.82,14.82,1253900,14.82
2016-11-01,15.37,15.40,15.02,15.17,2781300,15.17
2016-10-31,15.35,15.37,15.27,15.28,1766400,15.28
2016-10-28,15.61,15.68,15.25,15.27,1613600,15.27
2016-10-27,15.60,15.61,15.41,15.58,2697000,15.58
2016-10-26,15.45,15.71,15.45,15.50,1026400,15.50
2016-10-25,15.57,15.66,15.47,15.54,1029500,15.54
2016-10-24,15.56,15.78,15.47,15.62,956800,15.62
2016-10-21,15.30,15.50,15.28,15.43,1122600,15.43
2016-10-20,15.47,15.55,15.30,15.46,1906000,15.46
2016-10-19,15.45,15.61,15.37,15.43,1912500,15.43
2016-10-18,15.23,15.44,15.08,15.42,2026400,15.42
2016-10-17,15.28,15.31,15.07,15.09,1108900,15.09
2016-10-14,15.27,15.36,15.16,15.24,871200,15.24
2016-10-13,15.33,15.33,14.98,15.12,1452000,15.12
2016-10-12,15.40,15.56,15.30,15.44,1436200,15.44
2016-10-11,15.47,15.56,15.28,15.36,1725200,15.36
2016-10-10,15.43,15.68,15.43,15.49,1515700,15.49
2016-10-07,15.38,15.48,15.13,15.31,2262100,15.31
2016-10-06,15.45,15.53,15.29,15.41,1208000,15.41
2016-10-05,15.15,15.57,15.11,15.41,1466600,15.41
2016-10-04,14.99,15.16,14.98,15.07,1706800,15.07
2016-10-03,14.92,15.08,14.78,14.92,3542400,14.92
2016-09-30,14.89,15.17,14.89,15.05,1437400,15.05
2016-09-29,15.10,15.22,14.83,14.85,1332000,14.85
2016-09-28,14.91,15.09,14.79,15.07,1758900,15.07
2016-09-27,14.92,15.06,14.88,15.06,1564300,14.90
2016-09-26,15.15,15.17,14.90,14.97,1822800,14.810956
2016-09-23,15.13,15.37,15.13,15.27,1562900,15.107769
2016-09-22,15.15,15.24,15.12,15.22,2317600,15.0583
2016-09-21,15.13,15.24,14.99,15.07,3091700,14.909893
2016-09-20,15.13,15.13,14.96,15.03,2916300,14.870318
2016-09-19,15.09,15.21,14.97,15.04,3137700,14.880212
2016-09-16,15.27,15.27,14.98,15.03,3888700,14.870318
2016-09-15,15.28,15.41,15.22,15.31,1069900,15.147344
2016-09-14,15.48,15.50,15.22,15.25,1257400,15.087981
2016-09-13,15.49,15.53,15.22,15.46,2375400,15.29575
2016-09-12,15.41,15.68,15.36,15.63,2950900,15.463944
2016-09-09,16.030001,16.24,15.64,15.64,2774600,15.473838
2016-09-08,16.200001,16.24,16.049999,16.07,1131200,15.899269
2016-09-07,15.99,16.18,15.96,16.16,1098000,15.988313
2016-09-06,16.35,16.35,15.94,16.059999,1026300,15.889375
2016-09-02,16.299999,16.42,16.209999,16.34,996600,16.166401
2016-09-01,16.42,16.51,16.040001,16.26,1516600,16.087251
2016-08-31,16.34,16.440001,16.209999,16.42,1120600,16.245551
2016-08-30,16.15,16.33,16.049999,16.33,822400,16.156507
2016-08-29,16.139999,16.309999,16.02,16.17,1258200,15.998207
2016-08-26,16.059999,16.190001,15.96,16.09,1361100,15.919057
2016-08-25,15.93,16.08,15.85,16.02,929200,15.849801
2016-08-24,16.030001,16.10,15.81,15.99,719700,15.820119
2016-08-23,15.98,16.110001,15.97,15.99,1105800,15.820119
2016-08-22,15.81,15.97,15.79,15.97,934500,15.800332
2016-08-19,15.81,15.91,15.73,15.89,952100,15.721182
2016-08-18,15.76,15.98,15.69,15.81,1558000,15.642032
2016-08-17,15.75,15.90,15.72,15.75,2277100,15.582669
2016-08-16,15.72,15.85,15.59,15.77,1900000,15.602457
2016-08-15,15.65,15.78,15.61,15.74,1257100,15.572775
