Date,Open,High,Low,Close,Volume,Adj Close
2016-12-01,0.15,0.15,0.15,0.15,000,0.15
2016-11-30,0.15,0.15,0.15,0.15,2000,0.15
2016-11-29,0.16,0.16,0.16,0.16,000,0.16
2016-11-28,0.14,0.16,0.10,0.16,14900,0.16
2016-11-25,0.16,0.16,0.16,0.16,100,0.16
2016-11-23,0.04,0.04,0.04,0.04,000,0.04
2016-11-22,0.04,0.04,0.04,0.04,000,0.04
2016-11-21,0.04,0.04,0.04,0.04,000,0.04
2016-11-18,0.04,0.04,0.04,0.04,000,0.04
2016-11-17,0.04,0.04,0.04,0.04,000,0.04
2016-11-16,0.04,0.04,0.04,0.04,000,0.04
2016-11-15,0.06,0.06,0.04,0.04,3000,0.04
2016-11-14,0.05,0.05,0.05,0.05,000,0.05
2016-11-11,0.05,0.05,0.05,0.05,000,0.05
2016-11-10,0.05,0.05,0.05,0.05,000,0.05
2016-11-09,0.05,0.05,0.05,0.05,000,0.05
2016-11-08,0.05,0.05,0.05,0.05,000,0.05
2016-11-07,0.05,0.05,0.05,0.05,000,0.05
2016-11-04,0.05,0.05,0.05,0.05,000,0.05
2016-11-03,0.05,0.05,0.05,0.05,000,0.05
2016-11-02,0.05,0.05,0.05,0.05,000,0.05
2016-11-01,0.05,0.05,0.05,0.05,000,0.05
2016-10-31,0.05,0.05,0.05,0.05,3500,0.05
2016-10-28,0.05,0.05,0.05,0.05,000,0.05
2016-10-27,0.05,0.05,0.05,0.05,000,0.05
2016-10-26,0.05,0.05,0.05,0.05,500,0.05
2016-10-25,0.05,0.05,0.05,0.05,2100,0.05
2016-10-24,0.05,0.05,0.05,0.05,1000,0.05
2016-10-21,0.13,0.13,0.13,0.13,000,0.13
2016-10-20,0.13,0.13,0.13,0.13,000,0.13
2016-10-19,0.16,0.16,0.13,0.13,2000,0.13
2016-10-18,0.03,0.03,0.03,0.03,000,0.03
2016-10-17,0.03,0.03,0.03,0.03,5800,0.03
2016-10-14,0.03,0.03,0.03,0.03,000,0.03
2016-10-13,0.03,0.03,0.03,0.03,000,0.03
2016-10-12,0.03,0.03,0.03,0.03,000,0.03
2016-10-11,0.03,0.03,0.03,0.03,000,0.03
2016-10-10,0.03,0.03,0.03,0.03,000,0.03
2016-10-07,0.03,0.03,0.03,0.03,000,0.03
2016-10-06,0.03,0.03,0.03,0.03,000,0.03
2016-10-05,0.03,0.03,0.03,0.03,800,0.03
2016-10-04,0.05,0.05,0.05,0.05,000,0.05
2016-10-03,0.06,0.06,0.05,0.05,700,0.05
