Date,Open,High,Low,Close,Volume,Adj Close
2016-12-01,63.990002,64.110001,63.900002,64.110001,169100,64.110001
2016-11-30,64.260002,64.379997,64.230003,64.300003,70800,64.220002
2016-11-29,64.349998,64.529999,64.339996,64.50,106600,64.41975
2016-11-28,64.440002,64.489998,64.370003,64.489998,99400,64.40976
2016-11-25,64.290001,64.349998,64.18,64.260002,40800,64.180051
2016-11-23,64.230003,64.370003,64.139999,64.330002,131700,64.249963
2016-11-22,64.480003,64.580002,64.410004,64.50,186800,64.41975
2016-11-21,64.440002,64.50,64.370003,64.459999,77900,64.379799
2016-11-18,64.57,64.669998,64.370003,64.389999,209000,64.309886
2016-11-17,64.699997,64.790001,64.550003,64.610001,117700,64.529614
2016-11-16,64.650002,64.830002,64.620003,64.800003,94600,64.71938
2016-11-15,64.730003,64.860001,64.699997,64.82,148600,64.739351
2016-11-14,64.809998,64.940002,64.699997,64.739998,198000,64.659449
2016-11-11,65.190002,65.260002,65.00,65.019997,64100,64.9391
2016-11-10,65.220001,65.370003,65.089996,65.129997,204000,65.048963
2016-11-09,65.779999,65.809998,65.309998,65.370003,266400,65.28867
2016-11-08,66.050003,66.110001,65.860001,65.910004,418000,65.827999
2016-11-07,66.080002,66.169998,66.019997,66.059998,212900,65.977807
2016-11-04,66.169998,66.279999,66.150002,66.269997,54300,66.187544
2016-11-03,66.139999,66.220001,66.050003,66.18,255700,66.09766
2016-11-02,66.059998,66.230003,66.059998,66.169998,81500,66.08767
2016-11-01,65.959999,66.120003,65.849998,66.059998,352200,65.977807
2016-10-31,66.089996,66.129997,66.019997,66.080002,481100,65.918886
2016-10-28,65.919998,66.089996,65.919998,66.040001,103300,65.878983
2016-10-27,66.00,66.010002,65.900002,66.010002,361800,65.849057
2016-10-26,66.150002,66.190002,66.110001,66.129997,81900,65.96876
2016-10-25,66.160004,66.269997,66.110001,66.18,88200,66.018641
2016-10-24,66.300003,66.379997,66.150002,66.199997,158500,66.038589
2016-10-21,66.290001,66.330002,66.199997,66.269997,152800,66.108418
2016-10-20,66.330002,66.339996,66.199997,66.25,333200,66.08847
2016-10-19,66.25,66.339996,66.199997,66.300003,250300,66.138351
2016-10-18,66.129997,66.309998,66.129997,66.279999,214400,66.118396
2016-10-17,66.120003,66.25,66.110001,66.220001,133100,66.058544
2016-10-14,66.169998,66.230003,66.059998,66.089996,130600,65.928857
2016-10-13,66.169998,66.260002,66.120003,66.199997,125800,66.038589
2016-10-12,66.010002,66.110001,65.980003,66.110001,111500,65.948812
2016-10-11,66.059998,66.18,66.010002,66.089996,448500,65.928857
2016-10-10,66.089996,66.18,66.010002,66.089996,87000,65.928857
2016-10-07,66.169998,66.269997,66.089996,66.230003,53600,66.068522
2016-10-06,66.160004,66.25,66.099998,66.099998,91700,65.938834
2016-10-05,66.339996,66.349998,66.18,66.25,141100,66.08847
2016-10-04,66.440002,66.480003,66.309998,66.339996,314600,66.178247
2016-10-03,66.589996,66.620003,66.440002,66.540001,107900,66.377764
2016-09-30,66.82,66.830002,66.650002,66.779999,128000,66.532382
2016-09-29,66.660004,66.870003,66.610001,66.790001,467100,66.542347
2016-09-28,66.809998,66.839996,66.690002,66.720001,130600,66.472607
2016-09-27,66.870003,66.870003,66.690002,66.809998,124600,66.56227
2016-09-26,66.68,66.790001,66.650002,66.720001,110600,66.472607
2016-09-23,66.540001,66.650002,66.50,66.620003,75700,66.372979
2016-09-22,66.510002,66.650002,66.50,66.57,97500,66.323162
2016-09-21,66.339996,66.50,66.18,66.50,94300,66.253422
2016-09-20,66.419998,66.50,66.330002,66.43,124300,66.183681
2016-09-19,66.440002,66.440002,66.360001,66.379997,41900,66.133864
2016-09-16,66.419998,66.470001,66.32,66.440002,72400,66.193647
2016-09-15,66.400002,66.489998,66.25,66.440002,118200,66.193647
2016-09-14,66.309998,66.449997,66.279999,66.400002,42100,66.153794
2016-09-13,66.370003,66.440002,66.160004,66.279999,82600,66.034236
2016-09-12,66.339996,66.470001,66.269997,66.419998,87700,66.173716
2016-09-09,66.400002,66.400002,66.32,66.360001,63600,66.113941
2016-09-08,66.650002,66.690002,66.440002,66.489998,92900,66.243457
2016-09-07,66.800003,66.800003,66.669998,66.730003,121000,66.482572
2016-09-06,66.50,66.760002,66.400002,66.709999,460300,66.462642
2016-09-02,66.50,66.540001,66.309998,66.480003,81800,66.233499
2016-09-01,66.339996,66.57,66.309998,66.550003,62000,66.303239
2016-08-31,66.629997,66.68,66.559998,66.57,75600,66.241467
2016-08-30,66.639999,66.669998,66.550003,66.620003,35800,66.291223
2016-08-29,66.550003,66.650002,66.489998,66.629997,81600,66.301169
2016-08-26,66.699997,66.779999,66.400002,66.449997,59500,66.122057
2016-08-25,66.68,66.720001,66.580002,66.650002,71200,66.321074
2016-08-24,66.790001,66.790001,66.660004,66.739998,143800,66.410626
2016-08-23,66.779999,66.809998,66.669998,66.699997,62100,66.370823
2016-08-22,66.690002,66.790001,66.690002,66.75,101800,66.420579
2016-08-19,66.699997,66.730003,66.599998,66.650002,84700,66.321074
2016-08-18,66.699997,66.849998,66.639999,66.82,66500,66.490233
2016-08-17,66.639999,66.790001,66.559998,66.699997,98900,66.370823
2016-08-16,66.650002,66.699997,66.540001,66.610001,554600,66.281271
2016-08-15,66.779999,66.82,66.690002,66.75,87000,66.420579
2016-08-12,66.919998,66.980003,66.809998,66.860001,60500,66.530037
2016-08-11,66.940002,66.940002,66.639999,66.68,66400,66.350925
2016-08-10,66.860001,66.970001,66.75,66.919998,81700,66.589738
2016-08-09,66.699997,66.830002,66.629997,66.809998,39700,66.480281
2016-08-08,66.57,66.720001,66.540001,66.639999,54100,66.311121
2016-08-05,66.849998,66.849998,66.690002,66.699997,92000,66.370823
2016-08-04,66.980003,67.07,66.959999,67.019997,58100,66.689243
2016-08-03,66.839996,66.910004,66.75,66.889999,43300,66.559888
2016-08-02,66.739998,67.150002,66.709999,66.860001,132200,66.530037
2016-08-01,67.050003,67.050003,66.860001,66.919998,117500,66.589738
2016-07-29,67.010002,67.199997,67.010002,67.139999,63900,66.725067
2016-07-28,66.889999,67.00,66.800003,66.919998,49800,66.506425
2016-07-27,66.790001,66.93,66.769997,66.93,46600,66.516366
2016-07-26,66.779999,66.779999,66.660004,66.760002,59900,66.347418
2016-07-25,66.75,66.809998,66.68,66.68,585200,66.267911
2016-07-22,66.769997,66.849998,66.68,66.769997,43800,66.357351
