Date,Open,High,Low,Close,Volume,Adj Close
2016-12-01,41.75,42.099998,41.349998,41.349998,24300,41.349998
2016-11-30,41.299999,42.00,41.299999,41.580002,103500,41.580002
2016-11-29,40.950001,41.400002,40.950001,41.200001,25100,41.200001
2016-11-28,41.549999,42.130001,40.950001,41.00,27500,41.00
2016-11-25,41.75,41.950001,41.349998,41.900002,8600,41.900002
2016-11-23,41.099998,41.650002,41.099998,41.549999,36300,41.549999
2016-11-22,41.549999,41.799999,41.50,41.599998,31200,41.599998
2016-11-21,42.200001,42.400002,41.400002,41.450001,29100,41.450001
2016-11-18,42.599998,42.950001,41.950001,42.049999,49800,42.049999
2016-11-17,42.849998,43.099998,42.650002,42.75,24700,42.75
2016-11-16,42.75,43.34,42.349998,42.849998,32100,42.849998
2016-11-15,43.349998,43.400002,42.599998,42.950001,49400,42.950001
2016-11-14,42.849998,43.549999,42.700001,43.450001,64400,43.450001
2016-11-11,42.200001,43.00,42.200001,42.849998,45300,42.849998
2016-11-10,41.950001,43.049999,41.950001,42.50,57100,42.50
2016-11-09,40.00,42.650002,40.00,42.349998,68600,42.349998
2016-11-08,41.900002,42.00,41.200001,41.700001,22800,41.700001
2016-11-07,41.50,42.00,41.25,41.950001,31200,41.950001
2016-11-04,41.150002,41.700001,40.799999,40.950001,51800,40.950001
2016-11-03,40.299999,41.349998,40.299999,41.099998,36800,41.099998
2016-11-02,41.400002,41.400002,40.049999,40.200001,36000,40.200001
2016-11-01,42.450001,42.450001,41.00,41.25,41300,41.25
2016-10-31,42.400002,42.75,42.150002,42.299999,36500,42.299999
2016-10-28,42.50,42.849998,42.200001,42.349998,43200,42.349998
2016-10-27,42.599998,42.599998,41.849998,42.50,118100,42.50
2016-10-26,41.700001,42.50,41.599998,42.349998,31200,42.349998
2016-10-25,41.849998,41.91,41.50,41.849998,19600,41.849998
2016-10-24,42.50,42.549999,41.50,41.900002,46500,41.900002
2016-10-21,40.599998,42.650002,40.599998,42.049999,49600,42.049999
2016-10-20,40.50,41.00,40.099998,40.950001,75600,40.950001
2016-10-19,40.900002,40.950001,40.560001,40.700001,57800,40.700001
2016-10-18,40.950001,41.00,40.650002,40.75,35600,40.75
2016-10-17,40.450001,41.50,40.299999,40.549999,69100,40.549999
2016-10-14,40.849998,40.849998,40.220001,40.34,109300,40.34
2016-10-13,40.66,40.66,39.799999,40.439999,114700,40.439999
2016-10-12,40.290001,40.290001,39.549999,39.549999,40800,39.549999
2016-10-11,40.880001,40.889999,39.939999,40.299999,58900,40.299999
2016-10-10,41.34,41.439999,40.93,40.950001,51300,40.950001
2016-10-07,41.369999,41.369999,40.849998,40.990002,40100,40.990002
2016-10-06,42.439999,42.439999,41.310001,41.369999,41200,41.369999
2016-10-05,42.540001,43.169998,42.529999,42.709999,69600,42.709999
2016-10-04,43.02,43.02,42.299999,42.490002,47800,42.490002
2016-10-03,41.639999,42.799999,41.59,42.50,87300,42.50
2016-09-30,42.59,43.099998,42.41,42.82,97100,42.82
2016-09-29,41.290001,43.02,40.810001,42.52,306900,42.52
2016-09-28,39.84,42.790001,39.209999,40.919998,309800,40.919998
2016-09-27,39.02,39.860001,38.610001,39.860001,52600,39.860001
2016-09-26,39.610001,39.830002,39.049999,39.099998,57500,39.099998
2016-09-23,40.099998,40.470001,39.650002,39.740002,93700,39.740002
2016-09-22,40.509998,40.599998,40.130001,40.189999,81300,40.189999
2016-09-21,40.459999,41.099998,40.00,40.509998,139400,40.309998
2016-09-20,41.369999,41.709999,40.439999,40.490002,60600,40.2901
2016-09-19,41.349998,41.630001,40.389999,41.23,55200,41.026445
2016-09-16,41.360001,41.66,41.060001,41.43,38200,41.225458
2016-09-15,41.639999,41.869999,41.18,41.68,41100,41.474224
2016-09-14,41.279999,42.939999,41.279999,41.889999,60400,41.683186
2016-09-13,42.84,43.00,41.27,41.419998,97800,41.215505
2016-09-12,41.50,42.790001,41.50,42.66,53000,42.449385
2016-09-09,43.880001,43.880001,41.599998,41.669998,61200,41.464271
2016-09-08,45.16,45.16,44.02,44.18,60800,43.961881
2016-09-07,44.119999,45.77,43.970001,45.34,90200,45.116154
2016-09-06,44.619999,44.619999,43.709999,44.209999,63700,43.991732
2016-09-02,44.82,45.09,44.459999,44.700001,25200,44.479315
2016-09-01,45.27,45.27,44.34,44.419998,44200,44.200694
2016-08-31,45.689999,45.689999,45.00,45.189999,60900,44.966893
2016-08-30,46.73,46.77,45.73,45.849998,64200,45.623635
2016-08-29,46.490002,46.82,46.200001,46.509998,79900,46.280376
2016-08-26,46.57,46.599998,45.880001,45.919998,29600,45.693289
2016-08-25,46.00,46.77,46.00,46.310001,35600,46.081366
2016-08-24,46.580002,47.169998,46.189999,46.389999,37900,46.16097
2016-08-23,46.950001,47.150002,46.490002,46.689999,29800,46.459488
2016-08-22,48.82,48.82,46.209999,46.84,87500,46.608749
2016-08-19,48.119999,49.23,48.110001,48.700001,126700,48.459566
2016-08-18,48.740002,49.23,47.759998,47.849998,26700,47.613761
2016-08-17,47.849998,49.02,47.849998,48.84,109200,48.598874
2016-08-16,47.470001,48.099998,47.470001,47.709999,28000,47.474452
2016-08-15,47.650002,47.950001,47.43,47.540001,38200,47.305293
2016-08-12,47.139999,47.830002,47.139999,47.619999,29700,47.384896
2016-08-11,46.66,47.34,46.66,47.259998,31100,47.026673
2016-08-10,47.119999,47.349998,46.299999,46.369999,34200,46.141068
2016-08-09,47.189999,47.580002,46.939999,47.07,36000,46.837613
2016-08-08,49.150002,49.150002,47.200001,47.25,66400,47.016724
2016-08-05,49.02,49.099998,47.91,48.759998,53000,48.519268
2016-08-04,49.419998,49.599998,48.419998,48.77,276100,48.52922
2016-08-03,47.849998,48.669998,47.200001,48.639999,29700,48.399861
2016-08-02,48.41,48.98,47.360001,47.919998,64600,47.683415
2016-08-01,49.540001,49.639999,48.380001,48.509998,38300,48.270502
2016-07-29,50.200001,50.200001,49.07,49.639999,47400,49.394924
2016-07-28,50.07,50.400002,49.330002,50.18,30400,49.932259
2016-07-27,49.950001,50.240002,49.52,50.080002,59300,49.832754
2016-07-26,49.610001,49.91,48.84,49.84,42500,49.593937
2016-07-25,49.66,49.93,49.349998,49.610001,19200,49.365073
2016-07-22,49.84,49.860001,49.259998,49.700001,23800,49.454629
2016-07-21,49.220001,49.93,49.220001,49.610001,37000,49.365073
2016-07-20,48.950001,49.349998,48.299999,49.07,23700,48.827739
2016-07-19,49.189999,49.189999,48.560001,48.970001,52200,48.728234
2016-07-18,48.43,49.360001,48.43,49.189999,36000,48.947145
2016-07-15,49.099998,49.099998,48.07,48.549999,37100,48.310305
2016-07-14,49.439999,50.119999,49.099998,49.259998,33400,49.016799
2016-07-13,49.84,49.84,48.75,49.23,75300,48.986948
2016-07-12,49.27,50.029999,49.040001,49.830002,38200,49.583988
2016-07-11,49.650002,49.77,48.130001,48.93,69000,48.68843
2016-07-08,48.43,50.009998,48.07,49.93,81300,49.683493
2016-07-07,45.700001,47.77,45.700001,47.77,61500,47.534157
2016-07-06,45.07,45.959999,44.77,45.82,39600,45.593784
2016-07-05,46.200001,46.200001,45.02,45.540001,65900,45.315168
2016-07-01,46.560001,46.990002,45.990002,46.349998,33100,46.121166
2016-06-30,45.41,46.43,44.66,46.419998,60200,46.19082
2016-06-29,45.360001,45.360001,44.189999,45.23,67600,45.006697
2016-06-28,44.23,44.93,44.00,44.830002,80700,44.608674
2016-06-27,45.669998,45.669998,43.360001,43.599998,77600,43.384743
2016-06-24,46.50,47.09,45.509998,46.040001,279800,45.812699
2016-06-23,49.43,49.43,47.849998,48.150002,57500,47.912282
2016-06-22,48.299999,49.060001,48.299999,48.860001,90400,48.618776
2016-06-21,49.830002,49.830002,48.009998,48.18,60300,47.942133
2016-06-20,50.040001,50.810001,49.599998,49.619999,101800,49.375022
2016-06-17,48.48,50.57,48.48,49.59,267900,49.345172
2016-06-16,46.849998,49.919998,46.450001,49.32,191200,49.076504
2016-06-15,46.00,47.650002,46.00,47.009998,39700,46.777907
2016-06-14,45.93,46.560001,45.310001,45.939999,37500,45.71319
2016-06-13,46.25,46.73,45.380001,46.009998,69600,45.782845
2016-06-10,47.66,47.66,45.700001,46.220001,54600,45.593784
2016-06-09,48.220001,48.540001,47.549999,48.419998,52300,47.763974
2016-06-08,48.77,49.259998,48.419998,48.50,40800,47.842892
2016-06-07,49.650002,49.849998,48.709999,48.830002,46200,48.168423
2016-06-06,49.77,50.16,48.709999,49.779999,114500,49.105549
2016-06-03,49.209999,49.25,47.689999,49.169998,70600,48.503813
2016-06-02,48.290001,49.259998,47.369999,49.209999,87600,48.543272
2016-06-01,48.689999,48.689999,47.240002,48.43,86800,47.773841
2016-05-31,49.18,49.18,47.630001,48.200001,85400,47.546958
2016-05-27,46.400002,48.900002,46.400002,48.77,196600,48.109235
2016-05-26,45.59,46.18,45.240002,46.049999,46800,45.426086
2016-05-25,45.389999,45.669998,44.810001,45.369999,59300,44.755298
2016-05-24,43.889999,44.98,43.75,44.880001,87800,44.271939
2016-05-23,43.00,44.00,42.419998,43.34,62900,42.752803
2016-05-20,42.009998,42.490002,41.880001,42.18,22000,41.60852
2016-05-19,42.169998,42.169998,41.150002,41.650002,29600,41.085702
