Date,Open,High,Low,Close,Volume,Adj Close
2016-12-01,3.39,3.43,3.37,3.39,2351700,3.39
2016-11-30,3.32,3.41,3.32,3.36,2657000,3.36
2016-11-29,3.27,3.29,3.26,3.28,1121600,3.28
2016-11-28,3.33,3.33,3.26,3.30,890500,3.30
2016-11-25,3.35,3.36,3.31,3.34,503600,3.34
2016-11-23,3.23,3.35,3.21,3.35,2354900,3.35
2016-11-22,3.29,3.31,3.23,3.23,2307500,3.23
2016-11-21,3.32,3.35,3.27,3.27,1822000,3.27
2016-11-18,3.31,3.33,3.28,3.30,2125800,3.30
2016-11-17,3.37,3.37,3.27,3.29,2426800,3.29
2016-11-16,3.31,3.38,3.31,3.32,1242200,3.32
2016-11-15,3.35,3.36,3.27,3.32,2776600,3.285
2016-11-14,3.42,3.42,3.32,3.34,1641800,3.304789
2016-11-11,3.37,3.41,3.32,3.38,2619400,3.344368
2016-11-10,3.50,3.51,3.37,3.41,2938700,3.374051
2016-11-09,3.43,3.51,3.43,3.47,2778300,3.433419
2016-11-08,3.41,3.45,3.35,3.41,1487300,3.374051
2016-11-07,3.45,3.46,3.38,3.40,1749700,3.364157
2016-11-04,3.49,3.49,3.38,3.38,2345200,3.344368
2016-11-03,3.38,3.49,3.30,3.47,7375100,3.433419
2016-11-02,3.34,3.34,3.26,3.30,3025700,3.265211
2016-11-01,3.38,3.42,3.33,3.37,4558100,3.334473
2016-10-31,3.22,3.36,3.21,3.34,3251700,3.304789
2016-10-28,3.16,3.24,3.15,3.22,2384100,3.186054
2016-10-27,3.22,3.23,3.15,3.15,1903300,3.116792
2016-10-26,3.20,3.25,3.17,3.17,3225400,3.136581
2016-10-25,3.20,3.29,3.19,3.22,4740200,3.186054
2016-10-24,3.22,3.22,3.12,3.14,4230900,3.106898
2016-10-21,3.17,3.23,3.15,3.21,4869600,3.17616
2016-10-20,3.26,3.29,3.17,3.18,10047800,3.146476
2016-10-19,3.26,3.28,3.21,3.25,3647700,3.215738
2016-10-18,3.25,3.27,3.19,3.26,2334600,3.225633
2016-10-17,3.27,3.28,3.19,3.21,5378400,3.17616
2016-10-14,3.34,3.37,3.27,3.27,2029300,3.235527
2016-10-13,3.31,3.35,3.29,3.34,1001700,3.304789
2016-10-12,3.30,3.35,3.29,3.33,2377800,3.294895
2016-10-11,3.37,3.40,3.30,3.31,5385500,3.275105
2016-10-10,3.43,3.47,3.38,3.39,2750300,3.354262
2016-10-07,3.44,3.48,3.38,3.38,4288800,3.344368
2016-10-06,3.49,3.49,3.42,3.44,3541000,3.403735
2016-10-05,3.50,3.52,3.41,3.44,2268300,3.403735
2016-10-04,3.52,3.52,3.48,3.48,2845400,3.443313
2016-10-03,3.50,3.53,3.46,3.51,1971600,3.472997
2016-09-30,3.53,3.55,3.48,3.48,4665000,3.443313
2016-09-29,3.56,3.59,3.46,3.49,7537700,3.453208
2016-09-28,3.53,3.57,3.46,3.57,8089200,3.532364
2016-09-27,3.57,3.57,3.50,3.51,3509400,3.472997
2016-09-26,3.55,3.58,3.50,3.57,4066800,3.532364
2016-09-23,3.57,3.59,3.53,3.54,4962200,3.502681
2016-09-22,3.55,3.60,3.52,3.57,11662000,3.532364
2016-09-21,3.45,3.54,3.44,3.53,11636700,3.492786
2016-09-20,3.40,3.45,3.38,3.41,8698800,3.374051
2016-09-19,3.48,3.49,3.39,3.40,17095500,3.364157
2016-09-16,3.41,3.53,3.32,3.40,95732700,3.364157
2016-09-15,3.35,3.68,3.32,3.63,10797600,3.591732
2016-09-14,3.43,3.45,3.32,3.33,7048100,3.294895
2016-09-13,3.56,3.61,3.36,3.41,9132400,3.374051
2016-09-12,3.75,3.77,3.57,3.63,6582300,3.591732
2016-09-09,4.14,4.15,3.88,3.90,1477800,3.858886
2016-09-08,4.15,4.27,4.14,4.19,686600,4.145828
2016-09-07,4.25,4.34,4.18,4.18,717400,4.135934
2016-09-06,4.16,4.30,4.15,4.25,755500,4.205196
2016-09-02,4.24,4.45,4.17,4.35,1426100,4.304142
2016-09-01,4.31,4.31,4.10,4.17,686300,4.126039
2016-08-31,4.28,4.32,4.22,4.27,615000,4.224985
2016-08-30,4.30,4.36,4.28,4.32,776300,4.274458
2016-08-29,4.21,4.38,4.17,4.34,668800,4.294247
2016-08-26,4.22,4.36,4.13,4.18,695400,4.135934
2016-08-25,4.24,4.33,4.16,4.17,534400,4.126039
2016-08-24,4.21,4.30,4.18,4.25,508200,4.205196
2016-08-23,4.37,4.37,4.24,4.26,834700,4.215091
2016-08-22,4.34,4.37,4.26,4.31,554300,4.264563
2016-08-19,4.33,4.37,4.30,4.35,524300,4.304142
2016-08-18,4.33,4.43,4.30,4.35,314700,4.304142
2016-08-17,4.42,4.49,4.31,4.34,566400,4.294247
2016-08-16,4.41,4.49,4.37,4.42,447300,4.373404
2016-08-15,4.43,4.48,4.34,4.45,718300,4.403087
2016-08-12,4.45,4.51,4.41,4.41,587600,4.363509
2016-08-11,4.41,4.49,4.35,4.48,497500,4.432771
2016-08-10,4.44,4.49,4.31,4.39,487000,4.34372
2016-08-09,4.41,4.51,4.39,4.44,594800,4.393193
2016-08-08,4.45,4.51,4.34,4.37,954500,4.323931
2016-08-05,4.30,4.46,4.28,4.45,1842300,4.403087
2016-08-04,4.14,4.30,4.10,4.24,1349800,4.195301
2016-08-03,4.06,4.12,4.01,4.09,528000,4.046883
