Date,Open,High,Low,Close,Volume,Adj Close
2016-12-01,17.299999,17.75,17.200001,17.35,275900,17.35
2016-11-30,17.15,17.299999,17.00,17.299999,169000,17.299999
2016-11-29,17.049999,17.10,16.75,17.10,427500,17.10
2016-11-28,17.299999,17.450001,16.799999,16.950001,380400,16.950001
2016-11-25,17.25,17.299999,17.15,17.25,99000,17.25
2016-11-23,17.200001,17.40,17.10,17.200001,226500,17.200001
2016-11-22,17.25,17.299999,16.950001,17.25,239700,17.25
2016-11-21,17.15,17.299999,16.799999,17.25,257000,17.25
2016-11-18,17.200001,17.33,16.950001,17.10,471600,17.10
2016-11-17,16.65,17.299999,16.65,17.25,317700,17.25
2016-11-16,16.950001,17.10,16.799999,16.85,227100,16.65
2016-11-15,16.799999,16.950001,16.65,16.950001,286300,16.748814
2016-11-14,17.450001,17.450001,16.33,16.799999,539600,16.600593
2016-11-11,17.00,17.75,16.950001,17.40,517400,17.193472
2016-11-10,17.10,17.33,16.85,17.049999,396000,16.847625
2016-11-09,16.15,17.049999,16.129999,16.950001,295800,16.748814
2016-11-08,16.25,16.450001,16.15,16.299999,348800,16.106528
2016-11-07,16.35,16.60,16.15,16.35,441000,16.155935
2016-11-04,15.85,16.299999,15.85,16.15,277300,15.958308
2016-11-03,16.15,16.25,15.75,15.90,267300,15.711276
2016-11-02,16.25,16.43,16.15,16.15,295400,15.958308
2016-11-01,16.549999,16.65,16.15,16.25,296900,16.057122
2016-10-31,16.50,16.700001,16.200001,16.450001,291100,16.254749
2016-10-28,16.40,16.65,16.049999,16.40,359300,16.205341
2016-10-27,16.85,16.85,16.40,16.450001,246000,16.254749
2016-10-26,17.049999,17.049999,16.450001,16.75,362100,16.551187
2016-10-25,16.85,17.00,16.549999,16.950001,298500,16.748814
2016-10-24,16.90,17.049999,16.85,16.90,217200,16.699406
2016-10-21,17.049999,17.35,16.75,16.85,316000,16.65
2016-10-20,17.60,17.60,16.60,16.950001,536000,16.748814
2016-10-19,17.50,18.049999,17.00,17.50,771400,17.292285
2016-10-18,18.90,18.90,18.60,18.65,98600,18.428635
2016-10-17,18.700001,18.77,18.50,18.60,161400,18.379229
2016-10-14,18.950001,19.10,18.65,18.799999,125800,18.576854
2016-10-13,19.049999,19.049999,18.75,18.799999,152600,18.576854
2016-10-12,19.049999,19.40,18.969999,19.15,90300,18.9227
2016-10-11,19.549999,19.549999,18.950001,18.950001,158200,18.725075
2016-10-10,19.299999,19.75,19.17,19.50,111900,19.268546
2016-10-07,19.139999,19.219999,19.00,19.139999,111400,18.912818
2016-10-06,18.98,19.10,18.870001,19.07,91100,18.84365
2016-10-05,19.08,19.190001,19.01,19.059999,104000,18.833768
2016-10-04,19.139999,19.24,18.92,18.98,142600,18.754718
2016-10-03,19.18,19.34,19.049999,19.09,180400,18.863413
2016-09-30,19.389999,19.41,19.10,19.290001,381400,19.06104
2016-09-29,19.629999,19.629999,19.24,19.27,79600,19.041277
2016-09-28,19.68,19.73,19.549999,19.690001,69400,19.456291
2016-09-27,19.549999,19.690001,19.389999,19.68,155100,19.44641
2016-09-26,19.709999,19.77,19.549999,19.58,175700,19.347596
2016-09-23,19.66,19.85,19.559999,19.77,153900,19.535342
2016-09-22,19.34,19.73,19.25,19.73,208800,19.495816
2016-09-21,19.24,19.360001,18.959999,19.200001,134700,18.972108
2016-09-20,19.32,19.389999,19.049999,19.15,205600,18.9227
2016-09-19,19.209999,19.469999,19.200001,19.290001,83700,19.06104
2016-09-16,19.26,19.389999,19.10,19.15,335400,18.9227
2016-09-15,18.90,19.290001,18.82,19.26,136700,19.031395
2016-09-14,19.030001,19.32,18.90,18.940001,133300,18.715194
2016-09-13,19.16,19.16,18.92,19.02,167100,18.794244
2016-09-12,18.82,19.35,18.82,19.24,171400,19.011632
