Date,Open,High,Low,Close,Volume,Adj Close
2016-12-01,34.43,35.900002,33.860001,35.130001,75700,35.130001
2016-11-30,34.77,35.25,34.279999,34.529999,46500,34.529999
2016-11-29,34.630001,35.049999,34.470001,34.580002,79900,34.580002
2016-11-28,35.50,35.560001,34.450001,34.639999,62200,34.639999
2016-11-25,35.080002,35.860001,35.080002,35.57,24900,35.57
2016-11-23,34.16,34.919998,34.16,34.91,30700,34.91
2016-11-22,34.650002,35.25,34.080002,34.349998,213800,34.349998
2016-11-21,34.529999,35.049999,34.43,34.630001,91000,34.630001
2016-11-18,34.919998,35.00,34.57,34.619999,44500,34.619999
2016-11-17,34.259998,35.48,34.259998,35.02,103700,35.02
2016-11-16,35.150002,35.150002,33.93,34.299999,84300,34.299999
2016-11-15,33.900002,35.360001,33.599998,34.959999,106500,34.959999
2016-11-14,32.720001,34.130001,32.720001,33.82,148600,33.82
2016-11-11,31.700001,33.200001,31.07,32.619999,266200,32.619999
2016-11-10,31.52,31.889999,30.799999,31.700001,128500,31.700001
2016-11-09,30.41,31.719999,30.34,31.34,113200,31.34
2016-11-08,30.42,31.08,30.40,30.60,117400,30.60
2016-11-07,30.75,30.959999,30.559999,30.620001,70000,30.620001
2016-11-04,30.58,30.889999,30.49,30.559999,96900,30.559999
2016-11-03,30.969999,30.969999,30.58,30.690001,65500,30.690001
2016-11-02,30.219999,31.549999,30.219999,30.84,128300,30.84
2016-11-01,29.799999,30.209999,29.799999,30.129999,134500,30.129999
2016-10-31,29.950001,29.99,29.60,29.90,106700,29.90
2016-10-28,30.68,31.16,29.879999,30.02,74200,30.02
2016-10-27,30.780001,30.93,30.280001,30.540001,59400,30.540001
2016-10-26,31.040001,31.309999,30.559999,30.60,71800,30.60
2016-10-25,31.59,31.620001,31.00,31.030001,71100,31.030001
2016-10-24,32.009998,32.310001,31.389999,31.43,82200,31.43
2016-10-21,31.860001,32.00,31.709999,31.76,50400,31.76
2016-10-20,31.809999,31.959999,31.74,31.889999,28700,31.889999
2016-10-19,31.90,31.959999,31.709999,31.75,71200,31.75
2016-10-18,32.00,32.240002,31.790001,31.90,42000,31.90
2016-10-17,31.950001,32.09,31.52,31.879999,36400,31.879999
2016-10-14,31.99,32.439999,31.879999,31.950001,40900,31.950001
2016-10-13,31.73,31.959999,31.73,31.879999,62400,31.879999
2016-10-12,32.049999,32.099998,31.77,31.959999,70600,31.959999
2016-10-11,31.549999,31.799999,31.389999,31.719999,28100,31.719999
2016-10-10,31.25,31.719999,31.110001,31.67,19300,31.67
2016-10-07,31.969999,31.969999,31.059999,31.09,37600,31.09
2016-10-06,31.84,31.940001,31.459999,31.690001,30200,31.690001
2016-10-05,32.220001,32.220001,31.74,31.799999,17600,31.799999
2016-10-04,31.48,32.549999,31.10,31.940001,20900,31.940001
2016-10-03,32.009998,32.220001,31.440001,31.66,33900,31.409999
2016-09-30,31.629999,32.360001,31.51,32.009998,34000,31.757234
2016-09-29,32.209999,32.790001,31.67,31.700001,33300,31.449684
2016-09-28,32.310001,32.599998,32.209999,32.349998,14300,32.094549
2016-09-27,32.380001,32.860001,32.240002,32.369999,14500,32.114392
2016-09-26,32.779999,32.84,32.41,32.459999,13600,32.203681
2016-09-23,32.490002,33.00,32.299999,32.84,21100,32.580682
2016-09-22,31.389999,32.68,31.389999,32.630001,16200,32.372341
2016-09-21,30.91,31.440001,30.91,31.35,32600,31.102448
2016-09-20,31.25,31.26,30.780001,30.93,28600,30.685764
2016-09-19,31.34,31.48,31.200001,31.25,13400,31.003237
2016-09-16,31.43,31.450001,31.190001,31.34,42800,31.092526
2016-09-15,31.459999,31.68,31.25,31.41,11700,31.161973
2016-09-14,31.65,31.68,31.23,31.360001,20900,31.112369
2016-09-13,31.59,31.700001,31.26,31.40,15500,31.152052
2016-09-12,30.58,31.799999,30.40,31.610001,27300,31.360395
2016-09-09,30.889999,30.92,30.25,30.67,29600,30.427817
2016-09-08,31.780001,31.780001,30.799999,31.059999,34700,30.814737
2016-09-07,32.00,32.02,31.59,31.809999,22300,31.558814
2016-09-06,32.080002,32.080002,31.799999,31.92,13400,31.667946
2016-09-02,31.98,32.18,31.690001,32.00,12200,31.747314
2016-09-01,32.200001,32.200001,31.549999,31.85,12000,31.598499
2016-08-31,32.18,32.209999,31.83,31.99,22200,31.737393
2016-08-30,31.889999,32.360001,31.889999,32.119999,8200,31.866366
2016-08-29,31.860001,32.150002,31.67,32.009998,9000,31.757234
2016-08-26,31.860001,32.18,31.84,31.91,9900,31.658025
2016-08-25,31.860001,31.969999,31.74,31.93,26700,31.677868
2016-08-24,31.84,32.00,31.75,31.879999,15700,31.628261
2016-08-23,31.85,32.00,31.709999,31.82,19100,31.568736
2016-08-22,31.440001,31.799999,31.440001,31.66,16500,31.409999
