Date,Open,High,Low,Close,Volume,Adj Close
2016-12-01,52.490002,52.50,52.34,52.43,268600,52.43
2016-11-30,52.689999,52.75,52.619999,52.66,232500,52.589999
2016-11-29,52.720001,52.830002,52.68,52.73,196200,52.659905
2016-11-28,52.619999,52.779999,52.59,52.73,220100,52.659905
2016-11-25,52.630001,52.639999,52.52,52.59,109400,52.520092
2016-11-23,52.529999,52.650002,52.50,52.599998,219100,52.530077
2016-11-22,52.75,52.810001,52.700001,52.740002,332100,52.669894
2016-11-21,52.799999,52.82,52.689999,52.73,305400,52.659905
2016-11-18,52.900002,53.00,52.740002,52.82,317400,52.749786
2016-11-17,53.029999,53.09,52.939999,52.959999,580800,52.889599
2016-11-16,52.98,53.099998,52.970001,53.080002,245200,53.009442
2016-11-15,52.849998,53.099998,52.849998,53.049999,277100,52.97948
2016-11-14,53.09,53.09,52.880001,52.970001,275700,52.899588
2016-11-11,53.240002,53.32,53.150002,53.189999,167900,53.119293
2016-11-10,53.360001,53.360001,53.18,53.23,428200,53.159241
2016-11-09,53.59,53.610001,53.34,53.389999,575100,53.319028
2016-11-08,53.669998,53.73,53.630001,53.68,259400,53.608643
2016-11-07,53.73,53.75,53.66,53.700001,580500,53.628617
2016-11-04,53.720001,53.779999,53.68,53.75,242900,53.67855
2016-11-03,53.700001,53.740002,53.639999,53.68,587900,53.608643
2016-11-02,53.720001,53.799999,53.619999,53.720001,291000,53.648591
2016-11-01,53.630001,53.68,53.610001,53.639999,352200,53.568696
2016-10-31,53.759998,53.77,53.689999,53.700001,306200,53.562707
2016-10-28,53.689999,53.77,53.689999,53.720001,169900,53.582656
2016-10-27,53.720001,53.75,53.68,53.709999,199400,53.57268
2016-10-26,53.720001,53.779999,53.720001,53.77,203200,53.632528
2016-10-25,53.82,53.849998,53.740002,53.779999,150900,53.6425
2016-10-24,53.830002,53.849998,53.790001,53.82,219600,53.682399
2016-10-21,53.799999,53.869999,53.799999,53.810001,340600,53.672426
2016-10-20,53.830002,53.849998,53.779999,53.799999,185000,53.66245
2016-10-19,53.75,53.830002,53.75,53.82,226300,53.682399
2016-10-18,53.73,53.830002,53.720001,53.790001,282600,53.652477
2016-10-17,53.779999,53.790001,53.709999,53.759998,238500,53.622551
2016-10-14,53.75,53.810001,53.720001,53.740002,205500,53.602606
2016-10-13,53.779999,53.790001,53.73,53.73,307300,53.592629
2016-10-12,53.709999,53.75,53.700001,53.73,308800,53.592629
2016-10-11,53.759998,53.82,53.669998,53.740002,201600,53.602606
2016-10-10,53.799999,53.799999,53.669998,53.799999,409500,53.66245
2016-10-07,53.810001,53.869999,53.759998,53.810001,274600,53.672426
2016-10-06,53.84,53.880001,53.759998,53.830002,265600,53.692376
2016-10-05,53.860001,53.869999,53.790001,53.799999,271100,53.66245
2016-10-04,53.900002,53.919998,53.810001,53.84,221300,53.702348
2016-10-03,53.810001,53.869999,53.810001,53.849998,459000,53.712321
2016-09-30,53.959999,53.970001,53.900002,53.959999,178100,53.754213
2016-09-29,53.93,53.990002,53.93,53.939999,312600,53.734289
2016-09-28,53.990002,54.009998,53.93,53.959999,347000,53.754213
2016-09-27,53.970001,53.990002,53.939999,53.970001,250100,53.764177
2016-09-26,53.939999,53.970001,53.91,53.93,157000,53.724328
2016-09-23,53.900002,53.93,53.860001,53.900002,199100,53.694444
2016-09-22,53.869999,53.93,53.830002,53.900002,257600,53.694444
2016-09-21,53.810001,53.880001,53.77,53.82,225300,53.614747
2016-09-20,53.830002,53.84,53.779999,53.799999,195100,53.594823
2016-09-19,53.84,53.84,53.759998,53.759998,202400,53.554975
2016-09-16,53.849998,53.849998,53.77,53.830002,187400,53.624711
2016-09-15,53.82,53.860001,53.779999,53.82,208900,53.614747
2016-09-14,53.830002,53.84,53.790001,53.830002,291700,53.624711
2016-09-13,53.799999,53.849998,53.709999,53.799999,206400,53.594823
2016-09-12,53.77,53.82,53.75,53.779999,823100,53.574899
2016-09-09,53.849998,53.889999,53.779999,53.82,271500,53.614747
2016-09-08,53.880001,53.93,53.849998,53.849998,315300,53.644632
2016-09-07,53.919998,53.939999,53.860001,53.880001,136300,53.67452
2016-09-06,53.810001,53.91,53.799999,53.889999,521100,53.68448
2016-09-02,53.790001,53.810001,53.720001,53.77,152800,53.564939
2016-09-01,53.759998,53.790001,53.720001,53.75,282700,53.545014
2016-08-31,53.790001,53.91,53.790001,53.849998,165600,53.565933
2016-08-30,53.779999,53.849998,53.779999,53.830002,133300,53.546042
2016-08-29,53.82,53.849998,53.77,53.799999,161100,53.516197
2016-08-26,53.84,53.860001,53.75,53.790001,227100,53.506252
2016-08-25,53.799999,53.849998,53.799999,53.84,175100,53.555987
2016-08-24,53.830002,53.849998,53.779999,53.84,271200,53.555987
2016-08-23,53.779999,53.830002,53.779999,53.810001,174000,53.526147
2016-08-22,53.759998,53.849998,53.759998,53.779999,165400,53.496302
2016-08-19,53.77,53.860001,53.759998,53.810001,162800,53.526147
