Date,Open,High,Low,Close,Volume,Adj Close
2016-12-01,62.490002,63.18,62.240002,63.040001,115700,63.040001
2016-11-30,61.790001,62.439999,61.619999,62.029999,122000,62.029999
2016-11-29,61.200001,62.43,59.970001,61.18,135100,61.18
2016-11-28,61.34,61.720001,60.66,60.91,138800,60.91
2016-11-25,62.25,62.25,61.450001,61.700001,58900,61.700001
2016-11-23,62.049999,62.529999,61.50,62.00,127400,62.00
2016-11-22,60.900002,62.389999,60.779999,61.830002,126900,61.830002
2016-11-21,60.259998,60.759998,59.509998,60.700001,165300,60.700001
2016-11-18,59.77,60.400002,59.77,59.849998,253800,59.849998
2016-11-17,59.68,60.849998,59.68,60.25,141100,60.25
2016-11-16,59.98,60.720001,59.209999,59.759998,191400,59.759998
2016-11-15,57.950001,60.299999,56.75,60.259998,220200,60.259998
2016-11-14,57.75,59.82,57.400002,58.84,445800,58.84
2016-11-11,55.389999,57.50,54.950001,57.009998,231600,57.009998
2016-11-10,53.00,55.599998,52.84,55.389999,178000,55.389999
2016-11-09,50.540001,53.02,50.310001,52.990002,141900,52.990002
2016-11-08,49.93,50.779999,49.16,50.299999,81400,50.299999
2016-11-07,49.59,50.43,49.23,50.189999,74200,50.189999
2016-11-04,48.529999,49.52,48.279999,48.91,67300,48.91
2016-11-03,48.470001,48.889999,48.360001,48.599998,76300,48.599998
2016-11-02,48.639999,48.759998,48.130001,48.630001,79400,48.240001
2016-11-01,49.650002,49.709999,48.59,48.889999,73500,48.497914
2016-10-31,48.709999,49.630001,48.27,49.560001,116100,49.162543
2016-10-28,49.25,49.299999,48.700001,48.98,48600,48.587192
2016-10-27,49.139999,49.529999,48.48,49.169998,54700,48.775667
2016-10-26,49.07,49.369999,48.52,48.720001,69100,48.329279
2016-10-25,49.200001,49.720001,48.880001,49.16,70700,48.765749
2016-10-24,49.790001,50.310001,47.310001,49.459999,93700,49.063342
2016-10-21,48.310001,49.549999,47.50,49.509998,108200,49.112941
2016-10-20,49.040001,49.50,48.43,48.880001,150400,48.487996
2016-10-19,48.43,48.939999,48.299999,48.580002,77000,48.190403
2016-10-18,48.990002,48.990002,48.150002,48.200001,110800,47.813449
2016-10-17,48.849998,49.099998,48.380001,48.470001,76100,48.081284
2016-10-14,49.59,50.040001,48.720001,48.959999,63700,48.567352
2016-10-13,50.139999,50.200001,48.779999,48.939999,142500,48.547512
2016-10-12,51.060001,51.060001,50.310001,50.52,111500,50.114843
2016-10-11,51.66,51.810001,50.540001,50.889999,96500,50.481875
2016-10-10,51.450001,51.75,51.360001,51.599998,101800,51.18618
2016-10-07,51.459999,51.459999,50.779999,51.02,91400,50.610833
2016-10-06,51.57,51.650002,51.110001,51.389999,75000,50.977865
2016-10-05,50.619999,51.75,50.310001,51.52,89400,51.106823
2016-10-04,50.290001,50.740002,50.029999,50.470001,60600,50.065245
2016-10-03,50.48,50.84,49.939999,50.110001,97300,49.708131
2016-09-30,50.02,51.119999,49.939999,50.880001,133200,50.471956
2016-09-29,50.330002,50.650002,49.740002,49.82,92100,49.420456
2016-09-28,49.630001,50.279999,49.240002,50.240002,91300,49.83709
2016-09-27,48.630001,49.419998,48.299999,49.389999,98300,48.993904
2016-09-26,49.560001,50.09,48.720001,48.84,91700,48.448316
2016-09-23,49.990002,50.459999,49.849998,49.93,130300,49.529574
