Date,Open,High,Low,Close,Volume,Adj Close
2016-12-01,15.50,15.50,15.50,15.50,000,15.50
2016-11-30,15.25,15.50,15.21,15.50,4700,15.50
2016-11-29,15.20,15.20,15.20,15.20,000,15.20
2016-11-28,15.00,15.20,15.00,15.20,2100,15.20
2016-11-25,14.95,15.05,14.86,15.05,10600,15.05
2016-11-23,15.00,15.00,14.85,14.90,12600,14.90
2016-11-22,15.00,15.00,14.86,14.86,300,14.86
2016-11-21,14.55,14.55,14.55,14.55,000,14.55
2016-11-18,14.86,14.91,14.55,14.55,3600,14.55
2016-11-17,14.85,14.85,14.85,14.85,400,14.85
2016-11-16,14.65,15.00,14.63,15.00,6000,15.00
2016-11-15,14.55,14.55,14.55,14.55,200,14.55
2016-11-14,14.55,14.55,14.55,14.55,2100,14.55
2016-11-11,14.40,14.40,14.40,14.40,000,14.40
2016-11-10,14.57,14.57,14.30,14.40,800,14.40
2016-11-09,14.54,14.54,14.54,14.54,000,14.54
2016-11-08,14.25,14.54,14.25,14.54,700,14.54
2016-11-07,14.59,14.59,14.26,14.53,1300,14.53
2016-11-04,14.25,14.25,14.25,14.25,000,14.25
2016-11-03,14.27,14.27,14.25,14.25,400,14.25
2016-11-02,14.20,14.20,14.20,14.20,2700,14.20
2016-11-01,14.06,14.60,14.05,14.60,2200,14.60
2016-10-31,14.40,14.40,14.40,14.40,500,14.40
2016-10-28,14.40,14.40,14.36,14.40,800,14.40
2016-10-27,14.41,14.41,14.41,14.41,300,14.41
2016-10-26,14.55,14.66,14.55,14.65,2400,14.65
2016-10-25,14.50,14.55,14.50,14.55,500,14.55
2016-10-24,14.77,14.77,14.10,14.10,200,14.10
2016-10-21,15.03,15.03,15.03,15.03,200,15.03
2016-10-20,13.80,13.80,13.80,13.80,100,13.80
2016-10-19,14.02,14.02,14.02,14.02,000,14.02
2016-10-18,14.50,14.50,14.02,14.02,500,14.02
2016-10-17,13.69,13.69,13.69,13.69,200,13.69
2016-10-14,14.62,14.62,14.62,14.62,000,14.62
2016-10-13,14.62,14.62,14.62,14.62,000,14.62
2016-10-12,14.66,14.66,14.62,14.62,300,14.62
2016-10-11,14.30,14.72,14.30,14.58,22300,14.58
2016-10-10,14.15,14.25,14.15,14.25,6400,14.25
2016-10-07,14.19,14.20,14.06,14.15,8800,14.15
2016-10-06,13.96,14.47,13.96,14.27,3100,14.18
2016-10-05,13.85,14.41,13.84,14.00,12500,13.911703
2016-10-04,13.75,13.75,13.72,13.75,2600,13.663279
