Date,Open,High,Low,Close,Volume,Adj Close
2016-12-01,63.869999,65.989998,61.369999,61.610001,5474600,61.610001
2016-11-30,63.259998,64.370003,62.75,63.66,5368300,63.66
2016-11-29,62.290001,64.290001,62.290001,62.669998,5040400,62.669998
2016-11-28,61.029999,63.119999,61.029999,62.27,4675600,62.27
2016-11-25,60.959999,61.720001,60.66,61.59,1312000,61.59
2016-11-23,60.799999,61.48,60.299999,61.040001,2201600,61.040001
2016-11-22,61.450001,61.889999,60.32,61.189999,2696300,61.189999
2016-11-21,61.099998,62.34,60.869999,61.169998,3886000,61.169998
2016-11-18,58.970001,60.93,58.299999,60.93,4830500,60.93
2016-11-17,59.709999,60.25,57.619999,58.799999,6600000,58.799999
2016-11-16,59.52,59.830002,58.860001,59.529999,2960200,59.529999
2016-11-15,59.490002,59.990002,58.709999,59.709999,4047700,59.709999
2016-11-14,58.66,60.540001,58.650002,59.48,4398400,59.48
2016-11-11,56.720001,58.990002,56.259998,58.889999,6205800,58.889999
2016-11-10,57.98,59.490002,56.66,56.84,4856300,56.84
2016-11-09,56.080002,58.040001,55.049999,57.48,5819300,57.48
2016-11-08,57.34,57.77,56.650002,57.259998,2958700,57.259998
2016-11-07,56.41,57.959999,56.299999,57.669998,4487400,57.669998
2016-11-04,54.720001,55.970001,54.259998,55.02,2702200,55.02
2016-11-03,55.43,55.98,54.869999,55.139999,3192600,55.139999
2016-11-02,57.110001,57.630001,55.139999,55.200001,4216200,55.200001
2016-11-01,58.509998,58.900002,56.299999,57.240002,3821100,57.240002
2016-10-31,59.25,59.950001,58.43,58.439999,3363200,58.439999
2016-10-28,59.68,61.00,59.099998,59.209999,4760200,59.209999
2016-10-27,58.549999,61.970001,58.50,59.580002,15085500,59.580002
2016-10-26,53.52,56.669998,53.139999,56.52,8826000,56.52
2016-10-25,54.049999,54.439999,53.110001,53.630001,3335200,53.630001
2016-10-24,53.32,53.75,53.16,53.52,3157300,53.52
2016-10-21,53.529999,53.639999,52.619999,53.07,2763900,53.07
2016-10-20,53.59,54.299999,53.299999,53.860001,2215200,53.860001
2016-10-19,52.700001,53.970001,52.099998,53.599998,3705400,53.599998
2016-10-18,54.07,54.360001,53.00,53.990002,3133700,53.990002
2016-10-17,54.82,55.720001,52.43,53.18,6593500,53.18
2016-10-14,55.619999,56.470001,54.709999,54.84,3832900,54.84
2016-10-13,55.619999,55.630001,53.73,55.279999,4978000,55.279999
2016-10-12,56.75,57.860001,55.970001,56.43,4292500,56.43
2016-10-11,59.259998,59.349998,56.049999,56.619999,6387800,56.619999
2016-10-10,59.34,59.73,58.73,59.259998,3761400,59.259998
2016-10-07,57.91,59.110001,57.869999,58.669998,3517000,58.669998
2016-10-06,59.200001,59.259998,57.27,58.049999,4964600,58.049999
2016-10-05,58.490002,59.689999,58.189999,59.240002,4442000,59.240002
2016-10-04,59.349998,59.549999,58.240002,58.689999,4601200,58.689999
2016-10-03,59.02,60.470001,58.740002,58.860001,5163900,58.860001
2016-09-30,58.43,59.150002,57.689999,58.470001,4396800,58.470001
2016-09-29,58.43,59.860001,57.57,58.27,5366600,58.27
2016-09-28,59.00,59.27,57.02,58.009998,4877900,58.009998
2016-09-27,56.790001,59.32,56.66,58.860001,7932500,58.360001
2016-09-26,55.599998,57.700001,55.50,57.009998,5901500,56.525714
2016-09-23,55.939999,56.799999,55.82,55.93,3982700,55.45489
2016-09-22,56.52,56.880001,55.810001,56.07,4563700,55.5937
2016-09-21,54.400002,56.189999,54.389999,56.130001,4197400,55.653192
2016-09-20,54.919998,55.25,54.110001,54.419998,3054100,53.957715
2016-09-19,55.360001,56.450001,54.330002,54.630001,4743900,54.165934
2016-09-16,54.73,55.950001,54.299999,54.939999,9507900,54.473298
2016-09-15,52.110001,53.34,51.98,53.279999,3977300,52.827399
2016-09-14,52.400002,52.68,51.790001,51.990002,3854300,51.54836
2016-09-13,52.52,53.439999,51.52,52.369999,5534000,51.92513
2016-09-12,51.00,52.529999,50.099998,52.310001,6534500,51.865642
2016-09-09,52.950001,54.41,51.299999,51.59,6034300,51.151757
2016-09-08,53.09,53.900002,52.830002,53.470001,7121400,53.015788
2016-09-07,49.560001,54.18,49.560001,53.299999,18607100,52.84723
2016-09-06,47.099998,47.700001,46.830002,47.549999,4514100,47.146075
2016-09-02,46.880001,47.700001,46.259998,46.970001,2820600,46.571004
2016-09-01,46.669998,47.080002,45.700001,46.32,3015100,45.926524
2016-08-31,46.799999,47.060001,46.040001,46.669998,3336500,46.273549
2016-08-30,47.299999,47.599998,46.73,47.099998,2469700,46.699896
2016-08-29,46.900002,47.389999,46.830002,47.080002,2807500,46.68007
2016-08-26,46.77,47.529999,46.439999,46.93,3363300,46.531342
2016-08-25,45.369999,47.060001,45.360001,46.439999,4123800,46.045503
2016-08-24,46.619999,47.00,45.25,45.41,2757800,45.024254
2016-08-23,46.18,46.75,45.830002,46.50,3170700,46.104995
2016-08-22,46.439999,46.59,45.43,46.139999,2942500,45.748052
2016-08-19,45.639999,47.290001,45.599998,46.599998,3907300,46.204144
2016-08-18,44.98,45.91,44.880001,45.810001,3701900,45.420858
2016-08-17,45.00,45.400002,44.43,44.73,4730100,44.35003
2016-08-16,46.080002,46.27,45.560001,45.779999,3247900,45.39111
2016-08-15,44.470001,46.25,44.470001,45.84,4333700,45.450602
2016-08-12,43.880001,44.43,43.599998,44.310001,2743500,43.9336
2016-08-11,43.389999,44.27,43.290001,43.889999,3790100,43.517165
2016-08-10,45.419998,45.599998,43.09,43.169998,6036600,42.80328
2016-08-09,45.400002,45.77,45.060001,45.279999,2985500,44.895357
2016-08-08,45.98,46.330002,45.310001,45.349998,4222800,44.964762
2016-08-05,44.330002,45.59,44.330002,45.419998,4253800,45.034167
2016-08-04,44.619999,44.919998,44.299999,44.299999,4199300,43.923682
2016-08-03,44.00,45.080002,43.75,44.779999,5707400,44.399605
2016-08-02,46.400002,47.240002,44.389999,45.049999,8604200,44.667311
2016-08-01,47.689999,47.689999,45.950001,46.07,7979100,45.678647
2016-07-29,50.77,51.00,47.049999,47.509998,17659000,47.106413
2016-07-28,53.299999,54.130001,52.450001,53.700001,5052200,53.243833
2016-07-27,54.32,54.560001,52.900002,53.439999,3625700,52.98604
2016-07-26,52.369999,53.779999,52.099998,53.740002,5081600,53.283495
2016-07-25,52.400002,52.959999,52.009998,52.07,2943600,51.627679
2016-07-22,51.860001,52.419998,50.93,52.400002,3323300,51.954877
2016-07-21,51.509998,52.09,51.290001,51.650002,3142300,51.211248
2016-07-20,51.57,52.18,50.610001,51.869999,4175800,51.429377
2016-07-19,52.139999,52.189999,51.060001,51.200001,3817100,50.76507
2016-07-18,51.66,52.16,51.150002,52.119999,2953500,51.677253
2016-07-15,52.040001,52.09,51.029999,51.66,3136300,51.221162
2016-07-14,52.849998,52.849998,51.650002,51.75,3621900,51.310397
2016-07-13,51.919998,52.43,51.240002,52.009998,4005300,51.568187
2016-07-12,51.68,52.549999,50.75,51.84,8048800,51.399633
2016-07-11,49.50,50.490002,48.75,49.48,5546200,49.05968
2016-07-08,48.009998,49.419998,47.509998,49.349998,7267200,48.930783
2016-07-07,48.279999,48.279999,47.27,47.66,7831800,47.255141
2016-07-06,44.380001,45.560001,43.52,45.459999,4268600,45.073828
2016-07-05,46.369999,46.380001,44.09,44.720001,5728200,44.340117
2016-07-01,46.77,46.880001,46.139999,46.470001,4765800,46.075251
2016-06-30,45.720001,47.279999,44.849998,47.259998,6241500,46.858537
2016-06-29,44.57,46.169998,43.970001,45.599998,7393500,45.212639
2016-06-28,43.77,44.77,43.060001,44.110001,10216400,43.239546
2016-06-27,47.490002,47.50,41.639999,42.18,10806100,41.347632
2016-06-24,48.189999,49.509998,47.66,47.84,7480800,46.895939
2016-06-23,49.360001,51.27,49.32,50.810001,7104400,49.807331
2016-06-22,48.950001,49.650002,48.200001,48.349998,4285600,47.395873
2016-06-21,47.740002,48.959999,47.389999,48.869999,5792200,47.905612
2016-06-20,48.040001,48.84,47.599998,47.610001,4669100,46.670478
2016-06-17,46.560001,47.209999,46.299999,46.59,5010300,45.670606
2016-06-16,45.82,46.509998,45.07,46.419998,3287500,45.503959
2016-06-15,46.400002,47.02,46.009998,46.259998,3503000,45.347116
2016-06-14,46.25,47.43,45.459999,46.400002,5465100,45.484357
2016-06-13,46.650002,47.490002,46.25,46.279999,4591000,45.366722
2016-06-10,47.689999,47.759998,46.43,46.849998,5876700,45.925473
2016-06-09,49.009998,49.130001,48.02,48.169998,5829700,47.219425
2016-06-08,49.68,50.049999,49.189999,49.259998,5097000,48.287915
2016-06-07,48.75,50.060001,48.700001,49.740002,6945700,48.758446
2016-06-06,47.66,48.209999,47.549999,48.02,5782000,47.072387
2016-06-03,48.509998,48.509998,47.07,47.77,4941900,46.82732
2016-06-02,47.48,48.98,47.48,48.380001,7597100,47.425283
2016-06-01,46.93,47.84,45.900002,47.630001,6583700,46.690084
2016-05-31,45.529999,46.549999,44.889999,46.540001,7898300,45.621593
2016-05-27,43.669998,45.869999,43.009998,44.990002,8026700,44.102181
2016-05-26,44.009998,45.09,43.220001,44.380001,8142200,43.504218
2016-05-25,43.66,44.869999,43.650002,44.150002,8459300,43.278757
2016-05-24,41.400002,42.509998,40.98,42.279999,7161900,41.445657
2016-05-23,39.509998,40.860001,39.50,40.459999,4985700,39.661573
2016-05-20,39.009998,40.369999,38.650002,39.560001,6076500,38.779335
2016-05-19,38.470001,38.619999,37.639999,38.369999,5128400,37.612816
2016-05-18,36.830002,38.939999,36.509998,38.459999,7455400,37.70104
2016-05-17,35.52,37.41,35.200001,36.75,6786300,36.024786
2016-05-16,35.43,35.849998,34.990002,35.57,6621600,34.868071
2016-05-13,35.419998,36.290001,34.990002,35.439999,8814600,34.740635
2016-05-12,37.009998,37.32,35.689999,36.360001,7567000,35.642482
2016-05-11,38.34,38.68,36.599998,36.740002,7658500,36.014985
2016-05-10,36.959999,38.580002,36.209999,38.369999,10760800,37.612816
2016-05-09,37.450001,37.84,36.599998,36.959999,4495500,36.230641
2016-05-06,37.639999,38.119999,36.669998,37.27,8372100,36.534524
2016-05-05,39.91,39.939999,37.740002,38.130001,7287300,37.377554
2016-05-04,39.310001,39.880001,38.419998,39.599998,10122300,38.818543
2016-05-03,40.540001,40.540001,39.07,39.360001,8993500,38.583281
2016-05-02,40.610001,41.490002,40.130001,40.849998,8391800,40.043876
2016-04-29,42.560001,44.00,39.00,40.869999,19380400,40.063482
2016-04-28,46.419998,47.580002,45.759998,46.060001,7236600,45.151066
2016-04-27,44.509998,46.27,43.950001,46.080002,6213900,45.170672
2016-04-26,43.77,44.759998,43.599998,44.540001,4072900,43.661061
2016-04-25,43.650002,44.139999,42.849998,43.34,3916100,42.48474
2016-04-22,43.360001,44.84,43.209999,43.66,4439900,42.798425
2016-04-21,44.07,44.07,42.700001,43.349998,4495200,42.494541
2016-04-20,41.509998,43.93,41.330002,43.279999,6500200,42.425923
2016-04-19,41.369999,42.27,41.040001,41.32,5389900,40.504602
2016-04-18,40.50,41.32,40.099998,41.029999,4456100,40.220324
2016-04-15,41.650002,41.700001,39.830002,40.490002,8109700,39.690983
2016-04-14,42.349998,42.349998,40.709999,41.82,14682800,40.994735
2016-04-13,43.84,45.040001,43.84,44.799999,4697300,43.915928
2016-04-12,44.939999,44.939999,43.029999,43.970001,4192000,43.102309
2016-04-11,43.799999,45.490002,43.52,44.23,5018000,43.357177
2016-04-08,43.400002,44.32,42.779999,43.099998,4781400,42.249475
2016-04-07,44.130001,44.450001,42.419998,43.25,7569700,42.396516
2016-04-06,44.029999,44.779999,42.41,44.720001,6531700,43.837509
2016-04-05,45.75,45.900002,43.82,44.130001,6061600,43.259152
2016-04-04,46.41,47.00,45.970001,46.27,3553700,45.356921
2016-04-01,46.880001,47.00,45.799999,46.599998,4007900,45.680407
2016-03-31,46.110001,47.400002,45.59,47.240002,5202100,46.30778
2016-03-30,48.220001,48.34,44.900002,46.139999,9783300,45.229485
2016-03-29,48.00,48.580002,46.779999,48.32,4850600,46.876331
2016-03-28,47.610001,48.639999,47.419998,48.080002,4257100,46.643504
2016-03-24,48.630001,48.700001,46.709999,48.119999,5932900,46.682306
2016-03-23,51.200001,51.349998,48.619999,48.720001,6578800,47.264382
2016-03-22,48.529999,51.68,48.509998,51.34,6943400,49.806102
2016-03-21,49.150002,49.689999,48.50,49.290001,4098900,47.817351
2016-03-18,46.290001,49.09,46.00,49.02,11777700,47.555418
2016-03-17,45.82,46.990002,45.700001,46.00,4225900,44.625647
2016-03-16,45.52,46.50,44.740002,46.130001,4990900,44.751764
2016-03-15,47.889999,48.099998,45.540001,45.610001,5349200,44.247299
2016-03-14,49.43,49.799999,47.389999,48.189999,4358000,46.750214
2016-03-11,48.869999,49.93,48.709999,49.880001,5183700,48.389724
2016-03-10,47.880001,48.369999,46.200001,47.889999,4642000,46.459178
2016-03-09,46.77,48.279999,46.41,47.439999,4792500,46.022622
2016-03-08,50.00,50.07,46.349998,46.439999,6851300,45.052499
2016-03-07,48.209999,51.27,48.169998,50.07,6167700,48.574046
2016-03-04,48.619999,49.75,47.689999,48.860001,5019400,47.400198
2016-03-03,47.34,49.009998,47.27,48.66,4405200,47.206173
2016-03-02,46.18,47.48,45.32,47.349998,5748300,45.935311
2016-03-01,44.139999,46.130001,43.23,46.099998,6966800,44.722658
2016-02-29,43.07,44.130001,42.619999,43.529999,5454700,42.229442
2016-02-26,44.32,44.939999,43.68,43.889999,3387200,42.578687
2016-02-25,43.68,44.259998,42.18,43.990002,4806200,42.675702
2016-02-24,42.57,43.970001,41.580002,43.919998,5516100,42.60779
2016-02-23,43.310001,45.50,42.599998,42.77,8429800,41.492151
2016-02-22,44.73,46.349998,44.669998,46.099998,4253600,44.722658
2016-02-19,44.23,44.349998,42.630001,44.119999,3958500,42.801815
