Date,Open,High,Low,Close,Volume,Adj Close
2016-12-01,18.00,18.200001,17.950001,18.15,141100,18.15
2016-11-30,18.25,18.25,17.85,17.90,95300,17.90
2016-11-29,18.200001,18.25,18.10,18.10,83500,18.10
2016-11-28,18.049999,18.200001,18.00,18.10,59700,18.10
2016-11-25,18.25,18.25,18.10,18.200001,47600,18.200001
2016-11-23,18.200001,18.23,18.10,18.15,65200,18.15
2016-11-22,18.10,18.25,18.00,18.200001,117400,18.200001
2016-11-21,18.049999,18.370001,17.90,18.049999,89900,18.049999
2016-11-18,17.90,18.02,17.75,18.00,99000,18.00
2016-11-17,17.75,18.00,17.700001,17.799999,97700,17.799999
2016-11-16,17.50,17.75,17.25,17.700001,114200,17.700001
2016-11-15,17.75,17.950001,17.25,17.50,91500,17.50
2016-11-14,17.700001,18.549999,17.65,17.75,138600,17.75
2016-11-11,17.10,17.799999,16.950001,17.60,210300,17.60
2016-11-10,17.15,17.209999,16.799999,17.049999,217600,17.049999
2016-11-09,16.799999,17.15,16.65,17.00,131900,17.00
2016-11-08,16.75,16.870001,16.65,16.75,47800,16.75
2016-11-07,16.950001,16.950001,16.60,16.75,88400,16.75
2016-11-04,16.799999,16.85,16.65,16.700001,156200,16.700001
2016-11-03,16.60,16.75,16.60,16.75,49500,16.75
2016-11-02,16.700001,16.75,16.50,16.549999,55200,16.549999
2016-11-01,16.90,17.049999,16.60,16.65,87800,16.65
2016-10-31,16.799999,17.10,16.700001,16.950001,204600,16.950001
2016-10-28,16.50,16.799999,16.450001,16.50,30100,16.50
2016-10-27,16.549999,16.75,16.549999,16.549999,29400,16.549999
2016-10-26,16.65,16.65,16.450001,16.50,48600,16.50
2016-10-25,16.90,17.00,16.549999,16.60,42700,16.60
2016-10-24,17.00,17.049999,16.65,16.75,60500,16.75
2016-10-21,16.799999,16.950001,16.049999,16.950001,41200,16.950001
2016-10-20,16.85,17.15,16.73,16.90,98400,16.90
2016-10-19,16.65,16.90,16.60,16.85,68300,16.85
2016-10-18,16.700001,16.700001,16.60,16.700001,53600,16.700001
2016-10-17,16.65,16.700001,16.65,16.700001,29700,16.700001
2016-10-14,16.60,16.719999,16.60,16.68,62000,16.68
2016-10-13,16.57,16.690001,16.540001,16.60,45300,16.60
2016-10-12,16.65,17.110001,16.65,16.690001,72900,16.690001
2016-10-11,16.77,16.940001,16.639999,16.700001,37000,16.700001
2016-10-10,16.83,16.93,16.440001,16.860001,51300,16.860001
2016-10-07,16.83,16.91,16.709999,16.860001,37200,16.860001
2016-10-06,16.92,16.959999,16.77,16.889999,34000,16.889999
2016-10-05,17.09,17.110001,17.01,17.02,55200,16.94
2016-10-04,17.120001,17.120001,16.90,17.02,67600,16.94
2016-10-03,17.02,17.09,16.879999,16.940001,58600,16.860376
2016-09-30,16.870001,17.030001,16.870001,16.99,330200,16.910141
2016-09-29,16.889999,16.969999,16.75,16.84,73600,16.760846
2016-09-28,16.91,16.940001,16.719999,16.85,49900,16.770799
2016-09-27,16.879999,17.16,16.879999,16.950001,127000,16.87033
2016-09-26,16.879999,16.98,16.690001,16.74,52700,16.661316
2016-09-23,16.98,17.02,16.82,16.92,59600,16.84047
2016-09-22,16.90,17.07,16.879999,17.040001,96900,16.959907
2016-09-21,16.91,17.00,16.799999,16.889999,37100,16.81061
2016-09-20,16.90,17.01,16.780001,16.84,65700,16.760846
2016-09-19,16.950001,17.120001,16.68,16.809999,125000,16.730986
