Date,Open,High,Low,Close,Volume,Adj Close
2016-12-01,14.00,14.15,13.97,14.15,6200,14.15
2016-11-30,13.95,14.01,13.94,14.01,2700,14.01
2016-11-29,13.85,13.85,13.85,13.85,1000,13.85
2016-11-28,13.60,13.60,13.58,13.58,300,13.58
2016-11-25,13.01,13.01,13.01,13.01,000,13.01
2016-11-23,13.01,13.01,13.01,13.01,000,13.01
2016-11-22,13.03,13.06,13.01,13.01,500,13.01
2016-11-21,12.61,12.61,12.61,12.61,000,12.61
2016-11-18,12.61,12.61,12.61,12.61,000,12.61
2016-11-17,12.95,12.95,12.60,12.61,2200,12.61
2016-11-16,12.95,13.07,12.95,12.95,1800,12.95
2016-11-15,12.60,12.60,12.60,12.60,500,12.60
2016-11-14,12.54,12.54,12.50,12.50,600,12.50
2016-11-11,12.60,12.60,12.50,12.60,3400,12.60
2016-11-10,12.60,12.60,12.60,12.60,200,12.60
2016-11-09,12.44,12.50,12.44,12.50,300,12.50
2016-11-08,12.25,12.25,12.25,12.25,000,12.25
2016-11-07,12.19,12.55,12.19,12.25,2500,12.25
2016-11-04,12.60,12.60,12.60,12.60,000,12.60
2016-11-03,12.25,12.60,12.25,12.60,400,12.60
2016-11-02,12.25,12.25,12.25,12.25,300,12.21
2016-11-01,12.25,12.25,12.25,12.25,1200,12.21
2016-10-31,12.14,12.25,12.11,12.25,1200,12.21
2016-10-28,12.25,12.25,12.10,12.25,2400,12.21
2016-10-27,12.25,12.31,12.25,12.31,1000,12.269804
2016-10-26,12.09,12.25,12.02,12.25,1100,12.21
2016-10-25,12.01,12.01,12.01,12.01,000,11.970784
2016-10-24,12.80,12.80,12.01,12.01,1200,11.970784
2016-10-21,12.00,12.80,12.00,12.80,900,12.758204
2016-10-20,12.65,12.65,12.65,12.65,000,12.608693
2016-10-19,12.60,12.65,12.30,12.65,1200,12.608693
2016-10-18,12.25,12.80,12.25,12.60,1400,12.558857
2016-10-17,12.25,12.25,12.25,12.25,900,12.21
2016-10-14,12.27,12.90,12.00,12.90,4400,12.857877
2016-10-13,12.27,12.27,12.27,12.27,000,12.229935
2016-10-12,12.16,12.27,12.10,12.27,1000,12.229935
2016-10-11,12.18,12.18,12.18,12.18,700,12.140229
2016-10-10,12.39,12.40,12.13,12.38,3600,12.339575
2016-10-07,12.15,12.15,12.11,12.12,1800,12.080424
2016-10-06,12.43,12.43,12.43,12.43,000,12.389412
2016-10-05,12.10,12.50,12.10,12.43,2000,12.389412
2016-10-04,12.22,12.22,12.22,12.22,000,12.180098
2016-10-03,12.05,12.25,12.05,12.22,2400,12.180098
2016-09-30,12.16,12.90,12.11,12.90,1000,12.857877
2016-09-29,12.00,12.25,12.00,12.20,3300,12.160163
2016-09-28,12.00,12.41,11.80,12.41,1100,12.369477
2016-09-27,12.00,12.00,11.99,11.99,800,11.950849
2016-09-26,12.05,12.10,12.00,12.10,1200,12.06049
2016-09-23,12.14,12.59,11.60,12.59,1600,12.54889
2016-09-22,12.00,12.41,12.00,12.11,5700,12.070457
2016-09-21,12.00,12.00,12.00,12.00,200,11.960816
2016-09-20,11.99,12.00,11.78,11.78,1900,11.741534
2016-09-19,12.04,12.09,11.67,12.00,6600,11.960816
2016-09-16,11.66,11.70,11.60,11.60,2700,11.562123
2016-09-15,12.20,12.20,11.74,11.74,1300,11.701665
2016-09-14,11.80,11.80,11.74,11.74,900,11.701665
2016-09-13,11.60,11.60,11.60,11.60,000,11.562123
2016-09-12,11.60,11.60,11.60,11.60,800,11.562123
2016-09-09,11.72,12.00,11.70,11.97,1300,11.930914
2016-09-08,11.80,12.20,11.70,12.20,1400,12.160163
2016-09-07,11.90,12.74,11.78,11.83,1200,11.791371
2016-09-06,12.10,12.13,11.90,11.90,7300,11.861142
2016-09-02,12.00,12.00,12.00,12.00,600,11.960816
2016-09-01,12.20,12.20,12.20,12.20,300,12.160163
2016-08-31,11.91,11.91,11.90,11.90,500,11.861142
2016-08-30,11.90,11.90,11.90,11.90,000,11.861142
2016-08-29,11.90,11.90,11.90,11.90,600,11.861142
2016-08-26,11.90,11.90,11.90,11.90,600,11.861142
2016-08-25,12.52,12.52,12.52,12.52,000,12.479119
2016-08-24,11.94,12.52,11.90,12.52,1500,12.479119
2016-08-23,12.14,12.50,12.14,12.50,1500,12.459183
2016-08-22,11.90,11.90,11.90,11.90,400,11.861142
2016-08-19,11.75,11.75,11.75,11.75,600,11.711632
2016-08-18,12.00,12.00,12.00,12.00,000,11.960816
2016-08-17,12.00,12.00,12.00,12.00,1100,11.960816
2016-08-16,12.15,12.15,12.15,12.15,000,12.110326
2016-08-15,12.05,12.15,11.80,12.15,3300,12.110326
2016-08-12,11.96,12.00,11.90,12.00,1100,11.960816
2016-08-11,12.02,12.02,12.02,12.02,000,11.980751
2016-08-10,12.02,12.02,12.02,12.02,000,11.980751
2016-08-09,11.72,12.02,11.72,12.02,500,11.980751
2016-08-08,11.79,11.79,11.79,11.79,100,11.751502
2016-08-05,11.90,11.90,11.90,11.90,000,11.861142
2016-08-04,11.90,11.90,11.90,11.90,000,11.861142
2016-08-03,11.90,11.90,11.90,11.90,000,11.821273
2016-08-02,11.90,11.90,11.90,11.90,000,11.821273
2016-08-01,11.90,11.90,11.90,11.90,500,11.821273
2016-07-29,11.75,11.75,11.75,11.75,000,11.672266
2016-07-28,11.75,11.75,11.75,11.75,100,11.672266
2016-07-27,11.98,11.98,11.70,11.70,500,11.622596
2016-07-26,11.70,11.70,11.70,11.70,200,11.622596
2016-07-25,11.60,11.60,11.60,11.60,300,11.523258
2016-07-22,11.60,11.60,11.60,11.60,000,11.523258
2016-07-21,11.64,12.03,11.60,11.60,3700,11.523258
2016-07-20,11.74,11.74,11.68,11.68,1900,11.602729
2016-07-19,11.70,11.70,11.40,11.44,1100,11.364316
2016-07-18,11.39,11.39,11.39,11.39,000,11.314648
2016-07-15,11.90,11.90,11.30,11.39,5400,11.314648
2016-07-14,11.39,11.39,11.37,11.37,400,11.294779
2016-07-13,11.33,11.33,11.33,11.33,000,11.255044
2016-07-12,11.33,11.33,11.33,11.33,000,11.255044
2016-07-11,11.30,11.33,11.25,11.33,1700,11.255044
2016-07-08,11.20,11.30,11.20,11.30,600,11.225243
2016-07-07,11.19,11.37,11.11,11.20,3900,11.125904
2016-07-06,11.29,11.38,11.10,11.30,3400,11.225243
2016-07-05,11.29,11.29,11.29,11.29,200,11.215309
2016-07-01,11.14,11.14,11.14,11.14,000,11.066301
2016-06-30,11.00,11.70,11.00,11.14,900,11.066301
2016-06-29,11.27,11.35,10.73,11.35,1500,11.274912
2016-06-28,11.52,11.54,11.50,11.50,900,11.423919
2016-06-27,11.84,11.87,11.52,11.87,800,11.791472
2016-06-24,11.85,11.85,11.62,11.70,1700,11.622596
2016-06-23,11.55,11.55,11.55,11.55,100,11.473589
2016-06-22,11.49,11.49,11.49,11.49,000,11.413985
2016-06-21,11.49,11.49,11.49,11.49,000,11.413985
2016-06-20,11.49,11.49,11.49,11.49,100,11.413985
2016-06-17,11.75,11.75,11.27,11.50,4400,11.423919
2016-06-16,11.80,11.80,11.80,11.80,000,11.721935
2016-06-15,11.85,11.85,11.79,11.80,300,11.721935
2016-06-14,11.75,12.20,11.75,11.83,2100,11.751736
2016-06-13,11.84,11.97,11.84,11.97,400,11.89081
2016-06-10,11.80,11.80,11.80,11.80,000,11.721935
2016-06-09,11.80,11.80,11.80,11.80,000,11.721935
2016-06-08,11.75,11.99,11.75,11.80,5100,11.721935
2016-06-07,11.90,11.90,11.90,11.90,000,11.821273
2016-06-06,11.99,12.50,11.90,11.90,4200,11.821273
2016-06-03,11.68,12.30,11.68,12.00,15000,11.920612
2016-06-02,11.70,11.70,11.70,11.70,000,11.622596
2016-06-01,11.70,11.70,11.70,11.70,000,11.622596
2016-05-31,11.60,11.70,11.60,11.70,700,11.622596
2016-05-27,11.60,11.60,11.60,11.60,000,11.523258
2016-05-26,11.60,11.60,11.60,11.60,000,11.523258
2016-05-25,11.68,11.74,11.60,11.60,2100,11.523258
2016-05-24,11.59,11.59,11.59,11.59,000,11.513324
2016-05-23,11.70,11.70,11.52,11.59,5400,11.513324
2016-05-20,11.78,11.78,11.78,11.78,000,11.702067
2016-05-19,11.78,11.78,11.78,11.78,000,11.702067
2016-05-18,11.78,11.78,11.78,11.78,000,11.702067
2016-05-17,11.78,11.78,11.76,11.78,1800,11.702067
2016-05-16,11.74,11.74,11.74,11.74,200,11.662331
2016-05-13,11.76,11.76,11.76,11.76,000,11.6822
2016-05-12,11.76,11.76,11.76,11.76,300,11.6822
2016-05-11,11.54,11.56,11.54,11.56,2000,11.483523
2016-05-10,11.75,11.76,11.75,11.76,400,11.6822
2016-05-09,11.78,11.78,11.78,11.78,000,11.702067
2016-05-06,11.78,11.78,11.78,11.78,000,11.702067
2016-05-05,11.78,11.78,11.78,11.78,000,11.702067
2016-05-04,11.75,11.78,11.75,11.78,800,11.622596
2016-05-03,11.60,11.65,11.60,11.64,600,11.484467
2016-05-02,11.82,11.82,11.82,11.82,000,11.662062
2016-04-29,11.82,11.82,11.82,11.82,000,11.662062
2016-04-28,11.82,11.82,11.82,11.82,000,11.662062
2016-04-27,11.61,11.82,11.60,11.82,2200,11.662062
2016-04-26,11.74,12.09,11.56,11.71,28000,11.553532
2016-04-25,11.54,12.10,11.54,11.82,16800,11.662062
2016-04-22,11.48,11.48,11.48,11.48,600,11.326605
2016-04-21,11.36,11.36,11.36,11.36,000,11.208208
2016-04-20,11.45,11.76,11.36,11.36,3300,11.208208
2016-04-19,11.36,11.36,11.36,11.36,000,11.208208
2016-04-18,11.36,11.36,11.36,11.36,000,11.208208
2016-04-15,11.40,11.40,11.36,11.36,5800,11.208208
2016-04-14,11.40,11.40,11.40,11.40,3900,11.247674
2016-04-13,11.40,11.40,11.40,11.40,500,11.247674
2016-04-12,11.69,11.69,11.69,11.69,000,11.533799
2016-04-11,11.69,11.69,11.69,11.69,500,11.533799
2016-04-08,11.36,11.44,11.36,11.44,500,11.287139
2016-04-07,11.35,11.35,11.35,11.35,000,11.198342
2016-04-06,11.35,11.35,11.35,11.35,000,11.198342
2016-04-05,11.35,11.35,11.35,11.35,000,11.198342
2016-04-04,11.35,11.35,11.35,11.35,000,11.198342
2016-04-01,11.35,11.35,11.35,11.35,000,11.198342
2016-03-31,11.35,11.35,11.35,11.35,000,11.198342
2016-03-30,11.45,11.45,11.35,11.35,1000,11.198342
2016-03-29,11.43,11.43,11.43,11.43,000,11.277273
2016-03-28,11.43,11.43,11.43,11.43,000,11.277273
2016-03-24,11.41,11.55,11.41,11.43,4200,11.277273
2016-03-23,11.32,11.32,11.32,11.32,000,11.168743
2016-03-22,11.32,11.32,11.32,11.32,000,11.168743
2016-03-21,11.80,11.80,11.32,11.32,800,11.168743
2016-03-18,11.66,11.66,11.66,11.66,600,11.5042
2016-03-17,11.50,11.50,11.50,11.50,000,11.346338
2016-03-16,11.50,11.50,11.50,11.50,000,11.346338
2016-03-15,11.50,11.50,11.50,11.50,000,11.346338
2016-03-14,11.50,11.50,11.50,11.50,000,11.346338
2016-03-11,11.40,11.55,11.40,11.50,400,11.346338
2016-03-10,11.32,11.32,11.32,11.32,000,11.168743
2016-03-09,11.32,11.32,11.32,11.32,200,11.168743
2016-03-08,11.54,11.54,11.50,11.50,2500,11.346338
2016-03-07,11.85,11.85,11.72,11.72,600,11.563398
2016-03-04,11.70,11.90,11.70,11.85,1400,11.691661
2016-03-03,11.39,11.39,11.39,11.39,000,11.237808
2016-03-02,11.39,11.39,11.39,11.39,000,11.237808
2016-03-01,11.39,11.39,11.39,11.39,000,11.237808
2016-02-29,11.39,11.39,11.39,11.39,000,11.237808
2016-02-26,11.40,11.40,11.39,11.39,800,11.237808
2016-02-25,11.61,11.61,11.61,11.61,000,11.454868
2016-02-24,11.61,11.61,11.61,11.61,000,11.454868
2016-02-23,11.61,11.61,11.61,11.61,000,11.454868
2016-02-22,11.55,11.70,11.50,11.61,3300,11.454868
2016-02-19,11.50,11.50,11.50,11.50,000,11.346338
2016-02-18,11.50,11.50,11.50,11.50,800,11.346338
2016-02-17,11.39,11.39,11.39,11.39,000,11.237808
2016-02-16,11.39,11.39,11.39,11.39,500,11.237808
2016-02-12,12.00,12.00,11.74,11.74,1400,11.583131
2016-02-11,11.65,11.68,11.65,11.68,400,11.523933
2016-02-10,11.58,11.58,11.58,11.58,000,11.425269
2016-02-09,11.58,11.58,11.58,11.58,000,11.425269
2016-02-08,11.58,11.58,11.58,11.58,000,11.425269
2016-02-05,11.58,11.58,11.58,11.58,000,11.425269
2016-02-04,11.33,11.58,11.33,11.58,15900,11.425269
2016-02-03,11.50,11.50,11.50,11.50,000,11.306872
2016-02-02,11.50,11.50,11.50,11.50,900,11.306872
2016-02-01,11.46,11.60,11.46,11.51,3100,11.316704
2016-01-29,11.53,11.53,11.51,11.51,400,11.316704
2016-01-28,11.50,11.50,11.50,11.50,000,11.306872
2016-01-27,11.60,12.39,11.50,11.50,28000,11.306872
2016-01-26,11.52,11.52,11.52,11.52,000,11.326537
2016-01-25,11.52,11.52,11.52,11.52,000,11.326537
2016-01-22,11.52,11.52,11.52,11.52,000,11.326537
2016-01-21,11.52,11.52,11.52,11.52,200,11.326537
2016-01-20,11.56,11.60,11.56,11.60,2200,11.405193
2016-01-19,11.32,11.73,11.30,11.34,5800,11.149559
2016-01-15,11.65,11.65,11.50,11.64,2700,11.444521
2016-01-14,11.75,11.75,11.75,11.75,000,11.552674
2016-01-13,11.75,11.75,11.75,11.75,000,11.552674
2016-01-12,11.75,11.75,11.75,11.75,000,11.552674
2016-01-11,11.78,11.78,11.75,11.75,600,11.552674
2016-01-08,11.85,12.36,11.81,12.36,700,12.152429
2016-01-07,12.50,12.50,12.50,12.50,000,12.290078
2016-01-06,12.50,12.50,12.50,12.50,000,12.290078
2016-01-05,12.54,12.54,12.50,12.50,600,12.290078
2016-01-04,11.81,11.81,11.81,11.81,100,11.611666
2015-12-31,12.29,12.30,12.29,12.30,3900,12.093437
2015-12-30,12.29,12.29,12.29,12.29,000,12.083605
2015-12-29,12.29,12.29,12.29,12.29,400,12.083605
2015-12-28,12.04,12.04,12.04,12.04,100,11.837803
2015-12-24,12.28,12.29,12.28,12.29,400,12.083605
2015-12-23,12.30,12.30,12.30,12.30,000,12.093437
2015-12-22,12.30,12.30,12.30,12.30,000,12.093437
2015-12-21,12.30,12.30,12.30,12.30,000,12.093437
2015-12-18,12.30,12.30,12.30,12.30,500,12.093437
2015-12-17,12.30,12.38,12.30,12.30,8700,12.093437
2015-12-16,11.61,11.61,11.61,11.61,000,11.415024
2015-12-15,11.61,11.61,11.61,11.61,000,11.415024
2015-12-14,11.61,11.61,11.61,11.61,900,11.415024
2015-12-11,12.10,12.10,12.10,12.10,000,11.896796
2015-12-10,12.10,12.10,12.10,12.10,500,11.896796
2015-12-09,12.10,12.10,12.10,12.10,400,11.896796
2015-12-08,12.07,12.07,12.07,12.07,000,11.867299
2015-12-07,12.07,12.07,12.07,12.07,300,11.867299
2015-12-04,12.10,12.10,12.10,12.10,000,11.896796
2015-12-03,12.10,12.10,12.10,12.10,1800,11.896796
2015-12-02,12.29,12.29,12.29,12.29,000,12.083605
2015-12-01,12.10,12.31,12.10,12.29,1200,12.083605
2015-11-30,12.29,12.30,12.29,12.30,900,12.093437
2015-11-27,12.26,12.30,12.26,12.26,2900,12.054109
2015-11-25,12.21,12.21,12.21,12.21,500,12.004949
2015-11-24,12.22,12.30,12.00,12.19,21100,11.985284
2015-11-23,12.13,12.60,12.08,12.25,5800,12.044277
2015-11-20,11.82,11.86,11.82,11.86,1100,11.660826
2015-11-19,12.00,12.00,12.00,12.00,400,11.798475
2015-11-18,12.14,12.14,12.14,12.14,000,11.936124
2015-11-17,12.11,12.14,12.11,12.14,2500,11.936124
2015-11-16,12.00,12.07,12.00,12.07,300,11.867299
2015-11-13,11.90,11.90,11.90,11.90,300,11.700154
2015-11-12,11.92,11.92,11.62,11.71,800,11.513345
2015-11-11,12.00,12.00,12.00,12.00,000,11.798475
2015-11-10,12.00,12.00,12.00,12.00,000,11.798475
2015-11-09,12.00,12.00,12.00,12.00,000,11.798475
2015-11-06,12.00,12.00,12.00,12.00,000,11.798475
2015-11-05,12.00,12.00,12.00,12.00,000,11.798475
2015-11-04,12.00,12.00,12.00,12.00,2000,11.719819
2015-11-03,11.99,11.99,11.99,11.99,000,11.710053
2015-11-02,12.00,12.00,11.99,11.99,900,11.710053
2015-10-30,11.55,11.55,11.55,11.55,000,11.280326
2015-10-29,11.55,11.55,11.55,11.55,000,11.280326
2015-10-28,11.55,11.55,11.55,11.55,300,11.280326
2015-10-27,11.49,11.55,11.49,11.55,1800,11.280326
2015-10-26,11.05,11.05,11.05,11.05,000,10.792
2015-10-23,11.05,11.05,11.05,11.05,200,10.792
2015-10-22,11.20,11.20,11.20,11.20,000,10.938498
2015-10-21,11.25,11.25,11.20,11.20,1400,10.938498
2015-10-20,11.30,11.30,11.30,11.30,300,11.036163
2015-10-19,11.05,11.05,11.05,11.05,000,10.792
2015-10-16,11.05,11.05,11.05,11.05,000,10.792
2015-10-15,11.05,11.05,11.05,11.05,000,10.792
2015-10-14,11.05,11.05,11.05,11.05,000,10.792
2015-10-13,11.05,11.05,11.05,11.05,000,10.792
2015-10-12,11.05,11.05,11.05,11.05,000,10.792
2015-10-09,11.05,11.05,11.05,11.05,000,10.792
2015-10-08,11.00,11.05,11.00,11.05,400,10.792
2015-10-07,10.98,10.98,10.98,10.98,300,10.723634
2015-10-06,10.78,10.78,10.78,10.78,000,10.528304
2015-10-05,10.80,10.81,10.78,10.78,1300,10.528304
2015-10-02,10.78,10.78,10.78,10.78,000,10.528304
2015-10-01,10.78,10.78,10.78,10.78,200,10.528304
2015-09-30,10.87,10.87,10.75,10.75,500,10.499005
2015-09-29,11.00,11.00,11.00,11.00,000,10.743168
2015-09-28,11.00,11.00,11.00,11.00,000,10.743168
2015-09-25,11.00,11.00,11.00,11.00,000,10.743168
2015-09-24,11.00,11.00,11.00,11.00,200,10.743168
2015-09-23,10.89,10.90,10.89,10.90,400,10.645502
2015-09-22,10.80,10.80,10.80,10.80,000,10.547838
2015-09-21,10.80,10.81,10.80,10.80,1600,10.547838
2015-09-18,10.81,10.99,10.76,10.99,2500,10.733401
2015-09-17,10.82,10.82,10.82,10.82,200,10.56737
2015-09-16,10.94,10.94,10.94,10.94,000,10.684568
2015-09-15,10.94,10.94,10.94,10.94,400,10.684568
2015-09-14,10.85,10.85,10.85,10.85,000,10.59667
2015-09-11,10.80,10.85,10.80,10.85,400,10.59667
2015-09-10,10.98,10.98,10.98,10.98,300,10.723634
2015-09-09,10.87,10.87,10.85,10.87,4000,10.616203
2015-09-08,10.95,10.96,10.95,10.96,1300,10.704102
2015-09-04,10.92,10.92,10.92,10.92,000,10.665036
2015-09-03,10.88,10.92,10.85,10.92,900,10.665036
2015-09-02,10.85,10.97,10.85,10.87,3000,10.616203
2015-09-01,10.98,10.98,10.85,10.85,1600,10.59667
2015-08-31,10.91,10.91,10.91,10.91,200,10.655269
2015-08-28,10.91,10.91,10.91,10.91,200,10.655269
2015-08-27,10.87,10.87,10.85,10.85,600,10.59667
2015-08-26,10.98,10.98,10.85,10.85,1100,10.59667
2015-08-25,10.90,10.98,10.90,10.98,200,10.723634
2015-08-24,10.85,10.85,10.85,10.85,600,10.59667
2015-08-21,10.87,10.88,10.85,10.85,3500,10.59667
2015-08-20,10.90,10.97,10.88,10.88,1500,10.62597
2015-08-19,10.97,10.97,10.90,10.90,400,10.645502
2015-08-18,10.92,10.93,10.92,10.93,2700,10.674802
2015-08-17,10.88,10.88,10.88,10.88,000,10.62597
2015-08-14,10.93,10.93,10.87,10.88,1100,10.62597
2015-08-13,11.08,11.08,10.87,10.87,1000,10.616203
2015-08-12,11.08,11.08,11.08,11.08,500,10.8213
2015-08-11,11.12,11.12,10.75,10.80,3700,10.547838
2015-08-10,11.27,11.27,11.27,11.27,000,11.006864
2015-08-07,11.27,11.27,11.27,11.27,000,11.006864
2015-08-06,11.27,11.27,11.27,11.27,300,11.006864
2015-08-05,11.29,11.29,11.29,11.29,000,10.987331
2015-08-04,11.30,11.30,11.29,11.29,600,10.987331
2015-08-03,11.15,11.15,11.15,11.15,700,10.851084
2015-07-31,11.30,11.38,11.07,11.11,2800,10.812156
2015-07-30,11.08,11.15,11.08,11.15,2700,10.851084
2015-07-29,11.08,11.08,11.08,11.08,000,10.78296
2015-07-28,11.08,11.08,11.08,11.08,100,10.78296
2015-07-27,11.10,11.29,11.09,11.28,6000,10.977599
2015-07-24,11.10,11.10,11.10,11.10,000,10.802425
2015-07-23,11.11,11.30,11.10,11.10,4100,10.802425
2015-07-22,11.23,11.25,11.23,11.25,1300,10.948403
2015-07-21,11.25,11.25,11.25,11.25,100,10.948403
2015-07-20,11.39,11.39,11.39,11.39,200,11.08465
2015-07-17,10.93,11.36,10.90,11.36,4100,11.055454
2015-07-16,11.35,11.40,11.35,11.40,3500,11.094381
2015-07-15,11.37,11.40,11.35,11.35,3500,11.045723
2015-07-14,11.65,11.65,11.57,11.57,1300,11.259824
2015-07-13,11.70,11.72,11.65,11.65,4300,11.337679
2015-07-10,11.71,11.75,11.70,11.74,1400,11.425267
2015-07-09,11.84,11.84,11.84,11.84,100,11.522586
2015-07-08,11.77,11.77,11.77,11.77,300,11.454463
2015-07-07,11.74,11.75,11.70,11.74,2600,11.425267
2015-07-06,11.74,11.75,11.70,11.70,1000,11.386339
2015-07-02,11.75,11.75,11.75,11.75,000,11.434999
