Date,Open,High,Low,Close,Volume,Adj Close
2016-12-01,3.72,3.72,3.40,3.40,19900,3.40
2016-11-30,3.55,3.72,3.55,3.72,5800,3.72
2016-11-29,3.40,3.40,3.40,3.40,200,3.40
2016-11-28,3.60,3.60,3.50,3.50,600,3.50
2016-11-25,3.50,3.52,3.466,3.50,10800,3.50
2016-11-23,3.75,3.75,3.75,3.75,700,3.75
2016-11-22,3.50,3.50,3.414,3.414,1100,3.414
2016-11-21,3.75,3.75,3.32,3.486,2400,3.486
2016-11-18,3.75,3.75,3.50,3.50,3500,3.50
2016-11-17,3.31,3.50,3.31,3.415,1900,3.415
2016-11-16,3.40,3.40,3.40,3.40,000,3.40
2016-11-15,3.489,3.50,3.40,3.40,2000,3.40
2016-11-14,3.472,3.472,3.472,3.472,000,3.472
2016-11-11,3.50,3.50,3.395,3.472,1500,3.472
2016-11-10,4.10,4.10,3.49,3.493,18900,3.493
2016-11-09,4.00,4.00,4.00,4.00,100,4.00
2016-11-08,4.15,4.15,4.15,4.15,000,4.15
2016-11-07,4.15,4.15,4.15,4.15,400,4.15
2016-11-04,4.00,4.00,4.00,4.00,000,4.00
2016-11-03,4.00,4.00,4.00,4.00,2300,4.00
2016-11-02,4.50,4.50,4.00,4.25,5600,4.25
2016-11-01,4.55,4.75,4.50,4.75,2300,4.75
2016-10-31,4.60,4.60,4.60,4.60,800,4.60
2016-10-28,4.75,4.75,4.66,4.75,3800,4.75
2016-10-27,4.40,4.55,4.40,4.50,5700,4.50
2016-10-26,4.44,4.50,4.44,4.50,2300,4.50
2016-10-25,4.70,4.70,4.50,4.50,2400,4.50
2016-10-24,4.00,4.75,4.00,4.75,900,4.75
2016-10-21,4.40,4.40,4.40,4.40,000,4.40
2016-10-20,4.40,4.40,4.40,4.40,000,4.40
2016-10-19,4.40,4.40,4.40,4.40,000,4.40
2016-10-18,4.40,4.40,4.40,4.40,200,4.40
2016-10-17,4.50,4.50,4.50,4.50,700,4.50
2016-10-14,4.55,4.55,4.55,4.55,000,4.55
2016-10-13,4.55,4.55,4.55,4.55,000,4.55
2016-10-12,4.55,4.55,4.55,4.55,000,4.55
2016-10-11,4.55,4.55,4.55,4.55,000,4.55
2016-10-10,4.55,4.55,4.55,4.55,1700,4.55
2016-10-07,4.45,4.75,4.45,4.55,2600,4.55
2016-10-06,4.00,4.00,4.00,4.00,000,4.00
2016-10-05,4.00,4.00,4.00,4.00,500,4.00
2016-10-04,4.50,4.50,4.50,4.50,000,4.50
2016-10-03,4.50,4.50,4.50,4.50,000,4.50
2016-09-30,4.50,4.50,4.50,4.50,700,4.50
2016-09-29,5.00,5.00,5.00,5.00,000,5.00
2016-09-28,4.18,5.00,4.00,5.00,15500,5.00
2016-09-27,4.22,4.50,4.15,4.45,9200,4.45
2016-09-26,3.75,4.25,3.75,4.20,10200,4.20
