Date,Open,High,Low,Close,Volume,Adj Close
2016-12-01,10.58,10.58,10.58,10.58,000,10.58
2016-11-30,10.457,10.58,10.457,10.58,3000,10.58
2016-11-29,10.70,10.70,10.585,10.636,15300,10.636
2016-11-28,10.63,10.70,10.62,10.70,3600,10.70
2016-11-25,10.534,10.534,10.534,10.534,000,10.534
2016-11-23,10.54,10.55,10.534,10.534,500,10.534
2016-11-22,10.435,10.435,10.41,10.41,3000,10.41
2016-11-21,10.403,10.403,10.34,10.36,1000,10.36
2016-11-18,10.33,10.368,10.33,10.368,1300,10.368
2016-11-17,10.40,10.40,10.29,10.30,1600,10.30
2016-11-16,10.26,10.288,10.26,10.288,2300,10.288
2016-11-15,10.205,10.299,10.19,10.268,2700,10.268
2016-11-14,10.151,10.195,10.151,10.186,1500,10.186
2016-11-11,10.26,10.285,10.159,10.18,6900,10.18
2016-11-10,10.35,10.35,10.331,10.332,1600,10.332
2016-11-09,10.52,10.56,10.44,10.47,9200,10.47
2016-11-08,10.87,10.87,10.85,10.85,500,10.85
2016-11-07,10.60,10.85,10.60,10.81,12100,10.81
2016-11-04,10.78,10.99,10.71,10.92,7700,10.795
2016-11-03,10.87,10.87,10.87,10.87,3100,10.745572
2016-11-02,11.05,11.12,11.02,11.03,2200,10.903741
2016-11-01,11.17,11.22,11.11,11.134,6800,11.00655
2016-10-31,11.27,11.27,11.27,11.27,1100,11.140994
2016-10-28,11.21,11.25,11.21,11.25,4400,11.121222
2016-10-27,11.182,11.25,11.182,11.24,600,11.111337
2016-10-26,11.18,11.33,11.18,11.304,1400,11.174604
2016-10-25,11.342,11.40,11.31,11.34,5100,11.210192
2016-10-24,11.40,11.40,11.377,11.389,800,11.258631
2016-10-21,11.25,11.44,11.25,11.376,2400,11.245781
2016-10-20,11.38,11.41,11.359,11.359,3200,11.228975
2016-10-19,11.42,11.47,11.37,11.46,3300,11.328819
2016-10-18,11.331,11.35,11.29,11.35,2300,11.220078
2016-10-17,11.32,11.32,11.18,11.20,1900,11.071795
2016-10-14,11.183,11.237,11.183,11.237,3000,11.108372
2016-10-13,11.01,11.149,11.01,11.149,4100,11.021379
