Date,Open,High,Low,Close,Volume,Adj Close
2016-12-01,39.82,40.639999,39.779999,40.41,3849400,40.41
2016-11-30,39.150002,40.00,38.880001,39.790001,3942400,39.790001
2016-11-29,38.610001,38.720001,38.23,38.50,1966400,38.50
2016-11-28,39.029999,39.09,38.279999,38.41,2171500,38.41
2016-11-25,39.09,39.23,38.790001,39.099998,946300,39.099998
2016-11-23,38.860001,39.189999,38.610001,39.119999,2365300,39.119999
2016-11-22,38.150002,38.759998,38.150002,38.66,2905700,38.66
2016-11-21,38.490002,38.650002,38.029999,38.540001,2500300,38.540001
2016-11-18,37.799999,38.419998,37.639999,38.209999,3414700,38.209999
2016-11-17,37.470001,38.119999,37.240002,37.91,5108300,37.91
2016-11-16,37.09,37.849998,36.57,37.459999,5500000,37.459999
2016-11-15,37.900002,38.849998,37.470001,38.759998,3972500,38.759998
2016-11-14,37.34,38.880001,37.330002,38.43,5782500,38.43
2016-11-11,36.419998,37.040001,35.959999,36.970001,3986600,36.890002
2016-11-10,35.369999,36.98,35.200001,36.599998,6758200,36.5208
2016-11-09,33.00,35.040001,32.650002,34.619999,8113800,34.545085
2016-11-08,32.48,32.57,31.860001,32.400002,2546700,32.329892
2016-11-07,32.16,32.419998,31.84,32.25,4437500,32.180215
2016-11-04,31.32,31.93,30.959999,31.389999,2913300,31.322075
2016-11-03,31.17,31.57,31.110001,31.17,2878700,31.102552
2016-11-02,32.029999,32.360001,30.85,30.959999,5185000,30.893005
2016-11-01,32.360001,32.52,31.790001,32.240002,2737100,32.170238
2016-10-31,32.18,32.400002,32.029999,32.209999,2469400,32.1403
2016-10-28,32.400002,32.459999,31.870001,32.09,2353000,32.020561
2016-10-27,32.419998,32.599998,32.040001,32.380001,2280500,32.309934
2016-10-26,32.16,32.450001,31.90,32.139999,3780700,32.070452
2016-10-25,32.650002,32.669998,31.860001,32.080002,4557500,32.010584
2016-10-24,32.50,32.720001,32.419998,32.43,3502500,32.359825
2016-10-21,32.049999,32.369999,31.809999,32.34,4889400,32.27002
2016-10-20,31.940001,32.419998,31.879999,32.259998,3208100,32.190191
2016-10-19,31.25,32.279999,31.15,32.07,4257900,32.000604
2016-10-18,31.00,31.17,30.629999,31.17,2308800,31.102552
2016-10-17,30.92,31.049999,30.469999,30.65,2174600,30.583676
2016-10-14,30.73,31.110001,30.700001,30.860001,2154000,30.793223
2016-10-13,30.780001,30.98,30.07,30.360001,3041600,30.294305
2016-10-12,31.32,31.530001,31.139999,31.209999,1451800,31.142464
2016-10-11,31.65,31.809999,30.98,31.299999,2491900,31.23227
2016-10-10,31.82,32.07,31.75,31.809999,1895700,31.741166
2016-10-07,31.709999,31.860001,31.209999,31.73,2546700,31.661339
2016-10-06,31.75,31.82,31.290001,31.68,3183800,31.611448
2016-10-05,31.540001,32.150002,31.50,31.82,3575800,31.751145
2016-10-04,31.17,31.799999,31.139999,31.40,2939500,31.332054
2016-10-03,30.799999,31.309999,30.77,31.110001,2381500,31.042682
2016-09-30,30.629999,31.18,30.43,31.02,2910100,30.952877
2016-09-29,30.92,31.35,30.370001,30.52,3227700,30.453959
2016-09-28,30.610001,30.85,30.23,30.85,2115700,30.783244
2016-09-27,29.85,30.450001,29.639999,30.41,2343900,30.344196
2016-09-26,30.280001,30.60,29.799999,30.02,3805400,29.955041
2016-09-23,30.23,30.85,30.00,30.610001,2981800,30.543764
2016-09-22,30.120001,30.299999,30.01,30.280001,2429100,30.214478
2016-09-21,30.00,30.200001,29.629999,29.99,2774700,29.925105
2016-09-20,30.23,30.33,29.84,29.870001,2730400,29.805366
2016-09-19,30.10,30.360001,29.77,29.90,2367500,29.835299
2016-09-16,30.030001,30.209999,29.85,29.90,2979600,29.835299
2016-09-15,30.049999,30.440001,29.91,30.35,2726500,30.284326
2016-09-14,30.219999,30.48,29.969999,30.040001,3950100,29.974998
2016-09-13,30.52,30.77,29.860001,30.25,5134300,30.184542
2016-09-12,30.219999,31.02,30.059999,30.940001,3328700,30.87305
2016-09-09,30.690001,31.280001,30.57,30.57,4368100,30.50385
2016-09-08,30.709999,31.00,30.40,30.690001,1916500,30.623591
2016-09-07,30.40,30.620001,30.049999,30.58,1801600,30.513828
2016-09-06,31.040001,31.059999,30.08,30.389999,4522100,30.324239
2016-09-02,30.76,31.059999,30.43,30.969999,4086700,30.902984
2016-09-01,30.75,30.90,30.23,30.57,4353000,30.50385
2016-08-31,30.43,30.620001,29.969999,30.59,3538600,30.523807
2016-08-30,29.950001,30.379999,29.950001,30.33,2169400,30.264369
2016-08-29,29.75,30.26,29.629999,30.01,2690200,29.945062
2016-08-26,29.530001,29.860001,29.219999,29.67,3867100,29.605798
2016-08-25,29.209999,29.549999,28.950001,29.42,2147600,29.356339
2016-08-24,29.18,29.49,28.75,29.280001,1746400,29.216642
2016-08-23,29.40,29.52,29.110001,29.280001,2068400,29.216642
2016-08-22,29.02,29.290001,28.969999,29.26,2141100,29.196685
2016-08-19,28.99,29.27,28.969999,29.23,2248600,29.166749
2016-08-18,28.59,29.120001,28.290001,29.08,2365200,29.017074
2016-08-17,28.559999,28.84,28.540001,28.690001,1893000,28.627919
2016-08-16,28.469999,28.84,28.08,28.639999,1847400,28.578026
2016-08-15,28.27,28.719999,28.16,28.629999,1636200,28.48822
2016-08-12,28.059999,28.15,27.77,28.139999,1530700,28.000646
2016-08-11,28.389999,28.49,28.07,28.280001,1724100,28.139954
2016-08-10,28.780001,28.83,28.25,28.309999,2309000,28.169805
2016-08-09,28.799999,28.98,28.639999,28.799999,2198300,28.657378
2016-08-08,29.00,29.190001,28.690001,28.74,2270200,28.597675
2016-08-05,28.049999,28.950001,27.98,28.889999,3665100,28.746932
2016-08-04,27.40,27.780001,27.35,27.73,2558200,27.592677
2016-08-03,27.00,27.48,26.75,27.469999,2691200,27.333964
2016-08-02,27.40,27.610001,26.74,27.040001,3136900,26.906095
2016-08-01,27.90,28.01,27.24,27.35,3850600,27.21456
2016-07-29,27.969999,28.15,27.700001,27.879999,3359100,27.741934
2016-07-28,27.879999,28.379999,27.60,28.139999,4783300,28.000646
2016-07-27,27.60,28.35,27.309999,27.98,7550900,27.841439
2016-07-26,26.360001,26.790001,26.00,26.59,4056800,26.458323
2016-07-25,26.370001,26.41,26.120001,26.299999,2370900,26.169758
2016-07-22,26.15,26.41,25.780001,26.309999,2927800,26.179709
2016-07-21,26.040001,26.27,25.67,26.00,2775800,25.871245
2016-07-20,25.940001,26.059999,25.65,25.969999,2123900,25.841392
2016-07-19,25.790001,26.110001,25.620001,25.879999,1854500,25.751838
2016-07-18,26.00,26.09,25.74,25.860001,2414100,25.731938
2016-07-15,26.25,26.27,25.90,26.01,2257700,25.881195
2016-07-14,26.110001,26.290001,25.84,26.02,2867700,25.891146
2016-07-13,25.52,25.709999,25.27,25.549999,2856900,25.423472
2016-07-12,25.35,25.76,25.16,25.610001,4194700,25.483176
2016-07-11,25.00,25.27,24.799999,24.93,3581700,24.806544
2016-07-08,24.82,25.120001,24.549999,24.74,4748900,24.617484
2016-07-07,24.50,24.709999,24.10,24.41,4741400,24.289118
2016-07-06,23.290001,23.99,23.02,23.99,5310900,23.871198
2016-07-05,24.469999,24.52,23.02,23.440001,7121700,23.323923
2016-07-01,24.93,25.24,24.50,24.92,4301700,24.796593
2016-06-30,25.290001,25.459999,24.85,25.129999,6934000,25.005552
2016-06-29,24.41,25.030001,24.27,24.99,4861000,24.866246
2016-06-28,24.120001,24.50,23.860001,24.389999,4786600,24.269217
2016-06-27,24.92,25.110001,23.34,23.59,4683900,23.473179
2016-06-24,26.35,26.780001,25.280001,25.290001,7663300,25.164761
